LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA44060,27,160,99,114,176,141,83,99,9,910,31,88,58,61,132,115,41,75,141,747,829,3519,2560,3132,4447,2988,1773,2101,327,21670
LGA44210,0,8,3,9,4,13,4,12,0,54,7,10,9,12,7,10,0,10,20,85,78,312,293,363,355,307,200,443,45,2397
LGA44340,30,170,105,117,202,155,104,113,10,1001,21,91,63,91,117,97,38,64,141,719,1177,3918,3489,4405,5477,3753,2040,2868,336,27472
LGA44550,17,80,49,60,77,62,39,83,3,476,9,55,32,31,46,41,25,49,66,347,419,1808,1298,1629,1660,1240,841,1388,193,10479
LGA44620,18,80,50,53,132,75,63,65,5,533,8,52,30,19,73,45,23,39,67,366,389,1322,1070,1413,2180,1533,1055,1485,166,10624
LGA44830,0,3,3,0,3,0,5,3,0,22,0,3,3,0,0,3,0,6,13,28,27,120,87,111,110,124,67,276,24,945
LGA45040,0,52,38,40,79,60,30,38,3,332,12,28,21,20,59,47,9,30,57,288,341,1067,860,1103,1945,1661,783,1054,161,8977
LGA45090,4,17,12,10,23,36,18,23,3,145,8,18,6,13,20,17,0,16,32,127,190,526,378,485,712,620,380,680,83,4062
LGA45120,0,10,3,5,8,12,10,7,0,55,3,7,4,11,0,5,3,3,13,48,72,225,192,203,163,241,167,427,30,1715
LGA45290,16,137,129,144,269,218,113,131,14,1163,24,96,52,80,135,113,42,85,140,773,652,3471,2617,3052,4599,3440,2120,2777,320,23053
LGA45340,32,262,179,228,324,248,125,217,13,1625,50,157,87,124,197,159,78,160,247,1255,1396,6368,4652,5725,6943,4903,3066,4145,592,37784
LGA45400,0,0,0,3,3,0,3,6,0,14,0,3,0,0,0,4,0,0,3,12,14,51,41,45,38,50,24,87,10,354
LGA45540,0,0,0,3,0,0,0,4,0,10,0,5,0,0,0,0,0,0,3,10,13,59,51,52,46,51,20,96,7,387
LGA45680,18,117,58,74,132,103,56,69,5,646,27,88,60,82,158,105,44,70,203,835,937,2992,2701,3819,5433,3680,1855,2406,443,24272
LGA45890,76,252,268,361,823,604,339,349,28,3100,80,229,183,196,627,403,172,263,453,2601,1942,5891,4841,6712,15669,10899,7563,8565,1020,63112
LGA46090,5,29,16,32,59,42,33,29,3,242,9,17,8,7,18,22,11,10,40,143,229,614,528,715,1251,762,460,730,87,5374
LGA46300,8,42,34,48,57,53,25,39,5,303,8,17,9,29,25,30,19,20,52,210,238,942,756,1011,1272,859,647,745,128,6599
LGA46450,9,32,26,25,50,50,27,24,3,241,5,23,7,11,31,21,17,16,53,179,268,879,743,851,1085,946,818,952,131,6673
LGA46510,8,29,35,45,65,66,42,48,4,334,3,30,22,16,29,28,11,15,46,199,158,936,625,825,1122,790,445,729,93,5722
LGA46670,3,11,8,11,23,16,13,17,0,104,11,11,16,12,28,21,7,22,31,150,148,455,378,528,694,571,369,607,84,3828
LGA46860,0,4,0,3,3,0,0,0,4,18,0,7,0,0,3,0,3,0,6,25,43,117,67,67,107,89,51,106,9,658
LGA46970,0,4,0,9,4,6,4,22,0,60,4,3,3,0,0,4,4,10,16,49,150,103,162,130,172,192,298,1203,52,2468
LGA47140,42,167,124,149,378,282,164,230,13,1546,57,167,107,155,420,284,129,177,373,1872,1551,4833,4014,5362,11453,7994,5094,5664,800,46772
LGA47290,0,3,3,3,6,11,3,5,0,31,0,3,0,0,3,5,0,8,7,33,35,93,91,110,107,154,65,298,22,971
