LGA_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
LGA11350,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,10,3,3,0,3,3,0,0,13,14,169,421,487,433,177,39,1738,249,218,241,235,279,79,0,1311,29,27,47,45,34,15,11,203,1459,2371,2912,3039,2517,610,91,12998
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,5,0,0,0,7,9,37,129,133,134,142,58,644,41,101,78,81,84,37,6,423,16,10,6,10,3,5,8,55,378,744,875,978,828,396,113,4309
LGA11450,10,12,6,5,4,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,5,4,0,0,40,48,256,388,285,231,112,12,1325,655,458,360,323,280,78,14,2162,53,47,56,54,30,8,6,249,4844,5275,5396,5030,3310,740,84,24684
LGA11500,32,20,25,13,8,4,0,102,4,3,5,0,0,0,0,15,0,0,0,3,0,0,0,9,41,22,31,17,10,4,0,119,48,249,376,353,309,69,27,1431,1178,886,695,644,610,189,25,4228,123,80,119,71,56,22,9,473,8009,10071,10347,10381,7543,1532,130,48022
LGA11520,33,68,41,37,16,5,0,200,3,0,0,0,3,0,0,12,0,0,5,3,0,0,0,6,38,68,41,43,22,5,0,213,40,279,569,543,361,185,43,2015,615,611,543,355,383,137,21,2666,60,78,42,59,38,16,7,295,4339,8772,8041,6765,4331,1164,143,33558
LGA11570,93,95,51,58,27,5,0,334,0,7,0,3,0,0,0,14,3,7,8,6,4,0,0,24,95,116,60,63,36,5,0,377,152,632,1013,917,711,238,52,3709,1545,1365,1192,1021,995,359,58,6529,212,238,182,204,148,51,22,1055,12700,21024,21042,21761,15209,3477,422,95636
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,22,26,47,47,30,6,189,19,23,9,12,17,6,3,92,6,3,3,3,5,7,0,28,174,243,256,295,258,80,31,1342
LGA11650,39,27,23,25,22,8,0,131,11,8,0,0,3,0,0,24,4,3,6,6,0,0,0,15,49,36,26,34,24,6,0,174,173,720,1636,1669,1397,687,118,6396,2996,2180,1966,1975,2008,554,70,11750,247,183,181,216,157,78,46,1105,17580,19178,21376,23970,18053,4001,453,104601
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,27,5,7,65,0,7,4,0,8,0,0,17,3,0,3,0,0,0,0,8,30,74,60,77,101,23,11,384
LGA11720,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,18,87,144,191,194,108,26,779,459,436,329,326,332,68,11,1966,43,29,24,34,24,8,6,172,2572,2958,3032,3212,2429,537,92,14840
LGA11730,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,6,14,62,164,250,338,161,69,1057,363,261,259,330,455,113,14,1790,39,24,21,30,45,22,18,206,2139,2329,3195,4013,3643,844,188,16352
LGA11750,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,3,0,0,11,4,18,21,29,36,21,10,139,34,84,56,56,52,11,0,294,8,4,10,11,7,3,3,42,257,576,482,472,375,86,24,2274
LGA11800,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6,3,3,3,3,3,0,0,14,35,150,338,360,382,183,28,1481,637,527,486,505,590,137,11,2893,74,54,51,68,36,17,15,317,4274,5108,5834,6807,5571,1143,122,28868
LGA12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,23,42,37,25,9,148,17,12,21,13,13,10,0,83,4,0,0,3,0,0,0,12,152,154,189,233,191,72,24,1030
LGA12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,28,54,69,38,16,224,11,29,18,8,27,5,0,98,3,4,8,9,4,5,3,29,145,263,231,328,322,107,30,1433
LGA12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,33,70,79,109,89,37,424,99,76,54,103,71,23,6,430,21,7,7,12,10,5,3,70,720,708,838,1042,882,319,77,4581
LGA12380,76,72,58,52,23,3,0,287,3,0,0,3,0,0,0,6,0,3,7,5,0,0,0,16,80,79,62,59,28,8,0,311,100,458,657,516,373,119,20,2240,1171,1112,890,782,685,263,31,4937,140,180,147,124,89,37,13,743,9658,17207,16634,16056,10857,2382,223,73013
LGA12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,40,67,93,75,36,339,54,36,44,47,57,16,3,260,9,0,6,9,4,0,3,29,274,251,387,511,502,180,63,2170
LGA12730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,22,43,51,71,46,19,250,64,63,61,55,79,26,4,359,8,3,11,12,12,6,0,51,500,596,737,789,782,243,46,3697
LGA12750,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,45,129,188,246,139,30,782,255,178,192,280,351,100,6,1369,40,25,25,21,28,13,14,166,1552,1637,2213,2958,2869,660,92,11976
LGA12850,35,39,23,26,13,3,0,130,4,0,0,5,3,0,0,13,0,3,3,4,0,0,0,10,42,45,22,28,13,3,0,152,85,310,398,417,332,91,13,1641,922,731,605,575,501,168,18,3515,148,144,121,156,107,28,11,721,8139,12413,12377,13031,9067,1927,179,57129
LGA12870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,61,64,98,57,22,329,113,77,71,105,135,47,9,562,15,5,16,11,17,10,3,82,667,810,903,1135,1016,292,52,4879
LGA12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,53,83,113,54,31,381,66,77,47,52,60,21,7,329,11,5,13,12,8,11,10,66,567,715,716,861,733,239,88,3905
LGA12930,33,44,39,35,22,3,0,183,0,6,3,0,0,0,0,9,0,0,3,4,0,0,0,8,34,51,48,34,25,3,0,195,63,283,539,556,391,188,55,2071,977,886,729,610,590,242,31,4070,67,111,68,72,58,26,6,405,5986,9498,9129,9490,6633,1712,233,42681
LGA12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,30,65,64,48,31,260,30,29,22,28,38,6,3,154,4,3,7,4,0,7,3,26,176,243,261,355,351,136,53,1573
LGA13010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,51,74,80,85,24,357,77,46,30,48,59,30,9,288,10,3,15,14,12,16,5,65,404,416,557,677,656,275,78,3062
LGA13310,0,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,5,0,0,18,18,51,96,125,121,98,33,546,243,244,182,204,174,59,14,1118,15,25,13,28,18,7,3,109,1679,2270,2184,2461,1811,488,82,10978
LGA13340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42,74,135,168,98,43,586,58,48,42,59,65,39,8,311,6,10,10,9,11,0,4,49,375,504,549,775,737,295,92,3323
LGA13450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,80,99,136,80,26,475,229,194,169,141,123,56,5,913,28,25,25,39,29,11,5,173,1921,2599,2363,2598,1981,543,88,12095
LGA13510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,34,51,83,66,63,38,340,66,69,61,62,73,31,3,367,10,7,9,15,7,12,8,57,561,639,788,956,844,266,82,4132
LGA13550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,11,38,68,74,139,70,36,433,98,82,69,71,76,24,3,428,7,7,8,9,9,5,4,53,736,907,927,991,963,266,64,4856
LGA13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,22,52,113,90,77,24,391,17,24,23,26,34,17,3,138,5,0,3,3,3,3,0,22,185,284,340,502,385,200,65,1956
LGA13800,10,10,7,6,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,7,8,3,0,0,40,75,214,394,406,322,182,34,1631,581,387,297,331,293,130,14,2032,44,39,42,54,31,16,0,226,4295,4638,4857,5348,3820,1026,152,24127
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,28,27,12,9,109,26,14,23,22,28,14,5,133,5,0,4,9,0,5,0,22,193,188,197,319,257,87,18,1264
LGA13910,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,4,0,0,5,17,34,61,129,115,103,41,501,74,89,96,87,92,32,3,477,14,11,17,9,11,3,0,65,718,893,1092,1206,915,344,75,5247
LGA14000,39,42,27,11,15,8,0,139,4,3,0,4,0,0,0,10,0,0,0,3,6,0,0,12,51,44,25,17,24,10,0,168,102,271,803,1044,770,378,105,3466,1186,639,614,505,521,246,39,3740,76,66,67,56,51,18,13,345,6632,7389,8063,8844,6682,1943,312,39859
LGA14100,4,11,6,4,4,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,6,8,3,0,0,30,3,19,84,106,95,62,22,397,75,88,77,69,88,44,5,437,8,4,5,3,3,4,4,28,468,870,846,1021,816,303,48,4382
LGA14170,93,149,80,66,56,9,0,452,6,6,4,9,3,0,0,28,3,4,7,9,3,0,0,20,100,160,84,81,62,9,0,501,90,520,1050,1136,788,350,52,3988,1120,1186,1012,721,633,258,28,4947,133,160,113,125,71,30,13,642,8056,15737,13876,13111,9047,2546,315,62692
LGA14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42,90,110,143,111,49,568,124,105,91,109,109,39,7,590,29,17,26,29,21,14,15,144,942,1071,1197,1436,1194,366,121,6323
LGA14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,33,28,49,60,43,15,224,26,39,36,29,36,13,0,184,7,8,7,0,0,0,3,31,226,403,324,389,341,114,28,1830
LGA14350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,3,15,33,85,110,139,120,37,534,215,163,166,182,224,63,6,1024,38,23,33,41,38,15,9,203,1236,1426,1778,2254,2026,535,90,9338
LGA14400,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,41,115,144,170,91,32,617,217,91,105,105,120,49,6,687,10,11,5,8,11,0,3,51,1028,805,989,1121,1036,309,53,5346
LGA14500,33,40,16,17,12,3,0,124,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,5,32,43,17,20,17,3,0,136,89,248,780,1168,857,600,191,3950,815,505,459,450,459,265,56,3007,47,40,43,41,31,21,9,224,4375,5246,5577,7235,5234,2077,413,30154
LGA14550,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,7,15,26,54,78,122,82,41,423,35,32,37,47,71,16,0,243,9,4,7,11,10,0,11,53,281,358,441,659,699,216,72,2729
LGA14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,7,9,24,34,37,53,47,18,234,35,44,31,36,39,13,3,196,5,10,5,3,9,0,4,31,278,432,399,468,457,175,65,2281
LGA14650,4,7,6,4,8,0,0,33,3,3,0,3,0,0,0,11,3,8,4,0,0,0,0,14,11,23,5,4,8,0,0,55,98,378,769,798,697,313,66,3125,1904,1301,1079,964,1012,277,31,6568,114,94,78,92,66,31,18,506,10867,11585,11680,12466,9182,1988,237,58009
LGA14700,18,33,18,12,16,7,0,110,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,4,18,39,25,19,14,5,0,124,21,83,229,269,242,154,28,1023,238,244,224,147,140,79,14,1087,13,32,31,21,16,16,0,128,1832,4200,3795,3263,2147,700,102,16037
LGA14750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,21,35,61,58,36,22,239,58,69,56,68,70,21,6,341,16,11,7,15,15,3,10,75,637,834,865,1099,874,207,61,4565
LGA14850,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,0,4,8,0,0,0,13,21,82,194,253,317,186,55,1119,419,341,360,322,409,128,12,1993,50,25,48,41,37,15,26,243,2650,3068,3988,4898,4235,1050,162,20041
LGA14870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,35,39,87,102,53,22,354,152,170,160,177,161,52,3,872,26,10,17,10,15,3,11,88,1038,1360,1448,1756,1456,337,62,7458
LGA14900,44,37,28,25,15,0,0,154,5,0,0,0,0,0,0,11,0,8,4,0,0,0,0,10,53,45,30,25,17,3,0,167,104,430,666,633,403,165,26,2432,1129,1023,847,680,600,188,30,4490,158,152,120,136,110,42,21,734,9584,14469,14452,13631,9200,1899,227,63465
LGA14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,49,87,100,75,35,381,33,34,48,46,53,21,3,246,14,8,12,4,14,4,0,51,238,434,500,642,577,213,61,2659
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,25,47,41,41,8,185,11,16,13,17,18,7,0,80,0,0,0,0,3,4,3,11,75,132,155,209,197,90,24,884
LGA15050,3,6,0,4,3,0,0,21,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,10,4,0,4,3,0,0,27,31,173,245,291,225,116,23,1105,768,620,530,452,430,113,13,2919,52,32,46,39,16,15,15,224,4699,5708,5731,5738,3916,839,113,26746
LGA15240,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,12,37,116,261,427,512,407,100,1865,675,462,473,610,697,214,30,3161,83,33,54,97,76,35,41,419,3623,3920,4885,6608,5971,1641,282,26930
LGA15270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,3,3,0,11,14,58,114,132,166,172,56,724,166,239,196,217,177,55,8,1059,33,17,27,25,19,20,7,143,1177,1797,1947,2300,1648,527,134,9530
LGA15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,62,105,123,68,34,450,74,94,76,75,81,38,4,457,18,5,7,13,19,12,0,84,703,1055,1080,1211,1004,343,74,5479
LGA15350,31,27,19,12,17,4,0,107,0,3,4,0,3,0,0,12,0,0,0,0,0,0,0,4,31,34,23,19,15,3,0,124,15,69,195,276,240,198,70,1073,219,144,118,117,113,71,20,799,9,13,16,13,8,5,3,78,1291,1950,1700,1744,1295,610,141,8719
LGA15520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,44,82,139,144,81,25,533,98,77,52,75,99,32,4,437,16,4,15,8,10,8,4,68,585,668,692,1017,944,288,82,4283
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,31,59,72,36,12,228,24,30,15,33,24,13,3,141,8,5,3,4,9,0,5,32,183,304,297,373,349,107,32,1649
LGA15650,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,51,34,59,48,57,17,286,177,211,216,219,146,34,3,1008,21,17,24,24,15,3,5,103,1217,1895,1881,1917,1272,291,44,8517
LGA15700,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,35,76,103,118,97,27,471,107,84,86,105,140,31,9,561,22,5,18,12,20,10,0,84,714,802,1028,1243,1221,329,68,5411
LGA15750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,39,82,95,122,99,30,477,89,187,126,111,110,35,5,668,21,16,10,18,12,9,10,87,762,1339,1323,1368,1112,337,73,6309
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,31,53,48,47,15,219,33,36,35,39,34,19,3,198,3,4,4,3,9,7,3,24,245,320,386,489,443,158,45,2093
LGA15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,4,6,20,35,69,63,42,4,237,31,30,26,23,16,10,3,137,0,4,3,3,4,3,3,17,210,353,334,417,355,126,33,1833
LGA15900,16,52,51,41,21,3,0,191,10,16,3,9,9,0,0,46,8,6,5,7,4,0,0,28,31,75,64,57,33,3,0,268,115,423,681,628,508,229,50,2627,2335,2463,1992,1838,1660,407,55,10749,157,136,119,161,98,51,33,752,14336,21655,21527,21962,15082,2590,345,97502
LGA15950,116,238,214,129,57,10,0,774,3,14,23,12,4,3,0,60,0,4,7,6,5,0,0,24,126,261,243,148,73,12,0,856,67,469,931,804,583,361,89,3305,845,1183,1003,541,457,224,39,4291,89,150,117,77,52,28,16,530,7260,21555,19685,13882,7478,2223,308,72386
