LGA_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA11700,0,3,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,3,0,5,0,11,9,17,25,30,48,71,20,145,19,384
LGA11720,20,111,66,51,40,42,21,54,4,408,3,35,30,17,3,10,9,18,3,131,6,17,23,6,5,8,3,11,7,92,550,2217,1995,1878,2637,2319,1175,1769,295,14840
LGA11730,28,135,103,82,51,72,27,81,25,605,17,58,54,27,13,27,15,32,12,245,8,45,29,20,11,13,7,30,19,188,647,2163,1933,2377,3126,2245,1242,2268,358,16352
LGA11750,0,4,0,7,6,13,0,19,0,66,0,0,0,4,6,5,0,4,3,23,0,4,3,0,0,3,0,11,3,24,111,137,151,178,263,285,273,816,66,2274
LGA11800,43,231,140,106,123,88,36,103,14,888,17,77,47,44,23,18,10,27,7,258,8,38,21,12,6,11,0,4,23,122,1027,4016,3359,4287,5819,4340,2095,3408,523,28868
LGA12000,3,9,3,4,0,0,4,13,0,36,3,5,0,4,4,0,0,11,0,36,0,0,4,3,0,3,3,7,0,24,26,138,100,106,124,164,98,253,28,1030
LGA12150,0,14,11,4,3,7,0,27,3,68,0,9,4,0,3,3,7,14,3,41,4,7,0,3,4,7,5,4,3,30,65,122,108,148,219,219,112,377,60,1433
LGA12350,4,31,34,24,23,25,18,45,4,210,3,23,16,14,4,13,5,23,7,107,3,16,6,3,3,7,4,15,11,77,150,511,500,558,844,730,401,794,88,4581
LGA12380,71,269,228,188,388,281,115,220,31,1785,18,131,103,63,93,81,31,58,17,596,10,67,21,23,28,27,7,24,16,223,1760,7070,6873,6706,17227,15197,6548,9902,1726,73013
LGA12700,5,30,24,8,8,16,5,19,0,116,3,11,6,9,6,4,4,11,0,66,3,9,14,10,0,9,8,6,3,63,90,360,287,249,313,289,133,398,57,2170
LGA12730,13,35,19,20,11,27,7,27,6,169,3,14,7,13,0,7,3,19,3,75,0,6,5,3,4,6,3,10,3,46,159,429,350,453,709,603,286,633,72,3697
LGA12750,33,148,73,58,47,52,15,62,11,495,11,55,33,27,8,13,0,18,5,165,5,28,13,6,6,4,0,8,10,92,474,1875,1553,1862,2157,1647,786,1366,262,11976
LGA12850,48,205,199,168,311,250,108,171,41,1497,19,81,63,51,54,71,25,50,11,424,13,44,23,25,28,28,8,6,18,179,1331,6309,5775,5708,12724,11147,4892,7654,1590,57129
LGA12870,7,35,37,11,17,23,10,37,13,197,10,24,10,8,4,16,0,25,3,93,5,7,10,0,3,4,0,9,8,52,223,582,454,532,849,930,433,757,124,4879
LGA12900,3,24,23,9,13,20,15,41,0,151,6,18,10,7,4,6,7,20,7,80,8,10,6,10,4,10,3,18,14,88,156,372,355,466,655,678,341,776,113,3905
LGA12930,50,253,247,154,169,168,66,123,29,1266,21,142,92,50,40,40,11,36,20,454,7,79,50,35,14,21,7,13,5,233,1357,5359,5644,4978,7915,8606,3188,4688,947,42681
LGA12950,3,6,9,7,8,10,5,30,6,79,0,3,9,0,3,6,0,18,4,50,0,4,5,4,3,8,0,24,0,53,57,173,156,165,222,218,101,436,50,1573
LGA13010,12,26,29,11,14,14,12,48,7,164,7,24,17,8,10,15,0,24,5,108,8,17,11,11,3,14,0,17,6,78,122,404,341,365,546,413,202,595,79,3062
LGA13310,18,69,46,35,33,46,18,52,11,333,3,40,32,19,8,12,4,25,6,157,3,24,10,14,4,6,0,14,3,82,388,1193,1150,1346,2324,1879,911,1554,236,10978
LGA13340,13,32,19,19,13,26,5,56,0,184,6,22,15,8,3,14,11,34,3,111,6,13,12,15,7,13,0,17,11,92,144,412,310,347,383,526,290,826,87,3323
LGA13450,33,54,58,42,59,42,21,64,10,385,11,43,24,23,13,11,6,21,6,158,3,19,18,15,5,16,0,4,9,88,412,1188,1136,1268,2743,2234,1164,1685,279,12095
LGA13510,6,41,32,11,14,15,18,31,9,176,3,16,13,11,10,5,3,18,8,87,4,8,12,19,3,7,5,18,9,82,141,441,452,530,767,646,331,706,109,4132
LGA13550,3,26,36,26,17,21,18,39,0,185,5,14,11,8,3,6,6,18,5,82,4,5,3,10,4,7,3,23,7,64,168,556,421,552,826,748,430,1057,100,4856
LGA13660,9,14,18,16,9,11,3,44,3,122,0,13,3,10,0,14,4,31,3,80,3,8,3,9,3,3,0,20,3,65,77,177,165,223,213,283,140,632,46,1956
LGA13800,37,141,133,94,82,110,53,87,11,752,6,86,54,32,28,31,12,24,5,275,5,37,29,22,10,16,8,21,6,152,647,2895,2589,2736,4201,4437,2287,3853,481,24127
LGA13850,12,7,3,12,6,5,0,11,8,67,3,3,4,3,0,9,0,3,0,22,0,0,0,0,3,3,3,4,0,18,51,137,111,133,200,192,82,306,46,1264
LGA13910,6,42,31,25,28,33,15,51,3,233,4,31,12,13,8,14,8,19,0,114,0,16,7,11,3,14,6,10,0,75,178,569,518,635,908,877,505,933,130,5247
LGA14000,66,312,261,159,168,167,50,170,19,1372,21,180,104,70,51,56,25,53,8,566,14,109,52,35,16,34,10,25,17,312,1157,6000,5079,4436,6561,7225,3179,5499,722,39859
LGA14100,9,52,49,16,23,36,11,17,5,219,0,35,11,16,11,5,0,4,0,85,0,21,6,6,0,3,0,6,4,48,128,663,659,523,667,824,289,563,73,4382
LGA14170,64,375,295,208,291,252,112,220,30,1857,20,182,127,87,58,98,31,68,12,693,13,95,54,35,25,40,13,23,14,315,1671,7151,7608,6784,11603,12182,5484,8953,1260,62692
LGA14200,8,52,26,18,34,30,12,54,5,240,4,36,16,11,0,21,8,24,11,121,8,19,13,15,6,18,6,27,21,121,230,737,589,872,1344,908,488,975,180,6323
LGA14300,4,14,14,6,12,15,0,17,3,79,0,6,3,3,0,3,0,16,0,33,0,6,4,3,0,4,0,3,4,28,71,197,148,182,398,319,140,344,36,1830
LGA14350,20,81,65,61,41,42,16,61,15,403,0,23,22,15,10,16,3,27,7,131,6,14,15,12,12,8,6,12,14,90,416,1209,1119,1362,1823,1252,694,1179,289,9338
LGA14400,8,61,38,29,11,20,7,28,3,213,13,37,14,10,8,10,0,11,3,94,0,19,9,3,3,7,0,7,3,53,199,1125,803,735,695,760,326,623,78,5346
LGA14500,48,391,295,184,110,155,58,151,21,1420,32,261,145,90,29,45,21,38,4,655,14,191,73,62,11,21,10,15,16,413,882,5500,4337,3615,4089,4944,2172,4139,472,30154
LGA14550,3,18,21,23,12,20,3,42,4,153,3,17,7,8,8,11,0,17,0,64,0,4,12,4,0,6,14,17,11,72,78,375,307,370,373,431,208,520,66,2729
LGA14600,3,13,13,13,9,19,10,36,0,125,3,7,5,15,6,7,0,17,0,57,3,12,7,6,3,11,3,20,3,65,93,222,188,268,242,431,203,555,73,2281
LGA14650,73,381,268,202,153,145,62,157,21,1466,18,215,101,53,31,35,17,40,14,529,14,86,45,21,17,20,15,12,22,237,2123,8455,7226,7643,10841,9615,4778,6405,929,58009
LGA14700,13,100,80,86,71,56,27,58,10,508,14,71,32,20,18,19,8,18,3,200,8,38,12,17,7,12,3,4,3,102,392,1683,1606,1448,2826,3550,1655,2635,246,16037
LGA14750,10,19,19,22,19,22,8,23,5,145,3,17,9,7,6,9,0,14,3,58,3,12,15,0,3,8,7,9,7,61,168,434,329,435,855,1012,440,778,109,4565
LGA14850,41,165,124,106,98,88,33,108,17,792,11,79,25,45,16,23,15,39,13,265,7,36,22,6,5,6,11,32,30,162,653,2551,2321,3042,4317,3056,1413,2298,385,20041
LGA14870,9,50,33,23,35,17,10,31,3,214,5,43,18,13,11,9,3,14,0,118,3,18,12,9,0,4,0,10,5,62,292,847,781,835,1507,1322,670,1051,158,7458
LGA14900,69,228,207,126,261,271,92,169,32,1445,23,104,86,64,50,48,19,43,17,448,19,50,39,22,14,21,12,24,20,227,1741,6608,6194,6132,13879,13078,5417,8894,1528,63465
LGA14920,4,18,18,16,17,16,11,34,6,140,3,7,9,16,3,11,3,23,0,76,3,13,7,11,3,8,3,9,3,61,93,258,217,331,407,399,235,640,75,2659
LGA14950,0,16,7,11,0,4,0,19,0,59,0,3,5,5,0,8,6,7,0,31,0,6,3,0,0,3,3,5,3,24,30,96,98,115,95,129,56,243,13,884
LGA15050,33,140,120,68,81,74,28,76,14,637,8,69,34,21,12,19,15,20,6,203,3,31,15,10,5,6,0,16,16,113,890,3579,3105,3395,5077,4477,2315,3480,423,26746
LGA15240,59,310,191,170,116,115,48,137,27,1176,24,138,67,53,23,37,17,72,22,467,16,70,31,24,13,24,5,44,40,282,1196,3900,3336,4004,4807,3892,1872,3282,630,26930
LGA15270,18,63,48,50,29,41,8,83,6,341,3,39,26,31,13,20,10,35,15,185,7,18,16,14,14,19,9,27,9,134,359,1044,985,1139,1406,1325,1015,2072,189,9530
LGA15300,10,39,18,19,38,37,19,56,8,239,11,16,8,10,12,10,0,30,6,108,15,10,8,7,6,15,0,13,0,74,218,433,384,535,996,911,477,1359,152,5479
LGA15350,6,125,84,54,32,47,11,49,7,412,7,81,25,26,14,13,8,13,3,198,11,60,18,17,6,12,6,13,3,141,219,1432,1290,992,1135,1477,777,1267,125,8719
LGA15520,10,26,32,18,12,24,12,52,8,181,5,25,12,8,0,16,6,31,8,107,8,25,5,10,7,5,7,19,3,82,186,557,408,468,628,641,351,935,111,4283
LGA15560,12,15,4,13,10,9,3,19,0,73,3,3,7,4,0,7,0,4,0,34,3,3,3,3,0,6,0,7,4,32,100,140,128,169,242,280,139,407,50,1649
LGA15650,7,44,29,14,15,36,11,36,5,207,8,14,14,8,7,4,3,19,0,88,0,7,7,11,0,5,4,7,3,44,350,783,772,831,1630,1333,1056,1589,178,8517
LGA15700,18,46,26,25,29,34,10,44,8,237,7,14,27,7,4,16,6,9,5,90,6,11,0,8,7,12,3,13,5,68,200,747,718,793,932,665,388,845,124,5411
LGA15750,18,36,30,18,28,39,13,54,3,237,3,20,10,10,4,10,0,21,7,96,6,10,4,10,7,10,5,15,13,73,258,552,486,599,962,1034,604,1652,149,6309
LGA15800,11,18,18,7,14,12,7,34,3,121,3,12,0,5,5,0,3,6,0,36,0,13,3,9,3,3,0,10,3,45,94,220,201,236,342,336,205,406,58,2093
LGA15850,3,19,10,4,4,16,3,21,0,88,0,4,3,4,0,8,3,8,3,37,3,4,4,3,0,3,3,5,4,33,57,177,119,176,270,302,195,472,45,1833
LGA15900,109,401,324,250,265,284,89,224,41,1984,35,202,112,67,43,60,28,50,18,608,20,140,47,23,25,21,10,22,44,345,3686,10513,10552,11488,19939,18783,8897,12108,1533,97502
LGA15950,45,328,265,181,166,255,87,254,14,1597,17,187,135,84,59,58,28,46,9,624,8,102,49,36,17,21,15,30,16,308,1866,4607,5662,4873,12066,20279,8350,13577,1106,72386
LGA15990,115,753,600,432,339,358,149,325,48,3124,58,460,289,165,105,130,36,106,26,1364,31,288,127,90,42,62,10,62,41,740,2349,12717,11508,10149,13702,16593,7395,12395,1408,88217
LGA16100,11,16,29,11,12,23,13,30,5,144,3,25,12,7,5,3,0,20,5,85,4,6,0,7,0,4,0,9,4,32,65,223,192,183,436,342,211,492,61,2190
LGA16150,33,115,89,59,69,80,22,59,22,554,11,48,37,23,18,13,13,22,4,195,8,27,17,11,6,7,0,13,15,108,702,2037,1879,2169,3838,3400,1800,2824,330,18974
LGA16200,13,31,17,25,22,24,15,57,6,209,8,17,6,14,7,13,3,27,0,98,6,19,17,9,0,3,3,13,7,83,247,613,489,632,966,801,667,1076,132,5634
LGA16260,151,453,442,346,661,559,196,358,47,3203,56,234,158,107,127,129,46,91,27,979,22,147,57,43,28,37,14,27,25,407,4291,10802,12327,11869,34382,31846,12094,16752,2831,137198
LGA16350,85,323,264,214,278,263,109,188,28,1749,15,149,81,65,69,61,29,53,14,536,10,58,36,30,12,21,10,20,21,220,2148,7828,7084,7413,14197,13035,5983,9487,1341,68524
LGA16380,40,211,155,121,85,115,41,116,22,898,26,109,67,57,22,29,10,34,23,364,9,62,24,22,15,15,11,17,17,192,1003,3645,3038,4016,5250,4344,2110,3595,528,27531
LGA16400,29,157,84,82,75,75,36,88,14,638,12,93,34,29,18,13,9,27,18,257,7,40,27,17,11,12,0,18,8,133,918,3111,2496,2794,5016,4575,2852,3629,463,25849
LGA16490,19,100,58,61,56,57,25,91,5,480,14,54,35,24,9,17,12,31,3,198,4,28,20,16,7,15,6,19,8,134,467,1700,1235,1550,2650,2727,1555,2555,268,14713
LGA16550,58,281,193,144,200,206,80,168,21,1344,25,156,102,54,64,53,34,51,14,548,9,90,53,20,10,30,12,26,18,257,1413,5775,5428,4765,9149,9398,3818,6358,935,47040
LGA16610,8,58,35,48,25,31,13,49,8,277,3,24,14,11,17,8,4,16,0,106,9,11,6,13,14,7,0,12,11,85,254,831,766,1083,1229,1092,523,961,172,6912
LGA16650,45,141,121,94,126,108,37,88,25,773,19,55,41,25,37,26,11,17,3,234,3,47,18,17,13,11,3,8,4,123,840,2763,3388,3278,5486,4961,2182,3133,605,26641
LGA16700,63,273,283,195,344,279,119,181,31,1770,25,131,84,52,87,61,24,52,15,532,14,110,47,32,19,20,8,22,32,302,2260,7123,7424,6384,18345,20815,8493,12715,1482,85034
LGA16900,8,83,58,43,41,37,12,22,10,320,3,32,14,14,6,12,10,10,9,110,6,10,3,12,4,6,0,3,11,58,624,2657,2217,2373,3072,2690,1343,1961,282,17200
LGA16950,68,307,214,149,92,91,46,123,34,1128,20,133,53,57,23,32,12,49,14,403,12,64,32,29,11,19,3,14,27,206,1305,4959,4060,4549,6123,5166,2932,4241,760,34092
LGA17000,19,55,41,31,33,32,35,66,10,315,3,25,23,18,8,15,6,23,8,121,4,13,6,8,3,3,9,16,8,68,593,1222,1148,1220,2193,2369,2503,3945,325,15517
LGA17040,18,66,47,42,37,52,21,90,6,380,13,36,35,20,12,22,10,60,11,217,9,24,14,6,7,14,11,37,15,135,304,964,860,1270,1757,1343,995,2048,220,9757
LGA17080,21,42,32,32,26,24,17,67,11,264,10,28,14,6,7,19,3,26,6,123,4,19,14,11,10,10,6,18,6,93,226,635,563,625,991,812,579,1279,153,5865
LGA17100,17,92,73,54,110,112,34,67,11,570,3,50,31,26,26,29,8,21,3,207,3,38,18,11,8,6,0,15,11,117,580,1983,2259,1914,4609,4868,2057,3206,498,21971
LGA17150,88,514,392,255,251,279,100,222,37,2134,30,273,143,124,46,84,28,50,16,795,21,133,56,41,21,27,10,26,21,361,1984,10375,9030,8031,11026,11796,5313,8736,1215,67504
LGA17200,346,1164,1152,883,1387,1375,596,1191,148,8245,133,614,497,353,317,388,144,368,96,2902,73,352,210,162,117,158,56,131,95,1364,14553,26754,40730,34118,97811,127006,57191,92970,8263,499390
LGA17310,47,146,122,93,127,92,53,160,18,858,18,93,58,40,20,35,16,61,20,354,11,52,32,18,21,25,9,50,20,235,903,2614,2310,2951,5141,4597,2342,3755,512,25123
LGA17350,4,15,9,17,7,26,13,22,5,114,0,9,7,10,0,3,0,11,3,47,3,11,3,8,3,3,0,3,3,33,85,307,209,281,366,384,196,441,62,2331
LGA17400,7,23,17,7,16,16,6,40,3,136,0,18,6,13,3,7,7,26,0,85,3,7,10,6,0,4,0,17,10,59,85,290,222,259,308,290,126,496,67,2148
LGA17420,74,413,312,237,243,279,106,265,28,1965,28,197,130,94,60,78,28,64,21,684,14,116,56,44,16,30,4,33,26,334,1799,9163,7687,7047,11581,14028,5722,10027,1297,68355
LGA17550,48,261,151,127,118,94,48,118,14,974,12,87,55,48,27,41,18,38,9,331,12,77,25,25,13,17,10,32,16,221,913,3804,3311,4092,4765,4021,1958,3521,608,26997
LGA17620,6,41,31,24,14,19,14,52,6,208,0,23,17,8,3,13,4,26,3,103,6,19,11,16,9,23,3,13,11,108,174,631,520,597,865,793,426,926,100,5018
LGA17640,0,21,14,18,12,21,7,41,4,144,0,11,11,6,3,10,6,15,0,64,0,14,4,7,3,10,3,13,3,60,55,229,218,204,231,277,127,417,45,1807
LGA17650,0,8,11,11,8,5,4,28,0,68,0,8,11,9,0,6,3,12,3,42,3,5,7,4,3,5,0,5,4,38,44,140,137,146,163,208,87,270,36,1227
LGA17750,44,174,132,88,117,103,38,114,21,823,19,76,39,34,18,37,16,48,10,295,5,57,23,15,7,13,12,36,24,197,1061,3254,2726,3291,6543,5490,2867,4817,578,30629
LGA17850,3,22,3,11,9,9,7,46,7,117,3,9,3,6,9,12,6,19,0,62,0,6,3,4,0,8,3,7,0,42,41,147,114,157,148,201,112,413,30,1372
LGA17900,6,18,10,7,8,24,4,24,6,114,7,14,12,9,6,5,0,15,3,71,0,4,3,4,0,6,0,15,0,40,73,203,175,240,333,313,127,575,67,2102
LGA17950,9,8,0,4,3,17,3,18,0,61,0,3,6,3,4,4,0,8,3,30,3,7,3,8,0,6,0,7,3,36,37,76,76,93,160,202,91,327,22,1091
LGA18020,12,21,20,19,12,30,11,52,4,181,3,23,11,4,3,12,3,37,0,99,7,12,8,15,4,15,9,25,7,101,99,335,302,399,434,429,243,699,75,3015
LGA18050,24,178,132,134,98,90,44,87,12,795,11,98,54,35,32,45,18,30,9,326,6,63,31,37,13,9,7,13,16,193,597,3360,3640,2987,3829,4386,1925,3186,452,24359
LGA18100,3,13,12,9,3,17,6,30,7,96,5,7,3,4,3,4,3,4,5,45,3,4,3,11,3,12,0,11,0,40,37,136,126,117,144,213,112,315,37,1243
LGA18200,3,21,16,22,8,18,4,27,3,125,3,10,6,4,4,3,3,7,0,42,0,3,3,6,3,3,4,7,7,35,108,253,214,278,495,457,238,627,72,2744
LGA18230,33,109,89,88,103,99,51,140,18,723,11,56,47,40,24,34,15,51,7,280,4,49,37,21,15,29,3,23,21,208,757,2080,1855,2313,4920,4057,1969,3340,424,21715
LGA18250,47,278,317,164,241,264,91,189,22,1613,38,147,132,76,44,70,25,48,9,591,12,109,59,24,15,24,9,24,14,295,1656,5514,6452,5147,10713,14429,5779,8789,996,59466
LGA18350,38,226,144,119,85,81,46,113,7,862,9,147,83,69,23,35,11,34,10,420,11,74,50,24,12,21,15,35,10,253,524,2671,2209,2309,2965,2815,1468,2624,297,17876
LGA18400,16,62,44,42,33,36,17,66,7,320,3,31,21,8,6,16,3,19,0,114,5,25,10,4,0,7,0,13,6,76,377,1289,1057,1092,2070,1891,1092,1966,230,11076
LGA18450,95,399,323,211,235,205,88,210,36,1806,28,179,93,60,52,65,16,60,18,574,20,87,32,26,20,23,9,27,35,280,2761,10449,9364,9328,15629,13446,6463,9363,1336,78143
LGA18500,32,232,164,116,80,110,47,110,13,895,14,146,80,67,29,51,25,42,8,459,8,122,59,41,20,27,5,27,14,320,480,2685,2770,2176,2584,3617,1923,3470,393,20092
LGA18710,12,40,27,26,22,18,8,31,0,188,12,21,8,11,3,14,3,12,3,91,8,15,4,14,6,13,0,10,6,67,132,451,395,422,536,538,272,598,77,3423
LGA19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19399,3,6,0,0,6,11,8,19,0,55,0,4,0,0,0,0,0,12,0,20,0,0,4,3,0,0,0,0,5,10,45,57,60,66,110,146,57,271,26,846
LGA19499,310,1197,707,587,318,530,191,460,117,4419,117,536,260,177,71,114,44,130,58,1508,76,220,112,60,23,40,20,44,91,688,6077,19722,15762,16389,17452,30717,11319,22127,3790,143362
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,6,5,5,3,9,7,34,0,90
LGA19898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,14,49,33,29,19,26,12,37,10,226,3,24,8,9,4,10,3,13,5,77,5,10,9,8,3,8,3,10,6,63,203,655,556,621,734,628,353,762,106,4617
LGA20260,21,32,41,22,16,33,8,40,5,219,8,26,7,9,6,6,3,12,3,80,5,18,6,5,7,17,4,12,7,83,221,576,455,599,806,912,364,826,96,4865
LGA20570,83,284,189,182,132,133,61,120,36,1218,23,116,61,49,23,25,19,28,15,358,9,56,26,26,18,16,12,12,26,203,1824,6340,5154,6001,8658,7287,4183,5206,830,45492
LGA20660,72,307,207,191,138,159,65,127,22,1287,16,142,78,52,35,45,16,32,11,431,15,62,40,32,16,8,4,11,16,206,1484,6076,5240,5627,6649,7220,3218,4552,696,40759
LGA20740,38,111,62,62,24,45,14,54,14,420,8,54,29,27,12,19,4,22,3,182,10,42,15,17,8,9,6,19,10,131,574,1712,1294,1507,1450,1471,698,1184,199,10097
LGA20830,35,120,86,67,60,55,30,97,16,571,21,77,37,23,11,36,6,57,5,281,7,70,20,18,11,24,8,28,12,196,599,2564,1910,1973,2485,2612,1419,2478,354,16390
