LGA_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA11350,49,27,17,475,381,17,158,38,28,617,520,40,242,34,26,858,754,64,251,37,26,1134,1189,85,337,36,31,1681,1303,90,358,37,27,1816,1225,150,312,40,27,1752,1017,186,293,14,9,1527,529,142,187,0,14,885,373,107,132,9,9,633,256,71,69,4,3,397,285,120,92,13,9,514,101,149,84,10,3,340,162,18,39,12,25,262,8510,1261,2615,349,270,12998
LGA11400,15,26,3,120,83,10,45,44,3,179,104,16,48,33,0,198,166,19,54,31,11,281,266,30,87,33,6,410,339,26,76,25,6,479,354,28,81,31,14,505,384,48,76,25,13,546,255,23,52,9,3,340,235,31,46,11,7,334,197,17,21,0,0,241,302,18,28,3,3,358,81,16,43,12,3,151,48,0,16,15,12,86,2897,282,700,350,81,4309
LGA11450,63,29,12,1162,915,42,122,38,15,1133,941,75,108,18,19,1165,1099,92,150,20,29,1391,1771,153,187,27,24,2162,2400,194,220,31,44,2888,2730,265,247,25,35,3294,2840,342,242,20,30,3467,1897,232,137,9,17,2294,1468,275,109,7,11,1866,1061,162,60,3,4,1295,1052,223,86,4,8,1374,331,189,48,0,5,581,335,36,32,9,18,424,19966,2296,1837,305,276,24684
LGA11500,81,41,12,1877,1790,60,145,44,27,2065,1953,88,188,75,35,2330,2102,116,231,33,41,2520,3635,227,349,50,62,4318,5212,245,333,29,70,5888,6226,321,344,31,55,6978,5967,391,258,24,55,6695,3897,297,160,8,33,4388,3048,301,121,3,19,3493,2189,165,81,4,15,2461,2475,256,103,7,9,2843,705,267,98,18,20,1104,612,53,36,9,36,749,41700,2819,2537,462,498,48022
LGA11520,61,27,3,918,982,38,97,42,15,1177,1029,68,137,24,16,1272,1223,76,187,18,23,1530,1743,196,233,38,25,2237,2312,197,206,25,29,2769,3423,254,258,20,36,3984,4102,326,294,24,29,4774,2761,238,190,15,25,3234,2431,310,150,14,21,2930,1728,155,92,11,12,1994,3085,285,149,19,19,3547,1934,389,133,17,12,2481,384,41,28,6,23,486,28042,2618,2240,372,285,33558
LGA11570,166,90,44,2716,3204,131,419,147,58,3960,3769,253,620,141,78,4850,4368,361,767,113,83,5697,7066,750,982,137,145,9080,9874,856,1001,138,138,12002,11441,1020,925,91,144,13628,11017,1149,868,88,125,13243,7180,804,469,30,76,8549,5623,734,367,25,40,6787,3832,437,213,21,31,4542,4612,674,239,27,25,5580,1644,696,236,29,22,2620,1214,141,121,33,120,1625,77572,8097,7464,1359,1147,95636
LGA11600,0,11,0,47,27,0,5,0,0,36,51,3,12,9,4,76,47,7,14,7,0,69,92,10,14,5,6,125,115,16,23,13,4,177,133,14,18,13,6,186,131,19,33,11,0,195,96,15,16,6,3,133,41,14,8,8,0,68,26,3,9,3,3,44,35,12,15,0,0,66,13,16,13,10,0,49,37,6,8,4,0,48,884,134,185,109,30,1342
LGA11650,306,140,58,4975,4091,143,554,153,67,5010,4286,280,672,177,94,5511,5452,304,764,128,97,6741,8954,494,1052,160,128,10791,11121,661,975,101,147,13007,12492,791,1054,99,110,14548,11112,1031,1068,77,99,13384,7030,732,624,41,52,8478,5637,741,496,30,40,6945,4088,408,294,24,26,4843,4239,788,386,37,39,5483,1364,710,361,26,29,2486,1259,127,142,46,109,1674,85835,7324,8816,1517,1114,104601
LGA11700,0,0,0,3,9,4,4,6,0,26,8,4,0,3,0,16,16,0,3,9,0,22,22,0,3,0,0,32,20,0,7,5,0,39,30,4,10,8,0,61,46,3,6,3,0,54,10,3,6,0,0,22,14,0,3,0,0,17,15,0,3,0,0,17,15,0,4,0,0,20,3,0,12,0,0,16,14,0,0,0,0,20,225,26,69,47,10,384
LGA11720,37,21,3,696,631,26,78,43,22,802,756,40,95,33,18,936,924,35,101,19,22,1101,1451,79,125,21,23,1705,1609,71,125,20,18,1847,1636,84,120,9,26,1869,1546,126,124,16,17,1826,907,77,62,16,6,1065,717,68,55,13,13,867,524,49,26,3,3,606,664,84,33,3,7,792,254,72,23,7,0,357,204,10,18,3,13,250,12478,838,1019,301,196,14840
LGA11730,40,46,18,658,539,21,124,64,20,770,691,44,184,73,27,1023,889,50,211,60,29,1244,1544,90,276,44,25,1979,1947,120,253,36,35,2394,1824,112,238,26,34,2226,1510,135,149,17,19,1823,899,85,97,17,10,1106,787,81,59,11,8,938,629,27,35,4,3,707,605,52,50,10,9,726,205,67,47,11,3,325,187,13,30,9,23,265,12837,912,1808,519,278,16352
LGA11750,3,10,0,56,44,0,10,12,6,69,53,6,10,7,0,80,69,3,10,6,3,94,119,7,24,7,3,161,152,11,24,5,0,190,155,3,19,15,3,189,181,15,26,8,7,229,147,4,11,11,4,169,204,15,11,0,3,234,167,3,4,3,0,178,356,17,11,3,8,399,125,3,12,10,0,155,23,0,8,7,4,42,1831,98,190,120,35,2274
LGA11800,76,40,11,1236,928,23,172,63,25,1211,1155,57,212,55,42,1527,1542,62,247,62,26,1941,2615,130,333,68,31,3182,3482,177,349,43,51,4110,3734,195,318,41,38,4330,2988,238,274,34,35,3564,1906,144,195,27,20,2291,1380,175,122,31,9,1716,1084,73,80,6,3,1247,1047,150,98,14,8,1319,265,181,94,7,3,546,316,21,49,18,17,423,23621,1661,2654,602,337,28868
LGA12000,7,4,0,51,28,0,5,4,0,45,28,0,12,8,0,54,32,4,16,0,0,54,65,3,21,17,3,110,64,6,19,8,7,99,107,8,33,9,7,162,86,16,18,7,0,125,56,4,28,3,0,85,42,10,8,3,0,62,25,7,17,0,0,49,36,4,6,7,0,46,11,10,18,7,0,43,14,0,8,0,0,24,635,71,219,89,19,1030
LGA12150,6,9,0,40,30,0,10,3,11,52,47,4,21,14,0,86,51,7,14,14,4,93,101,10,20,9,0,143,149,16,26,10,7,205,152,10,19,11,3,194,118,4,31,17,6,175,95,7,10,4,0,122,49,12,12,0,3,86,42,3,8,0,0,52,38,9,10,3,0,60,9,13,20,0,0,44,20,0,9,6,3,43,920,94,230,149,42,1433
LGA12350,13,12,6,153,129,9,48,22,3,207,169,3,57,26,4,265,215,4,57,16,13,310,406,27,109,21,10,570,595,14,75,18,7,721,561,40,70,8,11,696,414,37,66,10,8,537,245,21,38,4,3,312,169,25,40,10,4,246,132,13,13,4,0,171,112,13,30,3,0,166,32,28,32,3,9,93,50,0,10,13,9,84,3368,246,666,205,93,4581
LGA12380,113,42,26,1852,2211,89,246,94,52,2693,2585,159,347,91,60,3241,3019,229,425,67,67,3811,4649,426,609,96,101,5881,7363,527,564,60,109,8621,9496,682,549,67,110,10905,9567,725,557,43,77,10964,6301,510,300,32,41,7191,4664,514,222,19,29,5441,3399,270,102,9,18,3798,4178,436,156,19,22,4804,1483,474,124,11,19,2114,887,82,78,27,85,1155,61728,5194,4436,826,830,73013
LGA12700,11,12,3,120,82,11,26,17,0,134,87,15,24,14,3,147,109,14,39,23,3,184,186,28,45,10,3,270,184,13,39,13,8,249,177,24,33,5,4,246,149,17,34,4,3,210,100,11,18,5,0,142,91,22,14,12,0,137,71,13,5,0,0,95,72,12,17,3,0,107,17,22,15,6,0,65,14,6,5,3,3,29,1428,209,347,154,30,2170
LGA12730,5,17,3,145,112,9,18,12,6,149,126,4,22,8,9,173,191,12,36,11,3,247,288,22,33,13,9,359,404,20,44,10,12,495,462,35,35,7,5,547,387,43,48,4,6,494,253,14,24,9,3,301,175,29,30,3,3,240,129,6,8,7,0,153,138,19,22,5,7,200,28,28,19,0,0,78,57,3,11,7,9,83,2874,262,361,132,70,3697
LGA12750,32,30,9,533,387,24,96,30,14,545,498,35,128,41,17,722,729,42,159,31,16,986,1136,86,224,23,26,1493,1411,95,198,15,14,1735,1402,99,202,11,18,1732,1103,106,162,17,15,1406,628,80,113,10,9,841,441,74,64,5,4,590,340,30,44,0,0,416,306,57,53,4,3,424,97,54,55,5,4,212,170,13,25,14,15,233,9128,817,1571,287,170,11976
LGA12850,72,59,24,1570,2295,67,192,84,49,2694,2371,178,270,76,47,2952,2644,191,341,59,51,3294,4251,361,484,74,87,5254,6053,476,493,43,100,7163,7204,599,493,51,102,8448,6788,682,466,47,80,8060,4396,458,253,24,42,5173,3270,452,198,12,29,3962,2369,263,109,8,17,2771,2454,392,125,14,15,3008,782,368,125,11,13,1304,734,81,69,11,91,982,47225,4639,3736,757,781,57129
LGA12870,12,14,3,189,166,13,21,11,4,215,177,15,31,17,8,250,208,15,31,15,3,271,420,35,53,24,10,537,436,36,51,20,5,550,597,30,49,16,9,706,578,46,60,13,8,706,387,37,25,15,3,464,270,22,25,8,3,324,151,4,7,4,4,173,166,23,17,6,0,211,62,26,17,5,0,105,80,16,8,10,11,125,3862,336,411,190,82,4879
LGA12900,7,12,3,133,96,3,15,14,3,131,147,6,30,26,8,219,190,10,47,12,10,267,345,21,69,20,11,465,458,11,60,21,13,567,437,24,77,10,12,559,373,36,81,7,4,510,227,16,39,10,4,299,156,27,42,3,0,226,109,13,14,0,0,134,124,20,24,5,0,169,33,25,14,4,0,74,49,0,14,14,9,89,2862,222,553,200,73,3905
LGA12930,99,52,19,1632,1639,86,172,58,23,1973,1665,122,216,69,29,2102,1895,174,241,54,29,2386,2897,280,362,53,42,3637,3492,348,373,50,45,4302,4280,416,389,58,52,5192,4705,478,373,36,41,5634,3364,336,237,25,15,3984,2866,393,161,24,17,3454,2064,239,116,9,8,2434,2654,364,169,21,19,3214,1041,452,235,15,12,1762,506,63,42,23,40,672,34623,3810,3220,642,394,42681
LGA12950,3,10,5,63,43,3,26,22,0,94,59,0,24,10,3,99,62,4,36,4,4,105,116,12,39,18,14,194,162,10,28,7,3,219,160,11,48,10,3,225,124,9,30,6,0,166,73,12,24,8,0,115,51,6,20,8,0,82,45,3,13,5,0,64,24,0,13,4,0,38,14,6,28,0,0,42,17,0,4,4,4,31,981,86,345,128,31,1573
LGA13010,5,23,7,130,106,10,45,28,6,185,120,14,24,24,7,189,169,7,51,18,11,254,257,14,59,33,11,372,341,18,52,25,5,444,309,17,76,7,11,422,243,15,53,21,4,331,149,7,23,3,3,181,118,4,22,3,0,143,76,9,17,0,0,95,95,9,17,6,4,132,26,13,11,4,0,51,30,8,7,11,5,62,2137,156,462,225,80,3062
LGA13310,34,23,8,433,343,18,38,24,10,431,344,17,69,16,17,465,458,29,66,17,12,582,890,59,91,16,18,1071,1191,57,101,14,6,1364,1287,70,105,10,10,1484,1303,99,88,13,15,1517,837,74,69,8,9,991,626,64,53,9,3,751,533,37,20,3,0,590,600,48,36,11,5,697,172,61,48,17,0,293,158,16,16,12,13,208,9150,635,845,226,122,10978
LGA13340,16,26,5,140,89,6,26,30,7,157,90,17,28,32,6,172,123,16,43,19,10,212,255,40,70,30,8,408,258,35,65,16,4,387,306,51,66,26,9,460,278,34,86,20,3,425,185,30,34,13,0,267,132,25,29,6,0,194,96,14,22,6,0,143,85,19,27,12,0,152,20,33,28,7,0,92,38,3,10,13,3,69,2069,316,572,299,63,3323
LGA13450,20,24,7,455,312,5,33,29,6,390,395,30,41,33,11,516,568,30,48,24,17,685,944,78,102,37,16,1166,1521,66,109,22,18,1737,1743,115,125,20,19,2017,1380,114,108,25,19,1649,843,91,67,15,9,1018,592,92,44,16,10,747,414,42,24,4,0,486,451,59,45,16,5,577,161,82,28,7,4,280,197,24,17,20,13,277,9942,837,823,331,157,12095
LGA13510,9,3,3,132,139,3,29,26,3,199,173,6,32,15,3,232,201,14,45,16,8,284,358,16,50,26,11,463,480,31,61,18,11,602,520,34,50,14,9,622,392,23,44,6,14,482,218,22,31,13,0,281,170,14,30,3,6,224,126,12,21,0,0,167,132,23,10,6,3,182,47,35,24,14,0,119,65,10,12,8,3,96,3145,250,464,195,79,4132
LGA13550,11,14,6,195,166,3,29,12,6,222,192,13,40,33,4,282,233,16,45,23,6,324,376,17,58,23,10,479,484,39,57,15,10,605,509,45,58,17,11,639,460,47,55,13,10,578,319,24,40,12,3,396,229,39,20,12,0,296,176,26,14,4,3,222,241,25,22,3,4,292,70,43,29,12,10,157,67,3,9,14,9,107,3692,345,498,233,96,4856
LGA13660,6,20,0,63,39,0,33,27,3,102,49,4,22,25,3,107,80,12,27,27,3,148,136,6,41,29,0,213,182,17,41,14,0,248,190,20,34,24,6,273,166,16,47,4,7,242,90,5,16,3,3,126,57,8,13,4,0,91,62,5,14,4,0,81,52,11,19,0,0,79,8,10,15,10,3,47,20,7,8,13,7,51,1161,137,351,269,45,1956
LGA13800,56,32,14,963,835,48,108,46,12,1047,863,67,148,57,19,1157,1181,79,159,39,21,1468,1849,147,247,38,24,2304,2215,187,256,28,23,2707,2460,262,288,31,23,3078,2540,329,266,27,21,3181,1841,235,177,15,26,2286,1514,244,128,11,13,1900,1005,146,80,4,5,1237,1239,186,91,5,8,1531,315,186,70,6,7,576,325,43,44,31,28,467,19109,2188,2126,475,239,24127
LGA13850,4,5,0,48,38,0,8,4,0,54,50,5,11,7,4,76,66,8,9,4,6,84,100,14,24,7,0,143,120,14,27,3,3,167,133,21,16,3,0,173,124,11,10,12,3,157,87,3,8,0,0,111,54,5,8,0,0,73,29,3,4,3,3,40,40,6,7,6,3,69,16,11,8,4,0,36,19,0,3,6,3,29,907,96,154,78,23,1264
LGA13910,16,20,4,164,140,10,35,49,3,236,152,21,35,19,3,234,240,10,58,27,3,336,410,40,84,37,10,584,554,44,91,25,5,719,624,41,94,21,9,796,475,60,79,16,6,633,275,26,56,8,10,371,249,32,49,8,0,328,159,19,23,7,0,210,187,47,43,11,5,289,67,47,40,9,3,161,59,5,9,15,4,99,3744,409,721,305,76,5247
LGA14000,151,60,21,2074,1681,94,258,59,21,2115,1571,150,240,86,22,2072,1825,138,279,48,30,2321,2654,233,368,65,23,3350,3289,337,400,41,52,4121,3994,394,411,27,36,4861,4001,456,375,42,37,4911,2795,363,271,32,17,3476,2254,449,230,25,15,2967,1760,277,143,12,7,2197,2205,472,226,16,13,2937,791,512,171,27,9,1507,438,53,58,29,32,612,31218,3988,3609,711,341,39859
LGA14100,4,5,0,137,172,3,23,4,3,208,157,13,22,7,0,200,190,7,24,7,3,234,259,26,23,3,0,319,346,33,34,3,0,421,435,41,35,3,0,516,442,64,53,5,5,569,337,53,32,3,4,421,269,42,34,3,0,350,196,39,18,3,0,253,301,59,32,4,0,389,116,103,34,7,0,263,47,4,3,3,3,61,3407,500,368,82,25,4382
LGA14170,179,48,18,1744,1979,91,307,58,32,2462,2423,167,399,69,37,3095,2778,176,469,68,39,3535,4278,337,693,74,57,5436,5575,486,677,72,63,6872,6534,624,738,60,73,8030,6756,767,800,55,78,8451,4671,592,548,30,33,5878,3669,683,420,33,16,4822,2643,486,289,13,23,3455,3707,795,400,40,17,4957,1367,887,311,28,15,2617,625,71,69,14,64,846,48658,6255,6351,847,577,62692
LGA14200,20,30,3,256,193,10,57,45,4,305,220,15,78,38,5,363,293,12,72,47,12,442,594,29,102,26,13,760,801,48,81,14,10,954,909,39,85,13,14,1060,639,44,69,15,3,766,292,23,44,10,3,377,233,19,34,6,4,294,194,15,15,8,0,233,139,18,27,5,0,190,38,33,30,0,0,103,79,7,17,17,19,128,4832,323,740,311,115,6323
LGA14300,4,3,0,54,40,0,8,8,3,58,55,3,20,8,3,88,64,3,19,13,3,99,113,6,37,10,3,171,189,7,30,10,3,243,210,11,29,11,3,266,186,14,29,6,3,238,140,14,25,9,4,186,100,10,15,6,3,138,63,5,3,3,0,69,102,5,14,3,0,122,17,8,10,7,0,35,18,0,14,3,0,30,1339,104,256,101,27,1830
LGA14350,24,23,18,401,260,13,79,44,11,407,372,33,99,43,20,570,535,25,93,29,17,704,920,25,145,32,20,1135,1143,50,144,20,26,1385,1054,70,112,18,16,1271,934,56,100,10,14,1120,530,38,54,10,8,638,422,29,29,3,0,481,377,18,8,4,5,420,328,28,20,3,5,379,80,46,24,0,0,148,119,0,26,8,17,176,7424,453,975,300,179,9338
LGA14400,29,14,5,368,275,15,47,24,8,364,258,17,58,18,9,363,333,18,70,20,4,452,460,48,111,8,3,625,500,39,87,5,8,640,459,54,94,15,6,630,404,59,85,14,5,565,239,47,68,6,9,364,197,50,44,12,0,302,125,28,30,0,4,188,120,58,48,6,7,237,32,70,33,7,0,143,41,4,11,8,0,64,3776,509,820,172,65,5346
LGA14500,153,35,8,1593,1279,65,165,37,15,1554,1139,97,176,33,9,1454,1248,110,209,37,15,1615,1722,210,255,46,15,2252,2062,233,250,40,18,2607,2491,346,316,32,18,3202,2796,351,314,41,21,3522,1908,343,198,29,17,2495,1733,344,217,28,10,2324,1445,271,146,21,10,1892,2001,492,257,34,10,2799,977,749,321,57,13,2118,281,64,46,14,25,434,22524,3751,3053,612,214,30154
