LGA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA13550,45,7,0,222,0,3,54,88,72,61,6,0,292,0,0,14,45,39,41,17,5,157,9,4,16,13,20,22,9,4,107,324,413,907,927,991,963,266,64,4856
LGA13660,19,6,0,81,0,3,10,22,30,10,0,0,79,0,0,4,0,11,16,5,0,47,0,3,3,3,11,12,12,6,51,74,114,284,340,502,385,200,65,1956
LGA13800,228,37,5,1237,0,10,238,433,468,305,52,13,1531,0,7,51,152,212,117,39,9,576,33,51,88,87,101,75,30,4,467,1822,2474,4638,4857,5348,3820,1026,152,24127
LGA13850,12,0,0,40,0,0,3,13,21,17,7,5,69,0,0,3,5,10,8,3,0,36,5,3,3,4,4,3,3,3,29,78,111,188,197,319,257,87,18,1264
LGA13910,40,18,0,210,0,3,45,78,90,49,12,5,289,0,0,8,31,60,36,16,9,161,3,5,14,21,25,18,7,4,99,245,470,893,1092,1206,915,344,75,5247
LGA14000,454,103,9,2197,0,11,416,853,905,610,126,13,2937,0,3,105,405,475,362,119,26,1507,47,62,121,106,120,109,33,8,612,2712,3922,7389,8063,8844,6682,1943,312,39859
LGA14100,58,17,7,253,0,0,53,92,112,94,30,0,389,0,3,20,58,72,73,31,12,263,7,3,13,18,13,6,3,0,61,154,319,870,846,1021,816,303,48,4382
LGA14170,572,139,23,3455,0,23,781,1524,1542,888,186,13,4957,3,9,226,735,879,535,202,24,2617,42,96,185,180,189,105,41,7,846,2219,5834,15737,13876,13111,9047,2546,315,62692
LGA14200,61,15,9,233,0,3,19,55,73,42,8,0,190,3,5,11,17,26,35,11,3,103,9,12,6,12,25,30,15,11,128,405,535,1071,1197,1436,1194,366,121,6323
LGA14300,15,3,3,69,0,0,22,30,39,29,10,0,122,0,0,6,4,8,14,4,0,35,3,3,5,5,3,12,0,0,30,87,137,403,324,389,341,114,28,1830
LGA14350,96,14,0,420,0,0,39,106,130,84,18,0,379,0,6,18,35,45,37,15,0,148,6,10,30,30,42,34,16,0,176,593,643,1426,1778,2254,2026,535,90,9338
LGA14400,38,12,0,188,0,0,23,53,77,71,18,3,237,3,0,8,42,41,41,12,3,143,4,11,10,14,13,6,4,3,64,476,553,805,989,1121,1036,309,53,5346
LGA14500,422,137,19,1892,0,13,355,721,872,607,193,36,2799,3,3,94,432,794,528,212,48,2118,23,49,61,85,97,65,25,15,434,1712,2664,5246,5577,7235,5234,2077,413,30154
LGA14550,25,4,0,80,0,0,12,22,26,28,8,3,97,0,0,3,14,20,15,4,0,63,7,3,7,7,9,8,4,0,44,150,136,358,441,659,699,216,72,2729
LGA14600,13,3,0,96,0,3,17,28,27,22,6,0,108,0,0,0,9,25,20,5,8,67,3,0,13,13,11,6,10,3,57,83,196,432,399,468,457,175,65,2281
LGA14650,521,65,10,2572,0,20,470,951,917,644,111,15,3129,3,10,150,445,512,356,92,15,1577,93,108,165,161,191,135,41,5,890,4530,6340,11585,11680,12466,9182,1988,237,58009
LGA14700,144,46,7,1068,0,7,414,651,491,270,72,4,1914,0,3,126,487,571,285,90,20,1581,6,20,49,43,55,32,20,4,225,478,1352,4200,3795,3263,2147,700,102,16037
LGA14750,38,3,0,221,0,0,33,48,81,38,8,0,205,0,0,8,16,28,23,0,0,70,10,7,13,8,21,17,0,3,83,240,389,834,865,1099,874,207,61,4565
LGA14850,227,34,4,867,0,3,89,262,313,268,45,10,985,0,4,32,98,147,145,33,8,460,24,30,42,42,57,62,28,13,298,1213,1429,3068,3988,4898,4235,1050,162,20041
LGA14870,111,12,3,450,0,11,145,210,225,139,11,4,755,3,3,48,66,114,58,7,3,308,7,9,24,29,22,24,8,3,114,445,591,1360,1448,1756,1456,337,62,7458
LGA14900,550,72,5,3456,0,30,887,1347,1121,670,122,3,4182,12,17,180,491,637,385,107,24,1853,61,84,232,240,199,141,45,5,1014,3329,6257,14469,14452,13631,9200,1899,227,63465
LGA14920,21,3,0,124,0,0,20,43,60,22,7,3,155,0,0,5,22,27,26,8,5,91,3,3,8,17,8,15,6,0,61,99,144,434,500,642,577,213,61,2659
LGA14950,14,4,0,38,0,0,9,11,13,10,3,0,35,0,0,0,0,3,5,0,4,21,0,0,4,9,3,5,0,3,28,28,48,132,155,209,197,90,24,884
LGA15050,252,30,3,1349,0,8,261,507,495,318,48,6,1642,0,8,73,201,230,167,46,4,736,33,51,64,73,89,60,26,4,392,1988,2708,5708,5731,5738,3916,839,113,26746
LGA15240,294,34,9,996,0,8,112,258,288,256,60,8,989,0,4,28,108,139,137,43,12,476,55,37,39,98,128,103,26,19,509,1725,1894,3920,4885,6608,5971,1641,282,26930
LGA15270,81,13,3,514,0,26,279,304,265,128,20,0,1024,0,10,96,125,121,83,26,4,469,12,14,27,39,40,35,12,11,187,509,677,1797,1947,2300,1648,527,134,9530
LGA15300,58,18,3,254,0,0,52,89,77,47,24,3,289,3,0,13,47,63,68,17,7,210,15,14,21,25,30,26,20,3,158,251,450,1055,1080,1211,1004,343,74,5479
LGA15350,83,37,3,490,0,3,98,195,192,153,60,17,721,0,0,29,147,233,165,98,31,698,8,13,19,26,36,22,18,7,146,366,921,1950,1700,1744,1295,610,141,8719
LGA15520,27,7,0,135,0,0,19,32,44,28,3,3,134,0,0,3,16,29,11,7,0,68,4,0,10,10,19,28,19,14,95,249,334,668,692,1017,944,288,82,4283
LGA15560,10,5,0,57,0,0,11,16,23,17,0,0,68,0,0,0,8,13,6,3,6,38,3,0,3,4,11,5,0,0,32,83,104,304,297,373,349,107,32,1649
LGA15650,100,13,0,613,0,20,319,365,384,170,22,3,1275,3,0,67,123,158,91,8,0,452,12,14,27,32,29,32,7,10,164,471,745,1895,1881,1917,1272,291,44,8517
LGA15700,46,6,0,203,0,3,29,69,48,44,3,3,209,0,0,8,32,38,33,5,0,123,13,6,11,12,14,26,11,0,97,312,405,802,1028,1243,1221,329,68,5411
LGA15750,69,21,0,414,0,16,203,179,162,79,5,8,648,0,0,64,96,80,62,13,0,303,8,9,24,14,36,26,23,5,144,326,435,1339,1323,1368,1112,337,73,6309
LGA15800,18,3,0,87,0,0,9,17,23,22,5,3,76,0,0,3,12,8,14,9,3,47,0,3,3,9,14,15,3,0,39,90,154,320,386,489,443,158,45,2093
LGA15850,27,4,0,103,0,0,32,34,32,16,3,0,118,0,0,7,16,18,9,3,0,53,3,3,4,10,11,5,6,3,41,72,134,353,334,417,355,126,33,1833
LGA15900,1102,120,11,6018,0,52,1464,2772,2752,1666,178,22,8906,4,17,309,1194,1319,910,162,22,3937,83,139,252,260,264,166,55,12,1239,4615,9723,21655,21527,21962,15082,2590,345,97502
LGA15950,576,118,17,5712,4,37,3330,4993,2858,1327,267,24,12835,6,14,1139,4320,4196,1860,378,59,11979,22,87,237,214,167,93,48,11,877,1454,5799,21555,19685,13882,7478,2223,308,72386
LGA15990,852,200,33,4577,3,27,1025,2162,2040,1194,312,51,6810,9,23,331,1384,1692,1008,323,72,4836,81,120,248,261,310,231,86,28,1359,5441,8101,17715,18770,19415,13553,4486,740,88217
LGA16100,23,11,3,106,0,0,10,26,38,30,7,0,123,0,0,0,8,6,11,10,0,43,3,0,7,9,11,5,5,0,36,107,151,347,410,476,437,235,32,2190
LGA16150,220,27,4,1104,0,14,222,479,437,271,36,3,1462,0,8,40,178,185,136,47,10,598,33,19,40,62,67,49,16,9,298,1206,1684,3979,4097,4094,3068,749,108,18974
LGA16200,59,20,0,309,0,0,86,119,130,59,12,0,405,0,0,14,34,47,22,18,0,130,7,3,19,18,28,21,4,5,106,363,478,1018,1083,1273,1028,312,83,5634
LGA16260,1603,264,10,9854,0,61,2692,5008,4233,2580,382,33,14988,0,43,607,2181,2458,1549,288,37,7158,84,219,458,390,379,236,60,16,1845,4153,11895,34640,32957,29131,19828,4188,407,137198
LGA16350,728,127,9,3914,0,26,666,1279,1293,903,158,14,4343,5,18,174,509,599,399,102,10,1811,96,123,242,231,219,160,39,6,1106,4792,6843,14586,14727,14462,10607,2288,220,68524
LGA16380,251,27,3,1276,0,4,193,431,460,302,41,9,1450,3,4,58,187,225,156,50,0,682,40,32,67,101,115,89,26,19,486,1798,1898,4457,5645,6857,5423,1267,192,27531
LGA16400,307,37,4,1670,0,13,368,632,651,360,39,7,2067,0,3,67,201,251,169,40,6,729,42,38,73,66,88,76,16,4,406,1686,2334,5300,5465,5880,4161,892,133,25849
LGA16490,174,31,3,872,0,4,197,357,406,219,41,10,1231,3,0,38,132,197,99,34,10,523,29,17,35,33,41,30,24,4,218,1039,1362,3078,2953,3182,2295,674,134,14713
LGA16550,543,100,15,3382,3,26,826,1564,1440,891,182,20,4944,3,9,166,648,815,587,181,23,2431,37,67,160,135,152,107,27,7,697,1642,4409,11530,10583,9781,6947,1894,257,47040
LGA16610,64,0,0,245,0,4,23,49,67,54,14,0,213,0,0,7,19,27,31,11,0,99,5,3,19,18,24,23,9,7,109,471,545,1034,1303,1606,1486,376,85,6912
LGA16650,241,40,3,1301,0,9,274,470,502,344,54,5,1659,0,3,100,251,308,167,48,15,886,20,47,96,86,75,52,22,3,403,1087,2537,6245,5863,5776,4001,1009,123,26641
LGA16700,837,147,9,6616,7,38,2701,5214,3528,1639,243,14,13377,3,9,812,3461,3442,1522,201,34,9481,63,113,278,255,245,143,39,13,1143,2741,7190,21048,22534,18198,10725,2299,302,85034
LGA16900,168,9,0,811,0,6,101,291,281,158,16,3,868,0,4,26,101,102,55,11,0,302,18,35,40,54,43,37,9,4,239,1501,1955,3342,3639,3756,2519,429,58,17200
LGA16950,353,39,7,1623,0,13,203,530,548,383,58,17,1743,8,3,93,186,231,186,54,11,759,56,52,82,102,151,107,39,11,588,2278,2941,6074,6676,7820,6569,1533,206,34092
LGA17000,171,14,0,1258,0,56,825,1057,799,476,42,4,3252,0,3,205,360,319,165,28,0,1088,18,30,65,61,62,32,8,7,290,831,1341,3641,3775,3356,2066,432,68,15517
LGA17040,93,17,4,384,0,0,56,121,136,88,13,7,425,0,3,21,46,77,44,10,4,211,21,23,29,34,27,35,17,4,183,640,1143,1823,1657,2094,1663,593,135,9757
LGA17080,63,8,3,299,0,8,56,98,132,79,11,0,390,0,5,8,30,37,35,9,0,131,10,3,17,18,27,32,10,7,121,295,385,965,1135,1359,1244,386,93,5865
LGA17100,270,44,4,1232,0,15,315,586,538,326,71,15,1861,0,4,68,268,313,156,40,13,859,16,52,82,88,89,50,15,3,397,681,2056,5029,4910,4950,3455,774,117,21971
LGA17150,720,150,13,3540,3,19,667,1363,1322,888,193,22,4467,3,9,206,633,750,499,188,30,2321,82,138,194,192,210,154,57,11,1040,5264,7298,13412,13636,13997,10607,2929,361,67504
LGA17200,3677,695,83,38639,21,448,24203,29401,16879,8036,1379,138,80500,16,191,9918,28948,22988,9894,2001,255,74205,178,633,1931,1512,1148,666,215,55,6327,8050,46724,166662,130681,87265,47502,11141,1364,499390
LGA17310,244,29,7,1118,0,4,201,383,417,278,36,11,1339,4,6,59,115,164,120,29,0,500,51,23,81,66,85,86,34,16,443,1617,2094,5100,4959,5507,4403,1210,235,25123
LGA17350,22,6,0,99,0,0,12,15,25,33,8,0,94,0,0,6,9,11,11,11,3,51,3,7,8,3,14,11,3,0,50,153,157,365,427,564,475,159,33,2331
LGA17400,16,7,3,70,0,0,9,19,12,24,7,0,80,0,0,3,10,3,13,9,0,34,3,0,3,6,10,13,13,3,60,101,112,251,379,449,571,221,59,2148
LGA17420,655,140,16,4057,3,36,1184,2175,1747,988,213,13,6358,0,12,306,1289,1311,701,179,24,3823,82,127,208,202,212,149,48,9,1036,4629,7035,14357,15550,14316,9478,2651,334,68355
LGA17550,258,46,8,1163,0,5,176,358,386,277,46,9,1261,4,5,59,156,207,135,38,11,602,29,48,78,78,111,88,17,10,475,1533,2033,4477,5513,6421,5495,1309,221,26997
LGA17620,39,15,0,179,0,0,36,53,51,47,10,8,203,4,0,8,37,35,28,14,3,133,8,3,24,21,18,33,4,3,110,311,398,974,941,1042,932,310,108,5018
LGA17640,20,4,0,65,0,0,9,18,38,21,10,0,107,0,0,3,9,10,17,6,3,47,3,3,4,4,10,4,3,6,32,86,106,281,281,388,394,203,60,1807
LGA17650,17,0,4,45,0,0,4,12,19,16,3,0,53,0,0,3,0,12,4,3,0,22,0,0,3,3,11,3,3,3,24,40,72,193,217,290,256,112,38,1227
LGA17750,305,42,4,1657,0,9,283,582,546,376,52,11,1856,3,3,59,192,246,195,56,8,763,43,52,82,89,85,82,37,23,487,2234,3699,6620,6051,6026,4674,1121,197,30629
LGA17850,20,10,0,56,0,3,3,15,13,12,5,0,55,0,0,0,4,9,15,6,0,33,0,0,4,9,3,7,6,4,39,60,87,163,235,310,299,177,42,1372
LGA17900,24,7,0,84,0,0,26,25,25,26,6,0,107,0,0,8,14,12,8,9,3,56,0,0,13,8,10,9,7,0,53,62,146,401,373,458,435,182,40,2102
LGA17950,16,6,0,52,0,0,9,6,19,10,3,0,52,0,0,4,3,7,5,4,3,31,0,0,3,3,3,3,7,4,28,23,74,209,193,243,213,92,36,1091
LGA18020,26,10,3,129,0,4,11,24,43,43,7,5,130,0,0,3,14,14,25,7,3,67,4,7,3,18,23,32,13,4,99,92,180,409,543,732,683,282,101,3015
LGA18050,179,50,11,1160,3,19,360,569,407,243,86,10,1696,0,4,167,397,430,239,125,23,1381,17,42,111,78,69,40,36,11,402,1123,3152,7021,5017,4083,2643,1122,193,24359
LGA18100,14,3,4,44,0,0,0,13,18,12,3,0,43,0,0,3,7,14,18,3,0,47,0,0,0,5,5,0,9,0,24,48,47,148,236,276,298,145,40,1243
LGA18200,28,6,0,168,0,3,24,53,44,29,5,0,159,0,0,7,15,11,18,12,3,65,3,0,7,0,15,7,6,0,47,92,191,443,537,653,628,174,35,2744
LGA18230,251,42,10,1192,0,10,197,375,431,276,33,6,1329,3,4,56,124,160,118,44,10,522,36,33,70,70,78,67,37,19,423,1365,1971,4632,4275,4625,3630,1005,208,21715
LGA18250,517,131,12,3968,0,28,1688,2600,1723,1036,223,25,7320,3,11,446,1853,1902,1003,261,39,5520,33,79,212,167,158,113,34,13,810,2028,5749,16056,13992,11503,7637,2207,295,59466
LGA18350,202,54,10,855,3,3,98,258,350,251,72,16,1044,0,4,21,105,158,146,86,19,538,24,28,41,61,79,56,28,9,337,1320,1486,2863,3221,4123,3329,1277,253,17876
LGA18400,117,24,0,672,0,17,207,334,279,210,16,0,1064,0,9,89,161,127,90,19,3,499,14,12,34,53,47,38,12,6,213,758,933,2145,2517,2420,1801,428,76,11076
LGA18450,941,130,14,4512,0,37,875,1915,1932,1192,167,8,6141,6,16,197,695,829,567,127,9,2455,96,139,214,236,262,189,56,13,1200,4722,8313,15668,16905,17639,12233,2382,280,78143
LGA18500,182,88,21,1215,0,13,362,579,473,304,150,35,1904,3,3,136,409,543,400,221,82,1795,17,34,70,63,73,50,25,13,347,631,2141,5257,3995,3602,2795,1355,320,20092
LGA18710,28,11,0,175,0,0,38,56,61,55,17,12,233,0,0,7,29,46,29,6,10,126,3,8,12,10,12,3,15,3,63,158,264,593,665,750,640,280,67,3423
LGA19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19399,6,3,0,40,0,0,3,11,10,14,3,0,48,0,0,3,3,3,8,3,3,26,0,0,6,3,3,6,3,0,30,31,78,147,168,169,168,73,10,846
LGA19499,809,155,3,5739,6,126,1511,2099,1788,912,192,19,6653,9,32,447,890,904,477,154,26,2938,122,267,559,603,663,511,140,46,2913,6207,13764,29918,30659,32366,23834,5924,688,143362
LGA19799,0,0,0,4,0,0,3,4,3,0,0,0,11,0,0,3,5,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,10,17,17,24,12,3,0,90
LGA19898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,27,8,3,157,0,0,23,44,53,48,5,0,168,0,0,11,17,25,19,8,3,72,8,3,9,13,17,14,15,6,85,304,290,578,855,1166,1065,303,63,4617
LGA20260,55,7,3,216,0,3,28,52,65,41,13,7,210,0,3,8,15,25,23,16,3,87,10,11,18,17,12,17,4,3,98,302,340,816,899,1148,981,302,83,4865
LGA20570,422,40,6,2071,0,7,348,610,737,508,64,8,2281,3,7,82,323,365,254,53,7,1103,62,76,105,143,168,113,31,13,711,2862,4754,9220,9442,9980,7445,1576,203,45492
LGA20660,416,81,8,2134,0,11,389,631,591,438,91,5,2164,0,5,87,403,461,326,99,17,1392,49,76,136,125,150,118,35,9,696,2138,3753,8774,8400,8935,6845,1715,206,40759
