LGA_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA11500,1101,23,39,8,10,1181,119,17,11,4,3,156,28,6,0,0,0,36,276,25,19,0,3,327,206,13,10,0,0,233,159,9,13,5,0,198,33,6,5,3,0,45,1508,108,98,19,19,1761,119,4,7,0,0,134,723,63,89,20,12,911,78,4,6,0,0,89,3260,272,394,64,53,4054,549,54,34,13,27,678,41700,2819,2537,462,498,48022
LGA11520,1039,4,13,0,5,1065,67,4,6,4,0,79,81,6,5,0,0,93,258,23,27,0,0,309,335,20,16,3,6,378,205,13,13,0,0,229,78,13,17,0,0,112,926,97,86,11,8,1123,119,12,16,3,0,146,412,20,33,8,3,477,33,5,3,0,0,44,2629,148,183,35,29,3020,233,19,18,11,21,310,28042,2618,2240,372,285,33558
LGA11570,1736,35,42,15,11,1840,189,11,20,4,0,229,120,18,12,8,3,160,381,49,20,0,4,458,445,30,16,3,4,498,347,12,28,8,3,402,208,40,40,3,6,295,1755,112,112,16,13,2020,172,15,13,4,0,205,4405,431,571,129,73,5612,115,9,5,0,0,130,7755,724,984,104,132,9697,924,94,106,29,89,1238,77572,8097,7464,1359,1147,95636
LGA11600,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,3,0,0,30,3,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,9,23,0,0,3,0,28,28,0,9,3,3,41,884,134,185,109,30,1342
LGA11650,659,42,19,12,3,732,67,9,17,0,0,93,49,7,10,0,0,64,451,72,98,10,5,636,107,19,10,0,0,129,232,24,32,14,7,309,17,7,10,0,0,39,4047,523,624,92,57,5344,297,35,41,7,5,382,155,20,39,10,7,230,114,9,4,0,0,137,1607,220,239,59,22,2152,1221,96,152,50,76,1592,85835,7324,8816,1517,1114,104601
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,5,4,0,5,17,225,26,69,47,10,384
LGA11720,60,3,8,0,0,71,3,0,0,0,0,3,3,0,0,0,0,4,34,3,6,3,0,43,11,3,0,0,0,16,23,0,6,4,4,34,0,0,0,0,0,4,313,45,55,16,8,436,20,4,0,0,0,31,7,0,3,0,0,21,14,0,0,0,0,15,113,19,19,5,3,165,214,28,18,14,21,292,12478,838,1019,301,196,14840
LGA11730,37,0,8,0,0,47,0,0,0,0,0,3,3,0,0,0,0,3,38,6,3,6,0,52,14,0,0,0,0,13,14,0,3,0,0,17,0,0,0,0,0,0,310,38,55,12,8,429,33,3,10,0,0,44,7,0,3,3,3,17,16,0,4,0,0,19,122,12,20,11,4,161,300,24,62,13,23,415,12837,912,1808,519,278,16352
LGA11750,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,44,0,0,0,0,49,50,3,6,7,8,64,1831,98,190,120,35,2274
LGA11800,149,5,12,3,0,171,13,0,0,0,0,19,8,3,0,0,0,8,133,21,18,4,0,176,9,0,0,0,0,10,38,3,6,3,4,57,6,0,3,0,0,12,874,75,128,32,16,1124,95,3,11,0,0,109,28,0,6,0,0,35,24,4,0,0,0,29,691,46,74,14,7,836,350,18,49,3,26,446,23621,1661,2654,602,337,28868
LGA12000,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,17,0,3,0,0,19,10,3,3,6,0,23,635,71,219,89,19,1030
LGA12150,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,25,0,9,7,3,49,920,94,230,149,42,1433
LGA12350,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,7,0,4,0,3,16,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,59,4,11,3,3,73,7,0,0,0,0,8,0,0,0,0,0,3,4,0,0,0,0,4,22,4,4,5,0,30,80,8,20,10,0,121,3368,246,666,205,93,4581
LGA12380,2025,31,38,17,9,2117,133,12,16,3,0,168,92,6,7,3,0,106,326,33,14,3,3,379,854,104,86,22,13,1084,282,9,16,11,0,316,360,85,126,15,9,607,1544,87,73,12,19,1731,157,3,4,0,0,164,2051,142,181,25,23,2423,83,0,3,0,0,88,5991,486,534,73,108,7186,693,72,59,18,59,893,61728,5194,4436,826,830,73013
LGA12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,4,5,0,56,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,14,27,8,10,8,0,52,1428,209,347,154,30,2170
LGA12730,12,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,17,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,3,13,4,3,60,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,75,0,0,3,0,74,82,4,12,0,4,110,2874,262,361,132,70,3697
LGA12750,35,3,0,0,0,38,8,0,0,0,3,16,3,0,0,0,0,3,37,5,5,3,0,54,9,0,3,0,0,11,9,0,3,0,0,9,3,0,0,0,0,3,379,35,88,15,11,519,30,3,10,0,0,49,7,0,8,8,0,25,13,0,0,3,0,11,134,20,20,6,0,181,213,22,40,15,5,299,9128,817,1571,287,170,11976
LGA12850,1153,25,15,4,17,1219,106,15,8,0,4,134,51,7,7,0,0,66,182,9,9,0,3,203,246,10,3,0,0,260,301,28,31,6,6,369,145,32,28,15,5,223,923,67,28,3,13,1037,94,10,5,0,0,112,4458,759,861,180,73,6325,64,0,0,0,3,70,5380,541,556,100,100,6677,591,67,68,14,75,810,47225,4639,3736,757,781,57129
LGA12870,30,0,0,0,0,35,4,0,0,0,0,3,3,0,0,0,0,3,5,3,0,0,0,5,9,0,0,0,0,9,6,0,3,0,0,11,0,0,0,0,0,0,83,5,7,3,0,97,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,51,3,0,0,4,58,98,7,6,14,5,136,3862,336,411,190,82,4879
LGA12900,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,3,3,3,0,0,0,7,0,0,0,0,0,0,31,7,8,5,0,57,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,15,0,3,0,0,15,64,6,11,10,8,103,2862,222,553,200,73,3905
LGA12930,777,11,22,0,5,819,64,7,9,0,0,79,71,8,4,0,0,82,209,21,9,6,3,245,121,8,3,0,0,128,193,9,22,15,3,242,36,0,8,3,0,50,1003,89,81,12,9,1200,101,4,4,4,0,112,449,62,73,26,8,613,63,3,3,0,0,67,2843,256,254,36,46,3437,325,38,36,7,18,429,34623,3810,3220,642,394,42681
LGA12950,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,14,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,28,3,11,5,4,57,981,86,345,128,31,1573
LGA13010,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,40,9,10,13,0,68,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,0,31,44,6,18,11,5,88,2137,156,462,225,80,3062
LGA13310,93,0,10,3,0,99,11,0,0,0,0,12,7,3,0,0,0,11,28,4,5,0,0,37,25,0,0,0,0,24,15,0,0,0,0,22,16,0,0,0,0,17,229,22,25,12,7,295,23,0,3,3,0,30,42,5,6,0,0,50,15,0,0,0,0,13,292,15,23,4,4,338,151,8,17,3,9,190,9150,635,845,226,122,10978
LGA13340,15,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,11,19,9,0,63,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,18,36,13,17,4,5,68,2069,316,572,299,63,3323
LGA13450,133,5,0,0,4,139,4,0,0,0,0,4,5,0,0,0,0,5,60,4,7,0,0,68,22,4,0,0,0,27,12,3,0,0,0,17,17,3,0,0,0,16,145,9,13,3,0,165,10,0,0,0,0,17,9,0,0,0,0,6,35,0,0,0,0,34,505,12,17,3,11,548,177,13,29,24,15,252,9942,837,823,331,157,12095
LGA13510,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,3,3,3,0,66,3,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,28,0,0,0,0,35,93,11,16,11,12,143,3145,250,464,195,79,4132
LGA13550,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,23,4,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,50,6,13,8,0,70,4,0,3,3,0,9,0,0,4,0,0,3,0,0,0,0,0,0,20,0,0,0,0,30,79,11,21,3,5,121,3692,345,498,233,96,4856
LGA13660,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,6,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,4,3,0,9,39,3,3,7,4,59,1161,137,351,269,45,1956
LGA13800,256,6,5,3,3,276,18,3,0,0,0,24,27,3,0,0,0,30,123,17,9,8,0,156,85,4,6,0,3,94,44,6,4,0,0,58,18,3,0,0,0,22,760,117,94,28,11,1002,62,11,4,0,0,76,89,3,16,4,0,113,21,0,3,0,0,22,543,72,59,14,7,692,216,29,33,8,8,295,19109,2188,2126,475,239,24127
LGA13850,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,23,3,0,3,0,33,907,96,154,78,23,1264
LGA13910,23,3,0,0,0,28,0,0,0,0,0,3,3,0,0,0,0,3,18,0,0,0,0,18,13,0,0,0,0,15,8,0,0,0,0,8,3,0,0,0,0,5,91,9,10,10,4,115,4,0,3,0,0,6,17,0,0,0,0,25,6,0,0,0,0,6,127,8,7,3,4,149,86,3,23,6,3,117,3744,409,721,305,76,5247
LGA14000,640,23,17,13,6,702,62,16,17,0,3,92,78,16,7,3,0,107,416,83,56,11,4,572,292,50,24,6,3,368,151,15,10,7,0,181,39,3,6,0,0,52,1394,236,217,44,6,1895,149,34,17,3,0,209,261,24,28,13,3,330,68,4,14,0,0,88,1899,210,220,58,25,2413,250,33,32,12,28,342,31218,3988,3609,711,341,39859
LGA14100,87,3,0,0,0,95,12,3,4,0,0,13,8,3,0,0,0,14,34,5,4,0,3,44,41,0,0,0,0,44,33,4,3,0,0,43,3,4,3,3,0,8,145,23,15,7,0,193,18,3,4,0,0,20,15,5,3,0,0,22,7,0,0,0,0,13,353,24,27,0,0,406,31,0,3,0,3,36,3407,500,368,82,25,4382
LGA14170,1124,28,32,8,3,1193,146,18,23,3,3,192,119,20,12,3,0,150,297,65,48,3,8,422,283,9,15,3,3,311,578,24,38,9,8,659,141,21,32,3,4,200,1910,395,417,41,20,2786,273,39,59,11,0,385,1211,163,170,49,16,1615,47,3,8,0,0,56,5314,423,563,72,73,6440,445,57,81,12,38,635,48658,6255,6351,847,577,62692
LGA14200,94,0,0,0,7,111,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,18,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,54,10,22,3,0,82,3,0,0,0,0,6,6,0,6,0,0,14,0,3,0,0,0,3,57,4,3,4,0,64,111,12,16,11,10,165,4832,323,740,311,115,6323
LGA14300,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,3,0,0,72,41,0,10,10,3,72,1339,104,256,101,27,1830
LGA14350,44,3,3,0,4,49,0,0,0,0,0,0,3,0,0,0,0,4,17,3,0,0,0,19,3,0,0,0,0,3,5,0,0,0,0,7,3,0,0,0,0,3,171,21,29,13,0,235,15,3,4,0,3,25,0,0,0,0,0,0,6,0,0,0,0,6,88,10,13,0,0,119,217,3,37,14,14,289,7424,453,975,300,179,9338
LGA14400,27,0,0,0,0,29,3,0,3,0,0,3,3,0,0,0,0,3,13,9,15,4,0,39,6,3,0,0,0,4,18,5,0,0,0,24,0,0,0,0,0,0,175,27,53,9,4,266,21,3,3,3,0,27,4,0,3,0,0,8,0,0,0,0,0,3,64,10,21,0,0,91,54,11,14,4,7,91,3776,509,820,172,65,5346
LGA14500,449,16,15,5,4,483,67,11,15,0,0,90,108,11,5,5,0,134,683,203,171,19,4,1075,136,14,9,6,3,174,176,11,11,0,3,196,21,4,0,3,0,30,1344,309,236,30,7,1933,137,28,27,7,0,202,120,41,25,3,0,195,86,9,10,0,0,102,1746,207,186,40,20,2198,176,22,19,4,12,238,22524,3751,3053,612,214,30154
LGA14550,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,51,4,17,6,0,82,0,0,0,0,0,3,3,0,0,0,0,4,4,0,3,0,0,11,38,9,14,5,0,58,45,7,9,8,0,65,1794,163,527,201,46,2729
LGA14600,15,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,8,0,3,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,45,8,13,8,11,74,1549,147,359,177,52,2281
LGA14650,299,6,18,0,3,333,38,6,10,0,0,50,32,3,3,0,0,34,198,23,23,6,0,252,60,3,3,0,0,69,93,10,15,7,0,128,4,4,3,0,3,17,1245,155,160,43,13,1619,158,10,32,0,0,205,86,20,20,3,0,120,56,5,9,0,3,68,677,88,120,22,8,916,556,38,36,19,41,692,48243,4001,4439,797,533,58009
LGA14700,314,3,3,0,0,321,40,3,10,0,0,52,41,9,4,3,0,59,210,31,28,0,3,277,111,3,3,0,0,115,138,3,6,0,0,149,15,6,0,0,0,28,773,104,69,11,10,962,121,11,8,0,0,148,178,6,12,0,4,202,24,0,0,0,0,27,1239,72,86,13,9,1417,98,14,11,0,3,124,13346,1335,1082,177,91,16037
LGA14750,54,0,0,0,0,56,4,0,0,0,0,4,0,0,0,0,0,0,19,3,0,0,0,23,3,3,0,0,0,3,17,0,0,0,0,17,0,0,0,0,0,0,41,7,5,0,0,56,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,70,0,4,0,0,74,110,3,15,5,3,136,3715,233,387,171,63,4565
LGA14850,74,4,3,3,0,82,3,0,0,0,0,9,9,0,0,0,0,12,55,10,12,0,0,88,16,0,0,0,0,13,19,0,6,3,0,24,4,0,0,0,0,4,518,45,97,7,3,664,84,0,17,3,0,100,23,0,4,0,0,27,18,5,4,0,0,24,258,16,49,12,13,344,256,11,40,15,13,339,16607,828,1971,406,235,20041
