LGA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA11650,1151,156,116,11445,9420,1144,1238,180,116,12089,9333,1099,1146,174,132,11875,8590,943,1131,207,109,10975,5255,701,859,170,89,7078,1820,463,500,116,56,2945,506,211,207,104,25,1051,162,83,102,64,41,453,85835,7324,8816,1517,1114,104601
LGA11700,3,3,0,30,24,3,3,7,0,34,30,6,5,3,0,45,14,3,13,7,3,44,30,3,11,11,3,63,7,0,4,4,0,16,4,3,3,5,0,13,0,0,5,3,0,11,225,26,69,47,10,384
LGA11720,131,27,15,1635,1379,141,121,34,21,1691,1232,113,124,24,23,1521,1184,92,140,38,25,1478,684,99,119,36,15,951,230,63,62,42,15,408,53,25,25,18,5,131,28,12,26,17,6,92,12478,838,1019,301,196,14840
LGA11730,204,26,21,1763,1510,115,230,45,33,1930,1592,161,224,63,36,2081,1598,126,299,78,33,2137,1038,131,230,79,26,1504,317,58,149,66,17,605,98,17,75,41,11,245,52,18,56,47,16,188,12837,912,1808,519,278,16352
LGA11750,15,7,9,247,165,9,21,7,0,204,208,15,21,15,4,263,168,10,28,20,3,226,102,4,19,17,4,150,31,4,14,7,4,66,0,0,8,14,0,23,7,3,6,15,0,24,1831,98,190,120,35,2274
LGA11800,333,65,39,3237,2638,279,372,66,37,3397,2674,281,365,60,41,3412,2614,240,337,84,34,3307,1619,191,338,80,33,2267,542,99,177,55,17,888,128,37,51,31,4,258,39,20,26,21,23,122,23621,1661,2654,602,337,28868
LGA12000,17,7,0,106,71,5,25,5,0,115,63,15,34,8,10,125,65,4,33,14,6,109,36,12,23,8,0,84,12,3,10,10,0,36,8,4,13,8,0,36,3,6,15,11,0,24,635,71,219,89,19,1030
LGA12150,18,11,5,133,105,21,26,11,6,171,86,15,24,25,4,152,112,8,36,25,8,188,75,9,37,25,0,143,31,5,13,9,5,68,11,6,14,8,0,41,0,0,15,12,3,30,920,94,230,149,42,1433
LGA12350,62,14,6,445,392,21,71,22,7,512,378,43,76,17,10,526,321,25,92,12,8,459,257,35,99,28,11,426,97,22,53,26,9,210,21,4,48,27,7,107,10,7,34,23,4,77,3368,246,666,205,93,4581
LGA12380,601,96,83,8221,6688,732,596,98,78,8189,6435,717,550,91,71,7869,5355,541,472,85,77,6524,3529,357,336,53,59,4335,1322,220,169,37,33,1785,386,85,91,24,12,596,91,50,39,29,20,223,61728,5194,4436,826,830,73013
LGA12700,24,6,0,212,164,24,37,13,4,240,181,20,52,15,0,270,176,24,63,21,4,289,116,28,49,16,4,210,41,26,30,20,0,116,9,17,14,24,3,66,11,10,20,17,3,63,1428,209,347,154,30,2170
LGA12730,42,7,4,438,268,39,31,6,11,356,322,47,46,17,3,430,333,38,44,13,4,432,246,24,51,17,11,357,86,21,47,11,4,169,23,11,15,12,4,75,9,5,14,12,0,46,2874,262,361,132,70,3697
LGA12750,195,25,16,1246,1033,125,198,28,13,1392,1161,133,224,31,24,1568,1193,118,243,37,27,1621,858,106,228,47,16,1251,245,80,124,29,8,495,66,29,43,26,4,165,30,14,28,10,14,92,9128,817,1571,287,170,11976
LGA12850,476,86,98,6381,5139,638,508,99,75,6457,5112,687,602,87,89,6574,4276,584,495,89,81,5520,2723,399,314,47,57,3545,1072,210,144,36,34,1497,253,92,50,21,10,424,92,36,28,13,13,179,47225,4639,3736,757,781,57129
LGA12870,57,20,3,493,428,58,46,16,6,553,464,47,40,22,9,579,446,44,47,25,15,579,315,32,58,24,9,433,119,28,33,16,9,197,39,14,24,20,3,93,14,3,17,16,0,52,3862,336,411,190,82,4879
LGA12900,53,13,4,364,286,35,59,14,3,408,318,37,72,17,6,453,289,24,96,19,3,428,171,24,76,27,9,304,69,10,40,26,4,151,27,10,26,18,5,80,13,3,35,30,5,88,2862,222,553,200,73,3905
LGA12930,398,67,39,4728,3611,616,426,72,39,4760,3563,577,460,87,39,4731,3104,467,407,58,49,4087,1911,263,303,45,31,2547,818,197,186,49,18,1266,232,98,88,18,16,454,88,62,40,30,11,233,34623,3810,3220,642,394,42681
LGA12950,34,4,3,133,100,8,31,14,9,156,114,19,48,19,4,201,129,17,35,13,4,198,76,11,47,15,3,149,28,3,23,18,0,79,11,5,20,13,0,50,0,3,28,18,0,53,981,86,345,128,31,1573
LGA13010,33,6,12,280,249,19,52,17,3,339,223,23,59,27,13,343,258,25,75,32,3,395,162,16,46,32,12,261,66,14,52,30,3,164,23,8,47,30,3,108,9,12,20,29,4,78,2137,156,462,225,80,3062
LGA13310,107,15,3,1150,983,81,110,9,22,1189,998,96,132,25,17,1268,877,75,96,31,12,1090,545,67,74,22,13,722,183,36,69,40,5,333,67,24,29,26,3,157,23,7,26,19,4,82,9150,635,845,226,122,10978
LGA13340,42,21,8,297,217,44,68,26,3,363,249,42,86,30,3,410,236,55,87,40,0,418,153,43,79,35,7,321,60,25,56,25,9,184,34,12,26,35,0,111,15,12,31,40,0,92,2069,316,572,299,63,3323
LGA13450,83,22,9,1213,1059,126,80,23,15,1301,985,124,122,42,20,1292,862,130,106,38,14,1147,591,96,86,36,14,832,219,41,68,45,8,385,73,19,31,33,3,158,15,13,26,27,9,88,9942,837,823,331,157,12095
LGA13510,37,6,14,408,326,35,57,16,7,440,376,34,68,26,6,516,362,32,54,28,4,480,262,32,58,15,9,364,95,16,33,26,7,176,22,7,28,24,4,87,8,3,30,34,4,82,3145,250,464,195,79,4132
LGA13550,59,13,7,467,382,27,59,16,7,489,356,50,67,28,4,501,377,43,86,34,6,544,249,54,67,37,14,416,87,26,33,30,6,185,23,6,17,28,3,82,11,13,17,31,0,64,3692,345,498,233,96,4856
LGA13660,27,24,0,178,144,29,52,28,0,248,133,20,53,38,3,257,113,19,49,29,3,218,83,14,40,34,3,172,32,12,35,32,10,122,9,9,22,36,3,80,12,4,15,27,3,65,1161,137,351,269,45,1956
LGA13800,259,54,21,2612,1969,368,298,48,28,2713,1949,305,292,58,33,2634,1766,244,252,50,23,2333,1009,228,204,36,12,1487,443,136,107,55,12,752,136,57,51,30,10,275,51,36,33,28,3,152,19109,2188,2126,475,239,24127
LGA13850,19,3,0,111,83,19,22,4,0,134,134,20,25,5,3,189,96,15,22,17,3,158,60,11,22,11,0,105,35,6,14,10,3,67,12,4,4,0,0,22,3,3,8,6,3,18,907,96,154,78,23,1264
LGA13910,83,29,6,565,395,60,95,26,9,580,436,49,94,34,10,629,351,47,74,37,7,511,222,45,94,32,9,401,91,33,69,32,9,233,23,9,44,37,0,114,5,7,29,28,6,75,3744,409,721,305,76,5247
LGA14000,467,87,38,4350,3334,587,531,85,33,4570,3048,630,492,78,29,4274,2802,565,448,97,37,3951,1842,436,353,73,25,2734,818,272,218,48,17,1372,258,141,108,50,13,566,109,63,87,42,16,312,31218,3988,3609,711,341,39859
LGA14100,45,3,0,431,400,76,52,11,0,528,354,89,41,6,3,494,352,64,52,12,3,491,243,38,22,16,0,320,133,46,29,7,3,219,38,21,16,6,0,85,25,13,10,3,0,48,3407,500,368,82,25,4382
LGA14170,854,96,64,6935,4648,990,834,102,70,6654,4504,940,838,123,57,6458,3860,720,701,67,40,5398,2489,506,539,95,30,3657,1090,340,333,59,35,1857,342,157,139,34,18,693,135,69,67,38,10,315,48658,6255,6351,847,577,62692
LGA14200,70,28,9,653,569,38,63,27,11,717,558,48,84,26,16,721,512,48,117,36,17,720,294,34,88,38,8,468,105,26,75,26,11,240,30,18,42,34,5,121,12,13,32,49,7,121,4832,323,740,311,115,6323
LGA14300,20,8,0,176,148,14,27,11,3,202,139,17,29,9,3,191,148,18,35,12,3,211,70,9,34,10,0,127,29,10,29,21,0,79,6,4,14,12,0,33,3,0,10,8,0,28,1339,104,256,101,27,1830
LGA14350,118,10,9,982,833,67,106,25,23,1055,954,68,132,24,19,1197,929,79,154,40,22,1215,564,59,125,44,11,805,214,33,90,50,12,403,38,15,45,28,4,131,26,5,23,30,6,90,7424,453,975,300,179,9338
LGA14400,107,14,3,544,340,73,96,20,10,533,397,66,99,15,18,591,388,65,100,17,5,572,250,70,98,35,6,460,93,37,63,24,3,213,26,21,24,16,5,94,12,11,15,14,3,53,3776,509,820,172,65,5346
LGA14500,349,60,16,3047,2495,554,445,88,34,3613,2472,656,399,70,23,3615,2042,528,399,66,31,3063,1420,373,312,58,15,2175,788,325,230,62,8,1420,288,175,141,51,9,655,139,110,98,47,10,413,22524,3751,3053,612,214,30154
LGA14550,46,18,3,244,189,29,52,15,3,282,259,20,80,15,9,379,240,30,87,34,3,390,171,27,77,31,7,307,48,8,52,31,4,153,21,3,23,13,0,64,0,3,34,25,6,72,1794,163,527,201,46,2729
LGA14600,29,15,5,205,163,24,22,12,3,227,154,17,48,19,6,242,162,19,57,12,6,255,106,14,49,26,7,203,57,7,31,23,0,125,14,0,18,15,4,57,18,3,17,24,0,65,1549,147,359,177,52,2281
LGA14650,581,82,54,6207,4982,597,601,84,59,6326,4828,592,572,95,66,6144,4323,536,543,85,53,5538,2697,386,430,88,40,3644,869,236,258,76,17,1466,254,97,98,63,13,529,87,57,39,40,19,237,48243,4001,4439,797,533,58009
LGA14700,134,22,6,1871,1303,205,158,30,12,1698,1188,188,157,19,9,1566,958,199,129,16,13,1320,589,120,102,14,10,829,293,110,77,23,4,508,90,50,42,16,3,200,45,25,23,8,0,102,13346,1335,1082,177,91,16037
LGA14750,41,10,5,492,427,39,48,20,3,542,431,39,62,18,8,558,412,33,60,20,4,538,251,25,46,19,8,337,80,15,28,13,8,145,23,10,5,19,0,58,15,7,12,18,7,61,3715,233,387,171,63,4565
LGA14850,207,32,24,2145,1963,119,243,32,21,2387,2021,120,294,44,26,2512,2009,135,265,55,24,2492,1313,101,267,47,27,1746,472,62,170,65,17,792,114,19,88,21,9,265,34,10,48,52,22,162,16607,828,1971,406,235,20041
LGA14870,55,14,4,830,721,36,65,11,16,849,743,57,79,16,7,906,773,48,78,21,11,934,384,38,62,27,12,521,140,21,26,23,0,214,53,12,26,21,3,118,13,4,17,21,8,62,6309,345,530,182,91,7458
LGA14900,497,92,70,7499,5677,657,551,98,97,7083,5333,605,453,89,72,6556,4692,465,409,72,68,5703,2727,360,311,58,49,3498,1024,217,138,37,29,1445,248,85,70,35,10,448,96,55,29,22,22,227,53729,4556,3702,753,723,63465
LGA14920,36,13,3,275,226,15,49,17,0,311,224,21,65,7,6,333,200,25,60,16,4,310,151,30,54,23,8,265,64,15,28,19,9,140,17,12,26,22,0,76,9,3,23,22,0,61,1874,155,408,159,53,2659
LGA14950,23,11,4,95,52,9,29,6,8,102,63,8,29,5,0,110,66,10,29,12,4,118,35,5,21,21,0,82,19,3,21,16,0,59,4,3,13,6,3,31,0,0,5,12,4,24,479,54,211,110,24,884
LGA15050,194,40,26,2988,2498,229,175,32,29,2960,2290,215,208,39,26,2775,2000,202,206,38,17,2464,1095,143,161,31,18,1452,409,95,85,35,7,637,110,37,30,22,3,203,47,12,20,15,16,113,23032,1542,1593,355,223,26746
LGA15240,306,59,41,2749,2443,202,401,76,43,3163,2604,235,449,91,64,3442,2560,253,485,92,56,3458,1709,228,402,120,57,2516,632,158,241,112,31,1176,150,63,137,85,22,467,62,29,89,70,37,282,20967,1602,3025,822,511,26930
LGA15270,113,16,15,1026,909,111,108,18,18,1159,893,83,109,30,14,1144,749,82,134,42,17,1017,393,55,122,59,3,628,141,42,92,62,12,341,47,21,58,62,3,185,12,16,47,45,11,134,7421,583,991,384,156,9530
LGA15300,72,14,8,561,424,66,68,24,8,593,459,47,78,27,11,624,370,65,106,32,12,584,253,45,80,41,6,423,118,33,55,22,7,239,34,16,27,18,7,108,16,9,21,22,8,74,4100,416,656,218,95,5479
LGA15350,131,14,8,837,498,196,124,18,6,846,533,183,138,37,8,900,396,180,135,15,4,729,305,134,104,16,3,561,181,115,86,34,3,412,67,58,44,19,0,198,42,37,24,27,9,141,6101,1306,1032,204,72,8719
LGA15520,47,21,10,389,348,54,77,28,8,513,329,59,70,36,3,497,343,69,83,52,15,559,231,36,75,47,6,386,69,27,50,23,7,181,34,15,24,34,6,107,10,14,25,29,3,82,2934,406,540,324,82,4283
LGA15560,13,13,0,162,108,26,25,11,3,169,119,34,35,13,3,201,118,38,36,14,4,214,76,12,18,20,5,132,37,5,22,7,4,73,9,4,14,8,0,34,3,5,13,10,0,32,1060,204,223,122,40,1649
LGA15650,41,7,4,976,855,39,34,17,3,950,851,37,57,15,5,974,695,31,50,14,11,803,386,27,46,10,3,466,126,26,41,10,5,207,36,4,24,23,3,88,15,6,9,15,3,44,7616,272,409,130,91,8517
LGA15700,73,14,11,557,439,34,84,10,9,581,505,29,100,25,8,664,540,42,111,16,12,724,305,39,118,29,12,501,102,22,77,34,3,237,39,7,27,14,0,90,10,6,17,32,7,68,4118,265,734,209,87,5411
LGA15750,79,23,12,675,510,38,66,10,11,636,560,61,85,27,9,730,477,74,51,41,13,653,304,47,72,26,14,461,100,39,48,46,5,237,29,12,28,14,7,96,6,4,24,29,6,73,4982,399,564,267,97,6309
LGA15800,25,6,4,215,160,17,27,11,0,219,196,13,39,24,3,273,167,23,50,25,11,271,102,19,38,13,0,173,45,21,35,16,5,121,6,5,25,3,0,36,8,3,16,14,3,45,1465,145,312,135,32,2093
LGA15850,31,8,3,188,125,16,40,23,3,202,128,22,38,17,0,207,132,29,35,14,0,214,71,16,45,18,0,141,35,9,23,16,0,88,10,9,8,10,0,37,11,3,11,9,5,33,1248,140,280,136,21,1833
LGA15900,578,69,67,11075,9780,689,605,76,67,11214,9433,636,538,84,67,10749,8280,539,530,75,83,9499,4702,372,396,55,51,5581,1468,204,213,65,30,1984,355,88,107,34,28,608,171,50,55,47,28,345,87355,4310,4483,661,694,97502
LGA15950,364,55,42,9117,6494,790,347,51,38,7727,4973,764,334,48,27,6153,3544,628,332,58,36,4607,2080,472,258,42,25,2874,961,366,186,56,21,1597,324,163,94,36,17,624,116,79,55,44,13,308,63372,5165,2884,512,449,72386
LGA15990,1295,186,77,9819,6577,1773,1364,154,69,9939,6255,1789,1175,180,82,9481,5291,1402,1001,134,62,7894,3693,1015,750,144,58,5664,1820,649,473,131,44,3124,648,343,252,91,33,1364,260,185,148,104,36,740,66066,10966,9053,1424,703,88217
LGA16100,24,10,0,221,193,21,22,3,10,250,171,14,24,8,7,220,172,15,39,4,3,230,124,20,39,18,4,207,67,11,34,27,6,144,27,4,25,29,3,85,3,5,16,10,4,32,1640,123,261,127,35,2190
LGA16150,156,17,22,2149,1775,153,150,12,25,2119,1639,144,148,17,28,1977,1567,123,154,28,15,1887,907,97,119,38,24,1179,359,66,85,34,7,554,98,33,40,11,6,195,44,12,19,17,21,108,16246,1002,1265,227,233,18974
LGA16200,59,19,6,586,463,41,83,23,5,617,486,53,68,34,15,658,438,37,87,27,8,600,262,26,88,46,9,431,90,17,59,39,3,209,35,12,28,18,8,98,12,7,25,34,6,83,4352,305,624,257,92,5634
LGA16260,679,124,108,15959,12901,1051,658,105,118,14830,12287,1072,721,115,102,14302,10402,785,620,83,98,11988,6678,561,449,86,65,7842,2480,351,276,63,41,3203,651,142,124,34,30,979,214,85,54,29,21,407,122551,7313,5273,1000,1070,137198
LGA16350,511,91,55,7534,6108,669,562,62,53,7453,5722,614,531,79,54,7004,5234,552,479,66,58,6391,3359,393,354,63,39,4212,1246,203,223,52,28,1749,317,97,84,33,12,536,98,34,47,19,21,220,58661,4453,4156,672,588,68524
LGA16380,374,44,33,3142,2710,266,365,46,31,3423,2653,291,383,66,39,3432,2500,251,432,73,35,3297,1455,182,360,93,31,2129,505,129,177,71,16,898,147,54,108,51,11,364,62,21,51,40,19,192,21949,1777,2875,591,331,27531
LGA16400,215,32,16,2924,2470,204,221,33,25,2950,2419,233,218,42,22,2929,2006,224,251,45,30,2545,1169,177,197,49,22,1615,375,103,112,36,15,638,92,51,63,35,13,257,51,23,20,31,9,133,22016,1492,1742,364,241,25849
LGA16490,114,28,4,1582,1201,210,192,34,25,1659,1094,201,175,33,22,1519,950,174,153,50,9,1334,622,119,149,49,15,960,247,69,103,49,15,480,73,34,55,35,3,198,25,14,42,40,3,134,11567,1344,1281,368,142,14713
LGA16550,423,48,45,5199,3967,484,451,58,39,5003,3739,469,465,55,54,4775,3285,356,376,51,43,4117,2185,270,298,50,33,2834,974,134,179,35,19,1344,363,71,87,17,15,548,123,38,58,31,13,257,39418,3258,3435,520,415,47040
LGA16610,64,11,12,698,645,33,74,12,11,780,649,30,105,22,19,824,634,45,106,24,14,817,498,36,94,32,10,674,153,22,50,41,16,277,30,8,32,22,8,106,13,3,32,28,10,85,5590,277,693,225,131,6912
LGA16650,272,47,27,3013,2319,310,263,34,34,2965,2189,285,273,32,34,2804,1872,216,236,34,28,2395,1222,153,185,21,20,1601,523,89,118,32,12,773,136,34,41,17,6,234,37,31,37,13,7,123,21840,2050,2112,341,295,26641
LGA16700,403,69,46,11109,8541,600,419,68,50,9672,7376,602,421,62,54,8524,5729,449,385,55,52,6673,3408,302,264,45,36,4054,1362,184,165,27,31,1770,389,59,58,18,9,532,156,39,66,19,23,302,77123,3774,3059,566,515,85034
LGA16900,184,33,20,1918,1566,189,163,18,18,1954,1409,154,191,33,18,1807,1290,121,130,30,12,1579,690,91,120,25,11,940,194,50,48,15,9,320,56,15,13,18,5,110,26,12,6,6,8,58,14308,1107,1351,258,186,17200
LGA16950,395,67,42,3596,2943,295,425,65,47,3782,3078,306,536,72,46,4045,2998,352,491,88,46,3978,1808,221,422,94,44,2588,644,137,244,76,29,1128,157,59,106,58,19,403,47,41,53,36,24,206,27174,2212,3522,694,487,34092
LGA17000,56,15,20,1894,1576,85,68,12,8,1751,1413,78,68,18,21,1608,1157,79,73,22,9,1335,571,50,64,31,14,728,174,32,53,45,8,315,35,10,38,34,0,121,16,7,25,18,7,68,13985,577,576,230,142,15517
LGA17040,115,32,3,938,738,103,145,33,8,1021,780,106,143,35,9,1076,670,104,145,42,10,969,423,69,140,41,19,694,173,49,96,44,12,380,57,23,64,59,7,217,23,8,48,47,12,135,7508,659,1081,394,115,9757
LGA17080,47,11,14,629,508,36,61,14,16,635,575,52,58,25,10,727,554,44,88,34,6,724,336,44,103,30,11,518,108,27,87,33,10,264,38,10,40,30,0,123,11,6,30,30,8,93,4527,333,628,250,120,5865
LGA17100,129,22,21,2489,1961,272,155,31,27,2439,2004,251,193,30,29,2505,1734,213,126,34,30,2132,1063,156,78,20,7,1323,415,77,57,5,8,570,116,45,36,3,6,207,50,32,21,11,3,117,18642,1736,1138,225,238,21971
LGA17150,724,82,67,7150,5204,976,729,104,59,7070,5167,889,685,108,81,6924,4732,831,646,90,52,6354,2977,599,520,95,52,4247,1262,426,313,90,32,2134,413,163,151,58,11,795,110,78,104,52,18,361,53867,6577,5535,893,636,67504
LGA17200,2207,196,315,59022,42078,3564,2070,202,293,48208,33388,3138,2045,193,301,39057,24971,2428,1748,168,213,29536,14733,1561,1342,146,181,17968,6151,1011,845,127,106,8245,1937,457,356,70,79,2902,716,250,214,95,89,1364,454683,23027,16461,1981,3232,499390
LGA17310,218,31,37,2613,2265,183,238,53,31,2768,2169,195,279,67,25,2743,1991,168,271,83,38,2552,1291,145,275,110,30,1856,488,86,180,90,14,858,146,36,99,58,9,354,53,20,77,57,26,235,20747,1266,2121,661,325,25123
LGA17350,46,8,0,239,186,21,48,8,7,271,206,14,62,12,0,300,163,15,53,29,7,269,124,24,44,19,6,208,50,8,33,22,0,114,17,5,15,8,0,47,5,4,6,19,0,33,1626,125,397,150,33,2331
LGA17400,42,17,3,222,136,14,48,22,9,219,149,13,38,21,0,227,173,22,68,26,6,304,146,17,65,39,11,272,43,7,44,35,5,136,16,4,34,24,3,85,3,4,17,29,3,59,1334,107,408,241,57,2148
