LGA_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
LGA21370,2793,2243,2018,1624,1545,1667,988,2223,227,15338
LGA21450,2974,3665,3582,2829,2861,3098,1463,2762,349,23576
LGA21610,6804,11769,8654,8516,7511,7805,3785,6750,961,62565
LGA21670,499,628,583,563,394,507,241,626,69,4102
LGA21750,1591,1353,1215,1075,1005,977,580,1317,151,9265
LGA21830,1787,937,802,633,561,605,388,928,118,6758
LGA21890,6139,11141,6105,6349,5903,5896,3056,3989,831,49419
LGA22110,2471,2434,2052,2040,1796,1657,882,2095,261,15681
LGA22170,4757,8296,5795,5125,5443,4530,2155,3988,632,40714
LGA22250,960,597,465,401,478,393,250,507,61,4106
LGA22310,4351,11146,4330,5627,4877,3673,851,2544,579,37975
LGA22410,1314,999,962,788,731,711,798,943,120,7374
LGA22490,778,474,484,332,357,222,214,503,57,3421
LGA22620,5005,9622,6038,5400,5984,4975,2600,4750,662,45035
LGA22670,12483,15124,14100,6629,14415,8657,13588,11009,1900,97913
LGA22750,10256,21338,12762,12329,12218,10706,5410,9138,1483,95635
LGA22830,3964,5502,3587,3203,3343,2750,1813,3280,428,27867
LGA22910,857,844,596,694,449,413,181,595,67,4688
LGA22980,578,312,222,206,192,136,151,345,27,2171
LGA23110,4263,5409,5429,3356,4009,2886,5029,4141,666,35197
LGA23190,1324,1669,1192,1049,1119,1101,445,956,129,8991
LGA23270,10413,12270,12700,9159,12327,8879,12316,10359,1800,90209
LGA23350,948,698,613,563,419,336,301,836,73,4795
LGA23430,10473,11828,10934,6494,9307,9184,6381,7438,1178,73211
LGA23670,9057,11610,9529,6202,9575,7715,5465,6574,1118,66838
LGA23810,2870,4660,4662,3691,3960,2927,2068,2661,537,28046
LGA23940,996,295,203,169,166,136,209,403,59,2643
LGA24130,1634,2406,1897,1911,1572,1455,570,1513,190,13147
LGA24210,3553,5985,3568,4567,3330,4715,933,2222,463,29330
LGA24250,607,504,468,380,320,349,143,387,45,3214
LGA24330,4433,8527,3832,4472,4377,5209,2922,3206,684,37665
LGA24410,5171,8705,6370,4829,5500,4877,2301,4372,652,42780
LGA24600,69927,163823,29648,30256,80350,27667,7603,19285,8326,436884
LGA24650,2485,4302,3418,4041,2947,3122,1830,2335,430,24909
LGA24780,3101,3232,2455,2185,2336,2048,1278,2359,332,19322
LGA24850,1483,1772,1394,1711,1205,1198,653,1412,163,10991
LGA24900,2111,1263,1326,994,1032,977,726,1896,208,10542
LGA24970,14548,29447,12832,9278,15656,8704,5544,7159,1692,104862
LGA25060,4150,7984,4490,5138,5527,4847,1443,2535,610,36722
LGA25150,1014,989,962,732,804,557,566,836,132,6600
LGA25250,4447,8690,5521,5874,4393,3926,2411,3383,650,39293
LGA25340,5890,8303,8287,7408,5484,6219,1735,5390,736,49461
LGA25430,926,1259,830,865,567,512,326,1496,105,6878
LGA25490,1701,661,675,505,495,377,460,878,104,5851
LGA25620,842,563,604,528,437,311,212,521,77,4096
LGA25710,1570,2945,2073,2122,1640,1322,408,1063,173,13305
LGA25810,897,646,501,694,421,435,316,884,77,4868
LGA25900,14626,23624,7133,6265,11710,6247,1642,3338,1253,75840
LGA25990,586,229,187,274,174,113,145,254,41,2005
LGA26080,179,271,175,186,175,120,20,123,26,1279
LGA26170,2345,1549,1351,1010,1136,943,724,1361,150,10577
LGA26260,1574,1226,882,784,801,696,334,746,95,7137
LGA26350,8140,15001,5855,6607,6377,8342,696,3208,833,55061
LGA26430,870,436,461,334,292,240,182,651,59,3533
LGA26490,1506,1533,1287,1204,909,1102,260,1011,126,8932
LGA26610,1611,1353,1124,904,981,922,557,1200,192,8852
LGA26670,662,279,199,191,166,119,95,278,34,2015
LGA26700,1906,1928,1461,1308,1357,1242,711,1255,208,11383
LGA26730,1525,2437,1709,1532,1843,1882,674,1204,188,13000
LGA26810,2990,2579,2770,1890,1686,1481,1115,2150,280,16934
LGA26890,733,191,124,129,108,47,89,232,24,1677
LGA26980,8607,20771,7564,7857,10768,7166,1894,4185,1097,69914
LGA27070,6112,10607,7283,5929,6593,7111,4364,6155,894,55053
LGA27170,1949,3344,2978,2213,2129,1702,1579,2054,296,18245
LGA27260,6865,9851,7366,6690,7334,7077,9936,6452,1124,62691
LGA27350,13249,27849,7731,6833,10965,7235,2254,3681,1323,81129
LGA27450,5095,6524,6368,5307,4463,4450,2146,4669,618,39636
LGA27630,776,316,257,331,204,154,168,299,46,2560
LGA29090,0,0,0,0,0,0,0,0,0,0
LGA29399,314,116,223,574,139,229,280,245,46,2161
LGA29499,7931,11580,45843,10740,4300,5051,8961,22073,2556,119037
LGA29799,6,14,67,0,0,3,25,35,4,155
LGA29898,0,0,0,0,0,0,0,0,0,0
LGA30250,19,61,45,67,25,14,9,28,11,286
LGA30300,541,262,214,194,215,156,171,330,28,2108
LGA30370,1050,735,943,518,607,498,758,647,85,5843
LGA30410,418,179,137,122,138,75,94,263,27,1455
LGA30450,63,20,51,13,27,6,30,61,8,284
LGA30760,238,84,74,87,83,75,61,143,16,858
LGA30900,17,8,25,17,15,9,14,26,3,122
LGA31000,92277,191517,79954,72693,118299,60101,41318,53147,11664,720965
LGA31750,36,16,30,15,18,8,10,26,4,165
LGA31820,3840,4931,3959,3826,3891,3517,2176,4626,472,31246
LGA31900,1303,862,995,669,831,595,807,1213,103,7388
LGA31950,40,73,42,92,49,13,16,72,20,428
LGA32080,7574,13370,9168,9424,9423,7636,3403,6354,1116,67472
LGA32250,138,114,121,113,95,25,45,194,18,867
LGA32260,1796,1342,1449,1189,1218,987,977,2379,192,11533
LGA32270,2056,1973,3054,1010,1575,1092,3365,1602,244,15965
LGA32310,676,663,574,486,418,370,398,613,61,4251
LGA32330,27,102,32,105,43,23,15,54,5,405
LGA32450,283,385,716,111,241,77,714,324,51,2900
LGA32500,305,441,482,305,229,98,489,370,66,2775
LGA32600,50,14,16,16,19,5,22,36,5,184
LGA32750,67,20,43,22,22,15,20,66,9,281
LGA32770,27,57,58,86,34,15,18,54,13,361
LGA32810,860,642,862,886,571,587,286,801,109,5607
LGA33100,101,25,32,24,28,3,26,56,7,310
LGA33200,258,61,74,52,77,46,83,136,15,797
LGA33220,2994,4989,3769,4535,3843,3433,1742,3395,434,29137
LGA33360,2564,3823,4991,2360,3043,2256,3274,2762,399,25466
LGA33430,28859,43594,33382,29214,33406,30058,14230,23869,4082,240694
LGA33610,1020,545,569,444,538,399,451,712,69,4757
LGA33620,2197,2286,2117,1861,1825,1707,1218,2255,271,15725
LGA33800,690,561,640,495,488,387,429,566,59,4308
LGA33830,3,12,6,12,6,3,5,11,7,63
LGA33960,6247,11180,8440,8566,7351,6586,5214,8078,1104,62777
LGA33980,1416,1678,3226,854,1066,704,3908,1253,234,14328
LGA34420,25,37,36,72,18,9,16,38,13,261
LGA34530,1156,1233,1294,1301,1087,879,451,1344,118,8866
LGA34570,30,64,127,58,32,4,148,73,12,544
LGA34580,1700,1497,1216,1198,1133,989,988,2306,160,11183
LGA34590,9871,14934,12084,10649,12244,11170,6738,9796,1499,88994
LGA34710,376,322,248,216,244,154,108,218,40,1920
LGA34770,5193,7327,8140,4437,6159,4623,4181,4813,740,45605
LGA34800,206,117,292,36,66,11,332,135,22,1226
LGA34830,7,22,30,8,9,4,39,10,3,128
LGA34860,1541,946,1057,553,798,458,732,829,116,7036
LGA34880,1285,999,889,1020,824,654,432,1132,127,7361
LGA35010,11990,19343,15968,15475,14483,14285,6965,12794,1679,112990
LGA35250,8,9,9,19,6,3,0,3,0,48
LGA35300,752,1532,2073,885,979,650,1438,853,168,9320
LGA35600,412,307,209,209,204,140,95,374,32,1987
LGA35670,21,28,50,23,16,3,64,14,3,224
LGA35740,2725,3556,3004,2798,2516,2722,831,2110,315,20581
LGA35760,1091,394,412,388,377,263,355,1003,84,4374
LGA35780,91,127,104,166,100,56,51,103,16,822
LGA35790,43,125,67,168,56,20,19,78,16,591
LGA35800,287,82,131,86,85,35,79,147,17,945
LGA36070,26,39,27,45,15,13,16,29,4,209
LGA36150,101,41,49,26,41,16,35,45,10,365
LGA36250,4464,7199,5567,5633,5254,5217,1943,4637,554,40472
LGA36300,113,59,127,80,71,68,73,125,16,734
LGA36370,3638,6671,5460,4527,5282,3940,2522,4078,497,36613
LGA36510,2146,1801,1639,1698,1382,1023,731,1826,166,12414
LGA36580,1059,704,769,621,555,467,522,1304,94,6093
LGA36630,1780,1472,1442,1331,1123,994,870,1727,195,10946
LGA36660,2197,1649,1649,1455,1471,1249,1055,2357,230,13319
LGA36720,12735,19451,15795,13349,14861,13101,6007,10848,1585,107729
LGA36820,1454,1295,1012,1011,986,844,511,1310,139,8561
LGA36910,8595,13379,9763,7900,9759,6514,4592,8002,852,69361
LGA36950,172,354,183,246,228,77,42,162,48,1505
LGA36960,81,218,136,158,127,58,20,147,41,996
LGA37010,8051,16027,11368,12400,11586,8110,5364,7584,1178,81678
LGA37300,116,200,219,128,138,96,77,128,10,1123
LGA37310,3021,1988,3024,1237,1726,1212,1715,2039,270,16235
LGA37340,2115,1712,2434,1746,1553,1418,1485,2406,236,15105
LGA37400,143,35,77,42,49,19,51,111,7,537
LGA37550,14,19,11,18,15,5,5,9,0,96
LGA37570,14,14,11,15,6,3,6,11,5,81
LGA37600,48,118,38,120,46,12,7,50,27,451
LGA39090,0,0,0,0,0,0,0,0,0,0
LGA39499,6496,8924,34880,7959,3724,4424,8990,21413,2113,98920
LGA39799,9,53,36,15,13,3,14,52,4,202
LGA39898,0,0,0,0,0,0,0,0,0,0
LGA40070,14575,40812,7821,11778,27048,7298,1188,5149,1976,117645
LGA40120,1577,1823,1399,1233,1035,813,494,1328,124,9825
LGA40220,1176,914,862,901,667,627,345,950,85,6525
LGA40250,91,199,30,152,33,30,18,55,20,627
LGA40310,1440,1374,1343,1049,1131,828,703,1985,125,9974
LGA40430,259,46,48,50,51,31,63,107,14,662
LGA40520,633,806,583,605,574,416,234,622,56,4533
LGA40700,2096,5055,1450,2128,2907,1733,222,897,225,16709
LGA40910,927,2036,1327,1554,1060,1114,460,922,133,9525
LGA41010,296,206,161,236,179,134,123,216,43,1591
LGA41060,4556,7545,5834,4979,4924,4689,2852,3961,594,39937
LGA41140,871,578,505,408,478,371,225,632,49,4122
LGA41190,297,82,105,43,79,46,55,108,20,842
LGA41330,102,93,82,122,79,55,45,79,21,675
LGA41560,530,637,624,575,524,592,243,558,69,4350
LGA41750,184,46,25,30,38,14,18,76,7,446
LGA41830,133,74,126,62,41,25,126,92,11,686
LGA41960,137,42,48,45,40,30,26,56,4,424
LGA42030,660,1221,752,1043,817,1079,267,765,97,6699
LGA42110,430,144,184,93,114,66,72,204,33,1333
LGA42250,602,238,261,221,223,90,308,527,29,2507
LGA42600,1342,2129,1588,2620,1449,1579,225,1273,152,12350
LGA42750,526,248,227,245,190,199,92,308,26,2049
LGA43080,202,54,52,38,32,23,31,70,8,497
LGA43220,198,55,55,51,46,40,37,66,8,549
LGA43360,262,77,99,74,68,96,37,171,17,897
LGA43650,936,703,729,400,534,288,468,874,76,5010
LGA43710,505,171,199,155,136,82,109,211,18,1591
LGA43790,951,465,511,458,444,322,297,936,74,4455
LGA43920,464,106,234,75,159,90,225,572,43,1966
LGA44000,3,0,3,0,0,0,4,0,0,7
LGA44060,2352,3921,2812,3502,2916,2823,1085,1985,283,21670
LGA44210,582,221,295,242,202,177,159,492,40,2397
LGA44340,2398,10047,3030,3377,3419,2111,612,2173,309,27472
LGA44550,1332,1752,1356,1447,1172,1452,609,1214,144,10479
LGA44620,1026,1588,1557,1389,1447,1379,941,1127,163,10624
LGA44830,358,111,87,99,70,37,39,128,20,945
LGA45040,1049,1076,1072,1133,861,944,632,2050,160,8977
LGA45090,908,463,475,316,402,437,223,789,47,4062
LGA45120,530,199,198,138,157,130,119,219,16,1715
LGA45290,2982,5789,2861,2626,3599,2702,432,1777,292,23053
LGA45340,4182,6346,5459,5493,4072,5238,2004,4472,507,37784
LGA45400,119,34,35,40,28,14,3,71,7,354
LGA45540,114,49,46,46,17,33,24,57,5,387
LGA45680,2711,4920,2394,3439,2242,2828,1670,3671,396,24272
LGA45890,7304,7939,10240,6886,7530,6123,8391,7653,1051,63112
LGA46090,494,921,632,869,740,648,445,552,80,5374
LGA46300,685,1100,941,808,888,831,333,907,112,6599
LGA46450,730,1034,986,899,722,741,668,778,113,6673
LGA46510,680,1182,768,761,754,860,116,518,80,5722
LGA46670,651,370,408,322,347,391,349,919,75,3828
LGA46860,190,47,68,59,52,70,18,130,12,658
LGA46970,153,251,711,131,166,93,708,197,59,2468
LGA47140,5224,8233,6665,5388,5370,4392,4892,5758,841,46772
LGA47290,374,72,93,72,63,59,79,143,15,971
LGA47490,287,115,108,79,82,70,64,140,24,981
LGA47630,885,318,406,192,320,265,234,750,62,3421
LGA47700,1940,3889,2785,3325,2235,3572,1003,2311,259,21308
LGA47800,700,197,170,148,163,164,115,358,23,2037
LGA47910,300,77,86,51,69,56,55,103,13,817
LGA47980,2562,5354,1958,3193,2898,1654,261,1218,264,19370
LGA48050,514,747,562,747,568,593,146,516,60,4450
LGA48130,669,274,271,272,228,144,211,633,45,2745
LGA48260,255,726,230,375,286,208,17,196,30,2332
LGA48340,1034,483,541,404,403,328,428,902,66,4579
LGA48410,5550,7089,6328,4076,6975,4387,3532,4340,674,42959
LGA48540,547,1170,1158,920,764,785,862,834,147,7180
LGA48640,215,72,66,44,56,50,37,94,4,636
LGA48750,348,145,178,149,127,141,54,200,22,1366
LGA48830,1054,431,417,384,342,270,244,498,67,3710
LGA49090,0,0,0,0,0,0,0,0,0,0
LGA49399,544,555,1522,238,250,103,1314,546,121,5200
LGA49499,2141,3071,12099,3898,1273,1493,2399,7300,627,34306
LGA49799,3,12,14,3,0,0,7,19,0,64
LGA49898,0,0,0,0,0,0,0,0,0,0
LGA50080,1901,2616,2093,2073,1808,1633,835,1635,221,14812
LGA50210,1622,3527,2511,2443,1976,2332,1003,1934,228,17569
LGA50250,1705,3030,8741,1338,1511,750,4918,4169,549,26712
LGA50280,1088,809,847,692,590,626,248,848,84,5832
LGA50350,705,743,1377,545,851,393,540,669,96,5926
LGA50420,2192,3196,3287,2741,2203,2993,1187,2057,320,20178
LGA50490,5408,6029,7245,4312,6413,3859,6333,4119,820,44530
LGA50560,171,34,64,39,55,26,29,66,5,493
LGA50630,154,192,636,71,115,33,694,176,48,2121
LGA50770,272,68,48,42,57,26,41,99,7,656
LGA50840,271,238,298,143,165,141,173,209,31,1663
LGA50910,159,33,39,51,35,22,31,51,13,428
LGA50980,839,1205,1134,804,862,409,543,607,113,6513
LGA51080,191,25,19,17,28,9,25,32,5,354
LGA51120,170,39,48,35,30,19,25,47,3,412
LGA51190,2357,3990,4051,2407,3186,2403,2193,2687,369,23637
LGA51260,1896,2170,2083,1660,1619,1690,617,1739,179,13651
LGA51310,1418,4699,1142,2000,2006,862,162,713,186,13193
LGA51330,6681,7601,8887,4110,8013,6279,7049,5298,1011,54937
LGA51400,386,424,475,233,325,163,262,384,60,2721
LGA51470,21,38,33,16,30,14,16,23,8,204
LGA51540,376,302,489,211,300,144,300,243,53,2402
LGA51610,114,49,35,33,51,11,22,53,3,378
LGA51680,277,134,258,63,145,73,162,212,25,1344
LGA51750,833,1847,590,930,746,1109,94,460,70,6679
LGA51820,5350,6102,9713,3661,5493,3867,4365,4398,764,43710
LGA51890,298,518,1280,343,344,257,866,494,84,4490
LGA51960,162,325,498,124,150,90,480,154,30,2006
LGA52030,104,26,59,21,33,13,36,70,4,362
LGA52100,189,57,54,26,53,27,41,62,14,528
LGA52170,415,551,340,450,324,324,25,186,52,2678
LGA52240,233,23,33,23,34,9,38,100,10,504
LGA52310,97,3,21,4,16,0,17,30,4,186
LGA52380,10,8,12,3,10,0,13,11,3,69
LGA52450,170,76,106,55,51,38,35,71,4,609
LGA52520,269,62,117,38,81,45,61,107,7,789
LGA52590,378,128,210,86,147,72,125,266,17,1433
LGA52660,410,382,500,418,277,419,429,425,45,3306
LGA52730,390,324,251,208,209,189,66,246,16,1893
LGA52800,159,222,228,212,148,82,131,188,35,1400
LGA52870,404,171,194,158,156,140,107,291,30,1653
LGA52940,127,30,25,16,28,7,23,30,4,290
LGA53010,161,24,22,20,20,11,25,35,0,313
LGA53080,31,38,78,34,22,17,61,45,11,330
LGA53150,277,429,223,368,224,100,36,102,40,1792
LGA53220,805,1546,3966,555,642,278,3590,1189,280,12850
LGA53290,860,623,940,470,617,466,580,629,106,5287
LGA53360,121,144,221,113,108,81,87,99,14,1000
LGA53430,3283,5695,3287,3096,3392,2121,1621,2433,405,25331
LGA53570,508,104,219,73,181,92,158,531,41,1912
LGA53640,241,52,87,34,69,31,39,87,5,645
LGA53710,126,32,31,42,40,17,28,44,4,356
LGA53780,2522,3703,4125,3598,2667,2865,1893,2633,345,24345
LGA53800,2003,2842,2794,1885,2123,1419,1563,1703,318,16650
LGA53920,19,44,45,54,27,13,39,43,11,298
LGA53990,840,923,1140,622,604,547,714,1134,103,6627
LGA54060,160,136,166,109,131,91,101,123,16,1037
LGA54130,265,40,55,30,45,17,41,80,10,583
LGA54170,4156,10772,4950,7414,5845,7312,1059,3849,649,46015
LGA54200,1613,2131,2341,1571,1959,1309,1769,1510,254,14453
LGA54280,1361,1923,2933,1142,1543,902,2167,1258,253,13484
LGA54310,1015,1532,2869,825,1038,500,1543,1106,208,10634
LGA54340,263,264,264,172,195,160,84,375,35,1825
LGA54410,115,37,53,70,43,24,28,55,10,429
LGA54480,166,10,14,6,18,6,24,36,0,282
LGA54550,361,99,81,68,84,53,65,120,23,946
LGA54620,204,65,139,44,46,12,96,70,12,696
LGA54690,76,4,22,13,18,3,13,23,3,177
LGA54760,203,26,29,16,27,17,27,40,3,384
LGA54830,1293,1853,3119,1163,1298,656,1890,1440,289,13009
LGA54900,325,64,92,34,65,32,68,79,13,764
LGA54970,175,286,622,90,113,54,684,185,47,2257
LGA55040,157,281,533,100,128,70,533,187,34,2020
LGA55110,1875,3670,2911,3427,2613,3170,978,2315,290,21254
LGA55180,879,527,500,375,456,373,292,661,57,4125
LGA55250,86,191,275,52,54,22,244,74,26,1030
LGA55320,3829,12163,4315,4801,5299,4947,936,3180,529,40001
LGA55390,28,73,168,27,36,14,126,42,16,530
LGA55460,270,233,223,138,175,138,147,147,19,1481
LGA55530,65,8,22,11,16,14,14,14,3,172
