LGA_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
LGA10850,3,0,0,0,3,24,10,5,0,40,39,94,12,8,152,118,39,7,4,173,225,49,13,6,291,213,47,8,4,275,221,65,14,3,300,249,75,8,3,336,264,69,11,3,349,212,84,11,5,314,192,67,12,4,270,141,61,6,4,216,48,40,12,0,97,34,35,5,7,82,30,22,3,4,67,1978,750,130,60,2918
LGA10900,0,4,0,0,4,98,112,13,16,237,258,1057,55,35,1410,634,933,39,34,1648,747,538,60,29,1363,755,553,50,25,1377,815,652,47,17,1535,1041,817,35,22,1918,1170,881,53,34,2142,1175,840,65,19,2101,1100,853,83,28,2063,679,830,58,16,1581,269,528,39,13,849,62,214,15,4,290,33,100,7,6,150,8737,8801,596,288,18417
LGA10950,0,0,0,0,0,17,6,0,0,26,18,24,3,4,56,82,21,0,0,110,109,20,8,5,141,86,31,0,4,127,74,15,5,3,96,101,40,3,0,146,113,39,3,3,158,119,27,5,0,157,80,20,3,4,112,53,28,0,3,89,27,16,3,0,55,7,12,0,7,25,19,12,4,3,40,904,320,42,39,1295
LGA11100,0,0,0,0,3,335,141,25,38,541,255,881,80,50,1265,1936,1856,105,115,4013,3930,1357,156,149,5593,4734,1143,248,122,6243,4374,1116,232,104,5828,4397,1230,203,99,5929,4173,1288,180,102,5738,3756,1097,193,101,5146,2987,885,167,67,4112,1518,612,105,45,2285,594,334,41,16,989,130,124,8,6,272,42,74,3,5,124,32815,12001,1722,995,47543
LGA11150,0,0,0,0,0,26,3,0,3,26,10,12,0,0,23,59,16,3,0,85,91,30,4,3,122,94,18,3,0,123,74,21,0,0,100,72,19,5,5,99,86,16,3,6,112,95,29,0,0,125,77,19,7,0,105,55,14,0,0,74,26,21,3,0,50,5,8,0,0,23,8,3,0,3,14,761,232,31,27,1054
LGA11200,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,7,0,0,7,8,7,4,0,17,9,3,0,0,11,17,3,0,0,21,6,5,0,0,15,8,4,0,0,18,14,3,0,0,19,14,9,0,0,21,7,5,0,0,11,8,0,0,0,6,3,0,0,0,3,0,0,0,0,0,93,50,11,3,162
LGA11250,0,0,0,0,3,70,51,5,6,133,84,251,24,10,367,344,187,26,14,575,519,193,41,13,766,435,183,31,10,661,394,166,24,12,589,435,186,22,19,661,485,200,22,11,717,556,199,35,19,800,552,239,49,10,856,326,149,29,22,526,95,96,13,3,213,25,36,4,6,69,10,14,8,8,48,4260,2114,316,169,6856
LGA11300,0,0,0,0,0,108,54,11,22,199,80,732,38,30,871,601,1038,38,61,1730,1287,605,67,51,2011,1318,547,77,35,1986,1129,483,60,39,1706,1133,527,27,23,1719,1176,506,40,38,1766,1227,524,36,22,1809,1040,449,50,24,1558,613,380,34,19,1046,251,241,21,8,518,65,100,7,0,168,25,65,8,3,96,9946,6194,506,347,16995
LGA11350,0,0,0,0,0,104,79,8,14,211,106,475,30,28,644,366,407,21,22,815,575,520,31,24,1159,626,533,34,21,1213,654,597,43,31,1317,805,710,37,45,1596,843,669,38,25,1576,758,643,37,29,1471,668,698,48,19,1432,412,599,50,21,1085,146,279,19,10,452,41,109,7,6,155,28,50,0,16,91,6014,6286,408,298,12998
LGA11400,0,0,0,0,0,37,22,0,4,65,61,88,5,10,165,139,64,4,3,212,241,78,20,8,347,280,95,19,6,391,278,98,12,9,397,320,134,8,10,476,346,113,8,7,468,353,133,20,4,509,304,114,23,3,452,227,124,24,4,378,140,89,14,8,246,74,66,4,4,146,53,48,0,11,113,2811,1239,160,93,4309
LGA11450,0,0,0,0,4,202,100,13,24,335,564,1470,55,45,2127,1558,1024,63,70,2715,1913,587,89,59,2653,1745,735,102,45,2621,1624,795,76,49,2552,1892,845,48,61,2848,1789,759,47,46,2642,1598,679,61,47,2389,1253,598,70,24,1945,758,518,62,26,1365,278,249,36,16,577,63,97,5,9,164,24,49,4,11,84,15053,8401,715,512,24684
LGA11500,0,4,0,0,4,352,172,14,49,591,660,2311,121,76,3174,2472,2102,118,152,4834,3357,1271,176,132,4934,3381,1423,222,107,5137,3294,1390,140,97,4913,3743,1463,103,123,5437,3569,1360,115,94,5134,3683,1350,116,95,5247,3177,1236,139,61,4616,1786,975,106,67,2930,576,519,44,31,1175,137,201,9,11,358,28,84,8,7,130,29870,15699,1423,1035,48022
LGA11520,0,3,0,0,3,195,95,8,30,335,196,992,52,26,1269,1476,1406,98,97,3076,2985,1094,108,102,4295,3208,998,184,82,4479,2944,961,142,68,4118,2795,996,83,54,3930,2490,890,51,46,3482,2347,815,54,58,3281,1750,761,71,46,2629,982,615,62,40,1702,374,425,32,12,840,121,182,10,12,324,42,85,10,11,143,21726,10215,953,664,33558
LGA11570,4,3,0,0,8,608,332,27,82,1051,877,2894,174,140,4086,4175,3916,192,326,8609,6797,2812,288,315,10202,7226,2904,401,294,10820,6807,3000,244,236,10287,7271,3040,202,242,10757,7537,3031,176,255,10991,7486,2840,216,226,10767,6332,2454,250,168,9194,3728,1987,193,107,6018,1327,1135,89,40,2598,349,477,35,26,886,151,222,22,20,422,60067,30698,2484,2389,95636
LGA11600,0,0,0,0,0,9,8,3,10,28,30,29,5,3,70,61,37,8,4,107,85,37,6,3,135,71,27,11,3,112,70,29,5,5,109,96,34,7,3,144,120,24,3,0,149,103,37,6,0,147,100,40,4,0,148,83,24,3,0,111,39,9,3,3,60,11,10,4,0,19,7,13,3,0,31,883,350,67,38,1342
LGA11650,3,7,0,0,11,738,566,55,86,1450,1428,5847,295,170,7736,4829,4444,318,260,9846,6050,2791,392,177,9414,5846,3270,479,167,9762,5784,3608,366,177,9929,6971,4016,275,191,11445,7522,4101,285,181,12089,7385,3966,349,173,11875,6440,3975,410,146,10975,3580,3055,332,110,7078,1129,1621,138,55,2945,282,692,47,33,1051,116,259,27,52,453,57355,41635,3721,1886,104601
LGA11700,0,0,0,0,0,13,5,0,0,16,3,3,0,0,8,18,8,0,3,29,28,3,3,0,34,25,0,3,3,40,14,4,0,4,28,28,3,0,0,30,25,7,0,0,34,32,13,0,0,45,34,6,0,3,44,50,6,0,4,63,9,3,0,0,16,8,0,0,0,13,9,0,0,0,11,283,68,9,19,384
LGA11720,0,0,0,0,3,98,87,13,14,206,213,866,47,31,1153,684,648,60,28,1424,850,476,69,31,1429,862,556,82,27,1528,813,500,51,32,1395,983,589,37,23,1635,1041,579,36,38,1691,892,552,45,31,1521,871,529,54,23,1478,475,424,33,14,951,158,232,20,4,408,38,83,3,3,131,32,48,6,7,92,7904,6092,550,295,14840
LGA11730,0,0,3,4,4,140,90,11,10,251,209,719,50,34,1009,607,434,47,38,1133,690,383,56,20,1146,705,405,46,26,1182,853,517,46,21,1430,1094,579,48,42,1763,1180,657,56,38,1930,1250,733,66,33,2081,1194,821,91,32,2137,718,676,79,28,1504,232,323,28,25,605,83,140,17,12,245,65,94,8,19,188,8880,6473,647,358,16352
LGA11750,0,0,0,0,0,23,9,0,0,38,37,39,0,6,81,124,37,10,6,172,227,45,7,10,293,192,62,19,7,281,170,50,13,6,241,182,40,9,6,247,152,35,4,4,204,207,47,11,0,263,169,31,19,6,226,97,37,11,3,150,42,14,0,0,66,13,6,0,3,23,13,8,0,3,24,1632,462,111,66,2274
LGA11800,0,4,0,0,9,192,156,11,19,373,315,1457,83,53,1922,1199,1023,81,54,2354,1520,811,108,56,2500,1536,913,130,42,2611,1526,950,84,38,2601,1984,1154,62,44,3237,2130,1153,63,46,3397,2038,1201,109,66,3412,1852,1280,134,42,3307,1104,1021,105,32,2267,353,475,43,14,888,70,163,17,7,258,28,70,8,23,122,15655,11666,1027,523,28868
LGA12000,0,0,0,0,0,10,0,0,0,7,15,55,0,0,71,50,21,0,6,87,56,21,3,0,83,50,15,3,0,71,55,30,0,0,89,69,34,0,0,106,78,36,0,3,115,78,38,4,8,125,82,28,3,0,109,49,31,0,0,84,22,16,3,0,36,16,10,3,0,36,17,9,0,0,24,634,338,26,28,1030
LGA12150,0,0,0,0,0,26,10,0,3,32,18,28,3,4,47,55,28,4,8,94,86,27,4,3,116,93,29,11,6,145,54,36,3,4,100,81,31,6,12,133,116,46,9,5,171,122,30,3,3,152,120,49,10,3,188,94,35,6,3,143,37,27,0,3,68,29,11,0,3,41,15,8,4,3,30,927,377,65,60,1433
LGA12350,0,0,0,3,3,40,32,0,3,80,95,193,10,5,305,280,123,9,7,420,217,105,22,7,348,229,116,16,6,361,266,114,5,11,394,289,139,9,5,445,336,162,15,5,512,337,159,19,12,526,283,148,15,9,459,255,145,21,5,426,111,91,4,4,210,48,48,3,7,107,33,30,3,11,77,2766,1573,150,88,4581
LGA12380,0,0,0,0,3,515,228,18,66,830,659,2127,116,125,3027,3436,2853,126,204,6628,5730,2174,209,223,8337,6201,2135,309,224,8871,5958,2064,194,198,8417,5941,1964,137,173,8221,6046,1863,113,174,8189,5906,1652,157,153,7869,4730,1528,166,104,6524,2924,1190,141,80,4335,997,681,71,31,1785,265,304,18,17,596,82,110,10,16,223,48876,20649,1760,1726,73013
LGA12700,0,0,0,0,0,13,10,0,0,22,38,101,4,4,147,64,50,10,8,127,71,29,7,0,114,70,61,5,3,137,93,73,4,5,174,127,70,4,11,212,145,87,7,12,240,159,96,9,4,270,169,106,11,3,289,97,95,14,7,210,49,60,5,0,116,31,30,3,0,66,28,33,3,3,63,1127,896,90,57,2170
LGA12730,0,0,0,0,5,38,35,3,0,76,50,144,9,6,206,192,77,12,9,294,185,103,14,0,306,182,95,12,4,293,195,92,12,5,302,288,126,12,5,438,240,106,7,9,356,282,132,9,5,430,279,122,25,4,432,208,106,30,13,357,78,80,13,6,169,32,34,3,3,75,23,22,0,3,46,2228,1239,159,72,3697
LGA12750,0,0,0,0,0,84,90,3,8,188,147,576,38,30,789,367,336,27,30,762,420,288,28,18,757,480,341,43,17,881,514,402,33,15,968,721,473,24,27,1246,840,497,34,23,1392,858,629,60,24,1568,848,673,73,25,1621,524,634,76,15,1251,167,279,33,11,495,41,109,11,5,165,26,48,5,10,92,5955,5283,474,262,11976
LGA12850,0,0,0,0,4,420,174,13,60,671,591,1948,99,99,2743,2698,2379,112,206,5396,4245,1494,148,210,6094,4325,1597,204,193,6319,4078,1629,139,154,5994,4335,1800,102,143,6381,4435,1773,88,162,6457,4524,1745,128,176,6574,3808,1475,120,109,5520,2268,1086,118,77,3545,838,577,48,41,1497,205,194,19,11,424,67,86,13,18,179,36419,17785,1331,1590,57129
LGA12870,0,0,0,0,0,39,27,3,7,69,79,180,14,5,282,239,120,23,7,390,276,91,20,7,392,259,131,21,9,417,261,130,6,9,408,338,127,15,15,493,369,158,11,16,553,398,155,24,6,579,375,156,44,11,579,234,167,26,9,433,87,86,7,13,197,44,37,10,3,93,20,21,5,8,52,2970,1568,223,124,4879
LGA12900,0,0,0,0,0,46,21,0,7,69,80,130,21,10,234,235,71,10,14,326,245,89,22,6,369,212,102,25,10,345,215,118,5,13,350,241,101,11,8,364,274,112,9,5,408,318,119,13,6,453,288,112,17,3,428,184,100,13,12,304,95,54,3,0,151,37,40,6,7,80,33,26,8,14,88,2458,1186,156,113,3905
LGA12930,0,3,0,0,4,221,153,8,32,413,280,1660,100,53,2089,1721,1971,93,111,3892,3074,1302,168,138,4679,3118,1344,236,121,4819,2698,1435,180,90,4406,2974,1586,99,64,4728,3014,1560,100,84,4760,3054,1471,106,99,4731,2428,1452,118,90,4087,1316,1094,95,47,2547,530,659,50,29,1266,130,286,21,20,454,54,160,7,5,233,24401,15982,1357,947,42681
LGA12950,4,0,0,0,4,16,11,0,3,33,10,52,0,6,64,66,33,9,3,115,87,40,7,3,135,63,31,11,3,107,72,44,0,7,130,87,38,3,4,133,116,36,3,3,156,134,52,11,5,201,121,64,5,9,198,91,52,15,0,149,48,28,3,6,79,36,11,0,4,50,38,17,0,0,53,977,491,57,50,1573
LGA13010,0,3,0,0,0,25,19,0,6,51,49,120,5,3,182,133,64,11,5,216,131,63,10,0,200,128,80,6,4,215,167,84,6,14,272,179,88,3,6,280,202,111,19,7,339,218,107,10,3,343,246,135,19,3,395,141,104,11,3,261,87,62,12,7,164,51,44,7,5,108,31,32,8,6,78,1751,1107,122,79,3062
LGA13310,0,0,0,0,3,102,49,3,3,158,170,494,28,16,713,565,345,24,32,966,780,278,55,33,1133,690,353,62,24,1130,673,304,27,20,1026,771,330,25,20,1150,824,312,34,22,1189,839,383,25,23,1268,710,321,48,14,1090,409,274,36,6,722,152,152,18,11,333,56,90,3,6,157,23,51,3,3,82,6669,3688,388,236,10978
LGA13340,0,0,0,0,0,27,19,0,5,54,60,104,10,10,180,122,62,3,8,199,167,49,10,4,234,170,77,13,8,275,160,77,6,3,247,192,92,9,7,297,239,108,9,5,363,272,119,19,3,410,253,126,22,7,418,190,113,11,10,321,102,67,13,0,184,57,47,6,3,111,37,36,6,11,92,2026,1069,144,87,3323
LGA13450,0,0,0,0,3,114,54,12,9,191,293,471,39,27,825,759,265,28,34,1093,985,289,51,32,1353,845,325,55,22,1248,740,352,39,19,1151,827,333,32,20,1213,907,342,28,26,1301,903,341,29,23,1292,780,313,33,27,1147,509,268,35,19,832,190,154,33,10,385,57,86,11,6,158,24,50,3,9,88,7815,3593,412,279,12095
LGA13510,0,0,0,0,0,35,29,3,0,71,90,145,10,7,251,194,100,5,13,311,203,74,8,11,294,210,107,19,14,348,220,141,15,7,383,249,137,12,9,408,300,122,8,3,440,333,155,15,8,516,308,150,16,5,480,208,130,17,8,364,82,82,6,9,176,35,40,3,8,87,28,35,4,9,82,2454,1425,141,109,4132
LGA13550,3,0,0,0,4,42,27,0,5,73,98,200,16,7,324,255,124,18,11,413,333,88,20,3,446,285,149,15,12,457,310,125,17,6,458,318,133,10,10,467,309,154,15,10,489,347,135,16,12,501,373,143,13,17,544,267,128,16,7,416,99,82,3,0,185,35,42,5,5,82,33,23,4,7,64,3060,1531,168,100,4856
LGA13660,0,0,0,0,0,26,4,0,0,32,25,39,4,6,74,81,29,6,3,114,96,47,4,0,146,90,47,10,0,144,108,38,0,5,160,111,57,4,6,178,178,68,4,4,248,183,58,9,5,257,147,50,12,3,218,104,44,10,4,172,66,45,9,3,122,45,30,0,3,80,31,20,3,3,65,1269,565,77,46,1956
LGA13800,0,4,0,0,4,159,88,11,23,277,541,1194,50,35,1822,1429,923,61,63,2474,1665,563,75,65,2371,1524,604,88,49,2267,1494,647,56,48,2244,1691,819,48,47,2612,1794,814,54,42,2713,1765,792,50,30,2634,1534,705,65,33,2333,876,528,49,32,1487,332,375,37,11,752,98,166,6,5,275,51,87,5,6,152,14780,8218,647,481,24127
LGA13850,0,0,0,0,0,15,5,0,0,21,29,45,6,3,78,76,32,0,0,111,59,32,0,4,88,66,24,7,6,100,52,31,0,3,82,66,41,4,0,111,94,32,0,0,134,126,50,7,7,189,103,37,9,4,158,60,31,4,7,105,27,25,12,8,67,7,7,3,0,22,10,8,0,0,18,778,386,51,46,1264
LGA13910,0,0,0,0,3,41,38,0,3,83,96,137,7,10,245,301,135,17,12,470,309,114,17,15,453,272,140,24,5,444,334,163,9,19,526,364,169,9,18,565,369,182,11,7,580,405,184,23,18,629,323,158,23,12,511,233,142,24,3,401,127,93,6,3,233,54,55,4,0,114,36,33,0,0,75,3217,1718,178,130,5247
LGA14000,3,3,0,0,4,235,157,13,26,434,417,2119,130,52,2712,1716,2004,114,89,3922,2481,982,114,104,3679,2431,1040,149,90,3712,2357,1159,120,78,3710,2665,1539,84,58,4350,2888,1543,74,60,4570,2723,1428,80,47,4274,2477,1312,112,56,3951,1487,1117,80,46,2734,556,736,66,19,1372,187,349,21,8,566,81,196,14,17,312,22463,15520,1157,722,39859
LGA14100,0,0,0,0,0,18,24,4,3,54,19,124,4,5,154,113,191,3,6,319,291,125,12,9,442,264,141,19,4,427,237,149,25,7,414,261,150,11,9,431,321,197,6,9,528,289,186,15,3,494,284,190,11,10,491,145,172,10,0,320,91,119,9,5,219,28,61,0,0,85,12,40,0,4,48,2343,1840,128,73,4382
LGA14170,0,7,0,0,11,419,225,23,54,720,332,1735,87,68,2219,2437,3084,129,192,5834,5074,2450,235,180,7943,5289,2072,257,174,7791,4642,1954,219,131,6938,4539,2147,146,97,6935,4525,1897,113,119,6654,4459,1736,151,112,6458,3611,1582,126,75,5398,2073,1413,112,64,3657,882,882,64,30,1857,262,399,20,12,693,100,190,13,14,315,38221,21544,1671,1260,62692
LGA14200,0,0,0,5,3,72,39,8,12,131,113,258,25,17,405,304,194,22,19,535,345,143,21,10,520,322,193,28,5,554,331,176,17,20,549,406,211,15,14,653,484,189,19,26,717,469,227,16,9,721,430,241,24,16,720,279,164,22,6,468,128,98,8,5,240,53,61,4,11,121,50,42,8,21,121,3713,2201,230,180,6323
LGA14300,0,0,0,0,0,20,11,0,0,35,28,54,0,4,87,81,51,3,0,137,144,48,7,6,209,134,47,11,9,197,102,45,8,3,149,126,42,9,0,176,160,39,3,0,202,136,46,7,3,191,136,61,12,3,211,81,40,5,0,127,40,36,4,3,79,23,14,0,0,33,12,14,0,4,28,1195,525,71,36,1830
LGA14350,4,0,0,0,5,72,62,3,10,150,109,420,32,33,593,317,267,33,31,643,413,234,28,23,704,402,253,46,11,715,451,296,24,24,794,610,315,27,22,982,657,340,33,28,1055,690,438,41,26,1197,646,474,63,30,1215,390,345,49,20,805,164,206,20,15,403,59,60,0,7,131,31,39,6,14,90,4945,3687,416,289,9338
LGA14400,0,0,0,0,0,34,35,3,3,80,82,373,15,13,476,218,304,22,9,553,245,118,23,5,392,231,169,14,6,417,212,219,14,4,447,290,240,11,5,544,248,262,12,9,533,320,238,21,3,591,265,276,21,11,572,188,239,27,5,460,65,130,8,3,213,22,68,13,3,94,15,34,0,3,53,2401,2665,199,78,5346
LGA14500,0,3,0,0,5,167,118,8,17,305,136,1474,72,27,1712,884,1645,82,55,2664,1680,788,73,54,2595,1647,798,149,53,2647,1483,914,94,40,2529,1748,1199,60,38,3047,2119,1400,50,44,3613,2196,1306,65,49,3615,1779,1171,77,33,3063,1004,1077,61,28,2175,472,871,48,21,1420,130,489,32,4,655,63,322,14,16,413,15340,13450,882,472,30154
LGA14550,0,0,0,0,0,20,10,4,0,37,39,100,3,6,150,84,40,5,8,136,98,42,3,4,151,126,70,11,8,213,114,78,3,3,202,138,91,7,7,244,170,99,7,5,282,222,140,8,4,379,231,144,6,8,390,174,117,9,0,307,81,67,3,4,153,28,36,3,0,64,35,24,0,11,72,1534,1051,78,66,2729
LGA14600,0,0,0,0,3,15,18,0,3,42,35,44,0,4,83,129,45,6,10,196,128,55,7,7,200,134,72,13,14,232,131,50,8,12,192,136,52,3,10,205,152,59,13,3,227,157,73,7,0,242,167,69,6,3,255,121,63,14,3,203,78,41,3,0,125,26,30,3,0,57,35,24,3,3,65,1430,679,93,73,2281
LGA14650,4,4,0,3,12,378,283,15,31,706,860,3432,165,77,4530,2988,2947,258,143,6340,3670,1728,287,116,5790,3498,1922,285,88,5791,3231,1978,181,75,5467,3826,2139,147,96,6207,3958,2157,131,77,6326,3846,2044,177,84,6144,3302,1947,233,65,5538,1779,1660,155,50,3644,506,855,73,21,1466,123,374,18,14,529,57,151,14,22,237,31640,23326,2123,929,58009
LGA14700,0,0,0,0,0,92,40,5,9,145,79,379,14,15,478,652,627,43,34,1352,1430,421,49,30,1931,1723,427,77,33,2265,1400,428,60,39,1925,1348,455,36,25,1871,1245,418,22,16,1698,1102,422,20,19,1566,909,379,20,12,1320,475,317,25,10,829,211,266,13,10,508,60,120,14,3,200,25,68,8,3,102,10662,4737,392,246,16037
LGA14750,0,0,0,3,4,50,36,3,4,94,100,125,9,11,240,292,84,7,13,389,316,78,26,14,430,271,102,20,11,410,265,97,4,4,373,344,133,14,0,492,389,128,13,9,542,401,124,18,13,558,381,119,27,7,538,211,101,17,9,337,73,55,10,5,145,25,29,3,3,58,26,23,3,7,61,3087,1199,168,109,4565
