LGA_CODE_2016,SWs_NNI_H_0,SWs_NNI_H_1_15,SWs_NNI_H_16_24,SWs_NNI_H_25_34,SWs_NNI_H_35_39,SWs_NNI_H_40,SWs_NNI_H_41_48,SWs_NNI_H_49mo,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_15,SWs_1_149_H_16_24,SWs_1_149_H_25_34,SWs_1_149_H_35_39,SWs_1_149_H_40,SWs_1_149_H_41_48,SWs_1_149_H_49mo,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_15,SWs_150_299_H_16_24,SWs_150_299_H_25_34,SWs_150_299_H_35_39,SWs_150_299_H_40,SWs_150_299_H_41_48,SWs_150_299_H_49mo,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_15,SWs_300_399_H_16_24,SWs_300_399_H_25_34,SWs_300_399_H_35_39,SWs_300_399_H_40,SWs_300_399_H_41_48,SWs_300_399_H_49mo,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_15,SWs_400_499_H_16_24,SWs_400_499_H_25_34,SWs_400_499_H_35_39,SWs_400_499_H_40,SWs_400_499_H_41_48,SWs_400_499_H_49mo,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_15,SWs_500_649_H_16_24,SWs_500_649_H_25_34,SWs_500_649_H_35_39,SWs_500_649_H_40,SWs_500_649_H_41_48,SWs_500_649_H_49mo,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_15,SWs_650_799_H_16_24,SWs_650_799_H_25_34,SWs_650_799_H_35_39,SWs_650_799_H_40,SWs_650_799_H_41_48,SWs_650_799_H_49mo,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_15,SWs_800_999_H_16_24,SWs_800_999_H_25_34,SWs_800_999_H_35_39,SWs_800_999_H_40,SWs_800_999_H_41_48,SWs_800_999_H_49mo,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_15,SWs_1000_1249_H_16_24,SWs_1000_1249_H_25_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40,SWs_1000_1249_H_41_48,SWs_1000_1249_H_49mo,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_15,SWs_1250_1499_H_16_24,SWs_1250_1499_H_25_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40,SWs_1250_1499_H_41_48,SWs_1250_1499_H_49mo,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_15,SWs_1500_1749_H_16_24,SWs_1500_1749_H_25_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40,SWs_1500_1749_H_41_48,SWs_1500_1749_H_49mo,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_15,SWs_1750_1999_H_16_24,SWs_1750_1999_H_25_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40,SWs_1750_1999_H_41_48,SWs_1750_1999_H_49mo,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_15,SWs_2000_2999_H_16_24,SWs_2000_2999_H_25_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40,SWs_2000_2999_H_41_48,SWs_2000_2999_H_49mo,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000mo_H_0,SWs_3000mo_H_1_15,SWs_3000mo_H_16_24,SWs_3000mo_H_25_34,SWs_3000mo_H_35_39,SWs_3000mo_H_40,SWs_3000mo_H_41_48,SWs_3000mo_H_49mo,SWs_3000mo_H_NS,SWs_3000mo_H_Tot,SWs_PINS_H_0,SWs_PINS_H_1_15,SWs_PINS_H_16_24,SWs_PINS_H_25_34,SWs_PINS_H_35_39,SWs_PINS_H_40,SWs_PINS_H_41_48,SWs_PINS_H_49mo,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_15,SWs_Tot_H_16_24,SWs_Tot_H_25_34,SWs_Tot_H_35_39,SWs_Tot_H_40,SWs_Tot_H_41_48,SWs_Tot_H_49mo,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_15,MaOpD_NNI_H_16_24,MaOpD_NNI_H_25_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40,MaOpD_NNI_H_41_48,MaOpD_NNI_H_49mo,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_15,MaOpD_1_149_H_16_24,MaOpD_1_149_H_25_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40,MaOpD_1_149_H_41_48,MaOpD_1_149_H_49mo,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_15,MaOpD_150_299_H_16_24,MaOpD_150_299_H_25_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40,MaOpD_150_299_H_41_48,MaOpD_150_299_H_49mo,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_15,MaOpD_300_399_H_16_24,MaOpD_300_399_H_25_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40,MaOpD_300_399_H_41_48,MaOpD_300_399_H_49mo,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot
LGA10850,0,0,0,0,0,0,0,0,0,3,0,16,3,0,0,0,0,0,0,20,3,8,0,3,0,0,0,0,0,13,0,4,3,3,0,0,0,0,0,15,3,0,3,0,0,0,0,0,0,13,0,3,4,5,3,0,3,0,0,24,0,0,3,3,5,3,0,0,0,15,0,0,0,0,7,3,3,0,0,22,0,0,0,0,0,3,0,0,0,9,0,0,0,0,3,0,0,6,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,42,18,17,31,9,11,19,4,154,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
LGA10900,0,3,0,0,0,0,0,0,0,10,13,213,13,3,0,0,0,0,3,250,9,148,43,12,0,3,0,0,3,220,3,74,47,21,12,3,0,0,0,154,6,53,94,38,11,6,3,5,0,215,6,29,79,81,25,8,0,12,3,249,10,18,24,58,62,22,6,13,4,217,4,10,18,26,43,30,17,22,0,172,0,8,10,11,25,24,12,14,0,109,0,3,3,3,6,11,10,26,0,67,0,0,3,4,0,7,0,11,0,24,0,3,3,0,0,8,3,5,0,21,0,0,0,0,0,3,3,16,0,25,0,0,0,0,3,3,0,7,0,17,0,12,4,0,3,6,0,6,0,31,60,569,350,260,194,144,61,128,19,1778,0,3,0,0,0,0,0,0,0,6,0,24,3,0,0,0,0,0,0,27,3,20,5,0,0,0,0,0,0,29,0,7,5,9,6,0,0,3,0,33
LGA10950,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,7,0,0,3,3,0,0,0,3,0,10,0,0,0,3,3,0,0,0,0,4,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,8,6,8,3,3,9,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
LGA11100,8,14,9,4,0,6,0,0,0,29,34,281,23,9,0,0,0,0,8,351,17,225,88,20,4,3,0,3,5,356,5,130,154,37,3,0,3,0,6,341,16,62,196,63,14,10,0,3,5,377,15,53,170,202,75,37,3,6,4,576,23,15,98,179,198,77,13,13,7,629,17,20,48,110,258,140,43,30,8,672,11,10,16,57,162,145,69,52,4,531,12,6,9,23,83,114,43,38,0,322,0,5,8,8,48,93,23,42,0,234,3,5,0,7,27,54,25,48,0,165,4,3,9,5,20,79,30,71,0,222,0,3,0,3,5,24,11,40,0,84,3,7,4,11,6,14,0,8,12,66,165,836,833,728,907,792,264,356,65,4952,0,0,0,4,0,5,0,0,0,19,0,24,8,4,3,5,0,0,0,42,3,30,15,12,0,3,0,3,0,68,3,25,47,13,3,8,3,3,4,111
LGA11150,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,4,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,8,6,12,4,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,3,0,0,0,0,0,0,0,5,3,78,7,0,0,0,0,0,8,95,4,48,11,4,0,0,0,0,3,74,3,25,22,13,0,6,0,0,0,70,3,16,25,26,9,4,0,0,3,78,6,15,20,35,20,7,0,0,0,108,8,0,8,15,50,13,0,3,0,100,4,0,0,8,26,15,18,6,0,74,0,0,3,3,8,4,4,7,0,36,0,3,0,0,6,9,3,6,0,25,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,19,29,194,96,100,128,59,32,36,12,693,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,3,10,0,10,0,3,0,0,0,0,0,16
LGA11300,3,13,3,0,0,0,0,0,3,22,19,231,26,0,0,0,0,0,3,283,13,199,69,16,3,0,3,0,6,307,13,92,121,25,6,0,3,0,3,268,6,43,100,58,9,10,3,3,3,236,6,34,81,91,57,16,7,8,3,295,0,19,35,53,96,43,11,8,3,258,6,3,12,27,71,37,12,17,3,191,10,0,4,8,47,46,21,15,0,149,0,3,3,0,19,28,9,12,0,75,4,3,3,0,5,17,8,12,0,55,0,0,0,0,3,6,5,4,0,29,0,3,0,3,0,8,3,9,0,33,0,4,0,0,0,7,0,9,0,23,0,9,0,3,3,4,3,0,4,29,85,650,465,273,320,224,82,103,35,2233,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,10,3,6,0,0,0,0,0,21,0,6,4,3,0,5,0,3,0,21
LGA11350,3,3,6,0,0,0,0,7,0,18,7,137,3,3,0,0,0,0,5,159,4,62,21,3,0,3,0,4,3,101,0,46,41,23,4,4,0,0,3,126,3,46,45,29,6,0,3,7,0,142,6,20,56,83,32,16,3,8,4,236,6,16,30,64,68,21,10,5,3,211,3,5,9,33,59,30,18,9,0,169,3,6,7,13,22,25,19,9,3,111,0,3,3,7,8,6,10,3,0,44,0,5,3,4,3,5,5,16,0,38,0,4,3,3,3,7,4,4,0,25,0,0,0,3,0,3,5,3,0,20,0,6,4,0,4,5,3,13,0,33,0,12,8,9,4,0,0,0,5,35,43,373,232,282,208,132,76,90,28,1472,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,9,5,0,0,0,0,0,0,12,0,6,17,6,0,0,0,0,0,36
LGA11400,0,0,0,0,0,0,0,0,0,0,3,18,3,0,0,0,0,0,0,19,0,11,0,0,3,0,0,0,3,17,0,6,0,3,0,3,0,0,0,12,3,5,8,3,0,0,6,0,0,22,0,0,3,12,0,3,0,0,0,28,0,4,0,7,7,0,0,0,0,18,0,5,0,6,0,7,8,0,0,20,3,0,0,6,0,8,0,6,0,20,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,46,17,36,16,22,14,19,7,183,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3
