LGA_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
LGA17040,26,5,0,0,37,651,395,6,36,1081
LGA17080,12,3,0,3,18,429,185,3,13,628
LGA17100,62,17,0,0,75,887,222,8,16,1138
LGA17150,195,41,5,5,238,4199,1244,43,53,5535
LGA17200,707,125,10,20,867,11473,3206,1642,151,16461
LGA17310,67,18,0,12,98,1379,674,20,47,2121
LGA17350,12,4,0,0,17,249,137,0,7,397
LGA17400,11,0,0,0,11,280,116,0,10,408
LGA17420,194,26,0,4,221,3316,916,47,40,4325
LGA17550,123,17,0,6,150,2420,691,18,44,3172
LGA17620,14,8,0,0,18,389,192,3,9,596
LGA17640,11,0,0,0,11,222,152,0,12,387
LGA17650,4,0,0,0,4,198,74,0,14,284
LGA17750,52,14,0,6,75,1338,641,27,38,2047
LGA17850,5,0,0,0,3,186,112,0,9,311
LGA17900,8,6,0,3,16,133,104,0,17,260
LGA17950,4,0,0,0,5,100,86,3,0,187
LGA18020,19,3,0,0,26,382,171,0,15,563
LGA18050,122,6,0,0,131,2254,464,17,21,2759
LGA18100,5,0,0,0,5,206,127,0,11,340
LGA18200,9,9,0,0,11,156,127,3,3,291
LGA18230,36,8,0,4,54,1113,605,15,50,1780
LGA18250,114,23,0,3,141,2112,543,37,13,2708
LGA18350,90,5,0,3,103,1678,466,5,35,2190
LGA18400,42,3,0,0,51,885,269,0,25,1181
LGA18450,170,37,3,11,210,3693,1256,58,56,5059
LGA18500,111,12,0,3,124,1846,429,25,29,2323
LGA18710,20,7,0,0,23,361,163,3,3,530
LGA19090,0,0,0,0,0,0,0,0,0,0
LGA19399,4,0,0,0,3,82,74,0,0,159
LGA19499,1157,123,3,35,1321,36349,4957,45,606,41955
LGA19799,0,0,0,0,0,16,3,0,0,16
LGA19898,0,0,0,0,0,0,0,0,0,0
LGA20110,11,0,0,5,22,384,182,0,17,589
LGA20260,13,0,0,3,18,253,141,0,13,412
LGA20570,93,13,0,3,112,1804,606,48,43,2497
LGA20660,105,20,0,0,122,2290,571,26,30,2913
LGA20740,48,6,0,3,53,956,325,8,27,1320
LGA20830,48,11,0,4,61,1263,448,11,35,1765
LGA20910,158,24,0,0,184,2617,572,16,17,3220
LGA21010,23,3,0,0,29,387,139,4,12,539
LGA21110,221,38,3,9,273,3941,1015,70,39,5065
LGA21180,175,35,0,9,213,2591,656,31,42,3325
LGA21270,4,0,0,0,4,191,77,0,7,272
LGA21370,38,21,0,3,59,1086,472,10,40,1599
LGA21450,110,17,0,6,134,1745,475,15,35,2269
LGA21610,230,22,0,6,257,4499,924,48,61,5530
LGA21670,18,0,0,0,21,258,103,7,10,376
LGA21750,18,6,0,0,28,640,322,10,23,984
LGA21830,17,8,0,0,28,670,358,8,21,1062
LGA21890,184,37,0,3,229,3134,635,31,46,3839
LGA22110,58,16,0,3,73,1247,496,3,29,1778
LGA22170,137,24,0,3,164,2513,638,25,42,3222
LGA22250,16,0,0,0,20,344,142,3,10,496
LGA22310,180,17,0,7,202,3203,695,26,37,3953
LGA22410,22,11,0,3,33,526,277,0,24,830
LGA22490,19,4,0,0,17,395,130,0,8,536
LGA22620,120,28,0,3,151,1994,724,32,63,2807
LGA22670,211,49,3,7,258,2878,869,52,49,3850
LGA22750,242,47,0,7,300,4484,1339,60,88,5975
LGA22830,62,11,0,0,73,1319,445,33,32,1839
LGA22910,26,0,0,0,23,584,160,0,16,759
LGA22980,12,3,0,0,16,207,107,0,6,320
LGA23110,97,19,0,4,117,1744,391,19,30,2186
LGA23190,15,6,0,0,17,426,226,10,18,678
LGA23270,206,44,0,8,257,3308,715,35,61,4120
LGA23350,10,3,0,0,16,498,145,3,14,658
LGA23430,234,39,0,4,278,3547,847,31,45,4462
LGA23670,155,34,0,4,196,3069,762,23,44,3900
LGA23810,37,18,0,0,63,1009,433,14,24,1477
LGA23940,4,0,0,0,4,340,136,0,18,495
LGA24130,70,10,0,3,84,1190,313,3,25,1532
LGA24210,121,14,0,0,134,2085,410,24,22,2545
LGA24250,14,3,0,0,19,313,128,0,9,453
LGA24330,108,14,0,5,130,1791,423,13,27,2257
LGA24410,131,20,0,3,155,2221,586,15,21,2836
LGA24600,478,98,13,9,604,7500,2238,1103,113,10960
LGA24650,70,15,0,8,94,1585,349,4,27,1966
LGA24780,55,15,0,0,69,998,508,25,41,1569
LGA24850,33,3,0,0,38,660,189,7,28,883
LGA24900,31,7,0,4,42,761,341,7,35,1149
LGA24970,228,44,0,0,282,3549,878,35,46,4512
LGA25060,109,9,0,3,125,2128,598,19,34,2775
LGA25150,19,7,0,0,25,513,157,9,10,689
LGA25250,190,23,0,3,222,3431,699,22,47,4194
LGA25340,214,23,0,0,239,4087,1034,32,77,5227
LGA25430,40,9,0,0,49,687,203,0,19,906
LGA25490,17,4,0,0,26,623,347,3,15,989
LGA25620,20,7,0,0,27,460,123,0,16,604
LGA25710,79,4,0,3,92,1366,305,17,14,1700
LGA25810,12,0,0,0,16,307,151,0,16,476
LGA25900,196,34,3,3,244,3436,742,63,42,4283
LGA25990,3,3,0,3,8,178,82,0,5,272
LGA26080,4,0,0,0,4,100,32,0,3,139
LGA26170,53,10,0,0,57,1203,505,8,50,1762
LGA26260,14,0,0,0,17,587,367,9,30,995
LGA26350,159,35,3,3,198,3089,841,69,42,4035
LGA26430,25,6,0,0,38,400,134,3,13,547
LGA26490,44,4,0,0,54,942,267,0,20,1226
LGA26610,25,13,0,0,41,462,252,4,18,743
LGA26670,12,7,0,0,13,337,87,0,4,428
LGA26700,43,3,0,0,49,813,322,12,21,1164
LGA26730,22,4,0,0,28,634,299,34,13,984
LGA26810,54,4,0,0,62,1205,569,10,35,1813
LGA26890,3,6,0,0,9,236,168,3,10,413
LGA26980,185,35,3,10,224,3224,726,42,33,4015
LGA27070,160,15,0,5,179,2590,641,27,46,3301
LGA27170,27,4,0,3,41,697,281,10,9,1007
LGA27260,168,26,0,5,196,3200,591,37,36,3862
LGA27350,212,40,11,7,272,3639,908,81,57,4686
LGA27450,200,16,0,7,224,3468,841,22,59,4391
LGA27630,13,0,0,0,11,237,111,0,6,363
LGA29090,0,0,0,0,0,0,0,0,0,0
LGA29399,6,0,0,0,6,63,21,0,3,84
LGA29499,953,80,4,28,1068,29388,3989,45,569,33979
LGA29799,0,0,0,0,0,4,0,0,0,4
LGA29898,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,3,0,0,0,3
LGA30300,8,0,0,0,13,141,93,4,5,238
LGA30370,13,11,0,0,22,336,203,5,12,555
LGA30410,8,0,0,0,13,101,89,3,4,203
LGA30450,0,0,0,0,0,21,7,0,0,33
LGA30760,5,0,0,0,8,89,47,0,4,142
LGA30900,0,0,0,0,0,11,0,0,0,7
LGA31000,1405,238,18,35,1698,25677,6601,885,301,33460
LGA31750,0,0,0,0,0,14,12,0,0,22
LGA31820,66,22,0,3,91,1520,863,41,46,2468
LGA31900,27,6,0,0,28,440,268,13,12,734
LGA31950,3,0,0,0,3,9,0,0,0,10
LGA32080,190,39,0,6,236,3531,1177,59,65,4832
LGA32250,5,3,0,0,8,27,24,0,0,51
LGA32260,32,10,0,3,44,722,342,5,31,1100
LGA32270,32,4,0,0,31,594,301,5,10,917
LGA32310,6,0,0,0,14,199,114,0,7,327
LGA32330,0,0,0,0,0,10,7,0,0,13
LGA32450,3,3,0,0,7,39,24,3,6,66
LGA32500,4,4,0,0,8,114,59,0,3,177
LGA32600,0,0,0,0,0,21,6,0,0,29
LGA32750,0,0,0,0,0,20,6,3,0,30
LGA32770,0,0,0,0,0,3,0,0,0,4
LGA32810,23,4,0,0,30,419,190,5,14,632
LGA33100,3,0,0,0,3,23,13,0,0,41
LGA33200,3,0,0,0,3,87,44,0,5,141
LGA33220,98,22,0,4,122,1683,655,16,30,2377
LGA33360,55,14,3,0,70,1040,362,14,18,1429
LGA33430,861,171,4,16,1054,14525,3450,140,190,18302
LGA33610,6,9,0,0,19,348,182,3,13,544
LGA33620,80,20,0,4,102,1279,507,5,38,1833
LGA33800,4,4,0,0,12,247,174,0,16,434
LGA33830,0,0,0,0,0,6,3,0,0,8
LGA33960,142,18,0,6,169,2702,736,34,40,3512
LGA33980,21,3,0,0,23,358,193,4,19,573
LGA34420,0,0,0,0,0,9,4,0,0,12
LGA34530,29,11,0,0,35,741,287,4,14,1045
LGA34570,0,0,0,0,0,7,0,0,0,6
LGA34580,37,8,0,3,51,682,260,7,23,976
LGA34590,299,55,0,5,354,5099,1366,54,69,6579
LGA34710,7,4,0,0,8,113,59,3,3,184
LGA34770,83,33,0,4,121,1901,767,39,52,2753
LGA34800,0,0,0,0,0,42,24,0,3,71
LGA34830,0,0,0,0,0,3,0,0,0,3
LGA34860,24,5,0,0,33,485,192,0,20,702
LGA34880,36,9,0,0,45,535,337,15,14,906
LGA35010,427,84,3,7,520,7203,2042,71,92,9412
LGA35250,0,0,0,0,0,0,0,0,0,0
LGA35300,9,0,0,0,11,189,78,0,3,263
LGA35600,4,0,0,0,4,132,100,0,4,236
LGA35670,0,0,0,0,0,0,4,0,0,9
LGA35740,123,18,0,3,143,1948,487,12,32,2486
LGA35760,10,3,0,0,13,417,176,0,17,617
LGA35780,0,0,0,0,0,22,3,0,0,25
LGA35790,0,0,0,0,0,4,0,0,0,4
LGA35800,3,0,0,0,3,92,50,0,6,142
LGA36070,0,0,0,0,0,0,4,0,0,9
LGA36150,3,0,0,0,3,26,14,0,0,37
LGA36250,159,20,3,3,178,2703,724,20,36,3479
LGA36300,0,0,0,0,0,33,21,0,3,60
LGA36370,51,25,3,0,80,1215,652,43,24,1936
LGA36510,70,8,0,0,81,1199,358,5,27,1588
LGA36580,23,10,0,0,26,533,161,3,18,724
LGA36630,42,4,0,9,56,852,296,3,24,1179
LGA36660,42,5,0,8,58,983,414,10,37,1442
LGA36720,521,112,3,3,641,8017,2322,87,126,10554
LGA36820,31,3,0,0,37,712,340,4,25,1088
LGA36910,163,48,0,4,220,3432,1207,47,85,4771
LGA36950,3,0,0,0,4,43,21,6,3,71
LGA36960,0,3,0,0,4,25,6,0,0,28
LGA37010,175,40,3,3,219,3115,1099,55,45,4322
LGA37300,3,0,0,0,3,31,18,0,0,45
LGA37310,34,4,0,0,45,1012,532,3,34,1582
LGA37340,41,11,0,0,49,759,370,12,19,1164
LGA37400,0,0,0,0,0,40,21,0,0,63
LGA37550,0,0,0,0,0,3,7,0,0,10
LGA37570,0,0,0,0,0,3,0,0,0,7
LGA37600,0,0,0,0,0,0,0,0,0,0
LGA39090,0,0,0,0,0,0,0,0,0,0
LGA39499,882,86,3,25,995,23515,3456,29,360,27359
LGA39799,0,0,0,0,0,11,5,0,0,15
LGA39898,0,0,0,0,0,0,0,0,0,0
LGA40070,123,25,0,10,153,1989,1012,302,37,3344
LGA40120,51,6,0,5,60,1170,352,10,30,1558
LGA40220,27,14,0,3,39,731,315,11,13,1075
LGA40250,0,0,0,0,0,6,4,0,0,8
LGA40310,29,4,0,0,35,634,239,14,18,909
LGA40430,3,0,0,0,3,106,54,0,0,160
LGA40520,9,3,0,0,16,244,134,4,11,388
LGA40700,61,4,0,3,73,1082,332,18,12,1442
LGA40910,40,7,0,3,46,879,216,7,18,1120
LGA41010,4,0,0,0,8,94,64,0,4,165
LGA41060,100,22,0,3,120,2300,612,30,42,2981
LGA41140,15,3,0,0,19,318,180,11,19,525
LGA41190,5,0,0,0,3,119,74,0,3,194
LGA41330,3,0,0,0,3,57,20,0,0,77
LGA41560,10,6,0,0,16,334,172,3,8,519
LGA41750,6,0,0,0,6,53,44,0,3,102
LGA41830,0,0,0,0,0,51,27,0,0,79
LGA41960,0,0,0,0,3,50,46,0,7,105
LGA42030,26,9,0,0,27,427,159,9,5,608
LGA42110,7,0,0,0,7,136,123,3,3,271
LGA42250,8,4,0,0,11,215,146,0,9,369
LGA42600,44,10,0,3,57,876,292,18,10,1195
LGA42750,16,0,0,0,16,257,118,0,12,389
LGA43080,0,0,0,0,0,75,44,0,3,124
LGA43220,0,0,0,0,3,69,46,0,0,113
LGA43360,3,0,0,0,3,84,65,0,8,161
LGA43650,24,7,0,0,25,386,155,7,22,566
LGA43710,8,3,0,0,11,175,139,0,5,319
LGA43790,10,6,0,0,15,307,207,7,7,534
LGA43920,7,0,0,0,8,258,75,3,15,352
LGA44000,0,0,0,0,0,0,0,0,0,0
LGA44060,76,11,0,0,85,1567,364,4,11,1956
LGA44210,5,3,0,0,9,248,139,0,3,392
LGA44340,84,11,0,0,91,1498,336,14,15,1866
LGA44550,37,5,0,3,46,948,254,3,19,1228
LGA44620,21,12,0,0,26,412,224,17,11,665
LGA44830,3,0,0,0,3,134,72,0,3,204
LGA45040,17,3,0,0,18,410,171,16,11,608
LGA45090,5,0,0,0,6,308,218,0,14,540
LGA45120,0,3,0,0,7,165,115,0,9,294
LGA45290,56,5,0,3,64,1236,461,36,12,1749
LGA45340,129,25,0,8,162,3199,804,25,46,4078
LGA45400,3,0,0,0,5,37,31,0,0,71
LGA45540,0,0,0,0,0,34,28,0,0,65
LGA45680,51,4,0,0,59,1210,342,10,17,1577
LGA45890,128,26,0,0,155,2465,595,24,34,3119
LGA46090,4,3,0,0,10,169,119,13,5,301
LGA46300,16,10,0,0,27,282,196,5,9,492
LGA46450,6,0,0,3,6,265,143,3,12,420
LGA46510,19,0,0,0,19,436,111,6,4,555
LGA46670,4,3,0,0,4,210,115,5,5,333
LGA46860,3,0,0,0,3,59,48,0,3,113
LGA46970,0,0,0,0,0,19,17,0,0,39
LGA47140,110,17,0,9,138,2092,524,33,36,2687
LGA47290,3,3,0,0,3,127,64,0,6,198
LGA47490,3,0,0,0,3,84,54,0,3,146
LGA47630,10,0,0,0,10,293,221,0,13,527
LGA47700,71,9,0,0,83,1568,421,18,13,2029
LGA47800,8,0,0,0,6,222,120,3,8,362
LGA47910,7,3,0,0,7,106,86,0,3,198
LGA47980,37,5,0,3,49,1089,325,31,14,1463
LGA48050,16,4,0,3,22,444,137,18,15,606
LGA48130,6,4,0,0,9,250,154,0,13,418
LGA48260,3,0,0,0,7,161,51,0,3,219
LGA48340,9,4,0,0,17,301,194,8,11,507
LGA48410,88,11,0,7,101,1503,389,20,29,1943
LGA48540,4,0,0,0,10,215,96,3,4,318
LGA48640,0,0,0,0,0,82,40,0,10,131
LGA48750,4,0,0,0,4,199,81,0,8,286
LGA48830,5,5,0,3,19,461,287,0,12,759
LGA49090,0,0,0,0,0,0,0,0,0,0
LGA49399,3,3,0,0,6,105,37,0,3,146
LGA49499,326,20,0,10,359,10131,1279,14,174,11594
LGA49799,0,0,0,0,0,5,0,0,0,4
LGA49898,0,0,0,0,0,0,0,0,0,0
LGA50080,30,14,0,3,53,921,507,14,33,1474
LGA50210,71,12,0,3,87,1222,408,15,28,1668
LGA50250,19,4,0,3,29,270,101,3,5,383
LGA50280,29,12,0,3,41,667,263,4,25,970
LGA50350,13,5,0,0,19,350,101,0,6,458
LGA50420,86,26,0,3,111,1405,440,23,18,1890
LGA50490,67,11,4,6,86,1118,294,23,20,1458
LGA50560,0,3,0,0,3,73,34,0,4,107
LGA50630,4,0,0,0,5,34,17,0,3,60
LGA50770,7,0,0,0,9,118,57,0,3,173
LGA50840,12,3,0,0,17,193,85,3,7,285
LGA50910,0,0,0,3,3,36,34,0,4,77
LGA50980,9,11,0,0,26,262,112,7,8,386
LGA51080,0,0,0,0,0,47,45,0,0,89
LGA51120,0,0,0,0,0,47,44,0,3,89
LGA51190,43,22,0,5,69,732,455,21,13,1223
LGA51260,51,11,0,5,68,1221,514,22,17,1775
LGA51310,59,7,0,0,64,771,266,16,11,1056
LGA51330,141,31,4,3,180,1939,590,49,25,2596
LGA51400,17,0,0,0,19,290,94,0,15,401
LGA51470,0,0,0,0,0,5,9,0,0,15
LGA51540,6,0,0,0,4,114,97,0,10,221
LGA51610,0,0,0,0,0,47,20,0,3,66
LGA51680,16,3,0,0,21,165,50,0,0,216
LGA51750,13,3,3,0,12,323,112,12,3,455
LGA51820,121,35,4,3,165,2101,629,22,29,2780
LGA51890,3,0,0,4,8,74,47,0,9,127
LGA51960,3,0,0,0,3,29,20,0,0,51
LGA52030,0,0,0,0,0,27,25,0,0,53
LGA52100,3,0,0,0,3,57,37,0,3,95
LGA52170,14,0,4,0,16,238,57,5,0,298
LGA52240,4,0,0,0,7,65,54,0,4,127
LGA52310,0,0,0,0,0,29,28,3,0,53
LGA52380,0,0,0,0,0,4,0,0,0,4
LGA52450,0,0,0,0,0,35,15,0,0,53
LGA52520,5,5,0,0,6,55,61,3,4,127
LGA52590,4,0,0,0,3,123,69,0,6,202
LGA52660,16,4,0,0,17,239,95,3,3,344
LGA52730,12,3,0,0,17,282,112,0,15,406
LGA52800,0,0,0,0,3,34,13,0,0,57
LGA52870,8,4,0,0,7,167,89,0,3,259
LGA52940,3,0,0,0,3,31,31,0,0,58
LGA53010,4,0,0,0,4,38,46,0,3,86
LGA53080,0,0,0,0,0,11,0,0,0,13
LGA53150,11,0,0,0,11,210,43,0,0,250
LGA53220,16,0,0,0,16,136,51,8,3,188
LGA53290,7,3,0,0,15,285,243,3,13,546
LGA53360,4,0,0,0,4,61,15,3,0,80
LGA53430,83,26,0,4,108,1347,426,22,21,1811
LGA53570,11,3,0,0,14,178,82,0,4,264
LGA53640,4,0,0,0,4,49,59,0,3,106
LGA53710,0,0,0,0,0,38,22,0,0,64
LGA53780,90,23,0,4,122,1779,503,18,19,2314
LGA53800,46,10,0,0,64,727,385,7,13,1125
LGA53920,0,0,0,0,0,6,3,0,0,10
LGA53990,17,7,0,0,19,433,172,5,15,623
LGA54060,0,0,0,0,0,61,46,0,0,112
LGA54130,3,0,0,0,4,74,74,0,3,151
LGA54170,219,22,0,3,244,3450,858,38,24,4370
LGA54200,69,22,0,0,96,1091,329,3,12,1436
LGA54280,21,11,0,0,33,374,169,3,10,563
LGA54310,14,4,0,0,23,253,73,9,14,341
LGA54340,3,3,0,0,7,86,71,0,6,163
LGA54410,0,0,0,0,3,37,33,0,3,78
LGA54480,0,0,0,0,0,32,41,5,0,78
LGA54550,0,0,0,0,0,121,83,0,8,211
LGA54620,3,0,0,0,3,36,38,0,0,72
LGA54690,0,0,0,0,0,29,17,0,0,51
LGA54760,0,0,0,0,0,54,53,0,0,104
LGA54830,32,9,0,3,36,499,129,4,10,645
LGA54900,0,0,0,0,8,65,103,0,9,176
LGA54970,4,0,0,0,4,34,15,0,0,50
LGA55040,3,0,0,0,3,41,15,0,3,57
LGA55110,81,16,0,0,101,1446,472,20,16,1952
LGA55180,9,3,0,0,13,284,181,10,5,478
LGA55250,0,0,0,0,0,15,7,0,0,20
LGA55320,128,16,3,3,150,2079,568,24,26,2694
LGA55390,0,0,0,0,0,3,0,0,0,10
LGA55460,3,0,0,0,5,78,62,0,3,135
LGA55530,0,0,0,0,0,4,25,0,0,24
LGA55600,4,0,0,0,3,78,84,0,0,162
LGA55670,0,0,0,0,0,26,16,0,0,42
LGA55740,11,0,0,0,9,169,24,3,0,203
LGA55810,0,0,0,0,0,9,4,0,0,18
LGA55880,0,0,0,0,0,43,41,0,0,88
LGA55950,0,0,0,0,0,32,21,0,0,52
LGA56090,38,13,0,0,57,925,222,9,13,1165
LGA56160,0,0,0,0,0,0,0,0,0,0
LGA56230,21,4,0,0,28,303,120,0,0,426
LGA56300,0,0,0,0,0,62,30,0,0,87
LGA56370,3,0,0,0,3,44,25,0,3,69
LGA56460,0,0,0,0,3,129,107,0,6,242
LGA56580,58,10,0,0,66,676,201,10,6,902
LGA56620,0,0,0,0,0,0,3,0,0,3
LGA56730,10,0,0,0,12,220,105,0,7,335
LGA56790,3,0,0,0,3,82,68,0,9,161
LGA56860,0,0,0,0,0,6,9,0,0,16
LGA56930,3,0,0,0,3,73,17,0,3,101
LGA57000,3,0,0,0,3,15,16,0,0,36
LGA57080,154,31,3,7,189,1630,700,371,30,2728
LGA57140,0,0,0,0,0,38,18,0,3,59
LGA57210,3,3,0,0,7,186,108,3,4,295
LGA57280,11,3,0,0,13,147,51,0,3,204
LGA57350,0,0,0,0,0,46,37,0,0,85
LGA57420,0,0,0,0,0,49,37,0,0,85
LGA57490,93,27,0,3,127,1831,578,23,17,2443
LGA57630,0,0,0,0,0,3,0,0,0,3
LGA57700,22,3,0,0,28,514,168,0,5,689
LGA57770,0,0,0,0,0,19,12,0,0,35
LGA57840,66,14,0,0,71,792,271,19,4,1091
LGA57910,228,59,5,4,304,4221,1189,90,58,5560
LGA57980,44,11,0,0,58,769,314,39,9,1132
LGA58050,175,43,4,3,229,2719,894,48,26,3691
LGA58190,0,0,0,0,4,14,15,0,0,28
LGA58260,0,0,0,0,0,11,0,0,0,15
LGA58330,10,8,0,0,13,148,38,0,9,195
LGA58400,0,0,0,0,0,21,10,0,0,26
LGA58470,0,0,0,0,0,0,0,0,0,0
LGA58510,57,14,0,3,67,963,264,19,8,1255
LGA58540,3,0,0,0,3,52,27,0,0,83
LGA58570,73,18,0,0,89,1174,397,23,16,1613
LGA58610,0,0,0,0,0,58,50,0,0,107
LGA58680,0,0,0,0,0,17,15,0,0,33
LGA58760,202,61,3,8,270,3687,1071,55,58,4870
LGA58820,5,3,0,0,9,67,37,0,4,104
LGA58890,0,0,0,0,0,65,36,0,0,110
LGA59030,0,0,0,0,0,13,13,3,0,28
LGA59090,0,0,0,0,0,0,0,0,0,0
LGA59100,0,0,0,0,0,46,29,0,0,77
LGA59170,0,0,0,0,0,64,58,0,0,118
LGA59250,0,0,0,0,0,4,6,0,0,13
LGA59310,0,0,0,0,0,42,51,0,0,99
LGA59320,0,0,0,0,0,23,23,0,6,43
LGA59330,0,0,0,0,0,9,13,0,0,27
