SA2_MAINCODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
701021014,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12
701021015,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,23
701021016,0,0,0,23,28,0,3,0,0,31,28,0,0,0,0,28,44,0,3,0,0,49,53,6,0,4,0,65,78,8,6,0,0,93,130,9,11,3,3,160,131,12,8,3,0,154,88,6,9,0,0,98,35,11,3,3,0,56,27,4,6,0,0,39,27,16,3,0,0,44,13,14,7,0,0,29,19,0,0,0,0,17,715,85,59,16,12,890
701021017,0,0,0,5,7,0,0,0,0,7,10,0,0,0,0,16,32,0,0,3,0,32,32,0,3,0,0,31,71,4,0,0,0,73,172,3,3,0,0,175,263,6,0,0,5,271,216,9,0,0,0,226,200,12,0,0,0,212,187,3,0,0,0,198,491,11,5,0,4,511,382,7,0,0,0,387,30,0,0,0,0,36,2097,50,11,3,23,2185
701021018,0,0,0,9,3,0,0,0,0,9,3,0,0,0,0,8,8,0,0,0,0,9,8,0,6,0,0,17,8,6,4,0,0,19,20,0,4,0,0,22,23,0,3,0,0,30,13,0,6,0,0,21,8,3,4,0,0,18,10,0,0,0,0,17,15,0,0,0,0,16,3,0,3,0,0,3,5,0,3,0,0,7,137,16,43,5,4,205
701021019,6,0,0,20,22,0,4,0,0,23,24,0,5,0,0,33,27,0,4,0,0,29,46,3,4,3,0,57,43,7,6,0,0,57,54,0,10,0,3,68,46,6,8,0,0,61,46,0,11,0,0,56,32,6,0,0,0,46,28,4,3,0,0,34,23,6,5,0,0,33,10,0,0,0,0,11,11,0,0,0,3,8,437,27,67,13,7,555
701021020,0,0,0,17,28,0,0,0,0,31,30,0,3,0,0,33,34,3,5,3,0,45,39,6,10,3,0,61,54,8,7,0,3,69,59,3,8,0,3,80,63,3,13,0,0,79,38,3,5,0,0,46,20,7,10,0,0,35,23,7,5,0,0,29,27,4,10,0,0,40,11,3,5,0,0,19,7,0,0,0,0,4,439,47,77,13,9,584
701021021,0,0,0,6,3,0,0,0,0,3,8,0,0,0,0,5,6,0,0,0,0,11,11,0,3,0,0,14,17,0,8,3,0,22,33,0,7,0,0,42,30,3,3,0,0,35,19,10,6,0,3,40,20,7,8,0,0,38,9,3,3,0,0,17,8,3,13,0,0,23,3,0,8,0,0,15,3,0,0,0,0,10,169,31,68,8,4,277
701021022,3,0,0,40,19,0,0,3,0,26,31,0,4,0,0,34,36,0,3,0,0,36,64,5,7,0,0,80,74,6,5,0,0,86,132,5,5,0,0,140,120,0,10,0,0,130,98,5,4,0,0,107,87,0,8,0,0,92,84,3,3,0,0,92,59,3,3,0,0,66,23,3,5,0,0,31,11,0,0,0,0,15,872,31,58,11,13,983
701021023,0,0,3,49,26,0,3,0,0,30,36,0,3,0,0,39,36,0,3,0,0,41,58,3,5,0,0,63,51,3,3,0,0,62,72,3,6,0,0,78,47,9,12,0,0,65,41,6,11,0,0,56,13,3,6,0,0,23,13,5,3,0,0,17,10,5,7,3,0,25,7,0,0,0,0,11,6,0,0,0,0,6,451,39,60,14,14,576
