SA2_MAINCODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
102021047,69,9,3,616,516,56,58,8,4,649,499,47,59,11,8,627,411,52,43,5,9,520,238,22,42,5,4,313,64,9,22,6,3,101,24,9,7,3,0,41,6,4,4,5,0,16,4066,347,423,70,50,4953
102021048,32,0,3,358,286,31,52,4,3,377,326,32,55,8,3,419,295,27,35,6,9,372,175,17,30,6,3,235,57,6,18,3,0,80,15,4,3,4,0,29,3,3,0,0,0,16,3492,229,346,46,48,4157
102021049,15,4,5,79,50,20,13,9,0,89,54,16,13,3,0,85,43,14,15,4,0,80,40,5,15,6,0,60,8,12,9,3,0,32,0,3,3,3,0,5,0,0,5,4,0,5,533,99,105,34,10,790
102021050,18,0,0,181,139,22,17,4,3,179,180,16,28,3,4,223,190,15,17,8,0,234,99,11,16,9,3,131,28,15,13,8,3,61,15,5,4,3,0,24,7,0,0,0,0,5,1452,118,157,34,32,1793
102021051,16,3,0,214,199,18,15,0,0,239,226,34,19,6,3,284,196,19,20,10,3,243,104,22,16,3,0,150,56,10,7,0,0,75,13,3,4,3,0,23,0,3,0,0,0,6,1667,153,143,34,11,2007
102021052,18,0,0,53,31,8,14,3,0,62,39,16,16,4,0,73,22,8,15,3,0,48,17,3,3,0,0,24,4,3,3,0,0,14,0,3,0,0,0,4,0,0,3,3,0,3,265,68,93,26,3,454
102021053,43,5,12,361,217,52,36,9,3,321,239,34,36,11,5,325,172,46,48,10,0,287,141,35,49,9,0,235,36,25,24,14,3,107,20,16,6,3,0,47,14,5,5,0,0,27,2384,325,378,80,48,3209
102021054,35,11,0,222,193,26,34,4,9,254,191,16,31,5,3,247,157,17,47,8,3,236,108,18,24,3,4,159,35,6,16,0,0,64,11,3,0,0,0,18,8,0,0,3,0,12,1654,156,264,45,29,2157
102021055,38,0,5,1000,871,93,49,4,11,1031,750,74,41,4,5,864,601,51,42,7,6,714,375,58,41,9,9,482,119,26,18,3,3,169,32,15,12,12,3,75,6,0,3,0,5,11,8226,515,326,62,87,9214
102021056,59,4,9,803,644,46,51,10,4,755,696,53,40,6,8,805,612,42,35,13,4,705,361,21,29,4,3,416,125,29,19,3,0,172,28,8,5,3,3,45,6,0,6,5,3,17,5543,317,381,66,58,6375
102021057,29,9,10,610,580,41,31,7,3,665,527,38,33,6,3,608,458,28,28,6,3,518,305,24,31,5,9,371,97,20,14,5,4,141,22,7,8,7,0,39,7,4,3,0,5,14,4499,281,242,55,56,5129
103011058,87,14,9,1341,1168,91,101,8,13,1382,1086,93,93,21,19,1305,1009,76,96,21,17,1211,707,58,92,9,11,878,224,43,53,11,7,346,77,15,21,10,3,127,32,8,17,18,5,76,10975,641,784,162,145,12705
103011059,23,8,8,389,343,37,29,0,3,411,360,25,24,8,3,421,306,24,24,12,9,376,168,25,16,8,0,216,59,11,20,7,0,93,17,3,11,4,0,33,5,3,4,5,0,20,3006,220,232,60,36,3550
103011060,29,11,0,99,65,22,29,14,4,130,57,22,39,16,4,130,53,23,35,21,3,128,55,11,34,22,3,132,18,14,57,27,0,122,7,9,39,20,0,78,6,3,27,14,3,52,575,129,326,169,23,1223
103011061,20,4,0,212,187,20,22,4,3,236,171,6,20,7,7,208,166,15,31,4,3,225,122,17,33,20,3,193,65,11,30,24,6,131,27,4,22,28,3,78,3,4,7,11,3,28,1609,105,228,113,33,2091
103021062,35,14,5,225,167,32,37,11,3,249,168,17,54,30,8,280,173,18,67,19,6,285,110,18,54,31,7,228,63,7,43,29,0,144,18,3,27,19,4,69,18,3,24,28,0,75,1645,158,432,233,57,2530
103021063,42,5,9,375,360,13,48,11,3,439,343,34,51,3,7,437,292,22,55,3,3,379,228,24,51,9,11,322,85,15,27,3,4,135,18,3,29,4,3,58,4,3,15,4,5,31,3008,187,399,74,72,3738
103021064,32,11,7,152,98,15,44,10,0,166,108,18,55,12,3,197,85,7,50,13,4,157,80,11,63,20,0,181,26,13,35,24,3,101,13,4,28,25,3,62,8,4,29,22,0,61,868,99,401,172,34,1570
103021065,57,15,4,369,290,34,62,14,3,410,334,39,81,18,6,475,290,23,90,13,3,423,175,24,81,28,4,322,72,13,41,23,10,160,26,5,24,19,6,79,13,3,35,33,5,87,2925,218,565,197,80,3992
103021066,33,3,3,118,74,8,22,14,6,126,80,7,40,13,4,145,73,3,59,15,7,155,46,8,57,24,3,141,30,13,38,17,0,91,11,4,17,15,0,48,9,3,16,11,0,40,662,84,336,121,31,1229
103021067,28,3,5,414,371,39,32,13,3,456,392,43,24,4,6,468,355,28,44,4,7,436,207,15,43,7,9,285,71,11,30,4,0,125,28,5,3,8,3,41,6,3,0,5,3,22,3430,236,288,59,61,4071
103021068,30,11,0,156,91,3,43,9,0,150,87,6,43,21,9,167,74,11,43,21,3,150,48,4,41,30,0,133,13,7,27,29,3,76,9,8,17,16,3,51,3,5,21,25,4,51,854,63,299,173,28,1422
103021069,47,20,0,264,145,20,59,23,3,253,174,19,58,21,0,277,185,20,67,34,7,307,120,24,50,23,7,227,44,7,40,26,4,120,14,6,22,13,6,59,8,3,31,25,8,72,1683,151,470,229,41,2578
103031070,39,3,3,546,496,23,36,7,6,562,509,34,37,7,7,593,509,24,45,12,6,600,278,19,30,16,12,352,113,7,19,5,0,145,43,7,8,4,3,71,6,4,9,4,3,24,4373,196,300,77,56,5007
103031071,12,3,3,277,226,20,36,4,4,288,231,26,36,11,3,307,265,19,31,12,4,338,110,22,30,13,0,172,29,10,15,18,3,73,14,6,18,17,0,50,3,0,11,21,3,36,1936,147,227,109,30,2455
103031072,68,6,6,585,509,63,43,4,11,631,507,44,60,4,9,618,432,41,57,15,9,555,233,22,55,10,0,321,85,18,22,19,5,143,31,10,11,8,0,57,6,12,3,9,0,36,4303,329,447,89,77,5242
103031073,15,3,3,71,72,14,12,3,0,107,89,13,16,3,4,124,81,8,18,7,0,117,40,5,22,10,0,87,13,7,17,14,0,47,6,0,8,19,0,36,0,4,18,10,3,29,564,78,146,64,17,868
103031074,43,8,5,410,363,32,55,10,5,468,328,30,51,25,9,443,255,32,66,25,9,388,145,22,52,40,3,266,56,16,59,44,10,179,15,10,35,52,5,106,12,3,38,35,8,90,2804,198,470,268,70,3815
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,27,4,4,336,285,22,26,10,0,349,236,20,38,13,5,314,190,14,43,23,8,276,112,20,57,21,0,216,26,20,34,20,3,97,17,8,35,23,4,82,13,3,22,21,4,67,2217,156,353,151,40,2917
103041077,110,10,17,1749,1479,109,99,3,21,1717,1379,98,101,11,22,1606,1323,88,104,19,12,1544,756,75,74,12,15,934,288,46,47,10,4,400,81,17,34,5,5,141,32,4,16,3,13,70,13383,685,825,119,173,15190
103041078,44,3,7,356,276,36,47,3,3,366,241,33,42,3,5,324,226,29,32,4,3,298,138,19,33,9,3,206,59,10,25,8,0,99,16,8,4,3,0,35,10,0,5,0,0,15,2641,254,359,53,54,3355
103041079,49,17,5,392,270,40,45,13,8,383,265,40,56,29,5,394,234,26,82,16,5,371,163,36,58,39,0,299,79,25,62,66,8,240,26,16,45,42,3,135,9,3,32,49,6,102,2404,281,555,318,67,3630
104011080,79,12,17,1034,962,54,92,11,19,1135,991,76,84,17,14,1183,1013,47,100,19,15,1199,617,49,71,24,14,774,186,18,47,12,5,265,58,4,18,8,8,91,26,9,9,16,8,69,8111,374,641,141,142,9416
104011081,36,6,3,178,136,22,48,15,3,223,131,28,50,30,7,242,137,28,78,35,4,274,97,27,77,41,8,242,36,12,53,41,6,137,13,3,28,24,8,73,4,3,29,25,9,65,1077,164,468,216,52,1975
104011082,92,13,8,543,405,41,82,18,9,554,468,58,88,17,11,644,444,52,115,25,11,649,311,57,77,21,7,464,96,27,41,17,5,189,30,10,26,7,0,72,16,7,14,7,4,46,3594,360,654,151,89,4845
104021083,43,3,4,198,146,13,36,9,0,204,150,14,51,8,3,224,153,13,54,14,3,236,125,16,44,4,11,195,23,8,31,6,0,74,10,4,6,4,0,29,3,3,6,8,7,26,1172,103,328,68,40,1717
104021084,71,11,6,694,548,47,68,6,12,681,517,56,70,5,11,659,536,60,79,15,9,690,306,51,71,19,8,455,106,18,41,10,3,182,27,11,10,6,0,55,4,3,3,3,5,22,5247,358,551,109,73,6340
104021085,101,16,15,1538,1392,105,126,15,16,1654,1443,109,91,13,13,1666,1429,88,71,17,14,1613,835,58,95,12,16,1017,278,41,58,21,4,399,68,8,13,6,0,97,18,6,11,7,10,46,11527,606,766,121,119,13139
104021086,18,6,0,62,30,18,20,4,3,73,36,16,18,9,4,71,29,12,24,9,3,73,19,18,25,8,0,72,12,0,3,4,0,20,3,0,5,7,0,18,0,0,3,3,0,8,281,75,143,47,18,568
104021087,20,3,0,74,77,8,27,7,0,119,77,11,31,9,0,126,69,7,43,5,3,134,51,5,37,14,0,109,8,5,38,15,0,64,6,8,23,9,0,49,3,0,14,10,0,28,551,53,251,80,11,952
104021088,27,5,3,140,76,24,27,7,0,134,56,20,30,11,3,126,57,22,35,16,0,125,47,17,30,15,0,106,15,12,20,7,0,57,0,7,8,6,0,17,3,0,0,0,0,3,710,151,242,81,16,1204
104021089,61,9,8,469,354,54,79,12,5,505,380,46,81,12,4,521,332,49,66,12,8,458,232,32,67,13,3,354,79,15,30,8,4,138,16,6,7,4,3,43,3,0,8,7,3,25,3353,284,518,95,55,4302
104021090,13,0,0,116,104,15,19,4,0,141,111,14,20,3,3,149,123,13,27,4,0,160,86,6,23,4,6,123,23,4,13,6,0,54,6,0,10,0,0,15,0,0,3,3,3,12,860,79,168,36,14,1157
104021091,47,12,4,330,234,31,60,18,0,345,237,36,70,15,3,358,232,13,62,23,3,335,172,15,45,14,6,254,51,3,26,7,3,93,14,3,4,0,0,26,3,4,3,6,4,18,2460,176,412,140,43,3235
105011092,11,5,3,110,95,7,16,8,0,132,98,11,23,7,5,141,73,4,21,10,4,120,55,6,17,8,0,85,29,0,19,3,0,57,9,0,3,7,4,21,3,0,3,3,3,14,917,57,143,66,27,1205
105011093,15,7,9,239,167,9,17,7,0,200,208,15,21,15,4,263,168,12,28,20,3,228,102,4,19,17,4,149,31,4,14,7,4,66,0,0,8,14,0,23,7,3,6,15,0,24,1827,91,190,118,35,2264
105011094,18,11,8,135,109,26,25,15,6,182,96,17,25,25,3,165,110,8,42,24,8,190,77,7,43,27,0,152,32,7,21,9,5,76,11,6,14,9,0,44,0,0,11,10,3,32,960,102,253,154,42,1512
105011095,26,18,3,239,187,28,34,15,0,259,183,22,48,14,6,271,150,18,45,20,7,236,83,18,37,11,3,149,54,5,30,9,4,97,15,5,22,11,0,48,4,5,28,33,3,74,1624,123,327,138,39,2247
105011096,24,10,3,189,162,12,30,25,8,233,154,9,30,20,14,232,144,21,40,36,3,247,108,13,38,32,13,198,50,4,32,29,8,118,24,8,16,19,0,71,6,7,7,12,0,44,1472,112,258,222,65,2131
105021097,43,10,11,661,635,33,34,4,12,717,695,38,42,8,10,800,713,54,62,9,16,856,409,30,51,21,14,526,144,23,29,13,6,213,43,4,15,0,7,69,16,6,10,5,9,48,5986,268,381,95,126,6856
105021098,8,10,0,83,56,8,20,12,0,94,56,18,26,9,3,109,46,7,34,16,7,110,63,8,27,16,4,126,24,3,17,9,3,57,3,3,13,9,0,27,0,3,8,3,0,16,599,77,195,113,27,1012
105031099,43,18,3,244,209,12,43,21,8,289,221,30,70,24,4,347,192,21,74,34,4,322,148,15,62,34,9,272,54,13,51,27,7,147,22,4,28,29,0,81,5,5,29,40,4,83,1683,136,492,255,51,2621
105031100,47,3,9,632,619,46,44,8,12,721,573,48,47,5,3,678,538,46,57,12,9,659,368,19,43,7,9,440,154,14,27,6,13,215,38,7,15,6,8,69,16,3,0,3,4,32,5648,301,380,63,86,6480
105031101,67,7,9,1067,907,78,67,18,6,1074,883,86,72,10,14,1061,813,55,76,10,15,972,483,62,60,9,4,623,175,33,49,3,10,270,44,12,13,5,0,78,27,5,17,10,8,63,8777,535,606,104,99,10129
105031102,15,3,0,225,160,13,21,7,4,196,158,17,27,3,4,213,159,10,23,0,0,197,102,9,23,3,4,143,33,6,16,3,3,56,18,5,9,0,0,33,5,9,10,0,3,23,1704,122,204,35,42,2096
105031103,23,8,3,84,45,18,30,13,0,102,41,17,38,7,3,109,50,5,45,19,3,126,27,3,53,14,0,103,14,7,34,20,3,75,0,3,15,22,3,51,3,3,18,18,3,48,469,103,304,145,30,1050
105031104,34,4,3,135,100,8,30,15,9,160,114,19,48,14,4,202,129,17,33,13,4,202,76,11,47,14,3,152,30,3,30,20,0,82,11,5,26,18,0,55,0,3,28,18,0,57,993,86,356,137,31,1607
105031105,35,8,3,186,125,16,40,23,3,202,132,22,38,18,0,214,132,29,35,13,0,211,71,16,45,18,0,141,35,9,26,22,0,89,10,9,8,10,0,37,11,3,11,9,5,33,1261,141,281,145,21,1845
105031106,23,9,3,216,173,14,36,5,4,245,184,22,39,12,3,259,177,15,43,15,0,259,101,14,42,8,0,163,51,15,37,19,5,117,11,13,20,12,3,60,8,0,24,15,0,49,1535,127,322,126,36,2148
106011107,31,10,3,403,313,46,34,10,4,417,238,38,27,14,3,318,250,24,42,10,13,339,160,32,30,14,5,244,53,29,27,27,4,141,12,13,10,14,0,51,8,3,10,11,3,34,3257,274,283,128,68,4013
106011108,47,7,9,724,632,46,49,8,11,738,555,38,43,3,19,653,606,25,52,8,8,694,319,29,35,13,3,403,120,9,13,6,3,153,30,8,5,7,0,51,10,6,3,0,3,24,5611,280,365,78,79,6411
106011109,24,10,0,202,174,22,18,5,0,219,150,26,25,3,0,203,113,23,30,13,0,186,54,22,35,11,3,127,20,14,26,17,3,77,9,5,8,8,0,27,0,7,13,5,0,23,1176,164,218,73,22,1639
106011110,24,6,0,212,164,24,37,13,4,240,181,20,52,15,0,270,176,24,63,21,4,289,116,28,49,16,4,210,41,26,30,20,0,116,9,17,14,24,3,66,11,10,20,17,3,63,1428,209,347,154,30,2170
106011111,39,3,5,357,297,38,29,8,4,372,321,26,34,12,3,393,248,22,30,10,4,314,166,12,26,10,3,218,46,11,11,3,0,76,10,0,0,0,0,16,6,0,3,0,0,14,2796,172,247,60,39,3313
106011112,28,3,9,875,759,41,38,6,8,859,734,51,39,10,8,839,584,38,37,6,9,673,317,34,20,13,10,389,111,28,20,16,3,170,18,4,13,4,0,39,14,7,13,9,3,37,7299,356,317,85,78,8133
106011113,9,8,11,965,784,32,19,3,0,839,665,27,23,8,12,726,543,30,24,9,0,609,246,14,29,17,4,308,53,9,25,27,3,110,12,5,25,17,0,60,0,0,7,11,3,23,6378,173,183,112,61,6906
106021114,36,10,9,795,724,38,25,8,5,799,638,33,19,4,6,700,559,36,41,5,5,651,289,26,38,4,3,364,106,16,17,3,0,142,22,8,8,5,0,39,6,0,0,0,5,13,5825,256,271,56,46,6457
106021115,60,8,5,831,690,75,67,11,0,842,611,67,91,13,7,788,542,53,76,14,4,692,298,36,60,8,3,412,102,29,21,7,5,171,38,15,11,5,0,62,14,4,6,3,6,28,6500,470,566,99,55,7682
106021116,20,3,0,112,51,20,20,0,3,95,61,15,20,9,3,107,68,14,19,5,0,108,30,13,15,5,3,62,20,6,16,6,0,54,3,0,4,0,0,10,3,0,6,0,0,9,649,121,163,40,13,986
106021117,55,7,7,804,637,46,42,8,15,745,593,59,35,6,8,697,530,56,35,11,9,634,279,36,23,11,3,353,105,27,23,5,6,163,30,14,7,7,0,61,20,9,7,7,4,47,6559,405,350,93,70,7471
