SA2_MAINCODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
102021051,0,7,0,0,6,1296,621,60,35,2007
102021052,0,0,0,0,3,224,216,9,10,454
102021053,6,13,0,3,27,1566,1502,86,57,3209
102021054,3,8,0,0,12,1033,993,83,51,2157
102021055,0,4,0,4,11,5321,3386,310,196,9214
102021056,8,8,0,3,17,3785,2222,250,108,6375
102021057,0,11,0,0,14,3280,1583,174,89,5129
103011058,23,48,9,3,76,7445,4517,497,248,12705
103011059,6,9,0,0,20,2331,1025,138,66,3550
103011060,19,30,0,4,52,729,429,38,26,1223
103011061,10,7,4,4,28,1429,541,60,59,2091
103021062,42,27,3,3,75,1601,742,101,82,2530
103021063,14,13,0,3,31,2204,1337,128,67,3738
103021064,31,28,4,9,61,964,508,54,45,1570
103021065,37,29,8,14,87,2503,1220,158,108,3992
103021066,21,20,3,0,40,777,381,37,37,1229
103021067,4,12,0,4,22,2427,1364,179,100,4071
103021068,15,30,4,0,51,1005,325,64,28,1422
103021069,34,24,3,6,72,1659,748,93,78,2578
103031070,4,18,0,6,24,2800,1904,208,92,5007
103031071,16,18,0,0,36,1740,562,90,62,2455
103031072,20,11,0,3,36,2944,2016,185,94,5242
103031073,16,11,0,0,29,463,357,31,14,868
103031074,32,40,5,5,90,2630,936,155,93,3815
103031075,0,0,0,0,0,0,0,0,0,0
103041076,30,22,3,4,67,1981,750,130,60,2917
103041077,22,39,3,15,70,9458,4931,556,248,15190
103041078,0,10,4,0,15,2164,1001,123,62,3355
103041079,46,46,4,11,102,2424,989,140,71,3630
104011080,16,37,0,7,69,5366,3489,384,174,9416
104011081,25,33,0,6,65,1088,756,59,68,1975
104011082,20,21,3,3,46,2354,2180,196,111,4845
104021083,8,16,0,3,26,772,845,57,33,1717
104021084,8,8,0,3,22,3192,2774,250,117,6340
104021085,13,23,0,12,46,7725,4745,481,193,13139
104021086,3,3,0,0,8,285,242,19,24,568
104021087,10,7,5,3,28,451,429,44,23,952
104021088,0,5,0,0,3,554,596,34,22,1204
104021089,0,14,0,3,25,2166,1922,131,90,4302
104021090,0,4,0,3,12,621,464,45,26,1157
104021091,6,10,4,0,18,1704,1353,105,75,3235
105011092,8,3,0,3,14,852,276,46,28,1205
105011093,13,8,0,3,24,1629,462,111,66,2264
105011094,20,8,4,3,32,988,396,68,64,1512
105011095,34,27,7,10,74,1582,539,77,57,2247
105011096,22,15,0,0,44,1361,624,76,70,2131
105021097,10,14,8,8,48,4260,2114,316,169,6856
105021098,9,3,0,3,16,757,182,37,37,1012
105031099,42,28,3,3,83,1585,882,92,62,2621
105031100,7,15,0,4,32,4661,1474,216,128,6480
105031101,13,33,3,9,63,6342,3229,382,176,10129
105031102,5,14,0,6,23,1321,684,58,42,2096
105031103,25,21,0,3,48,714,277,33,26,1050
105031104,38,17,0,0,57,1002,503,57,50,1607
105031105,12,10,3,4,33,1256,482,57,51,1845
105031106,20,26,0,0,49,1361,656,75,54,2148
106011107,13,17,0,4,34,2098,1722,125,72,4013
106011108,7,15,0,3,24,3332,2661,277,139,6411
106011109,7,12,3,4,23,1082,462,63,36,1639
106011110,28,33,3,3,63,1127,896,90,57,2170
106011111,4,4,0,0,14,1702,1454,103,53,3313
106011112,15,16,4,4,37,5085,2587,281,188,8133
106011113,13,6,0,4,23,5651,825,301,137,6906
106021114,3,7,0,5,13,3647,2453,249,103,6457
106021115,10,20,0,3,28,3864,3415,286,118,7682
106021116,3,3,0,0,9,498,455,21,11,986
106021117,14,17,0,10,47,4659,2459,217,134,7471
106021118,7,11,0,5,17,2517,1153,104,51,3823
106031119,0,3,0,0,3,397,359,27,14,799
106031120,0,3,0,0,3,327,418,28,16,799
106031121,5,35,0,3,43,3147,3231,273,132,6782
106031122,14,9,0,0,23,6956,2491,313,174,9934
106031123,3,9,0,0,15,420,269,28,13,737
106031124,3,10,0,0,18,552,483,43,26,1097
106031125,12,24,3,0,42,4659,1506,228,105,6505
106041126,7,13,0,0,22,4152,1923,267,129,6475
106041127,6,9,0,0,16,1461,454,81,47,2043
106041128,14,11,0,7,32,1624,1015,85,48,2775
106041129,30,32,4,4,71,1373,733,93,47,2244
107011131,9,4,4,0,17,2170,2237,177,66,4654
107011132,3,0,0,0,3,501,295,20,9,834
107011133,3,3,3,3,5,2612,455,128,65,3265
107011134,10,12,0,5,33,6345,2311,272,148,9077
107011545,0,5,0,0,3,718,564,50,30,1363
107011546,3,9,0,3,20,3598,2345,210,103,6255
107011547,0,0,0,0,3,212,139,14,9,377
107021135,0,0,0,0,0,47,14,3,0,58
107031136,4,4,0,0,8,1206,1171,88,41,2506
107031137,8,0,0,0,8,1402,812,80,29,2328
107031138,0,8,0,3,16,1298,1436,92,37,2861
107031139,3,0,0,0,6,255,298,18,12,579
107031140,10,21,0,3,35,820,907,86,28,1836
107031141,0,3,0,0,11,1385,873,60,33,2355
107031142,3,9,3,3,18,2994,2734,230,99,6059
107031143,3,10,0,0,12,2069,1650,161,70,3949
107041144,7,12,0,3,20,3006,2413,213,103,5738
107041145,0,10,0,0,15,1702,1476,124,71,3371
107041146,8,16,0,0,23,3282,3092,234,94,6703
107041147,3,6,0,0,11,1079,842,65,36,2021
107041148,0,7,0,0,5,1054,1201,65,40,2358
107041150,3,7,0,6,21,1674,1712,114,48,3560
107041548,17,36,10,6,74,13331,7681,818,395,22216
107041549,5,14,0,4,22,3578,2366,250,114,6301
108011151,16,8,3,0,29,747,497,46,23,1314
108011152,3,11,0,8,26,2047,1931,189,98,4263
108011153,8,8,0,0,15,460,551,47,26,1084
108011154,3,3,4,3,16,1200,976,98,55,2325
108021155,13,15,0,7,36,3538,2523,277,198,6531
108021156,22,21,8,6,46,949,675,76,63,1769
108021157,5,3,0,0,14,1361,904,102,51,2411
108021158,7,6,0,0,13,828,868,62,43,1796
108021159,19,16,3,3,43,640,488,35,34,1197
108021160,3,0,0,3,8,458,489,59,29,1047
108031161,0,3,0,0,7,112,76,24,9,214
108041162,10,10,0,7,22,1489,1410,109,68,3072
108041163,15,23,0,3,41,4552,3657,351,145,8705
108041164,9,33,3,5,53,6611,4153,394,215,11370
108041165,22,18,0,0,42,752,375,36,35,1204
108041166,4,18,0,7,30,1893,1114,113,68,3187
108051167,7,18,3,8,38,938,699,60,42,1742
108051168,8,11,3,6,28,612,676,69,35,1390
108051169,10,25,3,12,49,5767,4158,420,239,10579
108051170,23,14,0,3,43,825,706,56,39,1630
108051171,3,7,0,0,9,696,562,185,44,1480
109011172,3,19,3,3,25,3689,1835,221,100,5846
109011173,4,3,3,0,10,1131,660,73,31,1888
109011174,12,21,6,3,37,6931,4933,509,225,12592
109011175,37,43,6,11,92,2267,1180,168,89,3703
109011176,3,20,0,0,26,2256,1561,148,70,4035
109021177,10,10,0,0,23,819,394,58,46,1312
109021178,3,12,0,3,25,1327,657,92,61,2136
109021179,15,8,4,3,28,1151,421,55,49,1675
109031180,4,8,3,3,18,1303,803,122,66,2295
109031181,19,13,4,4,40,1677,767,101,55,2596
109031182,11,11,3,3,26,1882,1124,137,64,3197
109031183,39,30,6,3,77,1782,802,109,69,2760
109031184,4,9,5,0,19,974,683,94,49,1796
109031185,21,30,3,5,67,1893,1115,153,93,3248
110011186,19,36,0,8,64,6224,4097,427,210,10961
110011187,33,21,5,0,67,1216,565,52,33,1865
110011188,13,22,3,4,42,712,417,38,39,1204
110011189,19,21,0,0,43,913,434,41,31,1420
110021190,31,32,8,6,78,1751,1107,122,79,3062
110021191,22,27,3,15,65,3079,1935,197,143,5347
110021192,28,20,6,0,50,638,330,37,36,1042
110021193,29,23,0,7,58,1114,515,65,45,1741
110021194,29,25,3,10,59,1224,761,85,67,2148
110031195,10,9,10,0,25,2462,1006,159,95,3723
110031196,36,20,10,0,69,1618,455,73,72,2210
110031197,7,3,5,0,13,1904,997,126,68,3097
110031198,25,17,6,5,49,1380,466,91,59,1998
110041199,8,4,0,3,16,2340,1283,142,74,3843
110041200,30,23,3,4,57,1690,419,70,54,2230
110041201,25,27,3,3,61,1687,803,93,75,2659
110041202,14,16,0,3,34,3448,2249,220,113,6029
110041203,11,24,4,8,48,5894,3429,405,197,9921
110041204,8,13,4,8,27,4217,1020,152,117,5506
110041205,60,43,7,6,115,2231,1159,124,90,3616
111011206,0,21,3,0,26,3164,2305,216,71,5756
111011207,0,3,0,0,3,248,263,11,8,532
111011208,16,15,0,5,40,6323,5036,462,210,12030
111011209,16,16,0,5,36,6032,3845,364,188,10431
111011210,3,0,0,0,5,621,797,75,11,1504
111011211,0,0,0,0,4,519,342,34,11,902
111011212,0,7,0,0,10,774,928,58,28,1790
111011213,0,5,0,0,4,550,551,25,22,1142
111011214,3,14,3,0,19,3487,2440,211,68,6209
111021215,0,5,0,3,7,977,682,73,30,1768
111021216,0,6,0,0,6,386,408,34,14,837
111021217,3,0,0,0,5,1567,941,109,42,2655
111021218,4,19,0,3,28,3500,2135,238,120,5995
111021219,3,20,0,0,29,2101,1821,140,68,4130
111021220,0,6,0,0,9,762,421,47,18,1248
111021221,0,0,0,0,0,570,337,32,14,954
111031222,3,19,0,5,28,3033,3361,258,117,6768
111031223,0,3,0,3,12,5069,1385,176,132,6768
111031224,14,38,3,4,62,7453,3915,412,184,11961
111031225,8,18,3,6,36,5818,3880,522,164,10380
111031226,0,6,0,0,6,911,571,35,31,1543
111031227,9,18,0,3,27,5128,2495,279,124,8030
111031228,3,26,0,3,29,1701,1641,112,58,3520
111031229,7,27,5,8,52,12224,5769,736,240,18971
111031230,7,0,0,3,11,3398,461,156,55,4067
111031231,9,12,0,3,26,4330,2746,297,128,7503
111031232,0,4,4,3,8,906,674,85,26,1704
111031233,5,16,0,3,20,3292,2097,209,92,5693
111031234,3,20,0,0,22,2878,2125,274,76,5352
111031235,10,9,0,0,26,3951,1742,165,110,5961
112011236,9,29,3,3,51,4765,3700,296,167,8928
112011237,36,40,3,4,80,2366,1878,148,77,4470
112011238,6,15,0,3,26,988,974,63,49,2075
112011239,4,11,0,0,17,675,901,51,36,1659
112011240,7,10,0,8,23,2991,2951,190,129,6265
112011241,4,3,0,0,12,650,515,38,34,1238
112011242,3,9,0,0,12,684,748,38,37,1510
112011243,9,11,0,3,26,1285,1434,105,82,2904
112021244,13,13,3,9,35,2566,1827,179,107,4686
112021245,28,29,3,7,61,855,516,47,35,1450
112021246,8,9,4,4,26,1364,1149,96,65,2673
112021247,28,12,0,8,46,1271,865,71,57,2258
112021248,16,29,0,16,64,8340,5578,484,246,14646
112021249,36,28,4,7,74,1481,1234,80,78,2875
112031250,5,25,0,3,36,2058,1866,120,75,4116
112031251,15,14,0,0,29,2690,1796,178,111,4776
112031252,19,19,0,3,41,863,784,50,47,1754
112031253,4,12,0,3,19,1081,1101,73,50,2306
112031254,10,22,7,7,49,3580,3044,257,162,7042
112031550,0,16,0,0,23,760,632,49,34,1478
112031551,0,4,0,0,10,260,177,10,11,452
112031552,6,14,0,0,24,2981,1819,171,107,5076
113011256,17,22,3,3,46,5302,2914,300,206,8715
113011257,39,60,7,8,114,4352,1378,252,148,6132
113011258,18,17,3,7,46,2852,1139,153,101,4246
113011259,17,21,0,3,38,1307,663,95,58,2120
113021260,18,21,0,0,37,918,446,66,43,1463
113021261,9,11,0,5,24,1960,1024,112,69,3163
113021262,13,12,0,3,31,794,365,54,43,1255
113031263,19,21,4,7,50,1635,906,89,63,2698
113031264,16,11,0,8,36,829,517,50,51,1446
113031265,12,14,0,4,28,1191,525,71,36,1827
113031266,9,19,0,3,40,1474,857,92,68,2485
113031267,9,18,0,4,30,3992,1772,198,128,6084
113031268,3,3,0,0,11,2086,585,78,70,2816
113031269,0,12,0,0,11,1734,1269,92,56,3151
113031270,14,38,3,8,66,9758,5064,618,275,15718
113031271,65,48,4,10,126,3220,1172,137,81,4614
114011272,8,14,0,6,33,1394,1240,97,61,2787
114011273,3,0,0,0,3,191,200,10,12,410
114011274,3,5,0,0,8,405,366,32,14,819
114011275,0,0,0,0,0,50,26,4,3,84
114011276,0,3,0,4,11,803,887,97,37,1826
114011277,3,21,0,3,26,2265,1622,142,96,4122
114011278,17,27,0,11,52,9462,5121,580,318,15482
114011279,4,9,0,4,12,657,759,67,51,1529
114011280,0,6,0,0,6,293,353,32,16,691
114011281,3,6,0,0,9,266,191,15,13,483
114011282,8,23,3,4,41,2347,2428,207,125,5108
114011283,4,7,0,0,12,324,346,26,6,711
114021284,18,59,4,0,83,3316,2674,190,88,6266
114021285,0,8,0,0,6,225,206,23,13,461
114021286,11,33,0,5,39,2334,1724,123,72,4257
114021287,19,25,0,0,41,2734,1433,125,73,4361
114021288,21,14,0,0,37,517,374,20,16,932
114021289,13,19,3,4,47,769,792,47,35,1647
115011290,3,19,0,0,23,1993,1945,102,92,4133
115011291,15,37,3,11,64,17851,6264,638,458,25206
115011294,3,3,0,0,11,455,382,25,5,871
115011296,0,6,0,0,12,1859,659,58,43,2614
115011553,19,24,0,4,48,5939,3030,218,171,9358
115011554,3,3,0,0,11,858,719,54,29,1659
115011555,5,28,3,0,40,2900,3343,214,124,6586
115011556,3,10,0,0,13,1279,1138,63,48,2529
115011557,0,0,0,0,0,300,258,21,9,596
115011558,3,17,0,0,23,1285,1304,77,61,2722
115011559,12,10,0,0,18,2267,1585,123,88,4056
115021297,25,57,11,5,101,4715,3350,233,153,8455
115021298,7,12,0,0,18,941,671,43,29,1680
115031299,5,8,0,0,15,261,216,16,12,505
115031300,28,23,0,3,49,2099,1334,102,73,3610
115041301,6,14,0,3,23,3158,1573,114,85,4924
115041302,6,23,0,0,33,3148,2671,159,132,6112
116011303,18,21,6,5,48,13337,5902,605,450,20299
116011304,0,8,0,0,9,968,777,51,34,1831
116011306,3,3,0,3,7,989,798,58,57,1902
116011307,13,27,3,3,49,10187,3704,351,312,14557
116011308,7,16,0,0,23,4269,2276,167,151,6863
116011560,0,3,0,0,4,616,388,44,14,1063
116011561,3,3,0,0,8,967,668,43,39,1720
116021309,3,0,0,0,7,874,699,57,43,1661
116021310,0,6,0,0,5,1880,1686,106,88,3757
116021312,8,18,0,0,25,4455,1998,160,130,6749
116021562,0,0,0,0,0,188,111,16,9,327
116021563,4,9,0,3,11,1373,997,75,54,2506
116031313,0,3,0,0,3,700,683,38,35,1463
116031314,4,6,0,0,6,3882,905,93,118,4999
116031315,0,0,0,0,3,1026,968,83,58,2138
116031316,0,0,0,0,0,574,414,32,42,1067
116031317,3,8,0,0,19,3872,2632,228,197,6930
116031318,6,9,5,4,20,14486,2686,379,425,17977
116031319,3,7,0,0,15,7068,2784,302,268,10412
117011320,9,19,0,0,30,4722,750,140,99,5701
117011321,14,19,3,0,34,5390,1448,141,173,7150
117011322,9,29,3,7,47,15692,5398,881,443,22416
117011323,3,7,0,0,6,2046,1944,146,91,4221
117011324,8,9,0,0,17,3550,576,130,101,4359
117011325,4,10,0,0,14,9642,4756,772,349,15515
117021326,13,45,4,3,64,8190,4406,316,279,13190
117021327,4,11,0,0,19,2988,1835,127,94,5050
117021328,13,5,0,0,28,4034,1574,131,110,5841
117031329,10,34,3,3,55,8078,3448,382,197,12105
117031330,29,35,0,10,71,17751,4878,548,434,23606
117031331,4,17,0,0,21,4430,2466,191,133,7224
117031332,24,51,3,6,79,12914,6568,773,395,20653
117031333,21,53,3,0,74,10878,3328,451,275,14937
117031334,30,45,7,4,91,26772,8407,1079,583,36844
117031335,12,20,0,13,35,10906,3674,423,280,15287
117031336,20,45,6,4,73,21648,6837,832,503,29818
117031337,285,391,42,58,777,248517,57781,9438,5148,320883
117031338,14,27,0,3,46,10519,3534,357,266,14670
118011339,8,15,0,0,28,1749,1361,65,69,3244
118011340,3,15,0,3,23,2206,1978,90,79,4360
118011341,24,68,3,9,109,8639,5957,413,272,15288
118011342,0,0,0,0,0,61,41,4,0,106
118011343,49,126,3,10,190,5534,3528,226,192,9480
118011344,0,27,0,0,30,721,688,24,28,1464
118011345,16,36,4,4,66,6026,2990,256,154,9430
118011346,17,36,3,3,57,2467,1596,106,93,4259
118011347,13,35,0,0,51,1508,1204,55,49,2820
118021348,7,25,0,0,29,1891,1738,89,68,3790
118021350,7,12,3,0,18,3239,1556,145,99,5040
118021564,17,36,0,8,60,6508,3689,302,213,10705
118021565,4,13,0,0,16,1201,1041,62,35,2337
118021566,3,10,0,0,15,1173,859,83,39,2154
118021567,3,3,0,0,7,810,572,36,34,1450
118021568,0,6,0,3,13,1276,975,61,58,2373
118021569,12,24,0,0,35,2504,1451,133,83,4171
118021570,23,19,3,3,49,6508,3476,371,198,10554
119011354,0,8,0,3,17,1489,1348,105,89,3034
119011355,7,8,0,3,20,6214,1184,196,173,7763
119011356,22,30,3,3,52,9946,2591,262,325,13131
119011357,7,10,3,0,19,3795,2149,177,211,6325
119011358,3,9,0,0,12,2172,1275,67,77,3598
119011359,0,20,3,0,25,1859,1345,107,78,3391
119011360,5,14,0,0,14,1522,1558,99,78,3266
119011361,4,7,0,0,10,1144,990,59,70,2259
119011571,14,16,0,5,34,4310,2773,241,140,7469
119011572,19,17,3,3,47,6484,3211,273,219,10198
119021362,6,3,0,0,19,2153,1320,96,104,3667
119021363,15,19,3,0,37,4076,2689,201,168,7137
119021364,14,27,3,0,38,4654,1854,149,136,6793
119021366,9,12,0,0,23,2718,1397,125,140,4375
119021367,0,7,0,0,10,1420,1351,89,79,2940
119021573,8,4,3,4,14,1736,1167,98,77,3072
119021574,3,0,0,0,3,265,226,18,9,511
119031368,5,18,3,3,27,4907,4068,324,207,9518
119031369,6,21,0,0,27,1447,1550,73,84,3149
119031370,6,10,0,0,9,886,779,49,45,1754
119031371,3,15,0,0,23,1069,764,68,38,1941
119031372,13,31,0,0,50,3459,1767,122,125,5480
119031373,0,3,0,0,5,1027,745,37,57,1867
119031374,4,22,0,0,24,1976,1627,136,79,3815
119041375,9,17,0,0,26,2695,1234,105,85,4120
119041376,7,12,0,0,24,1711,1330,85,77,3210
119041377,4,7,0,0,8,1062,848,47,43,2002
119041378,8,20,3,3,41,7049,3430,434,233,11146
119041379,3,15,0,0,17,1365,987,75,55,2483
119041380,3,10,0,0,15,1137,790,57,61,2044
119041381,4,19,0,3,25,3453,2040,130,119,5748
119041382,4,9,0,0,15,1178,1113,80,52,2426
120011383,7,20,0,0,31,2260,1661,99,87,4109
120011384,13,17,0,8,41,14337,4493,621,392,19847
120011385,11,26,0,0,34,2058,1877,110,76,4122
120011386,16,21,0,3,42,2979,2132,120,98,5331
120021387,7,33,0,0,42,2908,1937,157,101,5104
120021388,16,40,0,3,63,6244,3715,279,189,10424
120021389,14,16,0,0,33,3812,1725,144,110,5802
120031390,10,12,0,0,27,4722,2602,256,161,7737
120031391,24,43,3,3,71,7926,4904,409,279,13513
120031392,5,4,0,0,12,869,631,38,37,1579
120031393,7,18,0,0,22,1472,1159,85,70,2783
120031394,8,7,0,0,22,1546,1014,58,60,2677
120031395,4,16,0,3,18,1900,1324,84,66,3372
120031396,18,33,0,0,47,7455,2885,226,248,10812
120031575,17,42,5,4,64,4916,2860,273,151,8195
120031576,0,3,0,0,6,1714,633,73,65,2479
121011398,28,74,3,7,109,17736,8741,732,490,27698
121011399,3,17,3,0,26,1804,1065,71,58,2995
121011400,18,61,8,3,86,8040,3903,303,198,12444
121011401,34,65,3,3,101,22195,5992,856,462,29513
121011402,16,50,3,0,70,4016,2851,182,96,7149
121021403,11,23,3,3,34,2648,1393,126,81,4243
121021404,0,4,0,0,4,808,762,55,24,1644
121021406,12,32,0,3,48,3009,2003,149,67,5235
121021577,15,30,0,0,42,4681,3004,230,195,8107
121021578,6,5,0,0,10,1349,1001,81,49,2485
121021579,7,14,0,0,21,1275,789,67,35,2167
121031407,16,55,3,5,76,2901,2356,155,92,5506
121031408,4,52,0,3,65,2281,2248,114,79,4722
121031409,12,37,3,6,53,3394,1938,153,86,5573
121031410,11,71,0,7,88,1893,2186,112,61,4244
121031411,6,58,4,0,73,1735,2049,116,64,3956
121031412,9,54,4,0,70,3183,2701,233,97,6206
121041413,10,40,0,0,58,1819,1629,101,61,3608
121041414,24,34,0,0,57,5548,2887,248,133,8818
121041415,32,95,11,3,141,4660,3717,219,125,8719
121041416,17,40,0,6,58,4029,2358,177,118,6683
121041417,35,73,4,13,127,39428,7544,1246,725,48941
122011418,16,47,0,3,66,2473,2358,120,81,5025
122011419,22,46,4,3,74,4593,3639,278,148,8660
122021420,12,26,0,5,50,1661,1651,94,65,3472
122021421,13,23,0,0,38,1053,950,47,36,2091
122021422,4,9,0,0,21,1254,1242,76,38,2609
122021423,14,76,0,7,99,7300,5054,385,202,12934
122031424,0,7,0,0,8,681,672,30,32,1416
122031425,5,13,0,0,18,1968,765,87,37,2851
122031426,3,28,0,0,36,2987,2448,155,82,5677
122031427,6,39,3,0,50,1134,1158,74,29,2400
122031428,13,57,3,3,82,9271,4349,350,219,14195
122031429,26,56,5,7,100,10190,5408,370,251,16209
122031430,5,13,0,3,20,1739,1604,89,67,3498
122031431,8,48,0,0,58,2435,2176,141,88,4837
122031432,7,11,0,0,22,1348,907,52,43,2349
123011433,3,15,3,0,22,2522,2104,165,105,4893
123011434,4,11,0,0,13,3340,2371,171,121,5999
123011435,9,3,0,6,19,6485,2601,232,188,9508
123021436,0,7,0,0,5,1016,669,71,40,1790
123021437,12,26,3,3,42,10160,7119,642,382,18307
123021438,0,3,0,0,3,1040,928,75,46,2089
123021439,0,0,0,0,0,0,0,0,0,0
123021440,12,23,0,0,36,8559,2279,243,216,11297
123021441,0,5,0,0,3,770,614,44,45,1474
123021442,3,5,0,0,10,1844,1228,106,71,3255
123021443,4,15,3,0,16,5469,1883,170,179,7697
123021444,0,10,0,0,14,1082,1011,83,48,2227
123031445,0,0,0,0,6,776,347,41,24,1195
123031446,9,9,0,0,16,2207,712,116,53,3088
123031447,5,9,0,0,20,2537,1559,146,93,4330
123031448,9,10,0,5,24,839,503,41,33,1413
124011449,8,14,0,0,22,536,612,43,20,1214
124011450,3,19,0,0,17,1533,1524,81,37,3180
124011451,0,0,0,0,0,30,15,0,0,40
124011452,11,32,0,3,52,3075,3083,210,113,6484
124011453,3,5,0,0,10,744,734,44,25,1551
124011454,9,21,5,0,31,2271,2241,177,66,4747
124011455,3,10,0,0,12,517,568,35,14,1135
124021456,0,0,0,0,0,3,6,0,0,16
124031457,0,3,0,0,3,606,669,36,34,1341
124031458,3,11,0,0,20,1561,1042,70,54,2723
124031459,4,6,0,0,15,2834,1375,83,83,4377
124031460,4,7,0,0,11,1027,964,74,36,2108
124031461,3,9,3,0,17,3259,2050,176,132,5619
124031462,9,11,0,3,27,5381,2682,367,150,8586
124031463,3,8,0,0,15,1663,885,70,54,2672
124031464,10,25,4,3,49,11960,7115,662,347,20075
124031465,3,4,0,0,6,570,270,30,18,885
124041466,10,28,0,4,35,5158,2788,247,159,8351
124041467,15,13,0,0,35,4111,2317,175,146,6756
124041468,4,4,0,0,10,1386,511,69,56,2022
124051469,0,3,0,0,6,4467,973,121,126,5685
124051470,0,3,0,0,7,931,808,61,29,1826
124051580,0,4,0,0,8,486,361,25,33,907
124051581,20,24,0,7,46,6669,2725,293,216,9903
125011473,18,21,0,3,46,20603,4759,667,511,26539
125011475,0,0,0,0,0,140,32,3,0,172
125011582,4,4,3,0,15,3563,1626,173,119,5478
125011583,9,9,0,0,14,2807,1291,101,79,4282
125011584,4,4,0,0,8,1693,647,53,60,2457
125011585,0,3,0,0,8,348,288,14,13,669
125011586,17,19,3,3,36,8671,3646,320,263,12900
125011587,3,6,0,0,10,2185,726,75,73,3059
125021476,5,23,3,3,32,2136,2289,122,110,4660
125021477,16,26,6,3,49,10031,2681,306,281,13295
125021478,9,15,0,0,26,922,795,52,27,1798
125031479,8,16,0,0,30,5598,1835,165,227,7823
125031480,10,11,0,0,15,3790,1482,141,169,5576
125031481,3,14,0,3,22,4394,1885,151,190,6615
125031482,6,8,0,6,18,4210,1916,173,133,6433
125031483,4,0,0,0,9,2536,1117,77,144,3872
125031484,0,9,0,0,10,1462,923,67,68,2523
125031485,7,16,0,0,18,2998,2448,143,165,5752
125031486,9,6,0,3,24,8065,1319,179,212,9778
125031487,5,0,0,0,3,2250,545,59,75,2932
125041489,6,21,0,5,32,5577,2846,245,188,8859
125041490,3,14,0,0,22,2118,1323,118,64,3623
125041491,7,36,3,5,44,11302,4677,778,321,17083
125041492,33,46,8,7,89,35164,11657,1720,1072,49620
125041493,0,11,0,0,15,2124,968,85,72,3253
125041494,0,17,0,0,13,1304,1051,74,52,2480
125041588,7,10,0,0,16,3863,1450,147,137,5587
125041589,4,3,0,3,13,1687,1282,81,62,3107
126011495,10,33,3,3,44,2567,2019,123,85,4803
126011496,11,39,0,0,48,3131,2261,150,93,5636
126021497,6,35,3,0,39,3049,2454,168,118,5788
126021498,7,32,3,3,40,4017,2128,168,112,6425
