Home_SLA,Work_SLA,workers
Kogarah,Sydney (Inner),2380
Rockdale,Sydney (Inner),3611
Sutherland,Sydney (Inner),7977
Bankstown,Sydney (Inner),4492
Canterbury,Sydney (Inner),4760
Fairfield,Sydney (Inner),2747
Liverpool,Sydney (Inner),1699
Camden,Sydney (Inner),303
Campbell_town,Sydney (Inner),3473
Wollon_dilly,Sydney (Inner),283
Ashfield,Sydney (Inner),2274
Burwood,Sydney (Inner),1336
Concord,Sydney (Inner),912
Drum_moyne,Sydney (Inner),1887
Strathfield,Sydney (Inner),1139
Auburn,Sydney (Inner),1108
Holroyd,Sydney (Inner),1842
Parramatta,Sydney (Inner),3797
Blue_Mountains,Sydney (Inner),1479
Hawkes_bury,Sydney (Inner),425
Penrith,Sydney (Inner),3333
Baulkham_Hills,Sydney (Inner),3279
Blacktown,Sydney (Inner),4645
Hunters_Hill,Sydney (Inner),626
Lane_Cove,Sydney (Inner),2039
Mosman,Sydney (Inner),2649
North_Sydney,Sydney (Inner),6278
Ryde,Sydney (Inner),4104
Willoughby,Sydney (Inner),3752
Hornsby,Sydney (Inner),5386
Ku_ring_gai,Sydney (Inner),6353
Manly,Sydney (Inner),2399
Warringah,Sydney (Inner),6652
Gosford,Sydney (Inner),2227
Wyong,Sydney (Inner),655
Cessnock,Sydney (Inner),33
Lake_Macquarie,Sydney (Inner),362
Maitland,Sydney (Inner),54
Newcastle_Inner,Sydney (Inner),12
Newcastle_Remainder,Sydney (Inner),218
Port_Stephens,Sydney (Inner),31
Kiama,Sydney (Inner),93
Shell_harbour,Sydney (Inner),133
Shoal_haven,Sydney (Inner),34
Wingecar_ribee,Sydney (Inner),132
Wollong_ong,Sydney (Inner),1425
Botany,Sydney (Remainder),475
Leichhardt,Sydney (Remainder),1969
Marrickville,Sydney (Remainder),1919
South_Sydney,Sydney (Remainder),2133
Sydney_Inner,Sydney (Remainder),66
Sydney_Remainder,Sydney (Remainder),519
Randwick,Sydney (Remainder),2436
Waverley,Sydney (Remainder),1450
Woollahra,Sydney (Remainder),1088
Hurstville,Sydney (Remainder),1051
Kogarah,Sydney (Remainder),797
Rockdale,Sydney (Remainder),1491
Sutherland,Sydney (Remainder),2595
Bankstown,Sydney (Remainder),1575
Canterbury,Sydney (Remainder),1913
Fairfield,Sydney (Remainder),955
Liverpool,Sydney (Remainder),624
Camden,Sydney (Remainder),89
Campbell_town,Sydney (Remainder),1143
Wollon_dilly,Sydney (Remainder),85
Ashfield,Sydney (Remainder),912
Burwood,Sydney (Remainder),486
Concord,Sydney (Remainder),384
Drum_moyne,Sydney (Remainder),676
Strathfield,Sydney (Remainder),368
Auburn,Sydney (Remainder),451
Holroyd,Sydney (Remainder),629
Parramatta,Sydney (Remainder),1334
Blue_Mountains,Sydney (Remainder),544
Hawkes_bury,Sydney (Remainder),149
Penrith,Sydney (Remainder),1112
Baulkham_Hills,Sydney (Remainder),925
Blacktown,Sydney (Remainder),1684
Hunters_Hill,Sydney (Remainder),159
Lane_Cove,Sydney (Remainder),503
Mosman,Sydney (Remainder),472
North_Sydney,Sydney (Remainder),1224
Ryde,Sydney (Remainder),1355
Willoughby,Sydney (Remainder),838
Hornsby,Sydney (Remainder),1523
Ku_ring_gai,Sydney (Remainder),1286
Manly,Sydney (Remainder),518
Warringah,Sydney (Remainder),1761
Gosford,Sydney (Remainder),851
Wyong,Sydney (Remainder),259
Cessnock,Sydney (Remainder),18
Lake_Macquarie,Sydney (Remainder),92
Maitland,Sydney (Remainder),10
Newcastle_Inner,Sydney (Remainder),6
Newcastle_Remainder,Sydney (Remainder),58
Port_Stephens,Sydney (Remainder),13
Kiama,Sydney (Remainder),16
Shell_harbour,Sydney (Remainder),71
Shoal_haven,Sydney (Remainder),12
Wingecar_ribee,Sydney (Remainder),36
Wollong_ong,Sydney (Remainder),514
Botany,Randwick,2036
Leichhardt,Randwick,463
Marrickville,Randwick,643
South_Sydney,Randwick,1113
Sydney_Inner,Randwick,6
Sydney_Remainder,Randwick,13
Randwick,Randwick,13852
Woollahra,Randwick,871
Hurstville,Randwick,427
Kogarah,Randwick,414
Rockdale,Randwick,989
Sutherland,Randwick,1316
Bankstown,Randwick,401
Canterbury,Randwick,644
Fairfield,Randwick,219
Liverpool,Randwick,139
Camden,Randwick,8
Campbell_town,Randwick,222
Wollon_dilly,Randwick,11
Ashfield,Randwick,191
Burwood,Randwick,101
Concord,Randwick,54
Drum_moyne,Randwick,155
Strathfield,Randwick,72
Auburn,Randwick,65
Holroyd,Randwick,80
Parramatta,Randwick,182
Blue_Mountains,Randwick,73
Hawkes_bury,Randwick,35
Penrith,Randwick,112
Baulkham_Hills,Randwick,90
Blacktown,Randwick,218
Hunters_Hill,Randwick,31
Lane_Cove,Randwick,98
Mosman,Randwick,100
North_Sydney,Randwick,224
Ryde,Randwick,213
Willoughby,Randwick,186
Hornsby,Randwick,167
Ku_ring_gai,Randwick,236
Manly,Randwick,89
Warringah,Randwick,300
Gosford,Randwick,85
Wyong,Randwick,50
Cessnock,Randwick,6
Lake_Macquarie,Randwick,19
Maitland,Randwick,6
Newcastle_Inner,Randwick,0
Newcastle_Remainder,Randwick,6
Port_Stephens,Randwick,0
Kiama,Randwick,8
Shell_harbour,Randwick,19
Shoal_haven,Randwick,6
Wingecar_ribee,Randwick,9
Wollong_ong,Randwick,131
Botany,Waverley,253
Leichhardt,Waverley,226
Marrickville,Waverley,299
South_Sydney,Waverley,615
Sydney_Inner,Waverley,4
Sydney_Remainder,Waverley,18
Randwick,Waverley,2387
Waverley,Waverley,5552
Hurstville,Waverley,176
Kogarah,Waverley,133
Rockdale,Waverley,310
Sutherland,Waverley,356
Bankstown,Waverley,123
Canterbury,Waverley,206
Fairfield,Waverley,84
Liverpool,Waverley,32
Camden,Waverley,6
Campbell_town,Waverley,62
Wollon_dilly,Waverley,6
Ashfield,Waverley,110
Burwood,Waverley,46
Concord,Waverley,27
Drum_moyne,Waverley,55
Strathfield,Waverley,28
Auburn,Waverley,38
Holroyd,Waverley,40
Parramatta,Waverley,76
Blue_Mountains,Waverley,16
Hawkes_bury,Waverley,3
Penrith,Waverley,38
Baulkham_Hills,Waverley,45
Blacktown,Waverley,103
Hunters_Hill,Waverley,13
Lane_Cove,Waverley,61
Mosman,Waverley,43
North_Sydney,Waverley,115
Ryde,Waverley,101
Willoughby,Waverley,102
Hornsby,Waverley,80
Ku_ring_gai,Waverley,116
Manly,Waverley,45
Warringah,Waverley,124
Gosford,Waverley,40
Wyong,Waverley,15
Cessnock,Waverley,0
Lake_Macquarie,Waverley,6
Maitland,Waverley,3
Newcastle_Inner,Waverley,0
Newcastle_Remainder,Waverley,9
Port_Stephens,Waverley,3
Kiama,Waverley,3
Shell_harbour,Waverley,6
Shoal_haven,Waverley,0
Wingecar_ribee,Waverley,0
Wollong_ong,Waverley,52
Botany,Woollahra,251
Leichhardt,Woollahra,399
Marrickville,Woollahra,518
South_Sydney,Woollahra,1451
Sydney_Inner,Woollahra,21
Sydney_Remainder,Woollahra,45
Randwick,Woollahra,1786
Waverley,Woollahra,2594
Woollahra,Woollahra,5085
Hurstville,Woollahra,191
Kogarah,Woollahra,185
Rockdale,Woollahra,427
Sutherland,Woollahra,464
Bankstown,Woollahra,235
Canterbury,Woollahra,350
Fairfield,Woollahra,128
Liverpool,Woollahra,94
Camden,Woollahra,12
Campbell_town,Woollahra,108
Wollon_dilly,Woollahra,9
Ashfield,Woollahra,176
Burwood,Woollahra,91
Concord,Woollahra,58
Drum_moyne,Woollahra,153
Strathfield,Woollahra,62
Auburn,Woollahra,73
Holroyd,Woollahra,72
Parramatta,Woollahra,186
Blue_Mountains,Woollahra,53
Hawkes_bury,Woollahra,35
Penrith,Woollahra,120
Baulkham_Hills,Woollahra,103
Blacktown,Woollahra,196
Hunters_Hill,Woollahra,42
Lane_Cove,Woollahra,121
Mosman,Woollahra,118
North_Sydney,Woollahra,305
Ryde,Woollahra,216
Willoughby,Woollahra,218
Hornsby,Woollahra,209
Ku_ring_gai,Woollahra,235
Manly,Woollahra,138
Warringah,Woollahra,323
Gosford,Woollahra,109
Wyong,Woollahra,43
Cessnock,Woollahra,6
Lake_Macquarie,Woollahra,15
Maitland,Woollahra,0
Newcastle_Inner,Woollahra,0
Newcastle_Remainder,Woollahra,12
Port_Stephens,Woollahra,3
Kiama,Woollahra,9
Shell_harbour,Woollahra,3
Shoal_haven,Woollahra,3
Wingecar_ribee,Woollahra,13
Wollong_ong,Woollahra,45
Botany,Hurstville,72
Leichhardt,Hurstville,123
Marrickville,Hurstville,286
South_Sydney,Hurstville,142
Sydney_Inner,Hurstville,0
Sydney_Remainder,Hurstville,15
Randwick,Hurstville,233
Waverley,Hurstville,111
Woollahra,Hurstville,72
Hurstville,Hurstville,5484
Rockdale,Hurstville,1555
Sutherland,Hurstville,3515
Bankstown,Hurstville,1343
Canterbury,Hurstville,1380
Fairfield,Hurstville,220
Liverpool,Hurstville,289
Camden,Hurstville,42
Campbell_town,Hurstville,439
Wollon_dilly,Hurstville,26
Ashfield,Hurstville,99
Burwood,Hurstville,92
Concord,Hurstville,60
Drum_moyne,Hurstville,55
Strathfield,Hurstville,96
Auburn,Hurstville,55
Holroyd,Hurstville,91
Parramatta,Hurstville,128
Blue_Mountains,Hurstville,23
Hawkes_bury,Hurstville,22
Penrith,Hurstville,88
Baulkham_Hills,Hurstville,85
Blacktown,Hurstville,133
Hunters_Hill,Hurstville,9
Lane_Cove,Hurstville,21
Mosman,Hurstville,13
North_Sydney,Hurstville,38
Ryde,Hurstville,93
Willoughby,Hurstville,34
Hornsby,Hurstville,86
Ku_ring_gai,Hurstville,51
Manly,Hurstville,11
Warringah,Hurstville,84
Gosford,Hurstville,22
Wyong,Hurstville,20
Cessnock,Hurstville,0
Lake_Macquarie,Hurstville,14
Maitland,Hurstville,0
Newcastle_Inner,Hurstville,0
Newcastle_Remainder,Hurstville,6
Port_Stephens,Hurstville,0
Kiama,Hurstville,11
Shell_harbour,Hurstville,40
Shoal_haven,Hurstville,9
Wingecar_ribee,Hurstville,6
Wollong_ong,Hurstville,322
Botany,Kogarah,40
Leichhardt,Kogarah,64
Marrickville,Kogarah,146
South_Sydney,Kogarah,77
Sydney_Inner,Kogarah,0
Sydney_Remainder,Kogarah,0
Randwick,Kogarah,160
Waverley,Kogarah,83
Woollahra,Kogarah,57
Hurstville,Kogarah,1287
Kogarah,Kogarah,3084
Sutherland,Kogarah,2732
Bankstown,Kogarah,415
Canterbury,Kogarah,386
Fairfield,Kogarah,75
Liverpool,Kogarah,78
Camden,Kogarah,20
Campbell_town,Kogarah,143
Wollon_dilly,Kogarah,18
Ashfield,Kogarah,54
Burwood,Kogarah,30
Concord,Kogarah,21
Drum_moyne,Kogarah,18
Strathfield,Kogarah,29
Auburn,Kogarah,25
Holroyd,Kogarah,20
Parramatta,Kogarah,53
Blue_Mountains,Kogarah,13
Hawkes_bury,Kogarah,12
Penrith,Kogarah,41
Baulkham_Hills,Kogarah,38
Blacktown,Kogarah,38
Hunters_Hill,Kogarah,7
Lane_Cove,Kogarah,21
Mosman,Kogarah,11
North_Sydney,Kogarah,18
Ryde,Kogarah,39
Willoughby,Kogarah,20
Hornsby,Kogarah,31
Ku_ring_gai,Kogarah,31
Manly,Kogarah,6
Warringah,Kogarah,33
Gosford,Kogarah,12
Wyong,Kogarah,6
Cessnock,Kogarah,0
Lake_Macquarie,Kogarah,0
Maitland,Kogarah,0
Newcastle_Inner,Kogarah,0
Newcastle_Remainder,Kogarah,0
Port_Stephens,Kogarah,0
Kiama,Kogarah,3
Shell_harbour,Kogarah,15
Shoal_haven,Kogarah,6
Wingecar_ribee,Kogarah,6
Wollong_ong,Kogarah,172
Botany,Rockdale,184
Leichhardt,Rockdale,144
Marrickville,Rockdale,496
South_Sydney,Rockdale,214
Sydney_Inner,Rockdale,3
Sydney_Remainder,Rockdale,10
Randwick,Rockdale,447
Waverley,Rockdale,174
Woollahra,Rockdale,114
Hurstville,Rockdale,1606
Kogarah,Rockdale,1590
Rockdale,Rockdale,6000
Bankstown,Rockdale,750
Canterbury,Rockdale,1287
Fairfield,Rockdale,223
Liverpool,Rockdale,177
Camden,Rockdale,28
Campbell_town,Rockdale,308
Wollon_dilly,Rockdale,22
Ashfield,Rockdale,137
Burwood,Rockdale,106
Concord,Rockdale,45
Drum_moyne,Rockdale,72
Strathfield,Rockdale,94
Auburn,Rockdale,85
Holroyd,Rockdale,80
Parramatta,Rockdale,126
Blue_Mountains,Rockdale,18
Hawkes_bury,Rockdale,16
Penrith,Rockdale,80
Baulkham_Hills,Rockdale,87
Blacktown,Rockdale,151
Hunters_Hill,Rockdale,17
Lane_Cove,Rockdale,22
Mosman,Rockdale,22
North_Sydney,Rockdale,85
Ryde,Rockdale,80
Willoughby,Rockdale,51
Hornsby,Rockdale,61
Ku_ring_gai,Rockdale,63
Manly,Rockdale,34
Warringah,Rockdale,105
Gosford,Rockdale,33
Wyong,Rockdale,15
Cessnock,Rockdale,0
Lake_Macquarie,Rockdale,10
Maitland,Rockdale,6
Newcastle_Inner,Rockdale,3
Newcastle_Remainder,Rockdale,9
Port_Stephens,Rockdale,0
Kiama,Rockdale,6
Shell_harbour,Rockdale,27
Shoal_haven,Rockdale,3
Wingecar_ribee,Rockdale,0
Wollong_ong,Rockdale,247
Botany,Sutherland,86
Leichhardt,Sutherland,79
Marrickville,Sutherland,230
South_Sydney,Sutherland,134
Sydney_Inner,Sutherland,0
Sydney_Remainder,Sutherland,6
Randwick,Sutherland,284
Waverley,Sutherland,128
Woollahra,Sutherland,91
Hurstville,Sutherland,1197
Kogarah,Sutherland,1086
Rockdale,Sutherland,1253
Sutherland,Sutherland,32013
Bankstown,Sutherland,721
Canterbury,Sutherland,553
Fairfield,Sutherland,257
Liverpool,Sutherland,276
Camden,Sutherland,54
Campbell_town,Sutherland,367
Wollon_dilly,Sutherland,76
Ashfield,Sutherland,67
Burwood,Sutherland,68
Concord,Sutherland,22
Drum_moyne,Sutherland,36
Strathfield,Sutherland,69
Auburn,Sutherland,67
Holroyd,Sutherland,79
Parramatta,Sutherland,128
Blue_Mountains,Sutherland,31
Hawkes_bury,Sutherland,13
Penrith,Sutherland,81
Baulkham_Hills,Sutherland,78
Blacktown,Sutherland,134
Hunters_Hill,Sutherland,4
Lane_Cove,Sutherland,34
Mosman,Sutherland,13
North_Sydney,Sutherland,55
Ryde,Sutherland,73
Willoughby,Sutherland,40
Hornsby,Sutherland,50
Ku_ring_gai,Sutherland,28
Manly,Sutherland,18
Warringah,Sutherland,72
Gosford,Sutherland,46
Wyong,Sutherland,28
Cessnock,Sutherland,3
Lake_Macquarie,Sutherland,24
Maitland,Sutherland,0
Newcastle_Inner,Sutherland,0
Newcastle_Remainder,Sutherland,9
Port_Stephens,Sutherland,3
Kiama,Sutherland,34
Shell_harbour,Sutherland,150
Shoal_haven,Sutherland,6
Wingecar_ribee,Sutherland,27
Wollong_ong,Sutherland,1816
Botany,Bankstown,136
Leichhardt,Bankstown,332
Marrickville,Bankstown,698
South_Sydney,Bankstown,222
Sydney_Inner,Bankstown,0
Sydney_Remainder,Bankstown,12
Randwick,Bankstown,352
Waverley,Bankstown,191
Woollahra,Bankstown,130
Hurstville,Bankstown,1634
Kogarah,Bankstown,714
Rockdale,Bankstown,879
Sutherland,Bankstown,3336
Bankstown,Bankstown,20154
Fairfield,Bankstown,4930
Liverpool,Bankstown,3745
Camden,Bankstown,437
Campbell_town,Bankstown,4187
Wollon_dilly,Bankstown,361
Ashfield,Bankstown,429
Burwood,Bankstown,450
Concord,Bankstown,296
Drum_moyne,Bankstown,283
Strathfield,Bankstown,628
Auburn,Bankstown,1188
Holroyd,Bankstown,1280
Parramatta,Bankstown,1620
Blue_Mountains,Bankstown,299
Hawkes_bury,Bankstown,193
Penrith,Bankstown,1341
Baulkham_Hills,Bankstown,1030
Blacktown,Bankstown,1851
Hunters_Hill,Bankstown,58
Lane_Cove,Bankstown,97
Mosman,Bankstown,45
North_Sydney,Bankstown,84
Ryde,Bankstown,523
Willoughby,Bankstown,119
Hornsby,Bankstown,537
Ku_ring_gai,Bankstown,281
Manly,Bankstown,61
Warringah,Bankstown,294
Gosford,Bankstown,245
Wyong,Bankstown,142
Cessnock,Bankstown,6
Lake_Macquarie,Bankstown,55
Maitland,Bankstown,12
Newcastle_Inner,Bankstown,0
Newcastle_Remainder,Bankstown,24
Port_Stephens,Bankstown,17
Kiama,Bankstown,18
Shell_harbour,Bankstown,50
Shoal_haven,Bankstown,6
Wingecar_ribee,Bankstown,89
Wollong_ong,Bankstown,349
Botany,Canterbury,92
Leichhardt,Canterbury,242
Marrickville,Canterbury,814
South_Sydney,Canterbury,148
Sydney_Inner,Canterbury,0
Sydney_Remainder,Canterbury,10
Randwick,Canterbury,267
Waverley,Canterbury,85
Woollahra,Canterbury,93
Hurstville,Canterbury,1723
Kogarah,Canterbury,580
Rockdale,Canterbury,1103
Sutherland,Canterbury,1602
Bankstown,Canterbury,3096
Canterbury,Canterbury,8568
Fairfield,Canterbury,791
Liverpool,Canterbury,627
Camden,Canterbury,59
Campbell_town,Canterbury,682
Wollon_dilly,Canterbury,47
Ashfield,Canterbury,422
Burwood,Canterbury,422
Concord,Canterbury,142
Drum_moyne,Canterbury,186
Strathfield,Canterbury,345
Auburn,Canterbury,267
Holroyd,Canterbury,241
Parramatta,Canterbury,337
Blue_Mountains,Canterbury,56
Hawkes_bury,Canterbury,26
Penrith,Canterbury,206
Baulkham_Hills,Canterbury,205
Blacktown,Canterbury,347
Hunters_Hill,Canterbury,35
Lane_Cove,Canterbury,41
Mosman,Canterbury,19
North_Sydney,Canterbury,60
Ryde,Canterbury,208
Willoughby,Canterbury,54
Hornsby,Canterbury,171
Ku_ring_gai,Canterbury,107
Manly,Canterbury,31
Warringah,Canterbury,130
Gosford,Canterbury,65
Wyong,Canterbury,34
Cessnock,Canterbury,7
Lake_Macquarie,Canterbury,20
Maitland,Canterbury,0
Newcastle_Inner,Canterbury,0
Newcastle_Remainder,Canterbury,10
Port_Stephens,Canterbury,10
Kiama,Canterbury,0
Shell_harbour,Canterbury,14
Shoal_haven,Canterbury,3
Wingecar_ribee,Canterbury,13
Wollong_ong,Canterbury,97
Botany,Fairfield,32
Leichhardt,Fairfield,127
Marrickville,Fairfield,186
South_Sydney,Fairfield,95
Sydney_Inner,Fairfield,3
Sydney_Remainder,Fairfield,10
Randwick,Fairfield,120
Waverley,Fairfield,73
Woollahra,Fairfield,61
Hurstville,Fairfield,271
Kogarah,Fairfield,108
Rockdale,Fairfield,151
Sutherland,Fairfield,524
Bankstown,Fairfield,1651
Canterbury,Fairfield,467
Fairfield,Fairfield,17397
Camden,Fairfield,351
Campbell_town,Fairfield,2233
Wollon_dilly,Fairfield,348
Ashfield,Fairfield,198
Burwood,Fairfield,143
Concord,Fairfield,110
Drum_moyne,Fairfield,141
Strathfield,Fairfield,256
Auburn,Fairfield,486
Holroyd,Fairfield,2045
Parramatta,Fairfield,1531
Blue_Mountains,Fairfield,360
Hawkes_bury,Fairfield,294
Penrith,Fairfield,2077
Baulkham_Hills,Fairfield,1081
Blacktown,Fairfield,2626
Hunters_Hill,Fairfield,21
Lane_Cove,Fairfield,30
Mosman,Fairfield,18
North_Sydney,Fairfield,38
Ryde,Fairfield,268
Willoughby,Fairfield,68
Hornsby,Fairfield,415
Ku_ring_gai,Fairfield,161
Manly,Fairfield,26
Warringah,Fairfield,167
Gosford,Fairfield,90
Wyong,Fairfield,73
Cessnock,Fairfield,6
Lake_Macquarie,Fairfield,23
Maitland,Fairfield,0
Newcastle_Inner,Fairfield,0
Newcastle_Remainder,Fairfield,7
Port_Stephens,Fairfield,0
Kiama,Fairfield,6
Shell_harbour,Fairfield,10
Shoal_haven,Fairfield,0
Wingecar_ribee,Fairfield,46
Wollong_ong,Fairfield,87
Botany,Liverpool,22
Leichhardt,Liverpool,95
Marrickville,Liverpool,151
South_Sydney,Liverpool,74
Sydney_Inner,Liverpool,0
Sydney_Remainder,Liverpool,9
Randwick,Liverpool,85
Waverley,Liverpool,51
Woollahra,Liverpool,53
Hurstville,Liverpool,325
Kogarah,Liverpool,173
Rockdale,Liverpool,176
Sutherland,Liverpool,1117
Bankstown,Liverpool,1746
Canterbury,Liverpool,450
Fairfield,Liverpool,4575
Liverpool,Liverpool,13327
Camden,Liverpool,1014
Campbell_town,Liverpool,6052
Wollon_dilly,Liverpool,780
Ashfield,Liverpool,113
Burwood,Liverpool,101
Concord,Liverpool,85
Drum_moyne,Liverpool,69
Strathfield,Liverpool,164
Auburn,Liverpool,237
Holroyd,Liverpool,544
Parramatta,Liverpool,579
Blue_Mountains,Liverpool,217
Hawkes_bury,Liverpool,109
Penrith,Liverpool,1188
Baulkham_Hills,Liverpool,412
Blacktown,Liverpool,945
Hunters_Hill,Liverpool,15
Lane_Cove,Liverpool,15
Mosman,Liverpool,11
North_Sydney,Liverpool,41
Ryde,Liverpool,119
Willoughby,Liverpool,39
