Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"DZN (POW)"
"Counting: Persons Aged 15 Years and Over, Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over, Place of Work"
"110506444",1365,
"110516311",683,
"110516312",570,
"110516313",118,
"110516314",649,
"110526380",457,
"110536492",721,
"110536493",644,
"110536494",383,
"110536495",1192,
"110536496",271,
"110546509",213,
"110546510",438,
"110546511",1506,
"110550001",630,
"110556343",2302,
"110556344",361,
"110556345",3641,
"110556348",2285,
"110560001",300,
"110560002",2150,
"110560003",134,
"110566361",505,
"110566362",1289,
"110566363",227,
"110566365",503,
"110566366",158,
"110566367",1101,
"110576327",429,
"110576328",2642,
"110576329",1802,
"110576330",257,
"110588281",725,
"110588282",2238,
"110588283",9735,
"110598286",3553,
"110608289",372,
"110608290",184,
"110608291",346,
"110608292",314,
"110618295",426,
"110618296",1428,
"110618297",238,
"110628178",426,
"110628179",457,
"110628180",359,
"110628181",1132,
"110628182",160,
"110638211",3737,
"110648214",248,
"110648215",148,
"110648216",476,
"110648217",279,
"110648218",225,
"110648219",188,
"110658201",509,
"110658202",2901,
"110658203",583,
"110668206",340,
"110668207",676,
"110668208",216,
"110678197",3671,
"110678198",403,
"110688185",263,
"110688186",185,
"110688187",842,
"110688188",143,
"110698191",797,
"110698192",1261,
"110698193",432,
"110698194",83,
"110708276",257,
"110708277",860,
"110708278",3888,
"110718265",516,
"110718266",760,
"110718267",419,
"110718268",146,
"110718269",285,
"110718270",323,
"110728251",5238,
"110738261",542,
"110738262",326,
"110748254",361,
"110748255",491,
"110748256",2059,
"110748257",545,
"110748258",361,
"110758273",0,
"110768245",1093,
"110768246",1287,
"110768247",406,
"110768248",130,
"110778239",7641,
"110778240",1954,
"110778241",3374,
"110778242",2229,
"110788233",316,
"110788234",1013,
"110788235",694,
"110788236",1334,
"110790001",137,
"110798224",456,
"110798225",847,
"110798226",528,
"110798227",877,
"110798228",300,
"110798229",256,
"110798230",224,
"110808417",156,
"110808418",617,
"110808419",6284,
"110808420",2361,
"110818404",63,
"110818405",151,
"110818406",262,
"110818407",114,
"110818408",54,
"110818409",276,
"110818410",352,
"110818411",258,
"110818412",154,
"110818413",187,
"110818414",107,
"110828423",1880,
"110828424",444,
"110828425",185,
"110828426",291,
"110828427",2046,
"110838435",178,
"110838436",1270,
"110838437",268,
"110848459",2387,
"110848460",877,
"110848461",3079,
"110858473",1946,
"110858474",5433,
"110858475",3801,
"110858476",1960,
"110868440",370,
"110868441",194,
"110878430",120,
"110878431",374,
"110878432",455,
"110888464",231,
"110888465",441,
"110888466",535,
"110898451",358,
"110898452",322,
"110898453",495,
"110898454",948,
"110898455",1560,
"110898456",630,
"110908469",446,
"110908470",712,
"110918444",827,
"110918445",241,
"110918446",502,
"110918447",1377,
"110918448",277,
"110920001",89,
"110920002",51,
"110928694",197,
"110928695",864,
"110938700",845,
"110938701",1421,
"110948711",929,
"110948712",577,
"110958715",953,
"110958716",1298,
"110968704",347,
"110968705",523,
"110968706",488,
"110968707",680,
"110968708",94,
"110978691",6856,
"110988688",1014,
"110998746",1292,
"110998747",438,
"110998748",150,
"110998749",144,
"110998750",318,
"110998751",283,
"111008742",2612,
"111008743",3869,
"111010001",977,
"111018733",9149,
"111028729",1829,
"111028730",272,
"111038737",436,
"111038738",315,
"111038739",299,
"111048724",303,
"111048725",1116,
"111048726",185,
"111050001",603,
"111050002",733,
"111058720",511,
"111060001",1121,
"111060002",464,
"111068754",173,
"111068755",144,
"111068757",241,
"111077020",2054,
"111077021",444,
"111077022",472,
"111077023",577,
"111077024",465,
"111080001",238,
"111080002",0,
"111087055",210,
"111087057",3025,
"111087058",548,
"111087060",1298,
"111087061",583,
"111087062",505,
"111097037",216,
"111097038",661,
"111097039",426,
"111097040",76,
"111097041",267,
"111108028",119,
"111108029",213,
"111108030",508,
"111108031",918,
"111108032",414,
"111110001",164,
"111117075",104,
"111117076",133,
"111117077",211,
"111117078",1341,
"111117080",778,
"111117081",343,
"111117082",239,
"111128024",2002,
"111128025",6137,
"111138020",3878,
"111138021",3028,
"111147129",270,
"111147130",4828,
"111147131",1359,
"111157144",1267,
"111157145",258,
"111157146",2491,
"111157147",398,
"111157148",447,
"111157149",1320,
"111157150",297,
"111157151",305,
"111157152",233,
"111157153",226,
"111157154",438,
"111167115",494,
"111167116",495,
"111177095",295,
"111177096",4014,
"111177097",881,
"111177098",303,
"111177099",137,
"111177100",1149,
"111177101",514,
"111177102",184,
"111187167",2835,
"111187168",719,
"111187169",269,
"111197246",186,
"111197247",619,
"111207232",550,
"111207233",245,
"111217260",275,
"111217261",1428,
"111217262",1665,
"111217263",466,
"111217264",545,
"111217265",621,
"111217266",1400,
"111217267",375,
"111227196",6400,
"111227197",2800,
"111227198",150,
"111227199",388,
"111227200",195,
"111237182",419,
"111237183",317,
"111248035",120,
"111248036",977,
"111257213",282,
"111257214",4749,
"111257215",294,
"111257216",714,
"111257217",153,
"111257218",51,
"111257219",258,
"111260001",2579,
"111268016",3897,
"111278011",886,
"111278012",590,
"111278013",570,
"111288008",2777,
"111298000",411,
"111298001",354,
"111298002",338,
"111298003",223,
"111298004",355,
"111298005",557,
"111317440",74,
"111317441",353,
"111317442",518,
"111317443",291,
"111317444",164,
"111317445",526,
"111317446",2515,
"111317447",216,
"111327425",95,
"111327426",552,
"111327427",181,
"111337480",1596,
"111337481",914,
"111337482",758,
"111340001",598,
"111340002",827,
"111347460",4888,
"111347461",574,
"111347462",1202,
"111347463",82,
"111347464",127,
"111347466",308,
"111347467",461,
"115450001",594,
"115450002",362,
"115450003",137,
"115450004",108,
"115450005",159,
"115460001",1753,
"115460002",1715,
"115460003",1080,
"115460004",218,
"115460005",1495,
"115470001",166,
"115470002",206,
"111357280",59,
"111360001",165,
"111360002",657,
"111367519",352,
"111367521",1331,
"111377534",622,
"111377535",563,
"111377536",335,
"111377537",817,
"111387632",340,
"111387633",490,
"111387634",2034,
"111397618",270,
"111397619",312,
"111407550",361,
"111407551",1079,
"111407552",400,
"111410001",616,
"111417600",295,
"111417601",789,
"111417603",437,
"111417604",223,
"111427565",380,
"111427566",1462,
"111427567",3154,
"111427568",548,
"111427569",506,
"111437582",478,
"111437583",790,
"111437584",1406,
"111437585",731,
"111437586",211,
"111437587",327,
"111447383",324,
"111447384",1845,
"111447385",1364,
"111447386",196,
"111447387",467,
"111447388",1104,
"111447389",446,
"111457365",208,
"111457366",335,
"111457367",1123,
"111457368",655,
"111457369",789,
"111457370",267,
"111467345",1109,
"111467346",638,
"111467347",177,
"111467348",530,
"111467349",150,
"111467350",208,
"111467351",342,
"111467352",3551,
"111477293",58,
"111477294",353,
"111477295",842,
"111477296",768,
"111487309",714,
"111487310",769,
"111487311",404,
"111487312",299,
"111487313",174,
"111507326",191,
"111507327",438,
"111507328",879,
"111507329",714,
"111507330",503,
"111507331",676,
"111507332",160,
"115480001",4600,
"115480002",1127,
"115480003",13288,
"115480004",1326,
"115480005",1878,
"115490001",388,
"115490002",2888,
"115490003",705,
"115490004",727,
"115490005",731,
"115490006",863,
"111518383",172,
"111518384",442,
"111518385",437,
"111518386",260,
"111528397",3098,
"111528398",1164,
"111538392",155,
"111538393",349,
"111538394",582,
"111548389",2325,
"111558322",549,
"111558323",436,
"111558324",5172,
"111558325",377,
"111568300",200,
"111568301",321,
"111568302",413,
"111568303",295,
"111568304",533,
"111578318",2260,
"111578319",156,
"111580001",493,
"111588315",1302,
"111598307",220,
"111598308",395,
"111598309",254,
"111598310",326,
"111608328",1043,
"111618401",218,
"111628337",666,
"111628338",155,
"111628339",357,
"111628340",311,
"111628341",1580,
"111638352",8702,
"111648349",11370,
"111650001",244,
"111658331",461,
"111658334",496,
"111668344",183,
"111668345",2488,
"111668346",514,
"111678355",413,
"111678356",1326,
"111688377",181,
"111688378",192,
"111688379",542,
"111688380",469,
"111698372",9764,
"111698373",453,
"111698374",357,
"111700001",510,
"111708359",181,
"111708362",44,
"111708363",189,
"111708364",83,
"111708365",221,
"111708366",405,
"111718369",1483,
"111728921",3534,
"111728922",2128,
"111728923",186,
"111738912",406,
"111738913",1485,
"111748908",1119,
"111748909",11467,
"111758898",498,
"111758899",323,
"111758900",142,
"111758901",570,
"111758902",949,
"111758903",596,
"111758904",459,
"111758905",177,
"111768916",1334,
"111768917",380,
"111768918",2320,
"111778863",360,
"111778864",948,
"111788852",511,
"111788853",560,
"111788854",1068,
"111798857",605,
"111798858",458,
"111798859",422,
"111798860",182,
"111808895",2302,
"111810001",549,
"111818888",380,
"111818890",1064,
"111818892",598,
"111828867",3201,
"111838870",219,
"111838871",698,
"111838872",611,
"111838873",308,
"111838874",920,
"111848878",1795,
"111858881",545,
"111858882",1020,
"111858883",725,
"111858884",518,
"111858885",445,
"111868671",970,
"111868672",2644,
"111868673",318,
"111868674",7030,
"111878677",718,
"111878678",742,
"111878679",113,
"111878680",292,
"111880001",496,
"111880002",380,
"111888665",154,
"111888666",181,
"111898683",673,
"111898684",521,
"111898685",229,
"111908622",440,
"111908623",138,
"111908624",2144,
"111908625",343,
"111918607",5349,
"111928610",101,
"111928611",422,
"111928612",175,
"111928613",147,
"111928614",197,
"111938600",410,
"111938601",414,
"111938602",649,
"111938603",152,
"111938604",113,
"111948617",379,
"111948618",1126,
"111948619",644,
"111958588",3719,
"111968583",1042,
"111968584",644,
"111968585",534,
"111978597",3092,
"111988591",359,
"111988592",618,
"111988593",139,
"111988594",892,
"111998628",3844,
"112008631",1219,
"112008632",267,
"112008633",752,
"112018636",350,
"112018637",538,
"112018638",1112,
"112018639",659,
"112028659",1992,
"112028660",2179,
"112028661",1023,
"112028662",837,
"112038646",746,
"112038647",8445,
"112038648",732,
"112048642",1947,
"112048643",3555,
"112058651",326,
"112058652",263,
"112058653",667,
"112058654",605,
"112058655",320,
"112058656",1434,
"112066729",2153,
"112066730",1138,
"112066731",712,
"112066732",374,
"112066733",337,
"112066734",1045,
"112076747",263,
"112076748",266,
"112086707",221,
"112086708",1596,
"112086709",1020,
"112086710",1115,
"112086711",360,
"112086712",504,
"112086713",237,
"112086714",316,
"112086715",404,
"112086716",6254,
"112090001",257,
"112090002",4678,
"112096639",485,
"112096641",282,
"112096642",1244,
"112096643",308,
"112096644",376,
"112096645",1630,
"112096646",193,
"112096647",974,
"112106692",124,
"112106693",229,
"112106694",1153,
"112116761",906,
"112126774",252,
"112126775",408,
"112126776",254,
"112126777",879,
"112130001",146,
"112130002",426,
"112136677",409,
"112136678",165,
"112146660",346,
"112146661",719,
"112146662",1021,
"112146663",3138,
"112146664",984,
"112156577",414,
"112156578",188,
"112156579",559,
"112156580",613,
"112166611",459,
"112166612",370,
"112176561",277,
"112176562",1030,
"112176563",284,
"112176564",1059,
"112186539",565,
"112186540",470,
"112186541",98,
"112186542",265,
"112186543",2413,
"112186544",255,
"112186545",1132,
"112186546",229,
"112186547",483,
"112186548",83,
"112196593",174,
"112196594",412,
"112196595",142,
"112196596",2386,
"112196597",574,
"112196598",441,
"112200001",582,
"112200002",102,
"112206625",561,
"112216524",173,
"112216525",202,
"112216526",573,
"112226923",4671,
"112226924",356,
"112226925",452,
"112226926",1288,
"112236790",1577,
"112236791",5038,
"112236792",152,
"112246939",292,
"112246940",2427,
"112246941",3049,
"112246942",2429,
"112246943",2454,
"112246944",1317,
"112256872",2719,
"112256873",1072,
"112256874",4051,
"112256875",720,
"112256876",513,
"112256877",1307,
"112266805",941,
"112266806",605,
"112276890",718,
"112276891",1763,
"112276892",1030,
"112276893",234,
"112276894",2563,
"112276895",1721,
"112286972",455,
"112286973",391,
"112286974",1133,
"112286975",1536,
"112297001",448,
"112297002",1652,
"112297003",265,
"112297004",714,
"112297005",11328,
"112297006",1504,
"112297007",3056,
"112306908",582,
"112306909",2025,
"112306910",1459,
"112316837",1282,
"112316838",194,
"112316839",3875,
"112316840",459,
"112316841",1283,
"112316842",418,
"112326988",1700,
"112330001",321,
"112330002",730,
"112336819",332,
"112336820",523,
"112336822",1131,
"112336823",1584,
"112336824",1064,
"112346855",1741,
"112346856",421,
"112346857",104,
"112346858",169,
"112346859",2914,
"112350001",2247,
"112350002",1330,
"112356958",852,
"112356959",1534,
"112368576",8144,
"112368577",784,
"112378565",1247,
"112378566",1218,
"112378567",551,
"112378568",999,
"112378569",452,
"112388559",536,
"112388560",715,
"112388561",398,
"112388562",419,
"112398554",928,
"112398555",607,
"112398556",124,
"112408572",5465,
"112408573",799,
"112418548",149,
"112418549",156,
"112418550",253,
"112418551",680,
"112428580",1513,
"112438544",690,
"112438545",2216,
"112448491",4684,
"112458484",257,
"112458485",204,
"112458486",533,
"112458487",169,
"112458488",285,
"112468509",2670,
"112478479",637,
"112478480",1148,
"112478481",471,
"112488494",2401,
"112488495",361,
"112488496",8825,
"112488497",505,
"112488498",170,
"112488499",2383,
"112498502",355,
"112498503",771,
"112498504",123,
"112498505",818,
"112498506",807,
"112508540",111,
"112508541",4005,
"112518517",3422,
"112518518",1355,
"112528512",626,
"112528513",196,
"112528514",933,
"112530001",207,
"112538533",207,
"112538534",182,
"112538536",641,
"112538537",1072,
"112548521",119,
"112548522",60,
"112548523",303,
"112548524",683,
"112548525",5878,
"115500001",1476,
"115510001",448,
"115520001",5077,
"112568771",8716,
"112578761",779,
"112578762",397,
"112578763",1920,
"112578764",1270,
"112578765",169,
"112578766",200,
"112578767",1107,
"112578768",301,
"112588774",1120,
"112588775",3126,
"112598778",702,
"112598779",1417,
"112608847",716,
"112608848",540,
"112608849",209,
"112618837",3164,
"112620001",0,
"112628840",135,
"112628841",300,
"112628842",167,
"112628843",460,
"112628844",194,
"112638821",71,
"112638822",181,
"112638823",1890,
"112638824",561,
"112648833",636,
"112648834",805,
"112658801",1385,
"112658802",441,
"112668782",165,
"112668783",221,
"112668784",1897,
"112668785",202,
"112678827",1311,
"112678828",3241,
"112678829",730,
"112678830",807,
"112688817",1322,
"112688818",1487,
"112698810",643,
"112698811",1341,
"112698812",515,
"112698813",363,
"112698814",287,
"112708805",2918,
"112708806",1466,
"112708807",11331,
"112710001",291,
"112710002",402,
"112718788",175,
"112718791",314,
"112718792",460,
"112718793",214,
"112718794",212,
"112718795",143,
"112718796",1459,
"112718797",748,
"112718798",188,
"112727753",535,
"112727754",212,
"112727755",367,
"112727756",1675,
"112737839",410,
"112747825",528,
"112747826",286,
"112757740",80,
"112767852",1046,
"112767853",779,
"112777769",928,
"112777770",388,
"112777771",1189,
"112777772",401,
"112777773",36,
"112777774",1020,
"112777775",151,
"112780001",2837,
"112780002",107,
"112787789",407,
"112787790",1270,
"112787791",387,
"112787792",2127,
"112787793",952,
"112787794",568,
"112787795",6836,
"112797866",232,
"112797867",247,
"112797868",491,
"112797869",568,
"112807897",613,
"112807898",77,
"112810001",77,
"112810002",118,
"112817810",291,
"112827911",224,
"112827912",2608,
"112827913",1267,
"112827914",354,
"112827915",191,
"112827916",472,
"112837882",378,
"112837883",196,
"112837884",137,
"112847693",841,
"112847694",438,
"112847695",708,
"112847696",1569,
"112847697",2706,
"112857663",200,
"112857664",261,
"112867710",809,
"112867711",2583,
"112867712",865,
"112877677",1880,
"112877678",1486,
"112877679",507,
"112877680",488,
"112887725",391,
"112887726",423,
"112887727",115,
"112897647",294,
"112897648",548,
"112897649",541,
"112897650",262,
"112905982",257,
"112905983",303,
"112905984",291,
"112905985",598,
"112905986",514,
"112905987",1400,
"112905988",231,
"112905989",547,
"112910001",239,
"112910002",11217,
"112915932",222,
"112915933",251,
"112915934",143,
"112915935",136,
"112915936",2825,
"112915937",300,
"112915938",131,
"112915939",406,
"112915941",2059,
"112915942",2783,
"112915943",4498,
"112945917",203,
"112945918",460,
"112945919",201,
"112966022",1668,
"112966023",276,
"112966024",152,
"112966025",257,
"112966026",259,
"115530001",355,
"115530002",457,
"115530003",3317,
"115530004",4620,
"115530005",616,
"115540001",309,
"115540002",917,
"115540003",426,
"115550001",311,
"115550002",298,
"115550003",946,
"115550004",237,
"115550005",4454,
"115550006",343,
"115560001",308,
"115560002",335,
"115560003",240,
"115560004",93,
"115560005",1552,
"115570001",296,
"115570002",301,
"115580001",227,
"115580002",1128,
"115580003",352,
"115580004",334,
"115580005",291,
"115580006",298,
"115580007",72,
"115580008",28,
"115590001",205,
"115590002",828,
"115590003",936,
"115590004",122,
"115590005",390,
"115590006",368,
"115590007",1203,
"112975857",118,
"112975858",2213,
"112975859",1332,
"112975860",606,
"112975861",734,
"112975862",376,
"112975863",585,
"112975864",335,
"112975865",176,
"112975866",365,
"112975867",890,
"112975868",224,
"112975869",507,
"112985882",1056,
"112985883",625,
"112995784",441,
"112995785",65,
"113005798",938,
"113005799",430,
"113005800",478,
"113005801",483,
"113005802",694,
"113005803",298,
"113005804",281,
"113015817",342,
"113015818",673,
"113015819",2428,
"113015820",427,
"113015821",486,
"113015822",579,
"113020001",1575,
"113020002",118,
"113020003",273,
"113020004",786,
"113020005",151,
"113020006",244,
"113020007",134,
"113025837",322,
"113025839",1290,
"113025840",152,
"113025841",530,
"113025842",182,
"113025843",90,
"113025844",263,
"113035700",305,
"113035701",508,
"113035702",2415,
"113035703",6381,
"113035704",144,
"113035705",1077,
"113035706",351,
"113035707",4532,
"113035708",152,
"113035709",4255,
"113035710",176,
"113045683",267,
"113045684",333,
"113045685",412,
"113045686",321,
"113045687",507,
"113065666",209,
"113065667",543,
"113065668",342,
"113065669",473,
"113065670",337,
"113070001",4544,
"113070002",1996,
"113075743",5521,
"113075745",437,
"113075746",156,
"113075747",559,
"113075748",285,
"113075749",227,
"113075750",181,
"113075751",649,
"113085764",1320,
"113085765",1245,
"113085766",242,
"113085767",1047,
"113085768",298,
"113085769",1007,
"113085770",896,
"113085771",811,
"115600001",373,
"115600002",276,
"115600003",163,
"115600004",246,
"115610001",180,
"115610002",303,
"115610003",420,
"115610004",737,
"115610005",77,
"113095528",195,
"113095529",505,
"113095530",293,
"113095531",668,
"113100001",398,
"113100002",136,
"113100003",318,
"113100004",60,
"113100005",92,
"113100006",216,
"113100007",373,
"113105510",517,
"113105511",1107,
"113105513",128,
"113105515",418,
"113120001",125,
"113120002",986,
"113125464",453,
"113125466",160,
"113125467",649,
"113125468",206,
"113125469",169,
"113125470",328,
"113125471",708,
"113125472",470,
"113125473",249,
"113125474",434,
"113125475",1815,
"115620001",329,
"115630001",384,
"115630002",175,
"115630003",206,
"115630004",308,
"115630005",416,
"115630006",173,
"115630007",372,
"115630008",126,
"115630009",344,
"113135560",161,
"113135561",224,
"113135562",542,
"113135563",228,
"113135564",310,
"113145613",1979,
"113145614",2314,
"113145615",416,
"113145616",298,
"113155597",1060,
"113155598",352,
"113155599",395,
"113155600",329,
"113165544",203,
"113165545",153,
"113165546",470,
"113165547",239,
"113175577",197,
"113175578",579,
"113175579",2489,
"113175580",1443,
"113175581",1350,
"113175582",423,
"113175583",198,
"113175584",258,
"113185650",1255,
"113185651",6761,
"113185652",5016,
"113185653",4951,
"113195629",1528,
"113195630",4853,
"113195631",281,
"113195632",377,
"113195633",713,
"113195634",249,
"113195635",1479,
"113195636",743,
"113195637",193,
"113201519",573,
"113201520",2558,
"113201521",2576,
"113211485",2412,
"113211486",2055,
"113211487",2426,
"113211488",261,
"113221466",812,
"113221467",1561,
"113221468",18044,
"113221469",749,
"113221470",200,
"113221471",428,
"113221472",624,
"113231501",158,
"113231502",904,
"113231503",452,
"113231504",1449,
"113231505",923,
"113231506",341,
"113241534",1417,
"113241535",2107,
"113241536",832,
"113251452",7505,
"113251453",8013,
"113261407",480,
"113261408",214,
"113261409",231,
"113261410",890,
"113261411",2420,
"113261412",104,
"113261413",1038,
"113261414",4412,
"113261415",386,
"113261416",891,
"113261417",246,
"113261418",1236,
"113261419",403,
"113261420",246,
"113271385",357,
"113271386",120,
"113271387",1158,
"113271388",109,
"113271389",770,
"113271390",262,
"113271391",245,
"113271392",727,
"113271393",258,
"113271394",1046,
"113281433",1157,
"113281434",536,
"113281435",799,
"113281436",582,
"113281437",1029,
"113281438",1044,
"113281439",692,
"113291202",273,
"113291203",527,
"113291204",5603,
"113291205",1152,
"113291206",329,
"113291207",64,
"113291208",1167,
"113291209",1466,
"113291210",718,
"113291211",802,
"113301328",6390,
"113301329",4651,
"113301330",1767,
"113301331",2502,
"113301332",1768,
"113301333",789,
"113301334",452,
"113301335",2706,
"113301336",136,
"113301337",302,
"113301338",464,
"113301339",258,
"113301340",1308,
"113301341",123,
"113311281",1817,
"113311282",1156,
"113311283",1658,
"113311284",762,
"113311285",351,
"113311286",1249,
"113311287",238,
"113321300",396,
"113321301",149,
"113321302",579,
"113321303",766,
"113321304",1006,
"113321305",846,
"113321306",456,
"113321307",1525,
"113321308",174,
"113321309",836,
"113321310",147,
"113321311",679,
"113321312",6570,
"113321313",5502,
"113321314",781,
"113321315",249,
"113331179",1881,
"113331180",1006,
"113331181",1971,
"113331182",744,
"113331183",1959,
"113331184",613,
"113331185",277,
"113331186",645,
"113331187",797,
"113331188",293,
"113331189",4747,
"113341157",4860,
"113341158",5944,
"113341159",3362,
"113341160",3002,
"113341161",1242,
"113341162",1703,
"113341163",423,
"113341164",610,
"113341165",2745,
"113341166",12956,
"113350001",272,
"113350002",1391,
"113350003",4174,
"113350004",23,
"113351252",137,
"113351253",905,
"113351254",320,
"113351255",887,
"113351257",64,
"113351258",113,
"113351259",727,
"113351261",2368,
"113351262",604,
"113351263",615,
"113351264",1430,
"113351267",622,
"113351268",634,
"113361224",134,
"113361225",3415,
"113361226",610,
"113361227",1576,
"113361228",6319,
"113361229",3000,
"113361230",2724,
"113361231",1781,
"113361232",2702,
"113361233",1117,
"113361234",1335,
"113361235",1365,
"113361236",820,
"113361237",162,
"113361238",2761,
"113370001",1054,
"113371001",672,
"113371002",1265,
"113371003",1237,
"113371004",175,
"113371005",498,
"113371006",594,
"113371007",111,
"113371008",597,
"113371009",772,
"113371010",359,
"113371011",403,
"113371012",1266,
"113371013",251,
"113371014",255,
"113371015",571,
"113371016",1160,
"113371017",315,
"113371018",768,
"113371019",668,
"113371020",457,
"113371021",775,
"113371024",4393,
"113371025",8221,
"113371026",3767,
"113371027",1050,
"113371028",5153,
"113371029",982,
"113371030",299,
"113371031",9692,
"113371032",5290,
"113371033",3429,
"113371034",1096,
"113371035",5616,
"113371036",3076,
"113371037",1627,
"113371038",457,
"113371039",715,
"113371040",3581,
"113371041",3477,
"113371042",720,
"113371043",3136,
"113371044",3978,
"113371045",3139,
"113371046",4206,
"113371047",2153,
"113371048",3919,
"113371049",4526,
"113371050",5840,
"113371051",2288,
"113371052",2492,
"113371053",3960,
"113371054",7160,
"113371055",5913,
"113371056",3146,
"113371057",3158,
"113371058",2457,
"113371059",2215,
"113371060",215,
"113371061",274,
"113371062",302,
"113371063",4298,
"113371064",2182,
"113371065",1535,
"113371066",1023,
"113371067",1759,
"113371068",4018,
"113371069",8057,
"113371070",6004,
"113371071",2735,
"113371072",1295,
"113371073",2937,
"113371074",91,
"113371075",887,
"113371076",5875,
"113371077",1857,
"113371078",3450,
"113371079",3839,
"113371080",10381,
"113371081",7952,
"113371082",2461,
"113371083",17,
"113371084",318,
"113371085",1864,
"113371086",152,
"113371087",9317,
"113371088",2986,
"113371089",917,
"113371090",2956,
"113371091",988,
"113371092",8090,
"113371093",8733,
"113371094",2967,
"113371095",112,
"113371096",385,
"113371097",238,
"113371098",1080,
"113371099",2430,
"113371100",2752,
"113371101",1478,
"113371102",2256,
"113371103",72,
"113371104",6075,
"113371105",786,
"113371106",664,
"113371107",2024,
"113371108",2718,
"113371109",545,
"113371110",620,
"113371111",3045,
"113371112",2555,
"113371113",975,
"113371114",1278,
"113371115",7903,
"113371116",2357,
"113371117",871,
"113371118",361,
"113371119",3261,
"113371120",338,
"113371121",271,
"113371122",304,
"113371123",700,
"113371124",359,
"113371125",412,
"113371126",2346,
"113371127",876,
"113371128",194,
"113371129",713,
"113371130",1408,
"113371131",697,
"113371132",1136,
"113371133",325,
"113371134",207,
"113371135",87,
"113371136",2475,
"113371137",356,
"113371138",1037,
"113371139",1226,
"113371140",675,
"113371141",175,
"113371142",4434,
"113371143",0,
"113371144",3,
"113380001",309,
"113380002",1445,
"113381354",278,
"113381355",122,
"113381356",2264,
"113381357",495,
"113381358",1147,
"113381359",952,
"113381360",1124,
"113381361",582,
"113381362",843,
"113381363",304,
"113381364",301,
"113381365",760,
"113381366",972,
"113381367",806,
"113381368",688,
"113381369",653,
"113381372",625,
"113391702",731,
"113391703",481,
"113391704",458,
"113391705",620,
"113391706",274,
"113391707",683,
"113401683",399,
