SA3_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
10701,224,30,18,2974,2556,198,178,26,32,2989,2801,198,224,23,28,3275,2404,177,186,24,36,2827,1289,127,131,19,10,1579,402,78,82,16,13,588,95,31,27,15,7,167,27,14,14,25,10,84,22459,1362,1501,250,244,25822
10702,0,0,0,4,6,0,0,0,0,6,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,58
10703,290,45,22,2457,1902,258,260,41,23,2481,1800,217,289,47,34,2390,1671,182,224,47,13,2148,936,167,218,60,20,1391,286,85,110,40,14,529,83,45,41,31,9,203,35,18,17,25,9,108,18027,1613,2157,428,252,22483
10704,539,45,51,5928,4721,459,464,61,52,5752,4572,461,458,80,47,5617,4038,345,385,61,35,4857,2330,260,280,53,38,2965,819,152,178,51,15,1217,226,66,70,33,17,411,83,28,38,28,16,191,44586,3098,3565,554,469,52270
10801,139,22,13,956,767,79,165,28,15,1047,869,88,153,29,17,1150,833,87,171,38,17,1144,580,82,141,44,24,872,238,57,73,29,12,397,47,21,38,22,10,138,20,14,27,16,12,91,6874,585,1108,256,168,8988
10802,193,27,26,1535,1273,109,191,37,37,1634,1460,101,230,48,27,1861,1467,117,266,56,33,1940,874,98,246,73,21,1312,315,55,169,91,19,641,80,23,77,42,6,223,30,18,43,56,11,158,11540,715,1710,509,273,14753
10803,3,0,0,27,16,3,3,0,0,21,13,7,4,0,0,25,14,3,0,0,0,20,6,4,5,0,0,19,9,3,0,0,0,14,3,0,0,0,0,5,0,3,0,0,0,7,152,31,25,4,6,214
10804,374,44,33,3142,2710,266,365,46,31,3423,2649,291,383,66,39,3435,2500,251,433,73,35,3296,1455,182,360,93,31,2131,505,129,177,71,16,898,147,54,108,51,11,364,62,21,51,40,19,192,21953,1777,2877,591,331,27531
10805,153,44,22,1706,1581,112,222,45,29,1991,1654,135,268,59,42,2159,1631,159,293,58,40,2171,1065,123,228,67,31,1526,364,78,157,85,22,700,94,35,97,60,12,299,41,13,57,45,22,175,13301,909,1755,535,317,16815
10901,232,40,27,2857,2486,277,259,57,31,3109,2455,291,288,50,28,3105,2276,248,282,69,18,2896,1462,197,255,74,25,2012,550,116,167,61,23,912,120,37,68,60,11,299,58,19,44,59,11,190,23306,1740,2159,583,276,28063
10902,66,20,10,534,379,55,76,37,8,560,492,57,74,42,12,673,430,66,90,43,15,647,314,36,88,47,11,496,120,29,41,40,11,235,25,11,30,24,0,84,12,5,18,32,9,74,3711,386,598,332,99,5125
