GCCSA_CODE_2016,EAFW_18_TechFEI_NS,EAFW_18_TechFEI_Tot,EAFW_18_UniOTIs_FT,EAFW_18_UniOTIs_PT,EAFW_18_UniOTIs_NS,EAFW_18_UniOTIs_Tot,EAFW_18_Other,EAFW_18_NS,EAFW_18_Tot,EAFW_19_TechFEI_FT,EAFW_19_TechFEI_PT,EAFW_19_TechFEI_NS,EAFW_19_TechFEI_Tot,EAFW_19_UniOTIs_FT,EAFW_19_UniOTIs_PT,EAFW_19_UniOTIs_NS,EAFW_19_UniOTIs_Tot,EAFW_19_Other,EAFW_19_NS,EAFW_19_Tot,EAFW_20_24_TechFEI_FT,EAFW_20_24_TechFEI_PT,EAFW_20_24_TechFEI_NS,EAFW_20_24_TechFEI_Tot,EAFW_20_24_UniOTIs_FT,EAFW_20_24_UniOTIs_PT,EAFW_20_24_UniOTIs_NS,EAFW_20_24_UniOTIs_Tot,EAFW_20_24_Other,EAFW_20_24_NS,EAFW_20_24_Tot,EAFW_25_29_TechFEI_FT,EAFW_25_29_TechFEI_PT,EAFW_25_29_TechFEI_NS,EAFW_25_29_TechFEI_Tot,EAFW_25_29_UniOTIs_FT,EAFW_25_29_UniOTIs_PT,EAFW_25_29_UniOTIs_NS,EAFW_25_29_UniOTIs_Tot,EAFW_25_29_Other,EAFW_25_29_NS,EAFW_25_29_Tot,EAFW_30over_TechFEI_FT,EAFW_30over_TechFEI_PT,EAFW_30over_TechFEI_NS,EAFW_30over_TechFEI_Tot,EAFW_30over_UniOTIs_FT,EAFW_30over_UniOTIs_PT,EAFW_30over_UniOTIs_NS,EAFW_30over_UniOTIs_Tot,EAFW_30over_Other,EAFW_30over_NS,EAFW_30over_Tot,EAFW_Tot_TechFEI_FT,EAFW_Tot_TechFEI_PT,EAFW_Tot_TechFEI_NS,EAFW_Tot_TechFEI_Tot,EAFW_Tot_UniOTIs_FT,EAFW_Tot_UniOTIs_PT,EAFW_Tot_UniOTIs_NS,EAFW_Tot_UniOTIs_Tot,EAFW_Tot_Other,EAFW_Tot_NS,EAFW_Tot_Tot,Tot_16_TechFEI_FT,Tot_16_TechFEI_PT,Tot_16_TechFEI_NS,Tot_16_TechFEI_Tot,Tot_16_UniOTIs_FT,Tot_16_UniOTIs_PT,Tot_16_UniOTIs_NS,Tot_16_UniOTIs_Tot,Tot_16_Other,Tot_16_NS,Tot_16_Tot,Tot_17_TechFEI_FT,Tot_17_TechFEI_PT,Tot_17_TechFEI_NS,Tot_17_TechFEI_Tot,Tot_17_UniOTIs_FT,Tot_17_UniOTIs_PT,Tot_17_UniOTIs_NS,Tot_17_UniOTIs_Tot,Tot_17_Other,Tot_17_NS,Tot_17_Tot,Tot_18_TechFEI_FT,Tot_18_TechFEI_PT,Tot_18_TechFEI_NS,Tot_18_TechFEI_Tot,Tot_18_UniOTIs_FT,Tot_18_UniOTIs_PT,Tot_18_UniOTIs_NS,Tot_18_UniOTIs_Tot,Tot_18_Other,Tot_18_NS,Tot_18_Tot,Tot_19_TechFEI_FT,Tot_19_TechFEI_PT,Tot_19_TechFEI_NS,Tot_19_TechFEI_Tot,Tot_19_UniOTIs_FT,Tot_19_UniOTIs_PT,Tot_19_UniOTIs_NS,Tot_19_UniOTIs_Tot,Tot_19_Other,Tot_19_NS,Tot_19_Tot,Tot_20_24_TechFEI_FT,Tot_20_24_TechFEI_PT,Tot_20_24_TechFEI_NS,Tot_20_24_TechFEI_Tot,Tot_20_24_UniOTIs_FT,Tot_20_24_UniOTIs_PT,Tot_20_24_UniOTIs_NS,Tot_20_24_UniOTIs_Tot,Tot_20_24_Other,Tot_20_24_NS,Tot_20_24_Tot,Tot_25_29_TechFEI_FT,Tot_25_29_TechFEI_PT,Tot_25_29_TechFEI_NS,Tot_25_29_TechFEI_Tot,Tot_25_29_UniOTIs_FT,Tot_25_29_UniOTIs_PT,Tot_25_29_UniOTIs_NS,Tot_25_29_UniOTIs_Tot,Tot_25_29_Other,Tot_25_29_NS,Tot_25_29_Tot,Tot_30over_TechFEI_FT,Tot_30over_TechFEI_PT,Tot_30over_TechFEI_NS,Tot_30over_TechFEI_Tot,Tot_30over_UniOTIs_FT,Tot_30over_UniOTIs_PT,Tot_30over_UniOTIs_NS,Tot_30over_UniOTIs_Tot,Tot_30over_Other,Tot_30over_NS,Tot_30over_Tot,Tot_Tot_TechFEI_FT,Tot_Tot_TechFEI_PT,Tot_Tot_TechFEI_NS,Tot_Tot_TechFEI_Tot,Tot_Tot_UniOTIs_FT,Tot_Tot_UniOTIs_PT,Tot_Tot_UniOTIs_NS,Tot_Tot_UniOTIs_Tot,Tot_Tot_Other,Tot_Tot_NS,Tot_Tot_Tot
6RTAS,0,15,8,0,0,12,34,3,67,7,3,0,7,23,0,0,23,0,3,37,7,15,0,25,94,16,0,107,3,13,148,0,14,0,15,20,15,0,33,3,6,60,12,60,0,72,22,69,0,93,20,122,305,70,102,3,175,165,97,0,264,177,157,778,90,27,0,118,3,0,0,3,772,34,924,246,76,3,316,10,0,0,12,698,42,1069,126,132,4,257,104,13,0,113,435,41,839,47,145,3,195,261,25,0,285,23,16,522,125,499,0,618,935,243,4,1177,92,101,1987,56,258,3,315,238,281,0,528,75,78,994,167,1010,9,1182,382,1422,5,1811,370,1095,4458,854,2135,17,3004,1931,1983,15,3930,2466,1407,10803
6GHOB,0,21,20,0,0,20,30,0,70,8,10,0,12,32,3,0,37,0,0,52,15,20,0,29,129,10,0,143,6,7,192,4,8,0,13,43,29,0,71,4,5,100,14,38,0,50,35,93,0,131,21,100,298,74,77,0,152,264,134,4,397,177,119,842,56,18,0,75,3,0,0,3,681,20,783,141,46,0,192,15,3,0,13,791,19,1011,104,86,0,192,177,4,0,178,483,17,876,49,142,0,194,399,52,3,456,28,11,689,148,444,5,601,1862,361,10,2225,109,75,3009,96,283,4,382,572,494,3,1064,114,48,1611,160,945,12,1116,513,1908,10,2427,446,657,4647,764,1970,20,2753,3525,2816,19,6363,2654,841,12620
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,3,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,3,0,3,0,14,29,4,3,0,11,15,10,0,17,12,18,59,0,3,0,4,0,0,0,0,17,0,20,4,8,0,14,0,0,0,0,20,5,40,5,11,0,15,4,0,0,4,6,0,25,3,12,0,16,5,0,0,8,0,0,25,5,53,0,56,50,16,0,66,0,13,141,14,29,0,46,25,12,0,33,3,7,87,23,78,0,99,34,71,0,110,37,106,353,60,199,3,255,120,102,0,221,86,133,700
5RWAU,0,11,22,3,0,30,23,5,65,4,15,0,18,6,4,0,12,0,5,34,17,44,0,63,70,27,0,97,7,12,181,17,43,3,62,29,43,0,72,22,24,177,26,164,3,193,34,130,5,173,80,268,705,72,287,6,369,171,204,5,381,372,320,1436,67,61,0,134,3,0,0,3,1498,37,1669,87,170,0,263,4,3,0,8,1506,59,1825,112,308,3,423,141,41,0,180,216,40,855,95,314,5,415,160,48,0,213,42,32,693,246,806,10,1061,630,336,3,965,165,117,2317,158,696,10,861,265,615,5,886,208,153,2111,363,2512,34,2909,584,2669,18,3270,1057,2084,9319,1131,4866,61,6051,1784,3721,23,5527,4690,2515,18788
5GPER,0,63,210,16,0,233,61,12,367,37,46,0,80,306,31,3,339,22,13,455,104,128,0,229,1136,187,6,1325,50,82,1691,69,98,0,165,311,164,4,483,67,58,770,124,263,10,390,275,535,4,815,201,471,1876,385,582,12,982,2256,927,21,3202,1033,663,5877,148,134,0,280,13,0,0,17,5546,101,5945,280,298,5,583,112,12,0,123,6198,114,7013,631,826,8,1466,4121,394,10,4529,1094,107,7188,646,1012,14,1670,5795,626,15,6435,239,104,8450,2213,2964,30,5211,18827,4211,61,23100,1294,518,30123,1520,2194,14,3731,5241,3983,39,9257,1536,480,15009,2228,5906,76,8211,4667,12069,105,16841,4891,3983,33921,7672,13330,147,21146,38769,21292,236,60296,20794,5405,107652
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,8,0,3,0,3,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,9,0,0,5,0,3,0,3,0,3,0,3,0,0,7,3,16,0,12,0,15,0,16,9,8,44,3,21,0,20,10,17,0,30,11,8,69
59499,0,7,6,0,0,10,0,0,17,0,9,0,13,16,0,0,17,0,3,29,4,18,0,24,53,10,0,60,6,7,96,11,12,0,19,19,6,0,29,12,5,65,14,34,0,52,29,37,0,64,23,59,200,34,79,0,115,136,54,0,183,68,78,446,4,14,0,20,0,0,0,0,90,3,107,11,43,0,57,7,0,0,7,118,8,181,22,95,0,117,92,6,0,98,22,7,249,27,137,0,167,136,16,0,151,3,8,330,96,311,6,414,593,131,0,723,34,48,1220,74,168,3,246,226,131,0,354,69,58,724,134,394,6,534,222,327,3,550,240,362,1691,364,1168,20,1550,1270,610,6,1884,575,490,4505
4RSAU,0,15,19,0,0,19,38,8,76,3,17,0,20,30,3,0,28,4,3,56,18,31,0,46,82,12,0,96,5,13,161,13,16,0,20,9,16,0,27,4,14,65,23,67,0,86,30,54,0,86,46,164,380,58,134,0,193,167,86,0,250,285,208,939,9,10,0,18,3,0,0,3,1227,44,1291,17,51,0,69,4,0,0,4,1420,58,1547,45,178,0,227,150,14,0,165,443,43,873,43,201,7,252,226,32,0,254,46,23,578,216,615,3,835,722,247,0,970,128,126,2058,109,407,6,521,198,285,0,489,85,123,1214,253,1357,15,1622,350,1262,12,1621,604,1561,5408,688,2812,37,3540,1657,1838,11,3508,3958,1968,12970
4GADE,0,27,114,9,0,131,97,3,253,21,16,0,34,194,14,0,209,12,12,271,69,89,0,161,829,106,3,942,43,50,1188,40,68,0,114,199,145,0,339,47,50,561,71,202,8,278,219,365,3,586,161,362,1395,221,396,11,628,1557,648,8,2212,860,497,4196,40,20,0,58,8,4,0,16,3807,87,3968,79,103,0,185,67,15,0,79,4508,100,4879,212,379,3,590,2244,179,9,2436,1469,68,4559,271,499,4,770,3523,316,19,3853,229,92,4940,1151,2139,12,3303,13266,2491,42,15800,787,362,20253,699,1617,11,2330,3419,2520,18,5952,778,290,9360,1212,5275,49,6534,3417,8315,57,11788,2946,3027,24296,3657,10031,76,13766,25948,13845,144,39929,14533,4023,72254
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
49499,0,4,3,0,0,6,0,0,8,0,3,0,3,7,0,0,7,0,0,16,4,14,0,22,53,0,0,58,3,7,87,3,4,0,6,18,3,0,22,3,0,35,15,26,0,42,9,26,0,38,13,29,119,23,53,0,74,101,27,0,128,52,40,291,0,3,0,3,0,0,0,0,65,3,70,6,12,0,14,0,0,0,0,80,0,97,11,32,0,44,46,3,0,54,28,3,120,7,51,0,63,98,3,0,105,11,3,177,50,230,3,283,433,74,0,510,35,26,855,29,113,0,149,151,59,0,212,40,18,415,89,323,0,413,151,196,4,353,149,269,1187,193,763,7,964,878,342,4,1222,410,327,2923
3RQLD,3,62,215,33,4,246,65,24,399,22,39,0,60,221,24,0,250,19,20,346,72,139,3,219,763,147,4,920,69,87,1287,45,113,4,155,278,234,0,513,71,94,836,110,360,3,473,305,657,8,967,242,774,2465,279,724,15,1020,1835,1093,22,2948,1612,1051,6638,95,119,3,210,15,4,0,21,9792,218,10243,222,383,0,607,763,115,3,880,8056,251,9790,376,959,15,1348,3132,457,6,3599,860,142,5944,352,1017,12,1381,3547,567,14,4122,255,128,5891,1394,3578,38,5016,11041,3848,40,14929,1268,670,21887,900,2682,20,3596,3475,4140,34,7643,1380,622,13242,1810,8357,103,10275,4239,13736,89,18063,5454,6593,40387,5150,17093,186,22432,26206,22865,187,49260,27077,8620,107384
3GBRI,0,57,304,21,3,329,39,17,438,27,23,0,48,404,22,0,429,8,23,514,100,116,4,223,1245,206,5,1454,89,68,1839,82,137,3,220,335,242,5,582,77,88,972,138,318,3,452,297,773,6,1081,300,569,2406,403,627,8,1043,2668,1263,24,3958,1393,796,7187,108,70,0,180,24,0,0,24,7482,109,7795,251,270,3,521,1580,100,7,1679,6417,133,8753,592,720,8,1326,5991,426,17,6432,677,114,8548,571,846,16,1431,7243,613,23,7881,304,132,9736,2031,3538,26,5597,23661,5229,49,28936,1738,613,36885,1499,2844,27,4369,6557,5664,34,12254,2014,542,19181,2181,7727,67,9979,5732,17529,121,23378,6194,4467,44020,7245,16007,148,23403,50785,29551,245,80589,24829,6105,134922
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
39499,0,0,23,0,0,23,4,0,28,3,8,0,12,38,0,0,38,3,0,51,6,22,0,27,103,10,3,123,4,9,160,4,17,0,27,38,6,0,43,9,12,90,17,42,0,55,39,56,0,94,41,106,303,35,89,0,126,245,77,5,327,116,135,707,8,14,0,25,0,0,0,0,251,4,280,14,61,0,74,43,3,0,44,218,14,346,19,140,0,156,219,15,0,231,36,16,440,33,153,3,195,301,25,0,324,15,16,552,164,458,0,624,915,170,3,1082,83,70,1858,102,291,6,395,349,186,0,528,142,67,1130,166,712,8,885,379,660,10,1053,513,716,3167,502,1828,19,2348,2196,1050,14,3263,1257,897,7771
2RVIC,0,46,115,7,0,114,258,23,442,38,37,3,75,244,9,0,257,12,16,364,66,127,3,199,770,86,4,865,50,88,1201,38,78,0,116,126,107,7,242,54,64,479,50,198,4,258,136,312,7,448,159,615,1471,236,480,9,727,1394,518,15,1928,1386,859,4900,63,72,4,142,7,0,0,13,5296,175,5619,172,260,3,437,20,5,0,30,5754,188,6401,304,651,7,956,992,92,4,1091,3003,153,5206,405,901,15,1322,2163,221,16,2392,256,120,4095,1128,2696,28,3847,8200,1778,31,10010,752,533,15148,437,1349,19,1804,1692,1825,13,3533,602,414,6353,730,4020,43,4799,1885,6387,48,8319,2843,5034,20993,3240,9951,118,13302,14957,10317,108,25386,18502,6615,63808
2GMEL,0,115,363,20,0,386,425,28,955,87,86,0,172,775,55,3,833,65,39,1104,293,292,16,602,3354,429,20,3801,194,229,4824,177,195,11,380,871,398,15,1287,235,237,2132,207,514,22,739,645,1282,15,1942,665,1339,4682,863,1157,47,2063,6003,2190,58,8254,3164,1926,15399,167,123,5,292,32,3,0,38,12169,226,12718,338,433,12,784,167,24,0,187,13055,270,14297,990,1190,14,2194,6787,385,14,7178,6352,248,15967,1488,1905,24,3416,13595,914,44,14561,798,279,19050,5479,7510,82,13072,55786,9551,184,65525,3799,1555,83959,3341,5163,46,8548,15688,10901,89,26683,4324,1421,40977,4420,12540,193,17148,11524,28278,258,40051,14021,10449,81676,16215,28867,373,45454,103583,50059,590,154228,54512,14452,268651
