GCCSA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
6RTAS,991,138,16,4588,4,39,579,1216,1481,997,194,27,4531,6,20,148,454,634,572,171,26,2037,131,139,226,285,379,315,119,31,1622,6159,9029,18407,20632,25429,20257,4778,821,105512
6GHOB,1121,118,13,5448,0,22,734,1788,2241,1357,207,30,6376,3,16,179,690,966,731,207,28,2823,102,111,209,229,244,205,62,18,1176,5443,8983,20347,21393,23092,17262,3680,462,100657
69799,0,0,0,11,0,0,3,4,3,4,0,0,15,0,0,0,4,3,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,10,13,12,3,0,55
69499,52,7,0,251,0,9,60,78,75,47,6,0,280,0,5,26,32,53,33,8,4,158,15,23,27,33,34,40,13,3,186,314,712,1839,1778,2227,1841,369,54,9132
5RWAU,3101,455,61,17654,30,997,9943,10373,10018,5649,793,97,37907,37,377,5250,6827,6519,3501,655,95,23258,273,320,728,851,1010,794,281,88,4350,11102,17099,53628,54911,57931,41573,10558,1836,248646
5GPER,9123,1598,120,55506,19,870,18922,26893,25065,14861,2476,206,89311,49,273,6243,17273,18275,10078,2199,322,54721,824,1328,2439,2275,2611,1651,568,97,11813,44994,83374,205748,188161,182316,123457,30123,3458,861625
59799,11,0,0,79,0,4,144,113,116,57,3,4,447,0,6,173,274,259,118,9,0,837,0,0,7,4,13,4,0,0,32,12,42,405,453,444,216,14,4,1595
59499,435,66,4,3185,3,159,1440,1367,1207,631,94,9,4914,6,56,554,763,673,358,60,7,2483,45,94,225,175,224,161,48,14,983,2008,5176,13020,11675,11952,8294,2019,229,54378
4RSAU,1403,270,33,6442,4,113,1427,2064,2325,1558,309,59,7850,13,30,374,802,982,812,285,67,3369,203,200,376,415,551,551,190,92,2568,8100,11643,25913,28016,34367,28582,8024,1646,146296
4GADE,6028,980,84,30372,9,167,5339,11414,12006,7491,1245,120,37789,29,92,1327,5080,6506,4401,1230,190,18864,496,712,1430,1363,1598,1123,348,101,7176,27786,52902,123244,120602,124935,89910,20379,2404,562169
49799,0,0,0,7,0,0,0,3,9,3,0,0,22,0,0,0,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,5,13,25,8,0,0,64
49499,191,27,0,1133,0,24,325,366,382,190,37,7,1332,8,12,90,155,156,92,36,4,551,18,47,122,119,135,112,32,6,591,1080,3145,6992,6833,8212,6315,1537,185,34306
3RQLD,8355,1384,163,46739,40,971,13077,18911,19217,10840,1871,253,65180,82,295,4025,9079,9770,6284,1720,359,31601,1389,1558,2774,3119,3847,2959,1144,338,17131,63520,90663,199092,208327,220619,158384,40113,6129,986831
3GBRI,9222,1399,105,60373,28,567,16912,29756,26477,13471,2054,204,89460,65,219,4777,16578,17747,9139,2021,319,50849,1090,1540,2934,3026,3049,2034,598,140,14396,58246,106696,244016,237477,222094,141471,31465,3444,1044909
39799,8,0,0,17,0,0,11,10,14,12,3,0,47,0,0,5,6,5,4,0,0,28,0,0,0,0,0,0,0,0,3,3,16,42,53,44,37,7,0,202
39499,628,81,9,4683,3,120,1311,1633,1398,746,120,14,5346,7,41,393,734,704,376,91,14,2356,96,178,394,455,446,328,108,26,2040,4033,9110,21309,21763,22360,16113,3813,410,98920
2RVIC,4920,843,125,23544,16,160,3971,7535,8490,5673,981,183,27015,68,162,1230,3384,4350,3241,933,231,13607,869,943,1568,1760,2268,2069,785,276,10535,34144,49973,104221,109256,124787,101812,27022,5154,556360
2GMEL,17967,3119,348,115243,56,793,35271,59255,47396,26166,4753,514,174205,128,473,10543,37528,37985,19833,5083,782,112356,2004,3744,7258,6909,7569,5132,1592,384,34589,86001,193949,519200,469630,430403,279518,67533,8544,2054783
29799,0,0,0,11,0,0,0,5,12,8,0,0,28,0,0,5,20,20,14,0,0,60,0,0,0,0,0,6,0,0,5,0,3,26,43,57,28,3,0,155
29499,635,104,20,4907,3,105,1291,1748,1372,696,126,22,5374,16,32,365,696,731,386,121,16,2357,120,306,559,582,680,477,158,34,2924,4420,12149,27240,25210,26105,18622,4673,612,119037
1RNSW,10379,1567,222,49703,24,507,10153,18735,19519,12693,2013,345,63984,87,198,2596,7251,8810,6551,1898,394,27785,1432,1554,2654,3046,3670,3107,1231,509,17207,61965,88279,187807,201119,225790,179232,45815,8600,998604
1GSYD,20719,3909,406,139162,67,1155,51235,78369,58308,32667,6181,647,228631,121,541,17467,56372,53420,27196,6697,1087,162907,1798,3477,7540,6773,6720,4455,1448,363,32579,93082,208061,557816,516206,455509,300536,75326,9601,2216135
19799,0,0,0,4,0,0,3,4,3,0,0,0,11,0,0,3,5,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,10,17,17,24,12,3,0,90
19499,809,155,3,5739,6,126,1511,2099,1788,912,192,19,6653,9,32,447,890,904,477,154,26,2938,122,267,559,603,663,511,140,46,2913,6207,13764,29918,30659,32366,23834,5924,688,143362
