GCCSA_CODE_2016,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49mo_Mng,FTS_49mo_Pro,FTS_49mo_TecTW,FTS_49mo_CoPSW,FTS_49mo_ClAW,FTS_49mo_SWks,FTS_49mo_MaOpDv,FTS_49mo_Lab,FTS_49mo_IDNS,FTS_49mo_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49mo_Mng,PTS_49mo_Pro,PTS_49mo_TecTW,PTS_49mo_CoPSW,PTS_49mo_ClAW,PTS_49mo_SWks,PTS_49mo_MaOpDv,PTS_49mo_Lab,PTS_49mo_IDNS,PTS_49mo_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
6RTAS,4,6,14,61,7,114,5,52,0,257,27,59,75,616,107,1586,63,705,16,3249,9,17,14,118,19,251,20,110,3,554,5,6,9,39,4,54,3,27,0,147,9,8,22,9,6,10,0,4,0,69,0,6,10,4,7,3,0,3,0,33,6,0,11,0,0,3,0,0,0,19,0,7,3,8,0,3,0,6,0,27,0,3,7,25,0,42,3,20,27,127,57,117,156,883,152,2074,94,918,52,4490,0,3,13,11,4,4,0,5,0,36,3,7,12,42,16,61,11,30,0,177,0,9,17,35,11,34,0,20,0,129,3,17,20,42,11,32,0,16,0,153,10,35,193,23,30,17,5,10,0,332,8,17,176,17,16,11,3,9,3,257,11,3,69,12,4,4,0,12,0,116,4,13,28,7,4,5,0,8,0,72,0,0,8,4,0,0,0,0,3,16,45,106,540,189,96,178,18,110,10,1296
6GHOB,0,11,6,68,9,135,4,64,7,305,36,142,89,886,173,1751,76,831,39,4020,8,25,18,174,51,265,19,127,4,688,4,10,9,65,18,57,3,23,0,186,3,12,14,16,11,14,0,0,0,73,3,11,9,12,3,4,0,0,0,40,0,3,12,3,5,0,0,3,0,22,3,0,4,6,0,0,0,4,0,19,0,3,4,15,3,33,3,19,24,110,64,217,160,1251,270,2266,102,1062,75,5469,0,4,14,8,0,6,0,3,0,35,0,6,12,60,14,83,7,43,4,228,0,11,12,45,20,52,0,20,0,171,3,22,18,54,19,23,0,10,4,151,9,36,162,43,34,14,3,11,0,321,10,20,163,14,15,6,3,12,0,232,0,5,72,13,4,3,3,3,0,105,3,3,35,0,8,4,0,3,0,48,0,0,7,4,3,3,0,0,3,21,31,107,484,243,113,207,19,100,17,1316
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,7,0,0,0,5,0,12,3,8,0,42,3,21,3,19,0,101,0,0,4,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,13,3,10,15,53,7,21,4,25,10,150,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,11,0,0,0,3,0,0,0,3,0,15,0,0,0,3,0,0,0,3,0,7,0,0,24,0,0,0,0,0,0,26,0,0,22,0,0,0,0,0,0,27,3,0,12,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,66,17,3,4,0,9,0,107
5RWAU,5,9,12,64,9,124,4,82,7,325,37,52,87,671,127,2285,54,1062,45,4423,14,18,23,119,31,221,10,121,6,560,7,9,14,52,5,41,3,34,3,161,8,6,40,28,24,8,3,11,0,128,4,9,48,12,12,5,3,18,0,112,3,5,24,8,4,0,0,7,0,65,7,4,46,14,3,5,3,9,0,93,4,4,11,23,4,61,3,34,52,190,86,115,301,989,217,2748,86,1377,118,6045,3,4,36,3,5,6,0,5,0,71,4,8,21,67,18,78,3,57,4,267,5,14,33,58,30,53,9,30,0,219,3,9,41,97,21,46,9,32,0,258,15,31,256,71,77,30,8,20,3,507,13,36,298,21,43,15,9,11,0,442,9,16,163,15,18,6,8,10,3,256,11,23,157,13,12,5,19,20,3,275,3,0,17,7,3,7,3,4,8,63,60,134,1026,354,230,259,56,197,28,2353
5GPER,14,77,69,459,105,742,46,328,13,1852,336,1440,694,7469,1506,14934,810,6764,227,34169,245,316,431,2238,711,3191,345,1720,73,9260,98,111,126,761,233,810,62,272,21,2499,47,72,194,161,112,130,25,51,7,795,40,69,184,88,59,51,15,21,5,518,20,27,70,41,26,27,5,14,0,224,11,23,50,58,17,22,3,28,7,211,15,38,35,206,40,291,16,132,250,1023,820,2165,1846,11473,2803,20206,1327,9322,596,50566,5,16,69,49,18,55,5,27,8,255,23,109,97,614,167,899,78,442,10,2435,45,96,162,498,194,635,65,312,13,2022,41,116,222,392,164,372,44,132,15,1491,82,182,1009,266,271,151,36,67,15,2087,66,171,1117,124,169,40,31,37,15,1780,44,88,410,60,68,37,16,20,6,751,37,79,258,62,43,16,13,19,6,527,4,13,58,52,13,47,6,19,52,260,347,879,3403,2113,1105,2258,296,1066,143,11610
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6
59499,3,6,7,23,3,13,0,13,0,69,7,169,34,327,34,81,17,180,8,862,0,22,20,45,11,13,18,38,8,169,4,7,5,9,3,10,0,0,0,34,0,0,14,4,0,3,0,3,0,33,0,0,20,8,0,0,0,0,0,27,0,0,3,0,0,0,0,3,0,7,0,0,10,0,0,0,0,3,0,12,0,10,0,6,3,7,0,11,24,60,21,213,116,419,55,121,39,250,42,1278,0,0,18,3,0,0,0,3,0,35,0,15,3,26,5,4,0,21,3,83,0,4,12,15,5,7,3,19,0,64,0,9,29,12,4,3,4,8,0,71,3,4,154,3,0,0,0,8,0,165,3,0,236,3,0,0,0,3,0,249,0,0,63,0,0,0,3,0,0,64,0,0,51,8,0,0,0,3,0,59,0,0,14,0,0,3,0,6,4,23,8,28,579,70,19,21,12,76,4,815
4RSAU,0,4,9,63,5,114,6,78,3,285,43,51,103,693,86,1745,64,1177,23,3987,12,9,20,123,26,191,17,121,3,519,8,0,15,65,14,52,3,32,0,188,3,13,40,21,16,19,4,13,0,124,5,10,25,4,7,3,0,11,0,58,3,3,11,3,0,3,0,3,0,31,0,0,7,8,0,9,0,3,0,20,3,0,8,20,0,40,5,41,38,153,78,83,227,1000,156,2174,96,1482,71,5370,0,3,14,15,8,6,0,9,0,52,3,8,22,62,15,61,12,68,3,253,12,6,39,59,11,39,4,32,4,201,7,15,31,60,22,44,3,35,0,217,14,38,195,41,52,25,5,31,0,398,9,13,169,16,18,10,3,25,3,269,6,14,87,10,11,6,0,8,3,141,4,6,39,10,3,0,6,12,0,79,0,0,10,3,4,12,0,5,6,44,52,107,597,274,144,204,33,224,21,1653
4GADE,15,49,36,374,71,478,31,260,17,1337,230,847,377,5334,959,10007,398,5129,141,23424,112,221,192,1406,342,1799,170,985,25,5251,65,92,67,534,178,528,30,178,10,1670,27,74,95,103,92,68,6,36,14,515,14,47,60,46,32,17,4,15,8,244,15,16,39,34,12,22,0,9,0,145,7,6,33,43,10,13,0,15,0,129,8,18,21,113,28,218,13,112,146,666,488,1368,916,7991,1724,13154,655,6734,350,33382,0,17,35,53,14,32,0,27,0,185,18,63,65,353,108,565,37,335,13,1564,27,54,89,251,108,339,25,148,13,1053,42,80,111,305,115,268,19,112,10,1071,46,202,660,193,246,103,16,64,6,1533,48,103,488,100,94,33,5,29,3,905,27,53,225,40,54,30,3,11,0,433,14,36,97,27,16,19,4,10,4,232,0,8,23,22,0,30,3,10,29,133,238,620,1792,1347,759,1425,110,741,85,7109
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,3,12,3,29,4,13,0,9,3,82,9,129,33,212,21,46,4,123,4,580,3,5,5,29,8,11,11,23,0,99,0,11,6,7,3,0,0,3,0,29,0,0,12,3,0,0,0,0,0,20,0,0,13,0,0,4,0,0,0,22,0,0,7,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,6,0,7,0,4,0,7,3,0,11,31,10,159,92,288,35,86,22,170,25,882,0,3,12,6,3,0,0,0,0,22,0,5,16,19,4,6,4,17,0,64,0,3,11,11,0,3,3,6,0,40,0,0,21,10,3,6,0,8,0,46,0,3,93,3,0,0,0,5,0,108,3,4,113,0,0,0,0,4,0,127,0,0,35,0,0,0,0,0,0,36,0,3,15,0,0,0,0,3,0,20,0,0,6,0,0,0,0,0,0,6,3,19,310,54,9,20,7,38,3,471
