GCCSA_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
49499,0,0,0,3,8,244,213,30,23,518,467,511,65,41,1080,1727,1190,156,80,3145,2195,1109,172,79,3556,2106,1073,183,72,3435,1813,1113,165,64,3157,2083,1351,166,76,3676,2253,1565,189,69,4076,2138,1748,186,64,4135,1711,1724,209,63,3712,996,1375,195,32,2598,348,699,92,21,1163,80,266,24,13,375,40,99,19,24,185,17962,13830,1811,699,34306
3RQLD,45,53,4,29,136,7444,4266,461,788,12951,14164,45619,2033,1701,63520,52514,33530,2532,2082,90663,66024,25935,4014,1976,97941,66359,28236,4759,1793,101146,63806,29764,3255,1681,98502,72782,32355,2743,1944,109825,76587,31691,2787,1860,112932,72562,30187,3309,1625,107687,60780,28586,3558,1432,94359,36892,23201,2844,1087,64025,13803,13272,1311,655,29047,4361,5819,485,396,11068,2301,2959,285,582,6129,602946,331156,33928,18808,986831
3GBRI,20,47,3,23,95,6882,3484,342,722,11424,10556,44532,1715,1447,58246,54728,46875,2754,2339,106696,82394,30451,4073,2219,119143,86671,30217,6020,1973,124873,80438,30351,4134,1720,116641,84969,31459,2686,1716,120836,83796,29450,2531,1683,117460,75044,25446,2809,1342,104635,58702,23100,3023,1098,85929,33913,18527,2370,730,55547,11405,10958,1065,403,23825,2741,4394,301,206,7639,995,1987,156,310,3444,666344,327746,33638,17182,1044909
39799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,3,0,5,16,11,0,0,0,19,21,0,5,0,20,12,3,0,0,17,29,0,4,0,34,17,0,6,0,24,12,0,3,0,23,22,0,0,0,22,14,0,0,0,14,3,0,0,0,3,3,0,0,0,4,0,0,0,0,0,150,14,24,11,202
39499,3,9,0,4,17,742,478,63,92,1374,1790,1909,175,159,4033,5560,2936,334,281,9110,7116,2733,463,247,10562,7136,2825,539,251,10751,6551,2921,459,244,10174,7276,3559,478,279,11589,7071,3730,487,241,11527,6201,3896,514,228,10831,4956,3727,538,145,9364,2980,3183,420,158,6745,983,1597,236,80,2887,224,564,92,45,924,90,225,52,47,410,57917,33813,4788,2400,98920
2RVIC,34,53,8,35,130,4287,2972,321,481,8063,6529,25089,1397,1122,34144,26136,20698,1738,1400,49973,34740,14004,2217,1082,52041,32355,15993,2850,972,52175,31005,17442,2044,882,51375,35632,19636,1658,949,57877,39119,20191,1726,1025,62054,39550,19892,2287,1009,62734,35097,20449,2719,962,59230,21815,17496,2512,753,42585,8214,9634,1318,420,19587,2730,3943,442,318,7430,1875,2490,334,456,5154,314795,206960,23240,11362,556360
2GMEL,60,102,14,59,228,13696,7315,679,1537,23232,11345,69549,2679,2430,86001,85974,98096,4750,5124,193949,176987,63519,7041,5409,252955,188443,61324,11761,4716,266240,162456,62694,8672,3829,237653,157339,65750,5256,3632,231976,156416,63393,4528,3579,227919,139657,54879,4732,3215,202483,110782,49866,5087,2520,168256,63794,41306,4399,1768,111262,22273,24725,2223,983,50203,5715,10245,838,525,17325,2323,5062,462,691,8544,1283518,670412,62425,38427,2054783
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,3,0,0,7,10,0,0,0,16,11,0,3,0,14,24,3,0,0,29,23,0,3,0,26,15,6,6,0,29,16,0,9,3,22,8,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,110,24,22,9,155
29499,3,7,0,4,14,904,558,69,111,1646,2087,1951,197,184,4420,7201,4104,455,396,12149,9162,3753,540,390,13844,8791,3633,613,357,13401,7695,3613,490,319,12119,8091,4250,448,299,13092,8067,4782,474,318,13646,6965,4668,556,274,12464,5753,4541,542,221,11052,3074,3861,462,174,7571,1082,2045,222,80,3434,288,791,103,61,1240,139,351,60,61,612,68404,42345,5166,3122,119037
1RNSW,81,86,11,60,232,7676,5011,514,819,14018,14232,43249,2564,1919,61965,47831,35205,2885,2359,88279,61263,25787,3930,1884,92859,59504,28920,4809,1713,94946,58453,30692,3190,1643,93967,68773,33963,2630,1784,107148,73600,33828,2725,1853,112008,73774,34834,3386,1784,113782,65876,35098,4359,1614,106959,38684,28854,3522,1222,72275,14319,15906,1709,775,32718,4830,7080,659,523,13101,3133,4149,466,860,8600,584273,357553,36838,19936,998604
1GSYD,42,97,18,40,198,14897,7007,658,1698,24261,17892,68891,3608,2695,93082,103208,93981,5000,5867,208061,194607,62315,7409,5975,270300,208598,61393,11980,5542,287513,186759,62060,8801,4548,262159,181403,63409,5250,3986,254047,170505,58613,4183,3870,237172,156549,53540,4639,3598,218337,125502,48919,5049,2732,182202,71276,41042,4081,1935,118337,26664,25718,2217,981,55585,6999,11436,811,492,19736,2662,5872,457,613,9601,1452618,657190,63483,42846,2216135
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,9,0,0,0,13,9,0,0,0,9,3,0,0,0,4,10,0,3,0,9,3,3,3,0,11,5,4,3,0,14,3,0,3,0,10,3,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,52,18,9,0,90
19499,6,12,0,7,26,1046,679,91,140,1955,3061,2651,235,258,6207,7947,4758,558,501,13764,9588,4190,585,433,14794,9765,4304,638,412,15125,9330,4434,553,326,14643,9849,5301,518,344,16018,9568,5621,557,396,16145,9145,6046,670,362,16220,7214,5968,690,298,14163,4163,4742,567,201,9671,1500,2495,310,117,4419,359,971,117,58,1508,130,389,76,91,688,81622,51876,6077,3790,143362
