GCCSA_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
59799,0,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,169,39,16,21,31,37,35,1225,31,1595
59499,151,420,248,209,103,133,71,182,30,1547,48,170,67,61,28,33,15,41,12,474,37,63,40,19,8,15,3,17,22,229,3494,7379,5206,6234,5877,9732,4125,11072,1251,54378
4RSAU,363,1173,777,710,481,639,344,1050,126,5664,147,584,348,318,125,243,115,385,103,2361,106,425,179,196,110,161,67,237,163,1646,6274,18522,14999,18889,23937,21215,13371,26246,2837,146296
4GADE,764,3427,2319,2050,2206,1688,1003,1702,244,15392,232,1668,796,631,426,390,195,499,146,4981,137,830,333,282,167,159,114,187,193,2404,20058,71191,58493,74087,124691,87913,52235,65077,8419,562169
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,3,8,4,5,19,0,64
49499,92,355,174,169,84,98,49,114,21,1163,24,155,62,48,16,37,3,24,13,375,19,58,22,19,6,18,3,8,24,185,1811,5455,3686,4687,4523,5944,2625,4868,699,34306
3RQLD,1311,5714,3692,3863,3511,3397,1702,5197,655,29047,485,2889,1555,1376,814,1100,484,1964,396,11068,285,1551,716,687,324,552,267,1160,582,6129,33928,111995,93066,126092,182712,154180,91046,175001,18808,986831
3GBRI,1065,4483,3205,3274,3588,3084,1528,3208,403,23825,301,2191,1201,998,657,803,384,903,206,7639,156,1109,474,409,255,275,126,335,310,3444,33638,110315,98916,118510,215752,194748,101065,154777,17182,1044909
39799,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,24,7,3,7,12,17,15,114,11,202
39499,236,757,416,426,177,312,128,365,80,2887,92,317,136,109,43,56,43,87,45,924,52,136,61,30,24,15,14,34,47,410,4788,12939,9269,11598,11824,17984,8844,19262,2400,98920
2RVIC,1318,4245,2809,2576,1902,2225,1007,3081,420,19587,442,1964,1062,914,471,719,313,1234,318,7430,334,1199,643,653,337,530,228,780,456,5154,23240,75313,61408,70241,94825,91371,48617,79978,11362,556360
2GMEL,2223,10064,7567,7102,7200,6601,2964,5506,983,50203,838,5193,2782,2269,1654,1753,706,1605,525,17325,462,2910,1189,968,617,696,262,742,691,8544,62425,237071,212509,220837,400143,415093,193178,275097,38427,2054783
29799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,8,9,3,11,15,13,76,9,155
29499,222,1011,560,465,269,389,134,290,80,3434,103,469,175,151,58,115,34,83,61,1240,60,214,81,55,29,52,18,40,61,612,5166,16553,12058,13727,15286,26497,9591,17030,3122,119037
1RNSW,1709,7003,5005,3898,3567,3781,1646,5330,775,32718,659,3521,1974,1587,822,1290,563,2155,523,13101,466,2044,1161,939,503,850,373,1399,860,8600,36838,124279,108045,125237,187282,163016,86119,147852,19936,998604
1GSYD,2217,10307,8893,6520,8393,8279,3294,6709,981,55585,811,5447,3619,2368,2016,2284,836,1869,492,19736,457,3173,1570,1127,666,896,296,810,613,9601,63483,219530,227588,210069,435891,478836,207773,330121,42846,2216135
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,6,5,5,3,9,7,34,0,90
19499,310,1197,707,587,318,530,191,460,117,4419,117,536,260,177,71,114,44,130,58,1508,76,220,112,60,23,40,20,44,91,688,6077,19722,15762,16389,17452,30717,11319,22127,3790,143362
