GCCSA_CODE_2016,F_IDNS_H_0,F_IDNS_H_1_15,F_IDNS_H_16_24,F_IDNS_H_25_34,F_IDNS_H_35_39,F_IDNS_H_40,F_IDNS_H_41_48,F_IDNS_H_49_more,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_15,F_Tot_H_16_24,F_Tot_H_25_34,F_Tot_H_35_39,F_Tot_H_40,F_Tot_H_41_48,F_Tot_H_49_more,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_15,P_AgFF_H_16_24,P_AgFF_H_25_34,P_AgFF_H_35_39,P_AgFF_H_40,P_AgFF_H_41_48,P_AgFF_H_49_more,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_15,P_Min_H_16_24,P_Min_H_25_34,P_Min_H_35_39,P_Min_H_40,P_Min_H_41_48,P_Min_H_49_more,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_15,P_Mnf_H_16_24,P_Mnf_H_25_34,P_Mnf_H_35_39,P_Mnf_H_40,P_Mnf_H_41_48,P_Mnf_H_49_more,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_15,P_EGWWS_H_16_24,P_EGWWS_H_25_34,P_EGWWS_H_35_39,P_EGWWS_H_40,P_EGWWS_H_41_48,P_EGWWS_H_49_more,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_15,P_Const_H_16_24,P_Const_H_25_34,P_Const_H_35_39,P_Const_H_40,P_Const_H_41_48,P_Const_H_49_more,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_15,P_WST_H_16_24,P_WST_H_25_34,P_WST_H_35_39,P_WST_H_40,P_WST_H_41_48,P_WST_H_49_more,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_15,P_RetT_H_16_24,P_RetT_H_25_34,P_RetT_H_35_39,P_RetT_H_40,P_RetT_H_41_48,P_RetT_H_49_more,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_15,P_AcFd_H_16_24,P_AcFd_H_25_34,P_AcFd_H_35_39,P_AcFd_H_40,P_AcFd_H_41_48,P_AcFd_H_49_more,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_15,P_TPW_H_16_24,P_TPW_H_25_34,P_TPW_H_35_39,P_TPW_H_40,P_TPW_H_41_48,P_TPW_H_49_more,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_15,P_IMT_H_16_24,P_IMT_H_25_34,P_IMT_H_35_39,P_IMT_H_40,P_IMT_H_41_48,P_IMT_H_49_more,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_15,P_FinIns_H_16_24,P_FinIns_H_25_34,P_FinIns_H_35_39,P_FinIns_H_40,P_FinIns_H_41_48,P_FinIns_H_49_more,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_15,P_RHRE_H_16_24,P_RHRE_H_25_34,P_RHRE_H_35_39,P_RHRE_H_40,P_RHRE_H_41_48,P_RHRE_H_49_more,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_15,P_ProSTS_H_16_24,P_ProSTS_H_25_34,P_ProSTS_H_35_39,P_ProSTS_H_40,P_ProSTS_H_41_48,P_ProSTS_H_49_more,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_15,P_AdSup_H_16_24,P_AdSup_H_25_34,P_AdSup_H_35_39,P_AdSup_H_40,P_AdSup_H_41_48,P_AdSup_H_49_more,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_15,P_PubAS_H_16_24,P_PubAS_H_25_34,P_PubAS_H_35_39,P_PubAS_H_40,P_PubAS_H_41_48,P_PubAS_H_49_more,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_15,P_EdTrn_H_16_24,P_EdTrn_H_25_34,P_EdTrn_H_35_39,P_EdTrn_H_40,P_EdTrn_H_41_48,P_EdTrn_H_49_more,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_15,P_HltHC_SA_H_16_24,P_HltHC_SA_H_25_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40,P_HltHC_SA_H_41_48,P_HltHC_SA_H_49_more,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_15,P_ArtsR_H_16_24,P_ArtsR_H_25_34,P_ArtsR_H_35_39,P_ArtsR_H_40,P_ArtsR_H_41_48,P_ArtsR_H_49_more,P_ArtsR_H_NS,P_ArtsR_H_Tot
6RTAS,75,278,149,180,148,104,40,55,372,1403,2693,9553,8731,9546,8876,5371,2701,3692,879,52032,340,803,682,915,1059,1631,814,2593,152,9005,87,37,42,40,121,196,464,603,38,1632,336,658,608,784,2244,1836,1299,1236,77,9084,56,42,55,76,403,330,203,218,11,1387,203,412,341,563,1120,1922,885,1063,74,6589,95,213,161,232,701,598,335,416,27,2780,442,2659,1694,1841,2223,1145,812,1085,122,12018,409,2724,1278,1127,883,523,385,918,136,8386,299,447,444,489,737,754,572,1177,66,4996,41,114,97,99,256,145,107,85,8,938,100,131,205,254,512,372,133,169,12,1884,59,137,109,127,318,199,117,237,6,1305,145,502,402,479,804,641,326,540,27,3854,111,623,395,362,547,321,170,251,47,2819,315,357,568,779,1647,947,463,471,50,5608,359,1229,1472,1495,1714,1166,731,1110,66,9341,836,1538,2463,3310,2688,1735,772,1072,139,14554,74,382,212,222,274,203,87,149,18,1617
6GHOB,71,186,133,140,153,84,23,61,289,1139,2586,8581,8013,9388,10422,5503,2928,3336,657,51410,58,170,132,188,315,295,164,335,22,1678,7,9,5,7,14,36,57,42,4,178,171,461,376,397,1344,1230,787,699,47,5508,73,50,61,114,716,458,268,276,7,2029,164,321,317,487,1112,2090,776,1035,74,6373,58,161,125,149,498,392,224,260,8,1882,489,2683,1517,1610,2153,1171,755,839,92,11321,234,2810,1135,1038,863,617,471,732,97,7999,154,252,318,362,655,674,453,613,52,3542,84,153,160,202,522,378,187,173,7,1861,120,117,214,309,855,489,239,247,11,2606,33,132,119,126,330,214,138,218,13,1317,206,600,525,682,1314,1203,600,826,31,5984,101,516,357,333,535,381,161,198,32,2617,653,422,905,1279,3872,1775,1059,987,77,11022,381,1397,1396,1576,1891,1467,895,1357,68,10427,759,1479,2537,3579,3036,1611,808,1218,108,15148,74,515,272,319,398,315,161,208,32,2288
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,3,3,4,0,13,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,15,38,17,10,14,7,4,9,40,158,178,821,439,353,185,136,47,112,77,2350,40,56,46,56,63,121,63,229,22,695,12,0,0,0,6,8,10,31,0,67,14,23,12,21,33,39,22,39,3,211,3,6,7,3,10,14,5,13,0,68,112,197,209,385,542,1008,395,481,42,3364,5,15,9,8,24,23,11,37,0,137,18,55,26,28,36,32,11,22,3,229,6,40,12,13,8,7,0,9,4,105,60,47,41,55,49,61,31,163,10,515,5,13,3,11,20,27,18,18,0,111,11,4,0,0,4,3,0,4,0,31,4,12,7,5,3,8,6,4,0,45,12,91,49,42,23,35,15,40,3,303,35,335,180,154,84,55,42,49,18,945,35,28,22,37,22,31,22,29,6,225,24,83,51,22,34,18,6,5,3,246,69,275,193,180,77,45,20,49,9,924,3,49,11,18,6,9,0,11,3,109
5RWAU,208,568,341,371,385,406,120,342,831,3571,5348,16175,13610,16200,15958,12377,6888,13639,1976,102165,957,1826,1454,1665,1182,3203,1794,8554,366,21004,3650,794,775,511,1454,2083,5498,25728,577,41069,595,806,638,902,2126,2397,2328,3028,132,12965,193,87,96,140,671,571,525,941,28,3251,1216,1152,887,1279,2092,3603,2028,10598,317,23175,165,262,226,287,681,992,746,1287,37,4683,732,4067,2491,2929,3284,2161,1475,2176,230,19546,633,3580,1795,2122,1603,1314,957,3251,254,15495,699,845,807,956,1207,1683,1360,3714,193,11459,40,192,93,124,245,180,141,163,15,1186,150,217,277,300,484,542,296,362,14,2661,138,294,217,309,659,557,298,729,29,3232,389,860,682,750,1029,1153,619,2762,65,8309,329,1128,742,843,801,764,459,1598,91,6754,722,716,862,914,3121,2913,1563,1629,143,12580,836,2109,2313,3065,2921,2635,1667,2493,172,18215,1178,2314,3194,4286,4529,2880,1162,1812,192,21541,153,496,263,288,403,375,142,293,39,2456
5GPER,516,2602,1690,1569,2101,1992,593,874,2563,14509,17518,71278,64073,65766,81922,60843,25883,29424,6088,422804,210,722,661,726,912,1076,510,1372,71,6260,1816,726,1030,1040,3063,7314,4558,10914,354,30813,1207,3209,2809,3207,13038,11872,7289,7669,363,50666,366,265,393,517,2633,2424,1494,1771,67,9912,1846,4048,4023,5087,9944,19955,9128,16469,876,71378,578,1425,1424,1752,5489,6199,3180,3818,147,24003,2647,21711,13726,12293,15182,9722,5417,7679,893,89274,1650,18876,10106,7086,6451,5228,3112,5123,823,58460,1505,2308,2625,4109,6933,8081,5054,7718,514,38833,270,1151,805,818,2132,2390,951,1098,78,9695,916,1304,2044,2239,5307,6528,2493,3358,135,24329,415,1612,1367,1501,3112,3671,1713,3098,108,16601,1847,5631,5164,5551,10766,16926,7307,10859,326,64370,751,4325,4043,3190,4317,4464,1942,2799,284,26106,3021,3006,4007,4127,17224,13569,6991,6127,422,58492,3028,11847,10549,11607,14203,12633,6753,9899,608,81134,5069,12270,17151,20491,25608,15261,6153,7981,1017,111002,536,3794,1912,1892,2464,2139,1065,1514,147,15464
59799,3,0,4,0,0,0,0,3,6,14,3,0,0,0,3,0,0,70,8,99,6,6,3,4,5,8,0,34,7,67,76,12,4,4,5,7,12,474,8,598,3,0,0,0,0,0,0,16,0,22,5,0,0,0,0,0,3,37,0,46,20,10,6,0,5,3,3,139,0,181,0,0,0,3,0,0,0,18,0,24,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,0,3,46,0,59,22,3,0,3,4,0,0,179,6,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,34,0,46,4,0,3,0,0,0,0,33,0,47,5,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
59499,90,189,95,83,65,82,20,54,217,897,978,3960,2248,2026,1195,1068,449,1022,362,13312,126,156,142,159,121,210,81,387,26,1404,652,92,76,48,104,164,258,2475,68,3935,83,77,83,90,164,221,110,268,14,1104,36,26,12,34,51,66,34,117,3,389,893,1123,1399,2223,2778,5796,2183,4056,299,20753,34,57,66,58,117,165,78,171,7,755,82,290,188,183,206,241,121,176,12,1498,84,193,84,66,45,61,32,176,15,753,225,328,306,429,302,466,283,966,76,3365,21,82,28,51,80,115,58,85,7,524,34,36,18,21,36,45,16,31,0,240,22,56,35,42,32,46,17,60,0,318,116,447,222,217,140,250,108,332,25,1848,250,1522,901,908,444,504,163,437,70,5196,110,149,96,101,123,206,91,178,17,1070,111,602,270,232,141,121,40,93,33,1632,246,885,666,725,403,214,112,193,36,3478,29,281,50,60,32,38,18,37,6,559
4RSAU,99,328,186,213,182,157,54,124,499,1842,3365,12630,11003,13112,10826,6705,3852,6126,1213,68830,877,1939,1487,2092,2277,3764,2070,7430,368,22312,322,100,162,110,338,404,702,2914,62,5120,528,907,756,1091,3367,3415,2148,2160,130,14509,74,75,49,93,327,369,202,223,18,1431,258,609,514,726,1566,1932,992,1701,95,8395,144,246,216,301,702,1019,535,667,42,3873,608,3508,2129,2622,2429,1452,1193,1552,166,15650,400,3389,1587,1491,892,633,536,1344,165,10431,243,589,549,595,727,740,537,1526,105,5599,24,119,65,75,232,121,68,98,11,815,96,168,222,273,350,322,142,194,7,1778,60,178,131,144,334,188,128,228,4,1394,124,538,370,507,600,497,295,550,29,3505,161,915,555,569,688,549,306,460,59,4267,398,325,529,664,2226,1353,770,687,59,7009,510,1336,1578,2053,1671,1278,1106,1912,74,11529,990,1972,3169,4295,3406,1482,786,1145,177,17423,53,290,152,169,194,129,69,142,28,1230
4GADE,264,1123,719,843,969,622,234,353,1564,6695,12637,46329,41682,50977,58643,30859,16958,17887,3817,279789,202,744,544,745,1025,1028,553,1227,96,6170,176,85,100,155,482,700,440,1030,26,3182,998,2586,2283,3316,13850,9018,6162,5575,343,44115,267,232,301,442,2081,1823,1069,1119,52,7378,882,2370,1871,2978,6012,8822,4525,7048,386,34902,405,1036,917,1304,4538,3591,2296,2496,95,16673,2066,15495,8532,9661,11135,5732,4613,5027,604,62874,1045,13235,6021,5689,4002,2706,2290,3254,524,38764,872,1359,1658,2529,5033,4029,3175,4515,290,23466,274,764,639,724,2347,1874,781,921,61,8369,770,834,1537,2167,5288,3625,1912,2078,97,18305,263,822,722,845,1838,1462,896,1465,71,8396,1050,3458,3077,3714,7573,7781,3889,5744,212,36505,553,3139,2668,2612,3954,2287,1280,1453,173,18123,2266,1610,2855,4051,14824,9820,5258,3809,297,44792,1970,7080,6180,7379,9764,7102,4560,7237,335,51614,4527,9274,13961,20079,21262,9117,4719,5938,778,89654,267,2185,982,1233,1241,1094,562,796,90,8447
