GCCSA_CODE_2016,M_Tot_H_0,M_Tot_H_1_15,M_Tot_H_16_24,M_Tot_H_25_34,M_Tot_H_35_39,M_Tot_H_40,M_Tot_H_41_48,M_Tot_H_49_more,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_15,F_AgFF_H_16_24,F_AgFF_H_25_34,F_AgFF_H_35_39,F_AgFF_H_40,F_AgFF_H_41_48,F_AgFF_H_49_more,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_15,F_Min_H_16_24,F_Min_H_25_34,F_Min_H_35_39,F_Min_H_40,F_Min_H_41_48,F_Min_H_49_more,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_15,F_Mnf_H_16_24,F_Mnf_H_25_34,F_Mnf_H_35_39,F_Mnf_H_40,F_Mnf_H_41_48,F_Mnf_H_49_more,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_15,F_EGWWS_H_16_24,F_EGWWS_H_25_34,F_EGWWS_H_35_39,F_EGWWS_H_40,F_EGWWS_H_41_48,F_EGWWS_H_49_more,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_15,F_Const_H_16_24,F_Const_H_25_34,F_Const_H_35_39,F_Const_H_40,F_Const_H_41_48,F_Const_H_49_more,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_15,F_WST_H_16_24,F_WST_H_25_34,F_WST_H_35_39,F_WST_H_40,F_WST_H_41_48,F_WST_H_49_more,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_15,F_RetT_H_16_24,F_RetT_H_25_34,F_RetT_H_35_39,F_RetT_H_40,F_RetT_H_41_48,F_RetT_H_49_more,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_15,F_AcFd_H_16_24,F_AcFd_H_25_34,F_AcFd_H_35_39,F_AcFd_H_40,F_AcFd_H_41_48,F_AcFd_H_49_more,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_15,F_TPW_H_16_24,F_TPW_H_25_34,F_TPW_H_35_39,F_TPW_H_40,F_TPW_H_41_48,F_TPW_H_49_more,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_15,F_IMT_H_16_24,F_IMT_H_25_34,F_IMT_H_35_39,F_IMT_H_40,F_IMT_H_41_48,F_IMT_H_49_more,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_15,F_FinIns_H_16_24,F_FinIns_H_25_34,F_FinIns_H_35_39,F_FinIns_H_40,F_FinIns_H_41_48,F_FinIns_H_49_more,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_15,F_RHRE_H_16_24,F_RHRE_H_25_34,F_RHRE_H_35_39,F_RHRE_H_40,F_RHRE_H_41_48,F_RHRE_H_49_more,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_15,F_ProSTS_H_16_24,F_ProSTS_H_25_34,F_ProSTS_H_35_39,F_ProSTS_H_40,F_ProSTS_H_41_48,F_ProSTS_H_49_more,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_15,F_AdSup_H_16_24,F_AdSup_H_25_34,F_AdSup_H_35_39,F_AdSup_H_40,F_AdSup_H_41_48,F_AdSup_H_49_more,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_15,F_PubAS_H_16_24,F_PubAS_H_25_34,F_PubAS_H_35_39,F_PubAS_H_40,F_PubAS_H_41_48,F_PubAS_H_49_more,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_15,F_EdTrn_H_16_24,F_EdTrn_H_25_34,F_EdTrn_H_35_39,F_EdTrn_H_40,F_EdTrn_H_41_48,F_EdTrn_H_49_more,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_15,F_HltHC_SA_H_16_24,F_HltHC_SA_H_25_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40,F_HltHC_SA_H_41_48,F_HltHC_SA_H_49_more,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_15,F_ArtsR_H_16_24,F_ArtsR_H_25_34,F_ArtsR_H_35_39,F_ArtsR_H_40,F_ArtsR_H_41_48,F_ArtsR_H_49_more,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_15,F_OthSvs_H_16_24,F_OthSvs_H_25_34,F_OthSvs_H_35_39,F_OthSvs_H_40,F_OthSvs_H_41_48,F_OthSvs_H_49_more,F_OthSvs_H_NS,F_OthSvs_H_Tot
49499,1123,2440,2037,3213,3711,5389,2314,4416,498,25145,17,39,24,43,32,28,13,19,3,219,0,0,3,3,0,3,4,10,0,21,15,40,52,24,28,27,10,20,3,227,0,4,0,3,4,0,3,0,0,15,25,73,42,48,44,56,13,25,4,328,11,25,34,21,31,29,16,22,0,189,41,182,100,85,69,49,39,34,10,607,22,67,25,20,13,8,3,13,4,180,13,31,17,27,13,12,13,21,0,156,0,21,9,9,8,4,3,0,0,52,11,14,5,10,7,11,9,4,0,75,5,19,8,8,10,8,0,3,0,60,37,220,80,97,41,26,13,22,4,541,71,874,396,322,113,64,37,63,15,1963,43,41,36,32,29,31,13,17,5,244,80,271,139,101,45,31,14,21,12,727,203,733,534,493,245,113,68,101,33,2518,11,80,16,14,3,5,0,10,0,145,36,169,72,80,37,29,14,11,8,445
3RQLD,14423,36810,26162,38064,88557,93254,60372,128893,10520,497069,478,2057,1668,2136,1597,2234,930,4371,292,15766,319,191,213,257,430,512,832,1728,38,4519,371,1837,1575,2057,3193,2486,1249,1311,122,14188,102,133,182,273,528,622,197,206,8,2251,365,2143,1662,1838,2033,2146,882,1363,114,12538,222,725,782,1060,1814,1373,659,686,52,7377,2177,15482,10629,12465,11755,4691,3343,3760,630,64928,1489,13995,8098,9148,6072,3741,2602,4671,688,50504,392,1332,1336,1762,2105,1604,905,1164,135,10727,135,529,472,628,1100,583,342,465,29,4282,530,767,1223,1649,3141,2030,854,922,63,11187,283,1221,1121,1355,2762,1940,937,1438,81,11146,711,3309,2973,3563,5048,3650,1635,2291,157,23335,584,3556,2610,2973,3366,2223,942,1555,209,18029,1583,1507,2151,2565,8590,4477,2130,1824,227,25054,2858,9114,8761,13835,10622,7839,4980,8942,509,67453,5382,8930,15824,23609,23281,13900,5007,6282,1023,103237,331,2027,1196,1540,1233,868,496,618,108,8409,570,3772,2766,3324,3414,2210,1203,1314,207,18780
3GBRI,12586,38142,30101,37270,107735,118777,65732,112032,9668,532039,91,545,554,667,575,563,243,634,75,3946,176,88,175,217,516,841,420,610,25,3061,555,1834,1692,2325,5424,3730,1801,1490,164,19021,167,102,250,314,748,904,346,293,14,3128,313,1604,1380,1585,2108,2575,1003,1232,97,11900,247,793,928,1234,2708,2262,976,902,58,10105,1866,13930,9414,9669,10277,4869,2986,3153,558,56719,1037,12684,6793,5888,4135,2724,1787,2432,512,37993,728,1049,1622,2015,3802,2853,1349,1429,147,14984,228,653,597,722,1540,1014,509,589,32,5878,994,867,1729,2320,5693,4080,1719,1702,127,19237,315,1143,1021,1201,2418,2409,1024,1508,72,11112,1370,4042,4350,4741,7435,7627,3362,4495,233,37660,562,2839,2841,2441,3547,2732,1231,1600,172,17967,2421,1484,3060,3862,12262,7288,3419,2473,269,36532,2970,10465,9474,12862,11742,8946,5192,8684,450,70780,5605,10351,17339,23020,25584,15051,5585,6508,968,110012,314,2040,1087,1088,1042,871,414,627,86,7559,575,3384,2786,3200,3908,2427,1288,1268,196,19030
39799,25,5,3,8,12,17,16,98,11,175,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,3136,6136,5237,7785,9559,15933,7931,17506,1642,74867,36,46,47,59,43,36,24,84,22,402,23,10,6,4,7,3,15,65,5,138,18,103,88,73,71,84,45,55,5,538,0,9,7,3,6,3,3,5,0,46,85,191,145,180,146,240,74,143,22,1218,23,81,66,59,90,96,53,56,5,532,91,385,227,233,208,191,122,178,24,1641,58,228,103,90,62,60,22,86,18,729,52,129,145,105,81,94,33,95,12,756,17,39,18,25,21,18,5,27,0,165,48,26,25,32,33,49,14,36,3,268,17,53,32,25,30,33,11,30,3,222,100,484,239,255,115,139,65,136,20,1556,201,1968,1037,788,311,227,96,171,72,4869,102,108,64,82,86,67,37,54,6,605,205,892,359,290,123,111,37,93,49,2161,326,1031,938,1076,544,293,139,220,54,4622,33,178,63,62,25,32,8,27,10,432,82,520,228,240,124,133,53,94,19,1482
2RVIC,9174,24258,15927,20741,49985,59723,33256,59068,6272,278403,576,2228,1615,1824,1209,1716,666,2952,273,13067,15,36,44,50,62,81,53,69,0,414,534,1976,1550,1514,2465,2051,904,791,132,11920,116,110,201,220,457,410,105,100,8,1724,192,1164,782,787,735,814,227,320,62,5081,138,510,469,500,715,537,250,220,24,3368,1731,10484,6431,6554,5408,3067,1776,1819,408,37681,1024,9624,4014,3518,2284,1469,982,2046,419,25390,198,746,654,800,813,567,327,384,53,4540,113,450,347,342,581,303,186,131,18,2469,439,481,1010,1085,1637,1143,458,393,47,6694,134,433,458,437,921,564,306,352,18,3623,430,1906,1740,1941,2339,1642,786,869,91,11741,304,2033,1314,1189,1293,755,324,379,120,7701,1196,1545,2204,2406,3894,2712,1222,1077,127,16382,1585,5014,5852,6169,6080,3985,2988,4474,317,36458,4314,7444,13754,16918,10845,7770,2819,3155,639,67650,235,1390,668,708,555,380,243,352,66,4600,330,2114,1475,1612,1613,943,496,556,116,9261
2GMEL,22833,82559,67138,70973,212376,263303,126848,198840,21900,1066778,218,876,791,856,920,784,364,562,85,5465,54,48,100,99,139,309,118,199,5,1067,1490,5485,5212,5673,13189,9791,3998,3392,385,48610,338,256,532,676,2055,1626,581,512,32,6611,557,3275,3050,2898,3555,4273,1432,1678,220,20936,918,2389,2979,3250,7159,6090,2332,2257,167,27545,3986,31697,20288,18070,18906,11597,5862,6019,1309,117734,1980,24480,12871,9380,7220,5172,3208,4157,1064,69531,1104,1978,2776,3547,6310,5104,2072,1923,229,25051,695,1689,1716,1855,3720,3920,1721,1859,132,17296,2408,2054,4612,5213,10338,12321,3957,4333,301,45533,584,1903,1999,1894,3778,3914,1718,1889,154,17833,3172,9224,9874,10434,15287,17669,7389,9191,512,82749,1124,5994,5729,4865,6895,5253,2120,2331,361,34676,3386,3540,6267,7168,14106,9336,4798,3773,360,52732,4728,19321,18952,18515,21881,16153,10316,15626,910,126402,9735,22623,35244,43381,36950,26668,9580,10795,1881,196863,714,5371,2759,2631,2393,2344,1172,1544,188,19127,1080,6760,5308,5399,6834,4234,2103,2092,358,34156
29799,22,9,7,3,11,10,6,72,7,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,3291,7689,6848,9363,12852,24110,8713,15503,2167,90534,22,62,47,48,30,44,13,43,7,317,12,0,0,6,6,4,0,6,0,35,25,123,119,76,100,98,30,37,7,605,7,13,5,8,11,15,3,10,0,68,75,244,165,202,173,245,63,107,28,1299,27,72,87,56,92,134,57,76,3,597,122,439,267,253,209,216,123,152,29,1798,61,299,121,101,48,35,20,49,27,759,58,167,79,112,74,74,30,58,15,664,22,56,35,24,27,32,17,36,4,249,53,38,39,30,59,67,18,37,3,350,12,60,15,17,23,24,9,22,3,195,92,661,342,341,177,212,73,167,25,2098,217,2092,1169,819,294,263,81,127,96,5156,163,420,358,367,134,86,35,61,25,1643,165,1073,451,354,166,136,47,106,40,2546,424,1773,1333,1092,499,382,161,224,91,5984,38,296,78,82,36,48,9,38,19,646,80,569,260,203,98,102,40,65,20,1426
1RNSW,14757,41026,30043,38103,96647,101380,58734,109316,11177,501189,680,2688,2165,2368,1575,2472,909,4032,345,17239,173,134,172,245,361,433,445,681,29,2667,512,2273,1887,2258,3258,2498,1145,1143,163,15130,91,103,229,342,755,512,136,128,11,2300,288,1924,1505,1555,1572,1706,616,709,87,9973,180,703,789,906,1260,992,499,446,44,5808,2851,17053,11932,12035,10551,4632,2926,3115,768,65864,1871,17360,8505,8154,5120,3313,1948,3741,767,50784,319,1281,1256,1309,1515,1088,565,779,107,8217,150,580,438,457,978,499,248,258,33,3641,767,900,1895,2180,3759,2084,858,752,96,13292,260,894,911,1004,2136,1339,640,787,52,8023,835,3402,3323,3832,4776,3116,1434,1862,134,22721,592,3737,2733,2689,3035,2050,667,971,200,16676,1807,1703,3207,3809,10242,4157,2119,1693,184,28936,2900,9288,9723,11648,11565,8814,5105,8382,555,67981,6329,11396,21983,26845,22521,17964,5417,6669,1165,120276,258,1756,860,926,738,512,289,443,70,5853,555,3752,2923,2929,3227,2071,1019,1115,210,17801
1GSYD,23438,79067,77070,70952,224066,288082,133252,236730,24636,1157307,120,603,545,651,628,609,225,524,80,3990,42,66,93,107,218,270,115,163,5,1069,1227,3873,4301,4262,12117,8997,3524,3715,310,42331,178,148,315,358,1236,1095,388,384,28,4136,684,3548,3641,3194,4116,5646,1721,2329,236,25111,948,1981,2887,3119,8411,7936,2975,3220,165,31644,3917,26173,20644,17445,20111,13131,5785,6621,1276,115102,2217,21783,15941,10391,9024,6650,3450,4902,1045,75419,1260,2058,3017,3577,7040,5943,2278,2215,298,27685,968,1836,2117,2142,5236,6297,2844,3781,149,25362,3477,2612,5793,6932,16344,18517,6455,7888,488,68497,661,2097,2356,2163,4173,5125,2026,2369,162,21128,3361,9506,11286,10791,17521,22847,9475,12976,579,98346,1156,5498,6196,4875,7659,7076,2651,3029,430,38569,3373,2939,5391,5929,18760,10840,5175,4197,434,57031,4944,19218,17854,17312,21903,19840,9750,15688,1056,127570,8416,20436,34695,34194,40490,35016,10145,12654,1940,197986,684,4054,2560,2329,2294,2539,1049,1502,181,17199,1059,6521,5769,5156,7309,5482,2547,2451,441,36743
19799,13,4,3,3,3,10,3,34,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,3931,9940,9411,11112,14331,27446,10205,20199,2669,109237,45,87,74,82,48,46,24,65,18,489,9,5,3,5,8,4,0,14,0,58,46,129,137,86,102,130,46,53,5,737,3,6,9,5,4,11,10,4,3,52,99,296,215,193,167,289,64,131,37,1498,42,94,95,67,96,151,47,74,9,680,125,441,350,295,275,277,135,185,39,2122,63,318,179,111,54,65,24,54,24,886,69,232,161,143,88,105,35,78,20,934,26,86,41,35,34,48,14,42,0,335,77,55,47,45,75,89,27,54,5,478,15,73,44,28,16,49,15,19,10,273,115,656,337,306,191,275,103,180,24,2190,248,2340,1440,1022,437,412,101,184,107,6290,119,163,131,113,129,119,45,70,14,903,228,1357,633,474,218,219,81,124,46,3386,444,1934,1760,1677,763,530,215,320,130,7781,51,352,96,92,41,51,20,56,11,767,97,706,322,291,139,143,48,85,32,1872
