GCCSA_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
5RWAU,3,10,28,3,0,0,5,4,0,54,0,3,8,3,0,3,4,9,5,34,4,5,24,24,4,60,4,37,31,191,157,260,1387,1378,457,3033,153,1603,158,8582
5GPER,8,17,15,13,7,15,4,7,4,85,3,3,11,22,14,16,3,9,6,90,19,35,97,172,48,342,20,151,105,988,1187,3077,5357,13686,3958,22615,1639,10491,785,62793
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,17
59499,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,5,19,10,0,3,0,3,13,48,32,238,726,492,74,147,56,340,54,2155
4RSAU,0,0,12,0,0,0,0,0,0,10,0,0,0,4,0,0,0,6,0,10,4,5,13,25,4,63,7,44,13,169,144,196,858,1296,300,2410,139,1744,101,7183
4GADE,7,5,0,11,4,6,0,0,0,35,0,3,4,14,6,8,0,11,3,49,11,26,39,112,30,231,11,105,72,634,732,2007,2762,9421,2506,14693,785,7546,468,40922
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,10,0,0,0,3,0,5,20,15,182,410,346,44,104,33,223,28,1377
3RQLD,4,35,30,3,4,4,13,4,0,101,4,3,11,17,7,20,4,15,6,85,17,31,121,197,57,447,19,216,167,1271,1121,2684,6185,12479,3830,22412,1188,10299,817,61014
3GBRI,8,17,16,16,12,3,4,4,3,84,3,10,0,24,10,22,3,4,3,79,20,54,89,195,79,362,22,153,165,1133,1621,5460,5936,16830,7448,25273,1854,11462,1042,76929
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3
39499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,5,25,11,0,5,0,9,20,77,73,429,1189,782,139,316,87,547,98,3658
2RVIC,3,0,3,7,0,0,0,3,0,21,6,4,6,13,0,24,0,6,9,72,19,23,103,136,23,312,12,175,105,901,827,1347,4605,7880,1723,14581,557,7620,614,39759
2GMEL,19,24,21,45,16,18,3,10,6,159,11,25,24,71,26,62,6,18,18,254,52,148,271,536,181,1061,52,361,405,3071,3330,9656,12978,32094,11963,54350,3305,22779,2432,152884
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
29499,0,0,3,0,0,0,0,0,0,8,0,0,7,4,0,0,0,0,0,17,5,7,66,22,6,13,0,21,23,151,105,673,2550,1282,164,500,174,817,136,6405
1RNSW,0,18,12,6,0,3,5,0,0,52,3,3,11,18,0,11,5,9,0,73,31,48,159,198,52,510,20,217,185,1419,1246,3332,8811,14363,3492,23333,1300,11605,948,68428
1GSYD,18,48,21,37,30,21,3,11,5,193,9,15,18,53,27,38,6,17,7,196,44,165,274,453,196,707,46,271,441,2595,3784,14360,15849,34179,15582,48781,3698,20643,2919,159795
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
19499,0,3,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,3,11,49,12,5,18,0,14,25,141,157,1043,3482,1392,250,559,188,964,154,8180
