GCCSA_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
6RTAS,48,5582,5438,514,572,102,61,6688,6297,653,747,122,70,7885,6310,633,732,164,78,7918,5327,615,764,213,71,6993,2889,425,647,162,45,4165,695,248,279,116,20,1365,113,91,127,84,9,419,40,47,87,56,11,246,48138,3971,5124,1186,536,58949,4194,4,15,46,44,4308,3456,8,59,24,32,3579,2477,28,114,31,26,2683,2731,62,239,68,19,3120,2963,96,263,72,27,3419,3309,122,357,89,43,3910,3476,152,393,84,60,4169,3414,161,418,115,41,4156,3290,160,554,142,39,4188,2579,173,492,147,48,3436,1070,161,364,153,36,1779,391,65,182,106,14,761,133,50,155,98,15,460,33505,1251,3604,1159,452,39968,3844,164,359,120,130,4615,1367,64,132,127,291,1978,86849,5446,9220,2597,1406,105512
6GHOB,35,6089,5960,428,532,26,43,7002,6433,530,512,53,50,7578,6306,523,545,55,45,7475,5455,439,505,42,40,6484,2789,289,325,39,24,3464,688,143,201,28,12,1076,119,46,51,20,3,235,32,28,28,5,3,92,49671,3136,3715,331,386,57235,4080,9,25,17,31,4173,4170,3,66,10,41,4285,2832,39,127,14,18,3018,2971,49,234,47,23,3330,3024,83,307,51,18,3478,3267,113,341,40,25,3791,3088,118,323,46,15,3594,2832,133,395,54,42,3455,2879,151,392,55,45,3517,2165,157,380,86,19,2813,1022,125,309,71,18,1545,295,49,159,57,5,568,133,38,75,39,6,293,32760,1074,3123,584,311,37844,3639,99,226,37,86,4087,1084,53,102,57,198,1488,87152,4358,7171,1005,974,100657
69799,0,4,0,0,0,0,0,3,5,0,0,0,0,5,6,0,0,0,0,4,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,5,0,0,0,0,0,0,50,3,0,0,0,55
69499,5,474,288,66,171,3,9,532,302,73,213,3,15,606,303,72,195,4,15,590,226,51,195,8,5,489,144,29,113,5,4,298,28,8,35,4,0,81,11,0,5,3,0,15,3,0,4,0,0,12,2899,436,1381,42,72,4823,124,0,3,0,4,136,176,5,36,0,0,211,188,7,67,3,3,272,171,7,86,7,4,274,168,8,109,3,4,299,177,19,137,6,3,344,199,23,192,11,5,426,227,16,166,0,8,426,243,28,197,3,4,478,207,20,171,10,9,418,87,4,66,3,0,168,32,3,17,0,0,56,14,0,15,4,0,28,2022,142,1268,61,55,3544,349,27,115,17,22,518,145,13,52,15,24,250,5407,613,2815,126,170,9132
5RWAU,117,18186,16507,1335,1331,295,139,19605,16963,1567,1619,439,172,20763,15812,1496,1774,452,162,19703,12822,1341,1667,519,158,16506,7195,862,1214,465,117,9859,2053,488,737,395,77,3747,349,201,323,268,23,1160,146,101,223,169,20,653,137695,9526,11580,3569,1339,163712,6705,14,24,115,72,6930,4080,25,98,56,35,4291,4184,67,243,91,35,4615,5152,206,533,204,47,6149,5217,296,660,183,70,6429,5622,332,770,229,62,7020,5637,347,713,207,63,6974,5074,323,761,246,64,6475,4777,339,856,288,62,6326,3761,326,922,323,69,5398,1818,247,640,405,43,3149,670,146,334,313,36,1502,275,86,262,271,31,916,52968,2757,6819,2939,695,66170,11730,497,832,349,265,13665,3700,195,332,345,535,5099,206089,12972,19556,7194,2833,248646
5GPER,277,61853,53017,5293,3586,419,271,62593,53765,6001,4137,507,342,64750,48401,5714,4193,507,321,59144,38393,4694,3521,429,250,47288,22563,2994,2349,279,202,28381,6993,1461,1067,204,92,9813,1222,508,347,97,31,2205,355,229,165,65,11,819,455599,36470,28187,3308,2657,526225,34163,70,269,222,215,34935,36988,176,851,198,197,38411,23194,467,1639,244,149,25694,22811,1026,2461,535,117,26950,22309,1356,2689,596,161,27107,22771,1560,2879,607,166,27983,21476,1731,3034,567,178,26988,18859,1588,2813,577,155,23991,17078,1558,2727,539,175,22079,13956,1659,2816,621,149,19199,7421,1332,1976,566,137,11431,2699,600,907,372,80,4658,1121,327,504,276,48,2272,244842,13449,25555,5914,1939,291704,26773,923,1341,410,396,29838,10581,589,894,469,1332,13860,737794,51438,55976,10098,6322,861625
59799,0,190,189,0,3,0,0,192,171,3,4,0,0,175,172,7,3,0,0,185,122,4,0,0,0,131,44,3,0,0,0,49,12,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,1272,18,21,0,4,1315,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,7,16,0,0,0,0,16,10,0,0,0,0,10,6,4,0,0,0,11,10,0,0,0,0,10,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,3,0,0,74,162,0,0,0,0,169,23,0,0,0,5,31,1533,22,23,5,8,1595
59499,19,3503,1865,504,1077,27,41,3516,1832,493,1177,34,52,3580,1630,463,1124,26,54,3293,1196,354,848,20,39,2462,678,173,550,20,22,1438,202,74,182,4,16,489,49,23,45,3,0,116,19,11,14,11,0,51,18813,3281,8141,213,364,30815,772,3,87,23,16,905,1409,32,337,25,16,1814,1088,67,540,23,17,1729,938,96,638,32,12,1720,846,116,725,43,15,1739,895,155,833,47,24,1958,899,156,941,53,31,2080,899,162,929,28,28,2041,818,125,882,36,39,1898,682,132,761,37,29,1633,354,60,413,25,14,877,146,21,111,15,6,300,46,7,54,12,3,125,9794,1125,7246,395,249,18821,2466,192,635,102,99,3494,788,59,227,44,130,1251,31866,4658,16258,754,848,54378
4RSAU,71,7884,7169,866,1000,335,111,9480,8049,1029,1335,338,143,10899,7786,1021,1569,455,110,10940,6796,996,1548,464,117,9931,4094,698,1268,477,86,6614,1000,396,718,358,34,2516,184,144,326,197,16,866,114,80,191,169,23,573,64030,6537,10006,3237,958,84769,5473,11,35,94,84,5694,3966,14,85,50,45,4157,3085,57,200,68,26,3447,3523,125,350,143,31,4170,3602,175,428,141,54,4396,4026,178,464,158,49,4867,4441,201,588,153,56,5441,4349,203,592,176,68,5389,4331,223,709,240,51,5546,3238,225,780,303,58,4599,1492,193,608,323,41,2657,516,111,330,262,35,1253,207,81,218,269,30,797,42247,1790,5373,2379,627,52413,4929,275,638,251,177,6274,1733,111,237,297,459,2837,112942,8717,16248,6161,2224,146296
4GADE,178,37365,34052,2896,2327,271,209,39751,35686,3413,2811,355,254,42522,33764,3264,2873,309,241,40450,28346,2867,2643,242,240,34340,16376,1943,1826,187,183,20510,4363,1029,964,165,75,6589,666,361,362,84,25,1506,250,164,134,62,17,627,285226,21103,19458,2174,1948,329918,22209,57,143,118,174,22706,26222,113,530,138,177,27183,15890,240,841,156,111,17245,16330,466,1343,265,110,18516,16062,680,1540,306,129,18715,16304,862,1746,320,140,19361,15945,902,1867,323,148,19187,14833,803,1827,354,147,17963,13643,797,1960,353,134,16886,10493,868,1813,357,138,13672,5042,793,1475,405,86,7798,1686,365,722,261,61,3097,613,201,396,220,25,1450,175272,7142,16210,3581,1566,203775,17926,632,902,276,326,20058,6213,310,514,327,1060,8419,484637,29190,37092,6352,4901,562169
49799,0,4,5,0,0,0,0,8,9,0,0,0,0,9,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,14,0,0,0,0,14,0,0,0,0,0,0,52,0,4,0,0,64
49499,22,1813,1008,277,771,4,19,2083,1019,329,856,20,37,2253,940,326,824,19,29,2138,751,208,706,19,20,1711,409,117,431,19,25,996,131,51,147,16,7,348,30,9,31,9,0,80,14,3,9,3,3,40,9731,2003,5855,137,239,17962,436,7,55,13,4,511,923,9,221,25,15,1190,734,31,321,13,19,1109,626,66,356,23,10,1073,590,65,423,21,11,1113,662,82,573,19,21,1351,761,100,653,26,34,1565,856,98,740,26,32,1748,809,94,773,29,26,1724,634,82,607,23,30,1375,302,44,319,20,14,699,125,16,107,11,3,266,34,7,38,13,3,99,7486,686,5179,264,216,13830,1208,98,396,56,50,1811,380,43,161,39,71,699,18802,2837,11594,492,577,34306
3RQLD,387,63806,58295,7537,5341,1088,520,72782,60093,8399,6112,1433,551,76587,56018,8042,6335,1574,590,72562,45559,6826,6241,1630,528,60780,25614,4673,4713,1484,402,36892,7417,2298,2645,1251,197,13803,1369,911,1183,796,101,4361,459,383,727,647,88,2301,491555,50632,44542,11740,4473,602946,44535,84,226,394,392,45619,32217,144,712,228,235,33530,23488,430,1473,356,187,25935,23812,1036,2455,729,206,28236,24334,1519,2923,803,184,29764,26055,1823,3359,878,241,32355,25198,1955,3408,855,272,31691,23790,1814,3417,897,273,30187,21851,1783,3602,1041,306,28586,16693,1698,3481,1078,256,23201,8218,1369,2451,1061,178,13272,2972,730,1238,769,106,5819,1072,369,795,644,90,2959,274227,14759,29531,9723,2913,331156,29363,1206,1854,853,650,33928,13152,861,1314,1258,2228,18808,808289,67459,77247,23575,10270,986831
3GBRI,364,80438,72748,7120,4112,563,427,84969,70511,7665,4586,617,424,83796,62541,7048,4442,639,379,75044,48034,5994,3813,540,316,58702,26758,3745,2755,423,234,33913,7654,1929,1368,322,127,11405,1356,639,508,186,48,2741,378,255,210,125,26,995,580262,46765,31676,4391,3253,666344,43512,98,369,292,254,44532,45198,221,1012,232,223,46875,27814,517,1635,331,157,30451,26090,1108,2280,554,176,30217,25377,1459,2773,577,170,30351,25834,1789,3006,650,173,31459,23829,1799,3022,619,169,29450,20410,1663,2629,558,186,25446,18250,1549,2488,632,179,23100,13770,1532,2429,633,163,18527,7210,1278,1749,601,127,10958,2485,601,851,369,80,4394,873,333,456,275,43,1987,280646,13950,24707,6339,2108,327746,30541,992,1297,416,397,33638,13132,753,927,611,1757,17182,904578,62455,58597,11759,7520,1044909
39799,0,12,25,0,0,0,0,29,15,0,3,0,0,17,9,0,3,0,0,12,13,0,0,0,0,22,8,0,0,0,0,14,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,136,5,9,4,0,150,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,14,21,0,4,0,0,24,4,0,0,0,0,11,174,12,15,6,0,202
