GCCSA_CODE_2016,Mng_NNI_H_0,Mng_NNI_H_1_15,Mng_NNI_H_16_24,Mng_NNI_H_25_34,Mng_NNI_H_35_39,Mng_NNI_H_40,Mng_NNI_H_41_48,Mng_NNI_H_49mo,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_15,Mng_1_149_H_16_24,Mng_1_149_H_25_34,Mng_1_149_H_35_39,Mng_1_149_H_40,Mng_1_149_H_41_48,Mng_1_149_H_49mo,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_15,Mng_150_299_H_16_24,Mng_150_299_H_25_34,Mng_150_299_H_35_39,Mng_150_299_H_40,Mng_150_299_H_41_48,Mng_150_299_H_49mo,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_15,Mng_300_399_H_16_24,Mng_300_399_H_25_34,Mng_300_399_H_35_39,Mng_300_399_H_40,Mng_300_399_H_41_48,Mng_300_399_H_49mo,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_15,Mng_400_499_H_16_24,Mng_400_499_H_25_34,Mng_400_499_H_35_39,Mng_400_499_H_40,Mng_400_499_H_41_48,Mng_400_499_H_49mo,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_15,Mng_500_649_H_16_24,Mng_500_649_H_25_34,Mng_500_649_H_35_39,Mng_500_649_H_40,Mng_500_649_H_41_48,Mng_500_649_H_49mo,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_15,Mng_650_799_H_16_24,Mng_650_799_H_25_34,Mng_650_799_H_35_39,Mng_650_799_H_40,Mng_650_799_H_41_48,Mng_650_799_H_49mo,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_15,Mng_800_999_H_16_24,Mng_800_999_H_25_34,Mng_800_999_H_35_39,Mng_800_999_H_40,Mng_800_999_H_41_48,Mng_800_999_H_49mo,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_15,Mng_1000_1249_H_16_24,Mng_1000_1249_H_25_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40,Mng_1000_1249_H_41_48,Mng_1000_1249_H_49mo,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_15,Mng_1250_1499_H_16_24,Mng_1250_1499_H_25_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40,Mng_1250_1499_H_41_48,Mng_1250_1499_H_49mo,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_15,Mng_1500_1749_H_16_24,Mng_1500_1749_H_25_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40,Mng_1500_1749_H_41_48,Mng_1500_1749_H_49mo,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_15,Mng_1750_1999_H_16_24,Mng_1750_1999_H_25_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40,Mng_1750_1999_H_41_48,Mng_1750_1999_H_49mo,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_15,Mng_2000_2999_H_16_24,Mng_2000_2999_H_25_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40,Mng_2000_2999_H_41_48,Mng_2000_2999_H_49mo,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000mo_H_0,Mng_3000mo_H_1_15,Mng_3000mo_H_16_24,Mng_3000mo_H_25_34,Mng_3000mo_H_35_39,Mng_3000mo_H_40,Mng_3000mo_H_41_48,Mng_3000mo_H_49mo,Mng_3000mo_H_NS,Mng_3000mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_15,Mng_PINS_H_16_24,Mng_PINS_H_25_34,Mng_PINS_H_35_39,Mng_PINS_H_40,Mng_PINS_H_41_48,Mng_PINS_H_49mo,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_15,Mng_Tot_H_16_24,Mng_Tot_H_25_34,Mng_Tot_H_35_39,Mng_Tot_H_40,Mng_Tot_H_41_48,Mng_Tot_H_49mo,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_15,Pro_NNI_H_16_24,Pro_NNI_H_25_34,Pro_NNI_H_35_39,Pro_NNI_H_40,Pro_NNI_H_41_48,Pro_NNI_H_49mo,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_15,Pro_1_149_H_16_24,Pro_1_149_H_25_34,Pro_1_149_H_35_39,Pro_1_149_H_40,Pro_1_149_H_41_48,Pro_1_149_H_49mo,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_15,Pro_150_299_H_16_24,Pro_150_299_H_25_34,Pro_150_299_H_35_39,Pro_150_299_H_40,Pro_150_299_H_41_48,Pro_150_299_H_49mo,Pro_150_299_H_NS,Pro_150_299_H_Tot,Pro_300_399_H_0,Pro_300_399_H_1_15,Pro_300_399_H_16_24,Pro_300_399_H_25_34,Pro_300_399_H_35_39,Pro_300_399_H_40,Pro_300_399_H_41_48,Pro_300_399_H_49mo,Pro_300_399_H_NS,Pro_300_399_H_Tot
6RTAS,16,33,11,21,11,50,20,156,14,327,4,57,13,21,11,18,9,82,10,217,15,78,62,46,16,46,18,147,15,452,34,89,86,65,16,64,28,198,10,596,34,94,80,87,42,87,41,202,11,676,50,93,120,166,93,157,58,304,8,1053,52,67,99,164,247,239,113,367,24,1375,54,49,72,145,360,366,231,415,23,1724,69,52,57,133,310,435,312,606,10,1982,47,36,36,68,252,300,186,468,16,1404,33,33,19,53,154,234,191,465,11,1190,32,9,17,17,103,153,156,332,14,825,55,20,26,42,149,233,248,646,9,1424,20,25,25,34,27,98,71,413,9,716,3,14,3,17,17,25,19,89,32,219,507,748,738,1086,1806,2521,1691,4890,202,14192,4,10,4,3,0,9,5,6,0,47,11,93,9,8,5,6,3,9,5,148,23,170,46,26,12,18,3,17,5,315,24,174,61,29,11,18,10,20,6,347
6GHOB,7,3,0,9,12,13,3,36,3,86,4,33,8,10,0,8,4,17,0,89,5,56,20,22,6,15,5,29,0,168,3,48,29,26,21,29,11,34,6,208,5,45,65,48,23,23,13,47,0,278,21,60,69,86,57,49,23,93,6,471,23,44,53,129,180,117,58,143,5,753,23,32,75,104,308,261,149,218,14,1190,50,36,56,112,335,348,221,315,10,1477,40,22,43,70,271,293,184,345,4,1264,42,24,31,87,236,257,183,327,11,1198,27,10,17,45,193,221,147,283,3,940,60,24,21,54,358,427,420,764,6,2131,30,29,19,37,61,165,129,511,3,988,3,4,7,10,14,17,11,30,12,114,353,486,514,837,2081,2243,1566,3191,87,11351,9,11,4,10,0,0,0,9,3,59,8,140,16,19,7,6,0,7,6,214,19,193,40,21,18,11,0,21,8,337,16,205,71,33,15,17,6,14,7,378
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,3,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,3,6,9,3,0,0,0,0,8,0,21,4,12,3,4,4,3,0,3,0,25,3,3,0,7,3,5,0,3,3,25,4,0,4,15,10,16,6,8,3,67,0,3,5,14,8,17,6,10,0,74,4,6,7,16,16,36,12,26,3,117,0,3,3,20,21,48,19,23,0,136,3,0,3,8,10,41,7,24,4,99,3,3,0,5,5,28,13,28,3,84,0,0,0,3,0,11,6,14,0,32,3,0,0,0,3,11,6,24,0,53,0,0,0,0,3,5,0,4,0,16,0,0,0,0,0,3,0,5,0,12,36,43,33,93,90,210,83,179,19,790,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,3,0,22,3,18,8,3,0,0,0,0,6,33,4,15,10,5,3,0,0,0,0,38
5RWAU,37,71,55,68,29,116,44,450,25,900,31,109,44,43,12,44,28,180,9,488,25,152,88,91,31,90,49,316,12,862,58,168,120,98,43,98,55,377,16,1037,56,139,180,143,55,128,79,450,19,1252,96,180,210,306,127,243,145,763,47,2109,83,141,177,314,259,366,205,807,21,2370,141,131,158,267,471,576,369,1119,36,3263,169,144,122,261,507,844,480,1497,56,4082,136,97,91,183,331,606,425,1302,39,3200,151,80,84,128,309,603,404,1305,30,3085,76,54,46,86,230,371,341,1035,18,2254,201,101,102,129,358,704,747,2262,43,4644,219,127,78,114,121,387,477,2622,46,4180,42,54,29,25,28,81,50,305,77,681,1500,1757,1591,2254,2912,5255,3885,14768,480,34405,22,21,16,7,8,12,3,25,4,114,27,190,21,14,10,15,3,15,3,300,48,311,79,52,11,17,14,31,7,570,37,278,122,60,21,41,6,35,5,606
5GPER,34,123,85,92,75,179,50,364,22,1024,27,313,80,60,29,56,33,115,19,729,32,421,189,88,54,82,40,132,17,1049,33,362,337,176,88,130,58,225,18,1424,57,315,480,287,109,160,71,265,21,1767,95,361,605,688,332,367,150,519,43,3161,117,292,504,811,1117,865,312,650,60,4720,161,258,497,803,2200,1947,886,1236,61,8038,267,257,437,768,2436,2954,1593,2113,80,10905,230,201,300,495,1905,2471,1460,2228,55,9350,259,203,238,524,1823,2732,1516,2815,53,10165,207,117,162,329,1307,2284,1398,2397,51,8251,570,271,270,596,2797,5702,4080,7239,131,21652,417,351,299,512,999,3977,3132,9385,87,19148,35,40,40,67,128,230,119,299,108,1069,2559,3877,4518,6284,15402,24126,14885,29989,811,102456,124,203,52,63,57,101,28,102,27,756,137,1529,153,90,32,64,20,59,37,2122,165,1960,386,178,65,113,39,90,27,3017,165,1703,621,221,112,131,40,117,37,3150
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,14,13,0,0,0,0,0,0,43,0,59,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,5,62,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,14,9,0,3,3,7,3,11,0,50,9,17,4,4,3,6,0,4,3,42,10,21,7,10,0,3,0,4,0,47,4,11,14,13,0,0,0,3,3,47,13,12,22,11,3,8,0,9,4,92,12,8,20,14,15,14,3,22,0,115,12,10,11,20,17,33,8,37,4,153,14,10,18,21,60,48,15,53,4,242,20,15,16,24,35,79,30,104,10,332,14,16,12,14,38,82,37,99,5,315,16,7,10,17,39,69,44,129,8,330,18,5,3,6,20,51,33,65,0,198,19,4,3,3,26,74,46,151,4,333,35,15,6,5,10,22,18,165,3,279,4,4,3,0,5,12,7,29,10,71,209,164,142,166,259,508,248,890,54,2643,9,13,6,3,0,5,3,4,0,38,20,157,4,3,0,0,0,0,4,190,12,193,26,11,3,7,0,8,3,264,16,117,34,16,7,12,5,14,9,217
4RSAU,24,56,33,63,27,88,45,422,12,776,15,100,42,24,10,51,23,181,9,459,34,120,88,96,37,90,53,383,16,927,32,142,116,125,64,130,54,437,19,1119,51,166,158,148,70,200,65,477,29,1364,83,196,180,302,186,311,153,746,32,2182,92,122,141,307,332,433,271,877,37,2612,114,121,126,284,456,594,401,1027,33,3154,143,87,117,231,459,667,493,1323,45,3574,100,79,69,109,258,443,363,932,14,2347,61,64,68,94,223,331,285,872,23,2005,57,45,25,44,115,231,216,581,3,1328,74,62,42,71,164,327,321,1062,6,2128,45,51,40,51,43,158,147,729,13,1285,19,33,19,28,31,80,32,233,66,537,949,1436,1260,1983,2468,4138,2925,10276,368,25801,8,13,3,5,3,11,4,18,0,67,8,93,15,7,3,13,7,9,0,156,21,181,57,51,10,18,3,14,8,363,16,180,79,30,11,17,13,26,7,386
4GADE,19,77,50,67,39,105,26,237,16,638,23,216,46,35,28,27,19,67,4,461,30,316,151,116,62,69,48,158,4,950,26,284,245,158,86,120,59,211,16,1217,35,262,346,276,135,175,75,297,14,1611,78,265,424,615,346,348,162,515,23,2781,108,186,325,752,1092,698,362,632,49,4204,160,166,287,704,1923,1425,973,1151,68,6852,207,151,254,614,2039,1961,1484,1810,55,8568,179,121,169,412,1466,1534,1235,1710,44,6872,186,106,138,371,1379,1635,1217,1992,35,7065,164,76,76,212,1048,1273,1038,1664,27,5579,307,121,142,300,1476,2516,2307,4222,50,11443,143,153,138,192,356,1064,1091,3653,35,6817,12,30,19,31,82,115,88,186,70,645,1687,2533,2803,4837,11561,13069,10182,18521,519,65714,52,78,35,43,34,53,15,73,5,399,86,881,90,76,31,61,19,33,16,1295,101,1208,275,160,58,61,22,69,29,1984,113,1085,410,200,85,103,29,86,36,2148
